"AFG","ALB","DZA","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","BRB","BEL","BOL","BIH","BWA","BRA","BLZ","SLB","BGR","MMR","BDI","BLR","KHM","CMR","CAN","CPV","CYM","LKA","CHL","CHN","CXR","COL","COG","COD","CRI","HRV","CUB","CYP","CZE","DNK","DMA","DOM","ECU","SLV","GNQ","ETH","EST","FJI","FIN","FRA","PYF","GEO","DEU","GHA","GIB","GRC","GRD","GUM","GTM","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LBN","LVA","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MUS","MEX","MNG","MDA","MNE","MSR","MAR","MOZ","OMN","NAM","NPL","NLD","ANT","ABW","NCL","VUT","NZL","NIC","NER","NGA","NOR","PAK","PAN","PNG","PER","PHL","PCN","POL","PRT","QAT","ROU","RUS","SHN","LCA","SMR","STP","SAU","SEN","SRB","SLE","IND","SGP","SVK","VNM","SVN","ZAF","ZWE","ESP","SWZ","SWE","CHE","SYR","THA","TGO","TTO","ARE","TUN","TUR","TKM","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","VEN","WSM","YEM","ZMB","PRY","BRN","KIR","GIN","LBY","NFK","FSM","PLW","TLS","RWA","SYC","SUR","TON","UZB","ARM","GMB","IRQ","COM","BEN","DJI","GAB","MRT","SDN","GUY","LAO","LBR","KNA","SPM","VCT","TCA","BTN","MYT","PSE","GRL","LSO","MHL","SOM","TJK","VGB","TUV","TCD","ERI","GNB","CAF","WLF","ATF","BMU","COK","AIA"
"BHS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.742,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.776,0,0,73.878,0,0,0,0,0,0,0,0,16.786,0,0,0,0,0,0,0,0,0,3294.135,0,0,0,0,366.091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEL",0,0,559.649,0,5.93,0,0,2288.519,36.54,144.682,0,0.149,0.016,0,0,0,92.646,0,118.553,0,0,5.432,0,41.462,2.2,0,1.169,903.355,0,0,0,32.445,73.59,0,79.017,0.118,54.337,1.17,21.81,0,632.091,34264.001,238.186,0,0,0.178,0,0,147.839,24.981,0,76.135,130358.113,1.742,0,194785.13,0,0,48.625,0,0,8.082,0,25.151,468.932,115.666,4.171,47.477,0.748,979.654,600.533,34065.21,0,0,420.973,0.068,0.367,5.694,0,218.006,0.013,0.032,1.934,10.29,28.412,3595.101,0,15.187,0,24.444,0,0,35.557,0,78.161,0,0.442,0,0,1257.642,0,0,0,0,61120.4,0,0,1.047,0,0.565,0,0.154,5.332,215.071,29.059,0.184,0,17.233,104.154,0,99.577,8144.989,0,1336.029,1020.659,0,0,0,0,3.496,193.489,20.377,0,197.44,173.878,63.133,3.656,13773.999,14996.123,0,5039.163,0,488.865,793.016,1.201,223.032,2.298,0,219.34,6.431,142.803,0,5.536,1.622,0,0.533,1050.348,5.65,3358.884,382.018,0,3.271,0,0,0,0,0,0,0,4.118,0,0,0,0,358.12,0,0,0,0,0,5.988,0,508.109,1.548,51.928,8.027,41.638,25.218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BIH",0,0,0,0,0,0,0,0,0,0.235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.273,0,0,0,2.184,0,0,0,0,0,0,0,0,0,2.258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.734,0,0,0,0,0,0.011,0,0,0,0,0,0.296,0,0,0,0,0,0,0,0,0,0,0,0,0.164,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BWA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187.594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.701,0.036,0.934,0,0,0,0,0,0,0,0,0,0,0,0.055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRA",0,0,0.284,0,23.725,0,0,37.51,4.735,0.11,0,0.224,0,2.601,12.908,17.033,0,0,0,0,0,0,0,0,0,0,0,18.345,0,0,0,52.909,317.406,0,50.508,0,0,1.037,0.541,4.231,0,65.216,0.129,0,2.408,5.202,16.905,0.466,0,0,0,0,9.68,0,0,166.077,0,0,0,0,0,5.779,0,6.442,22.855,12.823,0,0,0,0.689,1.369,18.678,0,1.565,38.727,0,3.365,1.416,0,5.741,0,0,0,0,0,0,0,0,0,1.226,0,0,0,0,41.579,0,0,0,0,0.128,0,0,0,0,9.971,0,0,0,0,1.561,0.957,0,1.288,0,0.651,3.745,0,14.911,14.734,0,0.101,2.551,0.617,0,0.559,0,0,0,0,0.051,1.751,0.006,0,12.915,23.032,0,0.701,0,101.878,0,2.696,0,60.327,13.481,0,2.437,0,1.122,3.849,0.932,0,0,0,0,3.232,1.967,3.789,0,212.207,0,49.07,31.714,0,0,0,9.157,0,0,0.364,0,0,0,0,0,0,0,0.521,0,0,0,0,0,0,0,0,0,0,0,1.253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLZ",0,0,0,0,0,0,1.568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
