"AFG","ALB","DZA","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","BRB","BEL","BOL","BIH","BWA","BRA","BLZ","SLB","BGR","MMR","BDI","BLR","KHM","CMR","CAN","CPV","CYM","LKA","CHL","CHN","CXR","COL","COG","COD","CRI","HRV","CUB","CYP","CZE","DNK","DMA","DOM","ECU","SLV","GNQ","ETH","EST","FJI","FIN","FRA","PYF","GEO","DEU","GHA","GIB","GRC","GRD","GUM","GTM","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LBN","LVA","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MUS","MEX","MNG","MDA","MNE","MSR","MAR","MOZ","OMN","NAM","NPL","NLD","ANT","ABW","NCL","VUT","NZL","NIC","NER","NGA","NOR","PAK","PAN","PNG","PER","PHL","PCN","POL","PRT","QAT","ROU","RUS","SHN","LCA","SMR","STP","SAU","SEN","SRB","SLE","IND","SGP","SVK","VNM","SVN","ZAF","ZWE","ESP","SWZ","SWE","CHE","SYR","THA","TGO","TTO","ARE","TUN","TUR","TKM","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","VEN","WSM","YEM","ZMB","PRY","BRN","KIR","GIN","LBY","NFK","FSM","PLW","TLS","RWA","SYC","SUR","TON","UZB","ARM","GMB","IRQ","COM","BEN","DJI","GAB","MRT","SDN","GUY","LAO","LBR","KNA","SPM","VCT","TCA","BTN","MYT","PSE","GRL","LSO","MHL","SOM","TJK","VGB","TUV","TCD","ERI","GNB","CAF","WLF","ATF","BMU","COK","AIA"
"SLB",0,0,0,0,0,0,0,0,2.722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGR",0,0,0,0,0.258,0,0,0.108,0,6.419,0,0,0,0,86.862,0,1.151,0,0.016,0,0,0,0,0,2.9,0,0,3.68,0,0,0,0,8.954,0,0,0,0,0,9.652,0,0,3.08,189.261,0,0,0,0,0,0,0,0,0,1.057,0,5.774,45.997,0,0,1679.602,0,0,0,0,0,5.529,0,0,0,0,0,0,106.368,0,0,1.087,6.086,0,0,0,7.297,0,0,0,0,0,198.331,0,0,0,52.103,0,0,0,0,2.207,0,2.474,0.378,0,16.302,0,0,0,0,191.622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.076,120.205,0,49.313,0.393,0,0,0,0,0,0,14.313,0,0,0,0,0,1.119,43.373,0,0,0,3.82,4.82,0,0,0,0,0,0,0.568,0,0,0,13.765,0,0.36,0,124.198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMR",0,0,0,0,0,0,0,0,0,4.238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLR",0,0,0,0,0,0,1.582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4,0,0,0,0,0,0,0,0,0.043,0,0,0,0,0,0,0,2.4,0,0,1,0,0,15.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11.535,0,0,0,0.014,0,0,0,0,0,0,0,0,0.021,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0.734,0,0,0,0,0,0.591,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KHM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CMR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.561,0,0,0,0.933,0,0,0,0,0,0,0,0,2.945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,2.869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN",6.416,0,12.055,0,20.633,0,0,1.188,345.646,649.595,3.314,0,137.971,7.016,7211.306,3.113,2.23,0,55.399,0,50.067,10.829,0,0,14.4,0,0,0,0,48.905,7.994,166.131,2265.718,0,6.974,0,0,3.702,21.413,0.278,1.255,46.562,48.729,13.827,174.449,5.698,0.218,0,0.837,3.831,0.592,580.325,566.903,0,0,14226.252,0.944,0,5.342,5.732,0,34.343,0,0.551,589.14,22.057,0.925,0.381,0.119,26.662,1258.179,3995.429,4.134,8.936,855.257,1.979,1.978,183.133,0,595.272,0,0,0,21.797,2.82,28.571,0,2.967,0,154.236,3.566,0,0,2.967,487.796,0,0,0,0,1.066,0,14.374,0,1.757,125.429,0,0,0,0,82.285,5.569,0,0,9.896,10.218,0,0,27.918,3741.896,0,1921.153,21.41,0.044,4.192,38.927,0,0.154,0,0,39.98,0.908,4.729,0,262.767,161.914,15.229,54.441,15.827,282,0,228.832,6.333,651.777,1399.28,0,247.525,0,8.961,20.375,27.157,167.397,0,2.416,4.868,0.208,0.727,8070.493,3.293,37258.993,4.783,4.499,3.757,0,0,0,0,0,0,27.595,35.539,0,0,0,0,0.211,0,0,0,0.74,0,2.53,0.018,0,3.195,0,1.705,0,0,1.012,9.943,9.001,7.794,0.939,14.917,1.427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CPV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LKA",0,0,0,0,0,0,0,0,0,2.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.455,0,0,0,0,0,0,0,0,0,0,0,0.155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.119,0,0,0,11.709,0,0,0,0,0,0,0,0,0,1.395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.509,0,0,0,0,0,0,0,0,8.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHL",0,0,0,0,0,0,0,0.526,20.817,4.128,0,0,0,0,0,1.229,0,0,2.136,0,0,0,0,0,0,0,0,0.957,0,0,0,0,8.498,0,0.041,0,0,61.601,0,0,0,0,0,0,9.3,2.495,0,0,0,0,0,0,7.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.351,0,0,0,0,0,0,0,0,0,20.923,0,0,0,0,0,0,0,2.94,0,0,19.805,0,9.863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.356,0,0.011,4.143,0,0,0,0.467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN",747.792,14.356,1032.258,0.518,579.071,0,18.527,1777.726,221212.498,8329.816,44.514,24.511,5958.28,22.445,577401.025,255.983,281.131,1272.978,23676.204,0.648,165.666,3392.034,409.176,0,174.746,1022.042,593.188,29537.906,10.992,0,106.419,1786.511,0,0,1784.458,6.495,37.216,37.965,1591.422,90.125,4514.749,334550.088,5035.071,226.292,819.925,618.23,130.354,0,28008.78,238.691,395.382,5007.486,323730.924,992.13,29.563,3791394.576,89.873,0,31263.259,0.449,0,127.99,135.397,219.749,1093249.717,11994.198,76.696,17334.529,3488.619,1319.045,37234.874,928201.602,192.505,74.629,353109.759,228.434,890.794,3293.172,476.898,519718.315,2080.235,514.746,116.111,83.134,200.592,6677.691,5237.114,243.641,26.366,26876.291,27.427,1523.345,466.149,46.41,4954.893,830.686,53.703,9.998,0,1072.042,677.061,3.701,108.11,381.785,1147753.556,28.964,10.633,103.674,273.235,3012.268,474.354,7.493,9076.512,2273.594,2067.32,1377.683,1405.931,2086.859,5515.831,0,7102.618,27015.601,626.589,1779.717,4065.055,0,0,0.517,0,2800.502,1190.812,654.98,0,37812.013,47695.475,4148.768,10129.307,11853.768,9873.044,163.294,403915.431,0,12011.694,16774.058,244.692,14556.141,445.985,33.402,30074.636,429.737,10042.672,7.732,1665.711,625.718,24.88,1168.43,17799.817,1426.361,539403.062,33.706,254.222,639.465,7.575,143.417,81.287,247.881,30.639,8,822.506,39.758,0,0,0,64.58,150.749,1.516,0,0,49.263,37.961,104.23,506.069,7.398,209.61,193.831,58.95,110.017,157.433,8.187,2.52,26.069,0,0,5.58,9.6,8.921,0.089,95.421,2.121,19.737,64.8,53.75,30.928,0,0,0,0,0,0,0,0,0,0,0
"CXR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COL",0,0,0,0,0,0,0,0.111,0,0,0,0,0,0,0,0,0,0,0.372,0,0,0,0,0,0,0,0,1.297,0,0,0,0,0,0,0,0,0,22.339,0,1.16,0,0,0,0,5.097,14.511,0.103,0,0,0,0,0,0,0,0,0.203,0,0,0,0,0,0.305,0.236,1.673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.569,0,3.649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.746,0,0,76.085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG",0,0,0,0,4.997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COD",0,0,0,0,0,0,0,0,0,0.238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CRI",0,0,0,0,0,0,0,0,1.376,0.059,0,0,0,0,0.214,0,0,0,1.88,0,0,0,0,0,0,0,0,39.39,0,0,0,0,220.108,0,1.293,0,0,0,0,0,0,0.004,0,0,0,0,1.188,0,0,0,0,0.708,0.823,0,0,894.37,0,0,0,0,0,0,0,0.084,66.085,0,0,0,0,0,0,0,0,3.078,0,0,0,0,0,19.369,0,0,0,0,0,0,0,0,0,4.339,0,0,0,0,157.158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0.061,0,0,0.633,0,0.795,0,1.697,0,0,0.042,0,0,0.322,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.482,0,0,0,0,0,0,0,0,0,0,0,0,13.116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HRV",0,0,0,0,0,0,0,0,19.287,11.037,0,0,0,0,0.003,0,52.008,0,0,0,0,0,0,0,0,0,0,1.281,0,0,0,0,1.295,0,0,0,0,0,0,0,0,0,219.521,0,0,0,0,0,0,0,0,0,28.875,0,0,33.388,0,0,55.155,0,0,0,0,0,0,0.168,0,0,0,148.387,0,100375.423,0,0,0,0,0,0,0,0,0,0,0,0,0.44,0,0,0,0,0,0,0,0,0,34.218,0,0,1.397,0,0,0,0,0,0,5.579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053,2.161,0,0,0,0,0,0,0,0,0,88.348,0,0,0,1.551,0,119.496,98.778,0,9.551,0,0,30.914,0,1.431,0,0,0,0,1.112,0,0,0,2.901,0,0.441,0,113.713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CUB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP",0,0,0,0,3.13,0,0,0,0,30.612,0,0,0,0,0,0,1.778,0,0,0,0,0,0,0,4.9,0,0,0,0,0,0,0,0.083,0,0,0,0,0,34.053,0,0,0,0,0,0,0,0,0,0,0,0,0,817.143,0,0,77450.635,0,0,11697.163,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2.943,0,0,0,0,0,2.999,0,0,437.414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.6,0,0,0,0,0,1.926,0,0,0,0,0,0,35.487,0,0,177.854,0,0,0,0,0,0,0,0,0,1.305,0,0,1.763,0,0,0,0,17.456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZE",0,0,0,0.052,0,0,0.911,2.182,1385.1,353.077,0,0,0,0,9336.995,0,2.655,0,21.866,0,0,21.435,0,0,15.65,0,0,20.455,0,0,0,1.377,2619.949,0,4.512,0,0,0.307,29.592,0,0,0,15.214,0,0,0,11.013,0,0,1.97,0,28.729,900.378,0,4.38,647050.805,0,0,162.854,0,0,0,0,0,24.668,1264.881,0.087,0.646,0,16.376,27.54,3087.848,0,0,20.643,7.215,0,0,0,7.962,0,0,0,1.411,3.738,727.89,0,0,0,18.734,0,0,22.401,103.593,0.216,0,1.094,0,0,6.18,0,0,0,0,221.272,0,0,0,0,0.994,0,0,1.117,2.075,0.162,0,0,0.92,0,0,303.824,18.973,0,33.237,120.423,0,0,0,0,0.764,0,17.997,0,6.359,1.527,6714.372,74.477,10.971,4.683,0,958.964,0,3.162,160.966,0,5.666,0,0,0.817,0,26.798,0,0,38.844,0.154,0.425,893.008,0.791,172.951,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,2.326,0.466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNK",0,1.319,26.67,0,3.186,0,0.014,22.192,293.406,880.912,0,3.021,0,0,55.763,1.213,0.098,0,14.659,0,0,1.504,0,0,8.3,0,0,137.115,0,0,0.708,5.151,926.948,0,0.144,0,0,5.2,3.54,0,0.554,284.976,0,0,0,1.421,0,0,6.33,1.6,0,506.739,571.809,1.656,0,4199.449,0,0,7.136,0,0,0,0,0,570.875,20.022,83.96,1.984,14.247,4.409,68.69,510.974,0,0,7.935,0,525.111,248.991,23.049,59.487,2.184,0,7.156,2.053,34.032,1.507,0,311.253,0,13.797,0,0,114.82,0.427,13.995,0,0.05,0,0,1.829,0,0,1.347,0,11706.93,0,0,0,0,56.893,0,0,0,680.973,1.338,19.587,0,3.959,1.947,0,447.519,8.705,0,2.351,4.906,0,0,0,0,16.49,2.77,9.355,0,16.52,36.908,0.391,4.999,4.833,25.526,0,737.502,0,2308.245,53.339,0,87.241,0,1.583,63.445,22.774,51.415,0,18.068,0.047,0.742,0,918.861,0,2191.39,0.292,13.919,1.487,0,0,0,0.222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.303,2.198,0,0,0,0.092,0,2.747,0,0,0,0,0,0,0,0,0,0,47.728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DMA",0,0,0,0,0,0,0,0,1.182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM",0,0,0,0,0,0,0,2.291,10.292,0.622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.669,0,0,0,0,2.55,0,6.203,0,0,34.875,0.434,0,0,9.253,0,0,0,0,0,0,0,0,0,0,6.94,0,0,9.768,0,0,0,0,0,0,0,0,0,0,0,0,0,0.411,0,0,0,10.212,0,0.55,0,0,0,12.083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519.351,0,0,0,0,0,0,0,0,0,404.513,0,0,0,0,0,0,0,0,0,0,0,0,0.975,0,0,0.473,0,0,0,0.041,0,0,0,0,0,0,0.089,0,0,0,0.18,10.335,0.09,6.86,0,5542.84,0,0,0,0,0,0,0,0,0,0.716,0,0,0,0,0,0,0,5511.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ECU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.343,0,0,0,0.98,0,0,9.658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
