"AFG","ALB","DZA","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BMU","BOL","BIH","BWA","BRA","BLZ","SLB","VGB","BRN","BGR","MMR","BLR","KHM","CMR","CAN","CPV","LKA","CHL","CHN","CCK","COL","COG","COD","COK","CRI","HRV","CUB","CYP","CZE","DNK","DMA","DOM","ECU","SLV","GNQ","ETH","EST","FJI","FIN","FRA","PYF","DJI","GAB","GEO","PSE","DEU","GHA","GIB","GRC","GRL","GRD","GUM","GTM","GUY","HND","HKG","HUN","ISL","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LSO","LVA","LBR","LBY","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MNE","MSR","MAR","MOZ","OMN","NAM","NPL","NLD","ANT","ABW","NCL","NZL","NIC","NER","NGA","NOR","MNP","PAK","PAN","PNG","PRY","PER","PHL","PCN","POL","PRT","QAT","ROU","RUS","RWA","KNA","LCA","VCT","SMR","SAU","SEN","SRB","SYC","SLE","IND","SGP","SVK","VNM","SVN","ZAF","ZWE","ESP","SDN","SUR","SWZ","SWE","CHE","SYR","TJK","THA","TGO","TKL","TTO","ARE","TUN","TUR","TCA","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","YEM","ZMB","GIN","HTI","ASM","CXR","ERI","KIR","VUT","TLS","WSM","MHL","BDI","GMB","SOM","CYM","COM","CAF","SPM","BTN","TCD","MYT","BEN","PLW","GNB","TKM","IOT","FSM","WLF","FLK","NFK","TON","TUV","ATF","STP","SHN","AIA"
"BRA",0,3.95,0.13,0,77.426,0,0,12576.979,26.338,7.915,0,0,0,238.25,2.368,2.428,0,42.992,0,0,0,8.686,0,0,0,17.198,0,0,0,0,66.866,0.046,0,143.976,540.497,0,184.489,0,0,0,18.987,0,7.603,0,2.17,0,0,4.224,53.004,4.886,0,0,0,0,44.103,9.249,0,0,0.458,2.314,0,479.815,0,0,5.594,0,0,0,6.676,1.102,26.369,6.376,17,0,6.304,0,0,0,0,15.717,0.076,8.837,7.433,0,7.671,0,0,94.729,0.088,0,0,9.15,0,3.709,0,0,0,5.5,0,0,0,559.497,0,0,0,0,0,281.328,0,0,0,0,3.868,5.92,0,0,0,30.585,10.387,0,0,0.144,1.945,0,0.823,5.068,0,0,41.682,0,738.869,46.28,4.837,0,1.099,343.238,0,3.241,15.735,0,0,0,0,0,46.664,0,4.837,0,2.328,5.269,4.918,0,9.566,0,95.545,0,4.041,0.602,0,0,121.553,10.727,1.31,0,15.429,0,0,0.174,13.077,0.983,717.14,0,0,0,0,0.304,6.378,0,3027.531,0,437.481,0,250.01,0.079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLB",0,0,0,0,0,0,0,0,0,0.721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VGB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,596.334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.235,0,0,0,0.089,0,0,0,2.569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRN",0,0,0,0,0,0,0,0,14.944,0,0,0,0,0,0,0.079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.557,0,0,0,0,0,0,0,0,0,2.918,0.132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.024,141.234,0,0,0,0,0,0,0,0,0,0,2.873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.675,0,18.953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGR",0,37.578,8.725,0,0,0,0,0,310.476,11.072,0,0,0,0.21,0,34.261,0,0,0.313,0,0,0,0,0,0,0,0,0,0,0,290.747,0,0,0,2.142,0,0,0,0,0,0,1.999,0,0,36.281,12.292,0,0,0,0,0,0,0,0,7.922,32.865,0,0,0,0,0,130.904,0,0,101.116,0,0,0,0,0,0,5.819,180.492,0,0,0.204,0,18.635,18.95,204.828,0,0,52.367,0.992,0,0,0,2.111,9.018,0,0,6.804,0,6.516,0,0,5.521,0,0,0,0,0,0,0,0,0,0,11.523,0,0.367,0.992,0,0,0,0,0,0,22.781,0,0,0,46.9,0,0,0,36.116,0,0,0,0,0,0,0,0,41.716,0,0,712.188,391.978,0,0,0,0,0,0,0,31.982,0,0,9.661,0,6.194,275.746,10.092,14.67,0,61.223,0,0,0,31.279,15.298,0,0,8.348,0,0,0,4.225,0,5.321,0,0,16.558,76.766,0,220.628,0,180.726,0,0,0,2.602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166,0,0,0.5,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.414,38.704,0,0,0,77.478,0,0,0,0,0,3.4,0,0,29.701,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.899,0,0,0,1171.4,0,0,0,0,0,0,0,0,0,0,9.819,0,0,0,0.479,47.137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KHM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CMR",0,0,0,0,2.226,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072,0,0,0,0,0,0,0,0,0,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN",0,83.739,5.433,0,0.692,0,37.49,3162.69,5117.042,183.708,36.026,39.478,87.819,13.742,175.82,1279.942,2.246,21.87,0.963,0,4015.027,0.702,12.867,0,0,144.16,0,95.6,0,5.696,0,0,3.012,345.327,8895.781,0,307.929,52.474,0,0,30.25,158.304,31.472,88.078,36.118,40.155,3.6,0.325,11.812,34.145,0,0.266,217.211,0,395.258,3755.425,0.348,0,18.354,1126.752,83.73,5901.889,36.064,0,287.521,0,0.302,0.28,42.857,0.104,18.088,5542.638,39.768,67.566,265.829,1529.658,20.536,50.444,3639.534,1703.339,0,2.006,8308.028,45.215,126.992,36.849,113.995,17016.959,57.581,2.734,0,326.711,0,0.205,0,1.855,62.546,29.024,0.284,1.259,0,394.962,1.844,0,12.62,78.5,0,4579.558,1.422,0,4.145,0,38.832,0,149.194,16.508,0,1273.328,0,0,9.755,948.801,32.094,0,160.414,601.182,0,160.385,323.408,0,325.827,522.913,491.271,0,352.928,5.185,36.212,199.144,1781.306,0,0.31,4.927,0.339,0,455.77,0,75.219,0,127.317,5021.546,2793.456,11.426,21.15,124.265,521.031,0,702.108,0,1.399,0,1406.157,485.148,0,20.935,1056.373,0,0,27.523,1689.64,27.135,2031.747,0,0,251.834,16.502,521.919,16528.826,3.97,312307.416,0.347,146.161,0,689.71,10.303,0,0,0,0,0,0,5.393,0,0,0,0,0,0,0,0,0,24.848,4.231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CPV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0.673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.171,0,0,0,0,0,0,0,0,0,1.885,0,0,0,0,0,0,0,0,0,0,0.574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LKA",0,0,0,0,0,0,0,0,1.223,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560.645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,461.051,0,0,0,0,5.065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136,0.766,0,0,0,0,0,0.187,0,0,0,0,223.168,0,0,120.556,0,0,0,0,0,0,0,0,0,0,0,0,0,8.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHL",0,0,0,87.831,0,0,0,37.191,5.355,0,0,0,0,0,0,0,0,1727.211,0,0,92.194,0,0,0,0,0,0,0,0,0,15.537,0,0,0,210.8,0,139.578,0,0,0,0.244,0,0,0,0,0,0,3.22,2.484,0,0,0,0,0,0,0,0,0,0,0,0,8.908,0,0,0,0,0,0,11.069,0,1.96,0,40.105,0,0,0,0,0.148,0,1.782,0,0,26.503,0,0,0,0,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.641,0,0,0,0,0,0,0,0,0,88.708,0,0,0,0,0,0,0,30.96,0,0,126.872,0,2011.547,483.69,3.231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.503,0,0,0,0,40,0,99.105,0,0,0,0,0.513,0,0,30.733,0,0,0,0,0,0,0,0,0,0,0,138.46,0,226.216,0,73.022,0,15.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN",503.824,93.053,2270.415,295.698,4466.91,19.757,304.591,26097.49,55361.682,5746.435,46.039,120.841,654.335,143.403,6.608,41459.179,0,94.047,188.974,5.887,20918.541,13.559,5.654,0,152.996,1186.871,1154.242,1751.7,60.255,174.925,23123.249,7.066,282.401,9948.51,0,0,4055.61,599.479,0,0,1770.883,9017.986,1451.099,301.367,13684.259,8839.65,13.5,199.522,1288.829,144.926,0,990.625,611.248,10.962,24247.312,165729.674,193.418,0,17.241,62.18,73.21,125621.5,764.915,0,3331.192,0.807,0.311,0,248.404,1.099,118.872,621674.658,32067,266.25,18987.231,3717.664,1113.843,5167.638,6104.121,45530.082,60.04,58.629,353473.814,5486.861,689.747,75.357,200.129,286142.26,570.936,0.136,81.395,872.589,0,113.155,32.101,745.203,1084.511,192.366,9203.434,50.073,22.505,11187.772,12.972,64.096,94.598,0,488.787,45567.308,330.401,134.862,76.5,0.238,7243.43,64.791,67.795,26.991,215.546,116757.932,4.672,3.67,141.558,10132.412,126.613,1.308,5915.958,6890.611,0,4253.723,1755.834,81.015,4825.371,1353.084,3434.532,0,12043.222,4046.116,273.355,3471.755,20552.324,18.979,0.34,0.732,15.784,0,4423.78,8.709,2162.97,0,4.902,24289.461,19548.145,7201.005,7695.849,1263.476,16869.754,4.155,20010.185,221.908,0.139,0,8372.566,3583.524,2597.206,528.45,131989.053,116.418,0,182.789,23822.245,231.505,38101.463,0,19.609,4002.152,244.17,6641.701,128183.23,115.975,781527.298,42.539,547.732,91.805,2435.238,162.44,39.276,4.125,10.66,0,0,0,0,12.128,12.53,22.886,38.785,3.173,13.309,0,0,10.437,0,0,0.008,2.08,3.57,405.013,0.434,11.64,2.008,0,0,0,0,0,0,0,0,0,0,0
"CCK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COL",0,0,0,0,0,0,0,0.203,0,3.022,0,0,0,0,0,0,0,0.382,0,0,32.559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.638,0,0,0,0,0,0,0,14.882,8.039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.55,0,4.934,0,0,0,0,0,0,0,0,0.682,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,10.98,0.003,0,0,0,0,0,0,0,0,0,15.381,0,0,0.305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,0,0,0,0,1.751,0,0,0,0,0,0,0.699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.065,0,1.237,0,606.345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG",0,0,0,0,9.661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CRI",0,0,0,0,0,0,0,7.867,8.959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.614,0,0,18.876,18.108,0,1.453,0,0,0,0,13.068,0,0,0,0,3,0,20.2,1.343,0,0,0,0,0,0,0,0,0,0,0,193,0,0,0,0,0,0,1.388,0,5.348,0,0,0,0,0,0,0,89,0,0,0,718.453,0,0,0,0,88.944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.336,0,0,0,0,0,0,0,0,0,2.745,0,0,0,0,0.054,0,0,52.041,0,0,5.155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.558,0,0,0,220.596,0,0,0,0,0,0,0,0,0,851.766,0,0,0,0,0,0,0,0,0,0,0,12.755,0,254.374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HRV",0,3.784,0,0,0,0,0,0,0,73.432,0,0,0,0,0,0.628,0,0,754.137,0,2.445,1.057,0,0,0,0,0,1.8,0,0,0,0,0.305,0,257.9,0,0,0,0,0,0,0,0,0,0,13.594,0,0,0,0,9.079,0,0,0,0.387,0,0,0,0,0,0,54.002,0,0,0,0,0,0,0,0,0,0,78.67,0,0,0,0,2.967,0,903.319,0,0,0,0,0,0,0,0.456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205,116.173,0,0,0,0,0,0,15.662,0,0,0,0,0,0,0,8.428,0,0,0,0,0.645,0,0,0,6.571,5.218,0,0,0,0,0,0,0,0,7.019,0,514.618,0,0,0,0,3.562,0,268.466,0,0,2.393,0,0,0,2.931,129.402,0,0,14.461,0,0,0,0,0,4.711,0,0,1.143,82.779,0,6.129,0,247.932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CUB",0,0,0,0,0,0,0,0,7.602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP",0,0,0,0,0,0,0,0,0,0,0,1.558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.206,0,0,17.771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,108.625,0,0,0,0,0,0,0,0,0,0,0,0,0,27,2.28,0,0,0.014,0,0.986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230.584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.12,3.331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.115,0,4.692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZE",0,0,1.147,0,0,0,1.535,1502.539,79.653,683.185,0,5.758,0,7.316,0,501.096,0,0.1,9.874,0,325.592,0,0,0,0,615.531,0,2.135,0,0,182.211,0,0,174.208,40.338,0,38.41,0,0,0,10.673,32.965,0,0,0,11394.78,0,0.087,2.423,0,0,0,102.355,0,134.827,6446.686,0,0,0,17.08,0,9618.78,2.131,0,21.669,0.14,0,0,0,0,0,26.942,2077.544,22.929,0,0,0,7.211,61.321,191.579,0.202,0,184.219,2.162,69.192,4.124,0,45.691,0,0,0,11.041,0,23.2,0,21.433,416.766,224.74,0,0.742,0,0.458,0,0,0.228,0,8.142,53.493,0,2.682,0,0,24.405,0,0,0,0,990.489,0,0,2.871,30.994,0,0,0,88.522,0,3761.373,0.333,0,0,0.39,0,0,796.027,85.935,0,261.32,547.398,0,0,0,0,11.769,0.122,0,48.049,0,0,8.731,18.471,4059.786,263.25,160.977,125.836,0,198.229,0,0,0,3473.51,7616.516,0.139,0,227.506,0,0,0,103.83,42.243,82.424,0,0,463.411,0.487,1.264,533.311,0,889.461,0,0,0,6.188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
