"AUS","AUT","BEL","BRA","BGR","CAN","CHN","CZE","DNK","EST","FIN","FRA","DEU","HKG","HUN","ISL","IDN","IRL","ISR","ITA","JPN","KOR","KGZ","LVA","MYS","MEX","NLD","NOR","PAN","PHL","POL","RUS","SAU","IND","SGP","SVK","ZAF","ESP","SWE","CHE","THA","TTO","ARE","UKR","EGY","GBR","USA","LUX","VEN","HRV","IRN","JOR","NZL","ROU","BLR","DZA","CMR","MDG","NGA","SVN","SCG","KHM","PRT","TUN","TUR","LKA","PAK","VNM","ECU","LTU","KEN","NPL","BRN","MDV","ZWE","CUB","GRD","UZB","SDN","KWT","ARG","BHS","BRB","BLZ","CHL","COL","DOM","SLV","GHA","HND","JAM","ANT","PER"
"HKG",0,0,0,0,0,0,58.618,0,0,0,0,0,0,0,0,0,0.691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.354,2.038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HUN",0,0,0,0,0,0,0,0,0,0,0,0,90.362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IDN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISR",0,0,0,0,0,0,0,0,0,0,0,12.497,0,0,0,0,0,22.462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ITA",0,0,0,0,1.061,0,0,55.998,0,0,0,305.019,29.885,0,454.029,0,0,0,0,0,13527.298,1955.543,0,0,9878.173,0,0,0,0,0,0,39.085,0,0,0.848,0,0,0,0,18.214,0,0,0,0,0,26.907,22267.15,0,30,3.513,0,0,0,18,0,0,0,0,0,0,0,0,0.809,1.273,107.743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JPN",5593.507,0,43.086,0,1.061,0.737,3413.075,3.904,4662.868,0,3607.053,2218.137,959.578,7.508,0,0,3769.622,66.135,0,586.891,0,19079.616,0,0,73717.8,0,1744.584,195,0,1.906,0,120.518,0,0,49.169,0,645.197,3.117,2603.666,40.617,17.645,0,0,246.19,0,14103.372,21485.142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KOR",0,0,0,0,0,0,21.998,46.054,0,0,0,0,18.826,0,0,0,1.833,0,0,638.616,1782.077,0,0,0,0,0,0,98.838,0,0,0,0,6.391,74.385,0,0,0,0,0,0,0,0,0,60.686,0,96.274,3307.596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.718,1.169,4.627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KGZ",0,0,0,0,0,0,0,43.079,0,0,0,0,0,0,0,0,0,0,0,0,4.649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LVA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MYS",0,0,0,0,0,0,0,0,0,0,0,0,5.443,0,0,0,11.508,0,0,12.34,4.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.138,0,0,0,0,0,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MEX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.373,0,0,0,0,0,0,0,0,0,0,0,17.771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NLD",2.387,0,0,0,0,0,0,0,0,0,0,114.265,0,0,0,0,0,0.672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.637,0,0,0,0,30.189,0,0,0,0,0,0,1.366,0,6.413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
