"AFG","ALB","ASM","AND","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BTN","BOL","BIH","BWA","BRA","BLZ","VGB","BRN","BGR","MMR","BLR","KHM","CMR","CAN","CPV","CYM","CAF","LKA","CHL","CHN","CXR","CCK","COL","COG","COD","CRI","HRV","CUB","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","GNQ","ETH","EST","FJI","FIN","FRA","PYF","GAB","GEO","GMB","DEU","GHA","GIB","KIR","GRC","GRD","GUM","GTM","GUY","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LVA","LBR","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MNE","MAR","MOZ","OMN","NAM","NLD","ANT","ABW","NCL","NZL","NIC","NER","NGA","NOR","FSM","MHL","PAK","PAN","PNG","PRY","PER","PHL","PCN","POL","PRT","GNB","TLS","QAT","ROU","RUS","RWA","KNA","LCA","SMR","STP","SAU","SEN","SRB","SYC","SLE","IND","SGP","SVK","VNM","SVN","ZAF","ZWE","ESP","SDN","SUR","SWZ","SWE","CHE","TJK","THA","TGO","TON","TTO","ARE","TUN","TUR","TCA","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","VEN","WSM","YEM","ZMB","SLB","COK","LBY","NRU","VUT","SYR","DZA","AZE","PSE","IRQ","UZB","AGO","BDI","GIN","SOM","TCD","NPL","ATG","COM","MYT","ERI","DJI","PLW","GRL","MSR","ATF","LSO","NIU","AIA","SPM","VCT","TKM","TUV","WLF","SHN","FLK","BMU"
"BRN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGR",0,0,0,0,0,0,3.146,0,0,0,0,0,0,0,0,0.063,0,0,0,0,0,0,0,0.4,0,0,10.77,0,0,0,0,0,8.834,0,0,0,0,0,0,3.729,0,0,1.198,0,88.969,0,0,0,0,0,0,0,0,0,170.511,0,0,0,0,1976.37,0,0,0,760.25,0,0,0,0,0,0,4.155,0,0,0,0,0,0,66.293,0,0,0,0,0,0,0,0.208,0,0,0,0,0,0,1.006,0,0,0,0,483.902,0,0,0,0,0,3.461,0,0.463,0,0,0,0,0,10.397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.98,0.161,0,0,0,0,0,0,0,16.52,0,0,0.252,0.414,0,0,0,0.369,0,102.612,0,0,0,0,21.024,0,0,0,0,0,0,0,63.888,0,0,0.223,1.158,0,0,0,38.842,0,0,0,0,0,0,0,0,0,0,0,0,41.975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMR",0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLR",0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,0,0,0,0,0,0,0,0,0,0.146,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.879,0,0,4.747,0.4,0,0,0,0,0,0,0,0,0,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.524,0,0,0,0,1.676,0.7,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0.109,0,0.1,0,0,0,24.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KHM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CMR",0,0,0,0,0,0,0.001,0,0,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN",3.525,0,0,0,4.706,125.968,176.871,0.085,0,445.204,0,12.181,1226.729,0,0,0,3.586,294.794,0,0,0,1.052,0,0,0,0,0,0,0,0,0.162,104.35,4040.375,0,0,2.692,1.807,0,0.352,19.488,2.512,7.719,23.51,0.11,10.213,0,0,0,2.658,0,0,10.225,0,338.131,1463.655,0,0,0,0,18841.577,12.169,0,0,0.042,0,0,0,0.118,0.069,0,812.475,67.102,0.129,22.037,0,26.017,779.186,781.947,0,0.177,849.535,0.017,0,0,0,422.472,0,0,0,0,3.741,253.807,0,4.595,0.03,0,0,146.925,4.786,0,4.475,0,0,920.498,1.55,0,0,1.139,2.998,2.017,0,35.218,18.193,0,0,117.47,0,0,3.013,50.455,0,0,46.589,0.339,0,0.149,0.624,5627.471,0,2.253,14.94,0,0,0,3.009,40.458,0,0,0,0,0,2.309,0,3.095,0,0,158.797,333.336,0.311,3.861,25.428,166.471,0,3668.603,0,0,26.355,1032.995,970.394,0,26.367,0,0,1.691,15.054,60.196,24.395,0,32.859,0.002,0,0,5647.526,0.735,46559.11,0,0,3.452,0,0,0,0,0,0,0,0,0,45.556,0,0,0.04,0,0,0,0,0,2.827,0.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CPV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LKA",0,0,0,0,0,193.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.255,0,0,0,0,0,0.197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.499,0,0,0,0,288.807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.219,6.797,0,0,0,0,0,0.126,0,0,0,0,16.335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHL",0,0,0,0,0.219,0,0,0,0,0,0,0,5.278,0,1.078,0,0,8.827,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0.848,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,5.779,0,0,0,0,1.218,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155,1.045,0,0,0,0.763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161,0,0,0,0,0.191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.148,0,0.026,0.449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN",334.423,0,0,0.254,1732.205,18621.864,9244.225,37.887,16.26,36.527,7.121,4.085,233021.826,6.034,523.885,96.022,0.78,12792.452,0.27,0,2.259,1745.132,213.058,138.631,603.746,0.165,28168.413,0,0,0,73.317,414.116,0,0,0,1109.613,3.193,0,99.208,4272.801,6.114,315.541,7392.451,52.496,1449.553,42.86,174.485,293.434,18.552,0,152.154,262.244,13.685,2221.895,99386.776,6.296,0,24.661,9.138,1505931.065,288.449,0,0,1121.451,0,0,103.829,1.891,151.372,243.658,621064.399,10625.775,103.391,8811.418,2024.537,1069.435,2115.204,219396.014,29.449,65.107,272540.655,1125.466,329.24,2837.156,113.25,252441.841,351.264,2.683,206.708,52.483,173.773,0,1115.166,39.423,859.47,26.456,141.069,25701.954,1.962,645.505,18.006,0,4.767,2195.019,4380.633,29.604,2.838,981.627,65.651,56.184,19.137,153142.111,3.326,0,17.199,2050.26,726.545,12.427,2761.076,483.207,0,0,1647.877,2201.042,0,15.598,372.53,2386.445,0,7664.913,4363.316,0,0,8.197,1050.652,4926.345,6.701,12.505,0,0,0,306.486,428.526,301.906,0,8.64,16048.387,59920.666,796.346,609.517,1265.635,8017.286,221.153,1341860.11,0.563,0,0,4309.429,1559.321,0,16119.611,162.7,0,31.329,539.866,26.096,6822.688,0,652.155,579.539,31.053,314.994,22252.857,612.679,295387.616,145.517,120.494,197.76,0,0.979,35.988,22.74,0,3.049,0,0,128.419,558.204,2.83,0.4,9.998,93.01,2430.871,1.169,9.77,0,1.035,800.897,0.134,4.015,2.685,21.05,71.132,16.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CXR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107,0.51,0,0,0,0,0,9.482,0,0,0,0,0,0,0,19.6,0.01,2.596,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0.75,0,0.602,3.784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.757,0,0,1.686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.382,0,0,0,0,1.737,0,0,0,0,0,0,0,0,0,0,1.08,0,0,34.549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CRI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.843,0,0,0,0,0,1.019,0,0,2.662,0,0,0,0,5.293,0,0,0,2.393,0,0,0,3.902,0,0,0,0,0.075,2.745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19,30.856,3,0,0,0,0,0,0,0,5.822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239.313,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,5.025,0,0,0,0,0,2.768,0,0,0,0,0.162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.858,0,0,0,0,0,0,0,0,0,0,0,0,0,10.224,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HRV",0,0,0,0,0,22.345,107.077,0,0,0,0,0,0,0,0,56.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.874,0,0,0,0,0,0,0,0,0,0.131,0,129.127,0,0,0,0,0,0,0,0,0,95.793,0,0,0,0,54.98,0,0,0,1.652,0,0,0,0,0,0,0,246.808,0,0,0,300.216,0,15595.076,0,0,0,0,0,108.906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.417,0,0,0,1.761,0,0,9.348,37.27,0,0,0,7.706,0,0,0,1.813,0,0,0,0,0,0,0,0,0,0,0,0,0,1.333,0,0,0,0,0.215,0,0,0,0,0,0,0,0,155.004,0,0,43.286,0,0,0,142.481,139.723,0,6.832,0,0,0,0,55.439,0,0,0,0,0,17.885,0,0,0,0,0,0.704,0,1.306,4.745,51.942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CUB",0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228.605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58814.784,0,0,0,188.406,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.766,0,12004.081,0,0,0,0,0.174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.227,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZE",0,0,0,0.387,0,208.334,1565.327,0,0,0.196,0.303,0,44564.754,0,0,10.794,0,7.765,0,0.397,0,19.896,0,1.9,0,0,28.799,0,0,0,0,0,33.105,0,0,0.669,0,0,0.646,68.607,0,0,0,0,10.464,0,0,0,0.808,0,0.36,191.501,0,155.636,402.201,0,0,3.09,0,258558.568,0,0,0,14.042,0,0,0,0,0,0,43.806,2235.883,2.705,0.373,6.13,0.915,23.504,7806.911,0,0,282.748,3.746,0,0,0,42.1,0,0,0,0,5.027,0,12.187,0.932,0.499,0,0,27.232,0,0,0,0,0,13.416,0,0.462,0,0.089,0,0,0,451.162,0,0,0,2.943,0,0,0,20.253,0,0,0,0,0,0,0,1.449,0,756.568,84.542,0,0,0.102,3.526,224.02,0,0,0,0,0,0,0,48.492,0,0,2.53,10.752,1733.614,0.775,10.387,36.738,0,3240.274,0,0.395,0,110.104,98.744,0,16.891,0,0,0,0.131,0.153,69.082,0,0,14.972,1.787,1.747,935.473,0,137.841,0,0,0.061,0,0,0,0,0,0,0,0,0,0,2.081,0,0,0.678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNK",194.663,0,0,0,14.657,266.832,1081.945,0,1.109,0.151,0,0,30.241,0,0,2.915,0,5.349,0,0,0,0.215,0,0.1,0,0,59.528,0,0,8.641,0.825,13.727,262.47,0,0,0,0,0,0,4.767,0,0.282,471.739,0,0,0,13.518,14.514,0,0,4.431,2.161,0,834.956,338.353,0,0,0,3.54,42701.083,0.505,0,0,12.922,0,0,0,386.939,0,0,307.458,27.679,120.497,0,12.503,91.138,88.671,574.069,0,0,32.69,0.174,3.599,0,0,49.108,0,0,0,2.877,0.06,0,231.072,2.097,0,0,0,6.669,0,0,69.753,0,0,72.568,0,0,0,7.662,31.615,0,0,488.97,0,0,0,31.741,0,0,0,83.247,0,0,6.486,0,0,0,0.114,0,0,607.719,5.614,0,0,0,0.714,3.338,0,0,0,0,0,9.15,0,23.561,0,0,67.061,36.958,0.997,0.289,11.131,18.274,0,1955.694,0,0,0,5102.151,72.232,0,35.141,0,0,4.49,33.534,12.106,36.234,0,249.581,0.488,2.994,2.395,263.47,0,622.836,0,0,115.551,0,0,0,0,0,40.55,0,0,0,33.329,0,0,0,0,1.719,0,0,0,0,0,0,0,0,0,0,0,188.545,0,0,0,0,0,0,0,0,0,0,0,0,0
"DMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.481,0,0,0,0,0,0,0,0,0,0,0,0
