"AUS","AUT","BHR","ARM","BEL","BWA","BRA","BGR","MMR","BLR","CMR","CAN","LKA","CHN","COL","CYP","CZE","DNK","FIN","FRA","DEU","GRC","HKG","HUN","ISL","IDN","IRN","IRL","ISR","ITA","JPN","KAZ","JOR","KOR","KWT","KGZ","MYS","MLT","OMN","NAM","NLD","NZL","NGA","NOR","PHL","POL","PRT","ROU","RUS","SAU","IND","SGP","SVK","VNM","SVN","ZAF","ESP","SWZ","SWE","CHE","SYR","THA","TTO","ARE","TUR","UGA","UKR","EGY","GBR","TZA","USA","ZMB","PNG","LTU","ZWE","DZA","LUX","ALB","CUB","BGD","SYC","ATG","BIH","ECU","ETH","PRK","LAO","MEX","PAK","SRB","UZB","YEM","NIC","GHA","TUN","HRV","SLV","LBN","LVA","MUS","PAN","ARG","KHM","VEN","IRQ","QAT","NPL","AGO","FJI","KEN","LSO","MOZ","GRD","AFG","GMB","RWA","SDN","EST","MDA","AZE","BHS","BRB","BLZ","CHL","CRI","DOM","GNQ","GTM","HND","CIV","JAM","MDG","PER","SHN","KNA","LCA","COD"
"CMR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN",0,7.54,0,0,10.599,0,0,0,0,0,0,0,0,1071.826,0.076,0,0,0,0.023,0.055,278.95,0,0,0,0,0,0,0,0,0,0,0,0,198.415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.306,0,0,0,0,0.517,0,0,0,0,0,0,0,0,0,0,0,0.69,0,569.153,0,0,0,0,0,0,0.257,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LKA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.069,0.091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN",770.432,22.913,112.162,0,902.342,2.192,1.638,0,0.031,0,0,12.978,0.311,0,0,0,264.312,51.656,0,61.429,1100.115,0,3172.169,7.08,0,128.373,0,0,3.6,53.203,88048.989,284.199,0.235,6587.485,0,0,14107.904,0,0,0,0,1.558,0,750.148,807.547,0.188,0,0,930.363,316.534,16946.741,2492.246,0,22.235,0,273.722,0,0,0,1060.548,0,2755.571,0,466.346,0,0,0,0,177.99,0,4892.842,4.509,0.645,0,0,26.685,0,0.352,0,29.502,0.84,0.067,183.861,47.357,8.121,10.37,4.888,34.508,51.359,1.135,4.2,0.729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP",0,0,0,0,0,0,0,0,0,0,0,0,0,2.057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZE",0,0,0,0,0,0,0,0,0,0,0,0,0,585.762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.714,533.108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.202,0,0,48.145,0,17.027,0,118.549,0,0,0,0,0,0,0,0,0,0,0,0,0,120.053,0,0,0,0,0,0,68.634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNK",1298.567,0,0,0,0,0,0,0,0,0,0,0,0,243.654,0,0,874.52,0,0,102.087,215.024,0,0,0,0,0,0,0,0,0,83.253,0,0,551.688,0,0,0,0,0,0,0,0,0,2211.343,0,10529.6,0,0,83.434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,903.577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FIN",0,0,0,0,0,0,0,0,0,0,0,0,0,5523.315,0,0,0,0,0,275.65,0,0,0,0,0,0,0,0,0,0,15876.044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.14,0,0.096,0,0,0,0,0,0,0,0,19.174,0,0,0,0,0,0,0,0,0,0,1462.536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRA",0,28.175,0,0,55.838,0,0,0,0,0,3.24,1.445,0,21.92,0,0,0,0,7.715,0,54.097,0,0,12.074,0,0,0,0,1.286,548.036,1283.911,0,0,22.774,0,0,3.91,0,0,0,14.639,0,0,0,0,0,0,3.923,12.928,761.868,241.323,13.754,0,0,0,0,1.974,0,0.295,14.612,0,0,0,1.117,4.596,0,0,0,766.697,0,40.135,0,0,3.169,0,0.602,0,0,0,0,0,0,0,0,0,0,0,3.462,0,0,0,0,0,0,2.597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEU",0.673,39.133,10.644,0,48.177,0,4.149,59.749,0,0,0,210.073,0,755817.644,0,4.62,6777.167,4059.858,9192.484,662.266,0,0,6723.638,0.15,0,0,0,0,30.916,345.823,198219.323,7.5,6.089,220608.477,0,3.645,11027.016,0,0,0.04,983.99,3.368,0,37761.325,0,2071.535,0,62.753,927.343,11.107,14.841,146355.242,0.227,0,0.131,2.897,9.763,0,139.985,1278.729,0,64.668,0,0.011,2.843,0,3986.688,2.03,56279.991,0,97610.479,0,0,0,0,0,0.172,1.413,0,23.764,0,0,0,0,0,0,0,0.54,0,0,0,0.274,0,0,0,0.142,0.061,4.119,5.042,5.469,36.226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HKG",0,0,0,0,0.35,13.917,0,0,0,0,0,0,0,5459.438,0,0,0,0,0,0.13,1294.946,0,0,0,0,0,0,0,0,0,51.615,0,0,833.452,0,0,0,0.413,0,0,0.285,1.656,0,0,0,0,0,18.457,0,0,218.501,1.493,0,0.605,0,460.875,0,0,0,0,0,0,0,0,214.08,0,0,0,0,0,12.368,1.906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.572,4.025,95.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HUN",0,3.653,0,0,7.928,0,0,0,0,0,0,0,0,2.946,0,0,6.799,0,0,5.748,0.326,0,0,0,0,0,0,0,0.162,10.277,3.387,0,0,9.727,0,0,3.774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.858,0,10.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IDN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISR",0,0,0,0,0.073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ITA",0,0,1.537,0,0,0,6.045,0,0,118.08,0,0,0,1542.401,0,0,0,0,0,1.286,0.274,0,2.544,0,0,13.683,0,0,0,0,0,0,0,1676.035,0,0,35242.305,55.853,0,0,0,0,0,0,0,320.031,0,336.86,0,0,226.741,0,9.653,0,0,0,310.397,0,0,53.817,0,0,0,0,0,0,0.438,0,630.363,0.31,957.966,1.148,0,0,0,0,0,0,0,0,0,0,0.171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JPN",6683.206,181.353,0,0,2375.97,0,30.317,0,0,0,0,4.671,0,69827.252,0,0,366.665,0,6699.932,719.249,12711.211,0,7249.57,0.722,0,16020.853,0,0,0,11404.843,0,0,0,93592.364,0,0,49710.37,0,0,0,1788.439,0,0,1038.088,6.928,2.378,0,0,0.065,0,45.658,19416.014,0,4.07,1.644,1199.764,0.191,0,0,203.589,0,116.883,0,0,0,0,377.163,0,25815.852,0,15037.877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KAZ",0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JOR",0,0,14.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.969,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KOR",0,0,1.71,0,0,0,0,0,0,0,0,6.738,0,439542.737,0,0,0,465.783,0,1235.244,38539.211,0,2012.959,1.154,0,3.272,0,0,0.116,2120.362,91313.826,0,0,0,0.931,0,4015.292,0,0,0,95.199,0,0,0,81694.841,0,0,0,0,340.534,135.406,110.049,0,0,0,0,0,0,0,183.076,0,6.996,0,0,0,0,0,0,0,0,15555.44,0,0.324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
