"AUS","AUT","BEL","BIH","BRA","BGR","BLR","CAN","CHN","COL","HRV","CYP","CZE","DNK","EST","FIN","FRA","DEU","GRC","GTM","HKG","HUN","ISL","IDN","IRL","ISR","ITA","JPN","JOR","KEN","KOR","KGZ","LAO","LVA","LTU","LUX","MYS","MEX","NAM","NLD","NOR","POL","PRT","ROU","RUS","SRB","IND","SGP","SVK","VNM","SVN","ZAF","ESP","SWE","CHE","THA","ARE","TUR","UGA","UKR","EGY","GBR","USA","ZMB","NZL","MUS","MHL","KHM","LKA","CHL","ETH","MWI","NGA","PHL","UZB","SAU","ARG","MMR","BDI","KWT","LBN","MLI","MAR","NCL","AFG","KAZ","MLT","OMN","HND","NIC","QAT","PER","BES","ALB","BRN","BWA","MOZ","ZWE","SWZ","CUB","DZA","IRQ","SEN","SDN","AZE","COD","DJI","BRB","BMU","CRI","DOM","GUY"
"CYP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZE",0,0.015,0,0,0,0,0,0,0.998,0,0,0,0,0,0,0,0,0.234,0,0,0,14.134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0.654,0,0,13.774,0,0,0,0.336,0,0,0,0,0,0,0,0,0,0,40.463,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNK",5429.021,4.971,0,0,0,0,12.9,0.967,3053.074,0,0,0,1370.943,0,0,0,0,57.018,0,0,0,0,0,0,0,0,301.1,10197.425,0,0,3.946,0,0,92.492,0,0,0,0,0,0.673,1.237,0,0,0,17.182,0,0,0,0,0,0,0,0,0,5.878,0.453,0,0,0,73.422,0,0,808.771,0,0,0,0,0,0,0,0,0,0,0,0,62.985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EST",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FIN",135.99,0,0,0,0,0,0,0,788.316,0,0,0,0,0,0,0,0.337,0,0,0,0,0,0,0,0,0,0,2050.44,0,0,0,0,0,0,0,0,0,0,0,0.392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRA",3.367,18.892,0.929,0,3.432,19.606,0,0,54.441,0,0,0,0,0,0,0,0,711.27,0.008,0,1.859,20.407,0,0,0,2.043,45.075,15.672,0,0,4.852,0,0,0,0,0,11.094,0,0,24.754,1.191,0.024,0,0,2.402,2.087,11.217,0,0.016,0,0,0.043,157.487,0,4.768,0,5.267,29.19,0,0,0,13.58,5.784,0,0,0,0,0,0,0,0,0,0,0,0,0,1.287,0.083,0.411,24.703,25.111,6.289,7.519,2.042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEU",719.96,886.815,15.962,0,1.263,0,0,10.151,446982.646,0,0.114,0,1734.198,4091.207,7.769,4091.497,146.182,0,0,0,317.577,11.311,0,0,0,0,13517.708,93893.636,0,0,57064.584,0,0,0,11.39,2.343,2.661,0,0,145.054,6190.78,3.393,0.792,0.78,8799.69,0.021,16.289,96030.887,1.134,6.391,0.626,0.871,154.696,71.844,1510.147,190.054,0,7848.355,0,267.195,0,150.487,32958.886,0,0,0,0,0,0,5.023,0,0,0,0,54.557,1.079,0,0,0,0,0,0,0,0,1.143,0.665,0.001,50.982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GTM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.302,0.592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HKG",0,0,0,0,40.333,0,0,0,286.423,0,0.539,0,0,26.317,0,0,0,5.063,0,0,0,55.21,0,0,0,6,0,0,0,0,0.038,0,0,0,0,0,0,0,0,0.248,0,0,0,0,738.701,0,654.627,190.545,0,6.028,0,0,0,0,26.384,0,0,0,0,0,0,0,7.609,0,0,0,0,0,0,0,0,0,222.962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HUN",0,0,0,0,0,0,0,0,24.312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.021,0,10.058,0,0,0,0,0,0,0,0,0,0,0,0.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.977,12.88,33.139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IDN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.655,0,0,0,0,0,0,0,0,0,0,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRL",0,0,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISR",0,0,0,0,0,0,0,0,0.035,0,0,0,0,0,0,0,0,19.196,0,0,0,0,0,0,0,0,0,0,0,0,35.857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ITA",0,0,0,0,0,0,0,0,1558.245,0,0,0,0,0,0,0,0.013,2.022,0,0,0,0,0,0,0,0,0,149.028,0,0,1051.635,0,0,0,0,0,22725.293,0,0,1.066,0,465.856,0,39.528,0,0,0,0,0,0,0,0,1.228,0,11.607,0,0,0,0,0,1.966,0.006,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JPN",10919.523,5.709,5388.863,0,1.94,0,9.1,2.911,50677.648,0,0,0,4.384,18,0,514.297,3.432,654.832,0,0,775.953,0.015,0,15509.356,0,167.332,478.005,0,0,0,57044.172,0,0,0,0,0,23648.268,0,0,0,21.666,15.75,0,0,1153.348,0,84.252,306.354,0,481.888,0,2667.426,0,0,0,111.569,0,0.443,0,0,0,18399.103,11484.11,0,0,0,0,0,0,0,0.172,0,0,2.589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JOR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
