"AFG","ALB","DZA","ASM","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BMU","BIH","BWA","BRA","BLZ","VGB","BRN","BGR","MMR","BLR","KHM","CMR","CAN","CPV","CAF","LKA","CHL","CHN","CCK","COL","MYT","COG","COD","COK","CRI","HRV","CUB","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","ETH","EST","FJI","FIN","FRA","PYF","DJI","GAB","GEO","GMB","DEU","GHA","GIB","GRC","GRD","GTM","GIN","HND","HKG","HUN","ISL","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LBN","LVA","LTU","LUX","MAC","MDG","MWI","MYS","MLI","MLT","MUS","MEX","MNG","MDA","MNE","MSR","MAR","MOZ","OMN","NAM","NRU","NPL","NLD","ANT","ABW","NCL","VUT","NZL","NIC","NER","NGA","NFK","NOR","MNP","FSM","MHL","PAK","PAN","PNG","PER","PHL","PCN","POL","PRT","QAT","ROU","RUS","RWA","LCA","VCT","SMR","SAU","SEN","SRB","SYC","IND","SGP","SVK","VNM","SVN","ZAF","ZWE","ESP","SUR","SWZ","SWE","CHE","SYR","TJK","THA","TGO","TTO","ARE","TUN","TUR","TCA","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","VEN","WLF","WSM","YEM","ZMB","BOL","HTI","PRY","SLB","KIR","LBY","MDV","PLW","TLS","SDN","TON","MRT","BDI","SLE","BTN","COM","GUY","LBR","SPM","TKM","TCD","GNQ","PSE","GRL","LAO","LSO","KNA","UZB","GNB","ERI","ATF","SOM","CYM","STP","GUM","SHN","FLK","AIA"
"BRA",0,0.094,1.398,0,0,29.011,0,0,56.72,0.855,0.215,0,0.506,0,0,0.372,4.928,0,0,0,0,0,0,0,0,0,1,0,0,3.276,0,0,0,173.169,327.715,0,39.027,0,0,0,0,4.1,0.494,2.19,0,0,0,0.204,0,4.957,11.879,9.915,0,0,0,0.008,91.653,0,0,0,0,0,48.673,0,0,0,0,11.059,0,5.257,94.148,8,0,4.809,0,0,2.988,0,5.356,0,0,0,0,0,15.453,0,29.972,0.059,0,0,0,0,0,0,0,2.638,0.356,0,0,0,87.227,0,0,0,0,0.311,0.324,0,0,0,0,77.046,0,0.223,0,0,0,1.002,0,4.89,0,0,0,0,0,0,3.24,0,19.856,1.934,0,3.317,13.906,0,0,0.432,0,0,0,0,0,0,0.139,0,25.041,27.53,0.017,0.115,0,19.712,0,5.854,0.669,0,30.604,4.847,0.172,0,0.459,0,0,7.142,0.721,0,0,0,0,1.236,0.928,0.84,0,305.883,0,6.507,20.525,0,0,0,0,11.327,0.139,24.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VGB",0,0,0,0,0,0,0,0,0,14.044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225.131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184,0,0,733.571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGR",0,0,0,0,0,0,0,0,0,4.021,112.183,0,0,0,0,0,34.229,0,0.365,0,3.011,0,0,0,0,0,4.2,0,0,0.038,0,0,0,1.109,129.89,0,0,0,0,0,0,0,12.171,0,0,1037.231,0,136.59,0,0.419,0,0,0,0,0,0,48.107,0,0,0,0.113,0,40.943,0,0,3613.194,0,0,0,0.348,32.089,0,0,0,0.08,0,0,1.151,3422.451,0,0,18.772,0,0,0,0,16.954,0,0,0,0,0,0,0,0,0,4.569,0,0,0,3.775,0,1.745,8.441,0,15.876,0,0,0,0,0,33.566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.754,241.416,0,42.756,0.159,0,0,0,0,0,0,74.93,0,0,0,1.475,0,48,0,0,874.485,0,0,1.948,9.062,0,0,0,0,0,0.22,0,62.368,0,0,2.699,21.026,0.422,123.447,0,18.318,0,0,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMR",0,0,0,0,0,0,0,0,0,0,4.316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0,0.831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.1,0,0,0,1.264,0,0,0,4.4,0,0,0,0,0,0,0,0,0,0.155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.535,0,0,3.2,0,0,0,101.3,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,1.436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KHM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CMR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.473,0,0,0,0,0,0,0,0,0,0,0,0,3.599,0,0,0,0,0.314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0.795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN",0.248,0,0.209,0,0,6.269,0,0,4.279,2973.66,531.815,0,0,0.651,2.374,6.578,77.185,2.429,0,0,82.635,0.385,0,0,0.444,0,10.8,12.627,0,0,0,0,35.455,115.446,4122.548,0,13.402,0,0,0,0,303.843,10.659,3.252,1.484,325.933,0,110.754,0,215.518,27.994,29.416,0,1.216,1.517,750.16,2588.341,0.019,0,0,0,2.016,9670.045,31.221,0,126.327,0,46.629,13.153,0,1308.423,5.445,0.025,6.388,0,4.506,5.148,1100.049,1767.871,0.012,30.975,829.639,31.938,4.057,1927.972,0,731.511,31.962,0.457,1.161,3.714,12.435,45.725,0,5.178,0.004,365.346,0,1.899,0,382.172,0.333,0.763,0.201,0,0.747,0,0.299,0,0,0,656.88,2.8,0,0,0.26,387.411,0,0,26.384,0,10.147,0,0,0,132.303,34.949,0,31.339,5398.405,0,411.968,319.582,18.127,2.723,122.166,0,0,4.89,0,44.195,0.806,1.719,0,260.333,214.386,14.748,12.029,34.658,224.149,0,1679.991,0,20.138,1175.962,2243.079,0,0,113.875,0,1.658,119.088,14.508,58.676,0,6.841,57.331,2.019,9.958,5347.105,0.087,43712.168,15.662,15.352,2.809,0,0,0,0,0.993,22.772,0,27.066,0,516.371,0.001,0,0,0,0,0,0,0,0.164,8.16,6.671,906.614,0.119,3.919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CPV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195.674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LKA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199,0,0,0,0,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.064,0,0,0,0,0,0,0,0,0,0,0.393,0,0,0,0,0,0,0,0.314,0,0,0,0,3.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0.731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.716,0,0,0,0,0,0,0,0,0,0,0,0,0,11.953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHL",0,0,0,0,0,0,0,0,1.773,0,1.167,0,0,0,0,0,0,0,0,0,0.032,0,0,0,0,0,0,0,0,50.152,0,0,0,0,0,0,0.555,0,0,0,0,3,0,0,0,0,0,0,0,0.793,4.816,0,0,0,0,0,0,0,0,0,0,0,0.519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,19.368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,13.073,0,0.45,0,0,0.139,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,7.169,0,3.919,0,0.028,1.888,0,0,0,0,20.455,0,0.219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN",2033.879,3885.652,168.221,0,0.239,90.606,4.173,36.964,3922.043,783722.718,34901.025,0,37.736,24625.237,50.013,16.324,692809.325,9.791,263.244,18616.467,57467.635,3.679,0,13.11,9364.464,3709.424,1405.873,1840.844,584.642,192083.015,15.362,3.465,174.355,2002.315,0,0,4621.701,0,468.659,133.397,0,126.911,1805.922,1864.977,4924.302,1674517.334,418.959,9945.524,48.588,875.395,879.244,270.569,129.801,159.364,103.427,5663.484,668132.979,11265.864,5271.277,71.473,176.863,153.657,7944775.912,952.63,0,92390.754,40.457,349.252,1184.178,422.618,1534075.709,15328.707,51.713,13453.367,8540.05,716.286,1187.665,81326.438,4606428.021,130.575,61.408,619958.1,2269.328,563.07,6581.071,1069.042,628477.014,98.242,713.416,130.603,66.457,220.128,23908.951,2309.236,465.24,37.953,31182.47,2534.748,2565.882,39.387,35106.131,488.693,101.325,47.819,0,3700.907,598.676,13.043,57.172,0,3010.726,2969425.713,66.715,0.049,196.329,67.256,4642.729,840.94,12.152,11763.504,0,3982.491,0,0,0,5164.679,698.968,180.146,3573.346,10327.96,0,62338.979,21497.102,107.335,2556.925,7401.123,228.668,0.25,4.242,4318.458,1464.08,1746.39,637.821,0,96066.003,70781.76,25076.606,14817.775,89806.057,32886.245,1603.206,644658.425,54.744,26.38,54324.559,31490.643,131.683,382.785,32784.144,871.936,60.246,18456.355,1037.816,14737.839,0,4800.469,38491.436,115.308,283.081,69056.773,2315.184,1433706.745,80.798,1820.215,1837.668,0,0,35.524,249.508,127.081,121.788,303.601,444.165,6.071,13.55,29.145,85.864,75.073,2134.104,0,292.515,51.583,0.96,0,105.28,2923.94,38.028,0,0,93.276,1.04,32.752,11.91,432.233,7.246,0.003,59.747,0,0,0,0,0,0,0,0,0,0
"CCK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COL",0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0.089,0,0,0,0.197,0,0,0,0,0,0,0,0,0,0,0,0,0.087,0,0,0,0,0,0,0,4.798,0,0,0.478,0,0,0,0,0,11.637,43.272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46,0,0,0,0,0,0,0,0,2.031,0,32.992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.752,0,0,21.959,0,0,0,0,0.139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MYT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290.279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG",0,0,0,0,0,4.793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CRI",0,0,0,0,0,0,0,0,0.036,1.191,0.115,0,0,0,0,0,0.057,0,0,0,0,0,0,0,0,0,0,0,0,102.171,0,0,0,0.378,305.437,0,3.074,0,0,0,0,0,0,0,0,0.746,0,0,0,0.042,0,2.688,0,0,0,0,0,0,0,0,0,0,243.318,0,0,0,0,3.157,0,0.078,0,0,0,0,0,0,0.007,0,0,0,0,5.597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.822,0,0,0,154.516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068,1.667,0,0,0,1.767,0,0,0,0,2.311,0,0.204,0,0,0.054,0,0,0.183,0.073,0,0,0,0,0,0,0,0,0.063,0,0,0,0,0,0,0,0,0,0,0.237,0,0,19.726,0,0,0,0,0,0,0,0,0,0,0,0,25.471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HRV",0,0.288,0,0,0,0,0,0,0,1.382,430.005,0,0,28.25,0,0,0.132,0,51.871,0,0,0,0,0,0,0,0,0,0,9.013,0,1.193,0,0,6.2,0,0,0,0,0,0,0,0,0,0,0,0,167.939,0,0,0,0,0,0.11,0,0,30.849,0,0,0,0,0,1640.472,0,0,0,0,0,0,0,11.749,2.709,0.485,0,82.84,0,263.751,0,119244.442,0,0,0,241.611,0,0,0,0,0,0,0,0,0.014,0,0,0,0,0,0,0,0,6.149,0,0,15.101,0,0,0,0,0,0,0,267.467,0,0,0,0,14.352,0,0,0,0,11.22,0,0,0,0,0,0,0,0,0,26.503,0,0,0,0,0,0,0,0,0,0,17.895,0,0,0,0,0,638.68,51.19,0,2.165,0,0,1.739,5.83,0,0,0,0,0,0,0,11.121,0,2.001,0.857,0.567,0,6.464,0,60.448,0,0,3.496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CUB",0,0,0,0,0,9.393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4767.925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP",0,0,0,0,0,0,0,0,0,0,162.604,0,0,0,0,0,0.261,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0.395,0,0,0,0,0,0,0,0,0,0,4106.515,0,0,0,0,0,0,0,0,0,0,4332.489,0,0,0,0,0,107517.262,0,0,31767.756,0,0,0,0,28.591,1,0,0,0,0,0,0,101185.184,0,0,0,0,0,0,0,0,0,0,0.53,0,0,765.905,0,0,0,0,0,0,0,0,0,0,0,0,0.705,0,0,0,0,0,1882.43,0,0,0,0,0,0,0,0,0,1.941,0,0,0,0,0,0,0,0,0,0,0,0,0.313,0,0,0,0,0,0,0,0,0,0,0,0,0,114.266,0,0,25.235,0,0,0,0.521,0,0,0,0,0,0.94,0,0,0,0,0,0,3.182,0,0,3.085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZE",0,0,2.608,0,0,11.716,0,0.011,0.274,2738.752,319.745,0,0.004,0,1.578,0,5090.003,0,6.132,0,3.484,0,0,0,966.13,0,25.638,0,0,11.108,0,0,0,1.847,312.848,0,5.605,0,0.341,0,0,0.271,71.044,0,0.11,0,0,24.314,0,0,0,0.962,0,2.401,0,24.032,5242.472,0,0,0,2.043,0,866285.608,0,0,4.089,0,0,0,0,51.594,831.43,1.448,14.541,418.457,0,79.428,35.957,16060.365,0,0,752.164,30.57,0.704,115.838,0,33.205,4.624,0,0.07,11.668,0.426,238.929,0,0,0,0,0,0.002,0.213,18.882,0,3.707,0.02,0,7.181,0,0,0,0,0,254.633,0,0,8.96,0,4.465,0,0,1.407,0,4.411,0,0,0,2.47,0,0,0.718,2.744,0,858.342,14.314,26.471,101.197,139.362,0,0,0,0,0.25,0,15.395,43.557,334.474,21.02,58296.764,1.457,434.172,11.114,0,1321.2,0,0,4.713,256.292,0,0,2.979,0,0,2.245,12.45,49.435,0,0,59.774,0.321,3.56,148.29,6.003,674.929,0,0.115,0,0,0,0.512,9.209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
