"AUS","AUT","BHR","BEL","BRA","BGR","BLR","CAN","CHL","CHN","CYP","CZE","DNK","DOM","EST","FIN","FRA","DEU","GRC","HKG","IDN","IRN","IRL","ISR","ITA","JPN","KAZ","JOR","KEN","KOR","KGZ","LUX","MYS","MUS","MEX","MAR","NAM","NLD","NZL","NOR","PAK","PAN","PHL","POL","QAT","ROU","RUS","SAU","IND","SGP","SVK","VNM","SVN","ZAF","ESP","SWZ","SWE","CHE","THA","ARE","TUR","UKR","GBR","USA","PNG","LKA","KWT","MLT","MRT","NGA","LTU","ARG","BOL","ALB","BGD","BIH","PRK","SRB","DZA","GMB","MDG","HRV","GEO","ISL","LBN","PER","YEM","GHA","VEN","IRQ","COD","VUT","FSM","BRN","KHM","SYC","NIC","AGO","AZE","COK","WSM","LVA","GUY","SDN","BTN","ZWE","TZA","DJI","NPL","SLV","BWA","MWI","MOZ","ZMB","PRT","UGA","HUN","BHS","BRB","CAF","COL","CRI","ECU","GTM","HTI","HND","NRU","ANT"
"CYP",0,0,0,0,0,0,0,0,0,0,0,67.994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZE",0,0,0,0,0,75.743,28.719,0,0,161.028,0,0,11.8,0,0,0,107.977,127.735,0,0,0,0,0,0,0,174.521,0,0,0,0,0.038,0,0,0,0,0,0,0,0,41.17,0,0,0,369.955,0,0,397.363,0,0,0,118.44,0,0,0,4.002,0,0,154.601,0,447.876,0,10.882,113.041,37.327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNK",2261.144,0,0,0,0,0,0,0,0,830.907,0,748.479,0,0,0,0,0,0,0,0,0,0,0,0,342.328,817.921,0,0,0,1394.829,0,0,0,0,0,0,0,155.781,0,771.24,0,0,0,0,0.803,0,1.61,0,0,0,0,0,0.38,0.902,0,0,0,646.143,0,0,0,0,0,467.192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EST",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FIN",0,0,0,0,0,0,0,0,0,15.543,0,0,0,0,0,0,57.755,0,0,0,0,0,0,0,0,5782.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRA",0,166.655,0,38.247,0,43.937,2.511,5.021,0,23.7,0,49.075,0,0,0,0.57,0,94.151,0,0,0,0,1.255,0,129.851,2650.231,0,0,0,1.255,0,0,0,0,0,21.371,0,16.332,1.255,0,0,0,0,0,0,3.766,562.393,0,202.206,0,0,0,0,0.6,43.407,0,2.581,6.379,0,197.088,0,26.779,101.683,2829.039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.178,0.463,2.857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEU",895.166,1357.702,0,39.894,0,47.314,0,64.353,0,36412.533,2.504,3151.637,0,0,0,955.477,2109.32,0,0.242,0,5.28,0,6.642,2,1094.331,73835.474,0,0,0,3966.859,1260.86,319.979,18.77,1.435,0.555,2.621,0,665.838,0,5277.865,0,0,0,216.374,0,0,8186.009,0,34.131,43324.163,0,0,0,952.507,1925.028,0,37.497,5401.082,0,0,0,16331.017,0,75325.602,0,0,8.609,0,0,0,0,0,0,0.034,1.271,0,0,0,16.328,0,0,0.151,0.608,3.286,4.808,39.485,0.166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.992,0,0,0,2.182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HKG",0,0,0,0,0,0,0,0,0,10472.994,0,0,0,0,0,0,2.511,0,0,0,0,0,0,0,0,147.634,0,0,0,19.314,0,0,1.493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.153,42.478,0,0,0,0.103,0,0,0,0,0,0,0,1579.446,0,41.092,0,0,0,0,0,0,0,0,0,0,7.873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IDN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.104,0,0,0,0,0,0,3.466,0,0,0,0,0,0,0,0,0,0,0,1.419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRL",0,1.113,0,0,0,0,0,0,0,0,0,0.174,1.41,0,0,0,2.26,8.073,0,0,0,0,0,0,0,319.903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.757,0,0,0,0,0,0,0,0,0,0,0.367,0,0.656,0,0,0,5.925,0,0,1494.066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISR",0,0,0,0,0,0,0,0,0,87.051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
