"AFG","ALB","DZA","ASM","AND","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BMU","BOL","BIH","BWA","BRA","BLZ","BRN","BGR","MMR","BDI","BLR","KHM","CMR","CAN","CPV","CYM","LKA","TCD","CHL","CHN","COL","MYT","COG","COD","COK","CRI","HRV","CUB","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","ETH","EST","FJI","FIN","FRA","PYF","DJI","GAB","GEO","PSE","DEU","GHA","GIB","GRC","GRD","GUM","GTM","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","LAO","LBN","LVA","LBR","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MNE","MSR","MAR","MOZ","OMN","NAM","NPL","NLD","CUW","SXM","NCL","VUT","NZL","NIC","NER","NGA","NOR","FSM","MHL","PAK","PAN","PNG","PRY","PER","PHL","PCN","POL","PRT","TLS","QAT","ROU","RUS","RWA","LCA","SMR","STP","SAU","SEN","SRB","SYC","SLE","IND","SGP","SVK","VNM","SVN","ZAF","ZWE","ESP","SUR","SWZ","SWE","CHE","SYR","TJK","THA","TGO","ARE","TUN","TUR","TCA","TUV","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","WSM","YEM","ZMB","SLB","CAF","GMB","KIR","GRL","GUY","LBY","NRU","NFK","PLW","VCT","SDN","TTO","AGO","GIN","KGZ","GNQ","ABW","ERI","KNA","SPM","BTN","LSO","SOM","TON","TKM","WLF","ATF","GNB","COM","FLK","VGB","AIA","TKL"
"BRA",0,0.994,0.536,0,0,0,0,214.046,1.806,96.682,0.119,0,0,0,1.028,0.62,0,18.858,0,0,0,0,0,0,0,0,0,0,0.012,6.821,0.394,0,0,0,111.489,546.717,245.608,0,8.222,0,0,10.334,0,14.588,0,0.6,0,0.312,0,2.456,17.712,8.618,0,3.258,0,0,70.506,0,0,0,0,0,1017.03,1.238,0,0,0,0,11.457,0.328,4.955,14.9,207.05,0,19.366,0,0,0,0.202,31.07,1.2,0,84.055,0.257,0,0,0,146.058,0,0,0,0,0,0,0,0,0,0,217.889,0,0,0,0,0.389,48.539,0,0,0,0,1.143,0,0,0,0,119.704,0.059,0,0.5,0,0.471,10.722,0,1.723,0.377,0,0,3.998,5.427,0,28.658,30.08,0,0,1.857,10.449,0,0,10.299,1.784,0,0,0,0,0,0,0.369,0,0,4.853,0.99,2.462,6.742,0,1.905,0,12.756,1.092,0,10.995,13.412,0,0,1.058,0,2.419,0,0,0,0,0,0.349,0,0,0.349,0,281.787,0,33.743,0,90.365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,11.022,0,0,1.153,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRN",0,0,0,0,0,0,0,0,11.388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGR",0,3.663,0,0,0,0,0,0.085,0,1.907,0,0,0,0.418,0,271.111,0,0,1.428,0,2.034,0,0,0,0,0,2.31,0,0,1.385,0,0,0.434,0,0,0.459,0,0,0,0,0,0,32.017,0,7.67,497.416,0,33.567,0,0,0.139,0,0,0,0,0,134.576,0,0,0,0.396,0,3733.94,0,0,6971.844,0,0,0,0,0,10.964,88.43,0,0,0,0,0,0,3027.919,0,0,0,0.36,0,3.363,0,0.1,0,0,0,0,0,0.593,0.208,0,0,0,0.386,0,0,0.542,0,0,5.069,0,0.309,4.347,0,0.084,0,0.38,0,0,1658.062,0,0,0,0,0,0,0,0,3.084,0,0,0,0,0,0,0,0,0,3.015,226.987,0,0,401.073,6.28,0,0,0,0,1.332,0,84.96,0,0,1.962,1.814,1.973,0,62.438,0.393,0,91.795,0,0,1.85,25.587,0,0,0,0,0,24.339,37.96,0,0,0,9.428,60.881,0,1080.058,0,35.302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.351,0,0,0,0,0,0,0,0,0.367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLR",0,0,0,0,0,0,2.9,0.052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.6,0,0,0,0,0,11.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.502,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0,1,0,0,0,0,2.7,0,0,0,0,0,0,0,3.7,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,438.6,0,0,0,0,0,0,0,0,0,0.301,0,8.002,0,0,0,0,1.106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KHM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.483,0,0,0,0,0,0,0,0,0,0,0,25.056,0,0,0,0,0,0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CMR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.346,0,0,0,15.654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.971,0,0,0,0,0,0,0,10.365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN",0,0,2.805,0,0,0,1.233,0.577,1538.706,906.629,5.598,4.4,18.138,0,29.636,248.928,0.177,1.541,4.059,0,26.886,0,0,1.231,0,0,20.9,0,3.291,0,0,0,1.609,0.938,83.243,5065.749,17.178,0,0,0.585,0,6.245,3.961,9.554,0.351,30.87,2.683,77.238,0,302.055,12.793,6.418,0.727,3.841,0,703.646,594.086,0.08,0,0,65.467,0,8598.405,0.205,0,38.684,0,0,6.357,0,4.177,1227.69,43.225,1.545,45.239,0,0.074,50.155,985.985,1105.159,0,20.386,1161.004,68.545,0.687,0,0,491.688,15.347,0,0,8.67,0,0,95.597,0,0,0.707,106.952,58.179,0,4.418,0,0,554.762,2.054,0,0,0,4.48,10.217,19.357,0,0,1655.152,2.074,0,0,0,29.541,0.868,1.153,0,27.811,0,0,302.514,4.997,2.861,0,19.971,4816.086,0,61.375,0.91,0,8.373,0.426,34.909,0,0,0,0,0.11,9.303,3.233,0,0,200.692,280.238,9.108,2.885,152.101,176.304,0,411.856,0,36.58,849.81,1796.943,0,0,64.855,0,188.286,15.657,642.433,0,0,2.236,14.216,0,22.745,4577.673,73.98,62532.716,1.086,1.346,0,59.046,0,0,0.191,6.569,0,5.432,0,0,0.281,0,0,0,0,0,0,2.785,0,42.828,0,0,0.683,0.679,0.467,0.041,0,0,0,0,0,0,0,0,0,0,0,0,0
"CPV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LKA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0,0,0,0,0,2.575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.712,0,0,0,0,0.032,0,0,0,0,0,0,0.049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.747,0,0.297,0,0,0,0,0,0,0,0,6.32,0,0,0.029,0,0,0,0,0,0,0,0,0,0,0,0,41.355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHL",0,0,0,0,0,0,0,0.299,0,0,0,0,0,0,0.308,7.84,0,7.562,0,0,2.676,0,0,0,0,0,0,0,0,3.85,0,0,0,0,0,0,0.845,0,0,0,0,9.629,0,0.014,0,0,0,0,0,0,25.44,0,0,0,0,0,0,0,0,0,0,0,0,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,1.001,0,6.383,0,0,0,0,0,0,0,2.279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.957,0,0,0,0,0,0,0.234,0,0,0,0,0,0,0,0,0,0,0,2.437,0,0,0,1.199,0,1.483,30.455,0,0,0.083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057,0.898,0,0,0,0,0,17.119,0,0,0.098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.339,0,1.209,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN",1168.772,63.668,1156.375,0,80.212,5.031,38.399,7438.493,1134961.254,29836.364,5.951,29.497,31434.992,89.375,746.476,1245394.662,10.8,268.476,513.15,4088.405,35246.201,15.668,13.102,101245.146,9039.568,45.025,1789.351,6896.842,234.473,331127.552,0.646,0,392.322,86.911,8575.028,0,8294.896,0,174.26,355.124,435.032,535.468,8204.13,799.509,10462.244,392059.746,179.071,21642.208,47.123,1428.391,1768.6,448.473,188.378,1506.343,108.161,2611.989,960314.034,4642.899,1535.375,481.789,251.666,38.574,6507730.242,6781.664,0,316281.232,0,0,532.823,607.975,1040.912,1767915.459,14014.763,65.054,17899.066,12670.846,1088.967,5431.328,107162.473,4345598.514,22.901,414.081,731395.249,1758.091,5225.769,7331.555,2986.229,781495.297,211.208,60.789,567.434,201.732,138.533,813.442,29666.061,970.485,1021.551,169.031,33884.695,484.239,3470.289,3975.46,2243.499,241.402,48723.907,938.752,231.832,102.606,0,2902.341,638.542,18.373,153.576,4418.121,4038916.474,68.161,0,182.279,134.079,6369.281,1223.933,2445.407,32199.753,3535.207,3.627,0,10984.518,1202.993,110.053,373.879,6494.828,26979.918,0,24047.058,35527.395,12.928,125.223,7059.504,31634.089,36.41,7.573,0,0,8263.325,3842.072,711.647,0.047,23.542,511749.028,63681.693,29315.631,16568.937,90238.802,40591.512,755.2,425727.37,22.263,8.489,17711.804,60749.907,119.789,856.13,255118.676,313.991,10131.035,2989.389,25912.139,0,0,4198.932,132917.595,2434.675,1552.644,397732.659,4723.926,3132307.341,1963.194,1346.033,34.092,4532.761,7,593.347,317.276,479.362,8.125,132.313,7.809,6.398,1515.316,1.48,0,0,0,80.991,551.862,38.94,339.213,288.261,26.677,5.714,15.878,1.848,0,0,198.524,72.621,28.786,15.542,17.4,48.284,0,0,0,0,0,0,0
"COL",0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041,0,0,0,0,0,0,0,0,0,0,0,11.861,0,0,0,0,0,0,0,0.598,102.391,21.514,0,0,0,0,0,0,0,0,0,0,0.089,0,0,0,0,0,8.228,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.724,0,0,0,0,0,0,6.318,0,0,0,0,0,0,0,0,0,151.624,0,0,0,0,0,0,0,0,0,0,0.308,0,0,0,0,0,0,0,0,0,0,0,19.065,0,0,9.785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.355,0,1.217,0,0,2.158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.061,0,0,0,1.155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MYT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,760.698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,8.203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CRI",0,0,0,0,0,0,0,0.012,1.518,4.589,0,0,0,0,0,0.372,0,0,0,0,4.316,0,0,0,0,0,0,0,0,53.394,0,0,0,0,0,525.283,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257,0,0.181,0,0,0,12.247,0.52,0,0,0,0,0,4.101,0,0,0,0,0,0.803,0,0,0,0,0,0,0,0,0,0,0.243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135,0,0,0,0,0,14.507,0,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0.248,0,0,0,1.303,0,0,0,5.132,0,0,1.749,0,0,0,0,0,0,0.029,0,0,0,0,0,0,0,0,0,0,0.159,0,0,0,0,0,0,0,0,0,0,0,0,0,22.061,0,0,0,0,0,0,0,0,0,0,0,0,206.483,0,0,0,0.603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HRV",0,0,0,0,0,0,0,0,0,597.046,0,0,0,0,0,8.022,0,0,51.843,0,0,0,0,0,0,0,0,0,0,74.724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.314,0,130.341,0,0,0,0,0,0,0,0.966,91.044,0,0,0,0,0,12841.571,0,0,0,0,0,0,0,0,5.606,74.869,0,0,0,0,38.06,2.459,46219.761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.059,0,0,0,0,0,0,80.31,0,0,0,0,17.234,0,0,0,3.675,0,0,0,0,0,0,0,0,0,0.851,0,0,0,1.033,0,0,0,0,0,0,0,29.893,0,0,0,0,1.273,0,224.354,13.518,0,207.094,0,0,0.542,10.097,0,0,0.235,0,0,0,11.14,0,0,0,0,1.22,0,173.511,0,47.967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CUB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,758.775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3030.492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP",0,0,0,0,0,0,0,0,0,302.281,0,0,0,0,0,89.349,0,0,0,0,0,0,0,634.085,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8100.645,0,0,0,0,0,0,0,0,0,0,3764.135,0,0,0,0,0,57934.665,0,0,56797.821,0,0,0,0,0,10.979,1,0,0,0,0,0,0,18486.167,0,0,0,0,0,0,0,0,0,0,24.159,0,0,0,660.902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044,0,0,0,0,0,0,0,0,2.747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044,0,0,75.427,0,9.178,0,0,0,0,0,0,0,0,0,0,0.723,0,0,0,0,0,0,186.599,0,2.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZE",0,5.802,4.969,0,0,0,7.249,5.587,2399.038,6010.303,0,0,0,1.035,0,11128.04,0,0.795,6.716,0,51.068,0,0,10397.824,0,0,75.517,0,0.249,12.731,0,0,0,0,0,6350.157,6.979,0,0,0,0,0.793,125.759,0,0.067,0,0,126.135,0,0,0.218,5.124,0.439,296.762,0,14.222,17078.101,0,0,0,7.722,0,719199.955,0,0,18686.35,0,0,0,0,0,117.895,676.365,2.594,7.901,159.44,0,257.669,25.084,70025.953,0,0,6042.444,16.094,0,0.288,0,43.402,0.007,0,15.94,13.344,0,0.003,1690.472,0,0,0,0.01,0,0,0,0,0,14.886,0,0.798,0.197,0,8.648,61.231,75.189,0.005,0,1260.025,0,0,3.812,0,0.067,0,0,0,31.378,0,0,7.314,0,0,0,2.893,0.659,0,117.243,1018.974,0,0,632.624,197.156,0,0,0,0,27.225,0,27.473,0,0,2941.65,2659.528,93701.827,181.928,342.592,5.632,0,2643.671,0,0,19.067,3378.178,0.095,0,999.138,0.903,0.524,79.169,107.999,0,0,0.878,135.019,0.875,2.325,20827.407,12.789,799.674,0,0.051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
