"ARG","AUS","AUT","BEL","BWA","BRA","BGR","BLR","CAN","CHN","HRV","CYP","CZE","DNK","FIN","FRA","DEU","GRC","GUM","HKG","HUN","IDN","IRL","ISR","ITA","JPN","KAZ","JOR","KEN","PRK","KOR","KGZ","LBN","LVA","LUX","MYS","MLT","MUS","MEX","OMN","NAM","NLD","NZL","NGA","NOR","PAK","PAN","PHL","POL","PRT","ROU","RUS","LCA","SAU","SYC","IND","SGP","SVK","VNM","SVN","ZAF","ESP","SWE","CHE","THA","ARE","TUR","UKR","MKD","EGY","GBR","TZA","USA","ZMB","FJI","PNG","WSM","BHR","KWT","LTU","BGD","BRN","LKA","COL","ETH","KIR","IRN","LAO","LBY","PLW","RWA","SRB","BIH","GMB","MDG","MAR","TUN","PER","ZWE","SYR","UZB","YEM","FSM","KHM","DZA","EST","VGB","MMR","IRQ","UGA","AGO","SDN","ECU","GEO","NPL","MDV","COD","LSO","MOZ","SWZ","BOL","TON","BTN","QAT","AZE","ATG","BHS","BRB","BMU","CHL","CRI","SLV","GUY","HTI","HND","JAM","MNG","MDA","TTO","VEN"
"HRV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZE",0,0,0,0,0,0,0,12.4,0,716.058,0,0,0,0,0,0,105.571,0,0,113.577,0,0,0,0,0,723.346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.402,0,0,0,599.297,0,0,900.254,0,0,0,48.781,0,570.118,0,0,0,0,0,1.967,0,76.076,0,48.647,0,0,0,0,4.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNK",0,3617.688,3.533,0,0,0,0,0,0,171.284,0,0,1037.01,0,0,0,124.856,0,0,735.921,0,0,0,0,0,0,0,0,0,0,2497.821,0,0,0,0,0,0,0,0,0,0,0,0,0,4663.658,0,0,0,38565.217,0,0,174.378,0,0,0,0,20.556,0,0,0,0,0,0,0.103,0,0,0,0,0,0,0,0,1895.491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FIN",0,0,0,0,0,0,0,0,0,4693.431,0,0,0,0,0,22.533,0,0,0,619.443,0,0,0,0,0,22987.007,0,0,0,0,433.463,0,0,0,0,0,0,0,0,0,0,0,0,0,853.572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRA",0,0,20.948,1.129,0,0,0,0,1.326,48.88,0,0,763.386,0,0,0,45.833,53.022,0,7.953,0,13.859,0,3.977,1775.479,337.342,0,0,0,0,2.651,0,0,0,0.041,0,0,0,0,0,0,17.634,0,0,5.129,0,0,0,0,0,0,0,0,1134.668,0,121.533,10.604,0,0,2.939,0,466.122,0,199.19,0,0,0,0,0,0,2181.621,0,8.584,0,0,0,0,0,0.244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094,1.349,6.606,13.256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEU",0,9.162,6.74,336.963,0,0,0,0,968.824,512752.956,0,3.593,5257.8,3298.707,3888.447,7279.069,0,11988.757,0,23512.684,20,0,0,0,699.821,168648.18,0,7.882,0,0,87672.001,0,0,4.137,0,0,0,1.763,0.599,0,0,789.614,63.834,0,167033.607,0.885,0,0,3890.402,0,2.256,11845.692,0,6.471,0,66.679,120263.187,0,0,0,0.59,81589.295,47.7,16520.446,0,11.617,0.142,10018.552,0,0,75664.982,0,174599.421,0,0,0,0,1.598,32.159,0,0,0,0,0,0,0,0,0,0,0,0,2.583,0,0,0,0,0,3.634,0.049,5.653,0.079,9.757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,391.59,0,0,0,0,0,0,0,0,2.574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GUM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HKG",0,0,22.108,0,4.662,0,0,0,0,4636.819,0,0,96.836,0,0,3.976,75.086,0,0,0,0,0.041,0,0,0,32.324,0,0,0,0,3335.426,0,0,0,0,0,0,0,0,0,0,0,0,0,311.914,0,0,0,0,0,0,0,0,0,0,299.33,8089.199,0,49.156,0,0,0,0,0,7.105,0,0,0,0,0,0,0,7.738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128,0,0,0,0,0,0,0,0,0,0,0,0,0,0.865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
