"AFG","ALB","DZA","ASM","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BMU","BOL","BIH","BWA","BRA","BLZ","IOT","VGB","BRN","BGR","MMR","BDI","BLR","KHM","CMR","CAN","CPV","CYM","CAF","LKA","CHL","CHN","COL","MYT","COG","COD","CRI","HRV","CUB","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","GNQ","ERI","EST","FJI","FIN","FRA","PYF","GAB","GEO","DEU","GHA","GIB","GRC","GRL","GRD","GUM","GTM","GIN","GUY","HND","HKG","HUN","ISL","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LSO","LVA","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MSR","MAR","MOZ","OMN","NAM","NRU","NPL","NLD","ANT","NCL","VUT","NZL","NIC","NER","NGA","NOR","MNP","PAK","PAN","PNG","PRY","PER","PHL","POL","PRT","TLS","QAT","ROU","RUS","RWA","SHN","KNA","LCA","VCT","STP","SAU","SEN","SYC","SLE","IND","SGP","SVK","VNM","SVN","SOM","ZAF","ZWE","ESP","SDN","SWZ","SWE","CHE","SYR","TJK","THA","TKL","TON","TTO","ARE","TUN","TUR","TUV","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","YEM","SCG","ZMB","HTI","SLB","CXR","CCK","GMB","KIR","NFK","ETH","LBY","TKM","WSM","TCD","COM","LBR","SPM","SUR","TCA","DJI","TGO","ATF","WLF","BTN","PSE","NIU","MHL","GNB","COK","FSM","ABW","FLK","PCN"
"AUT",11.553,16.381,44.271,0,48.664,158.346,0,5.748,19.993,1206.505,0,0,99.562,3.306,32.588,0.922,306.872,0,0.001,302.349,4.105,290.963,0,0,0,0,101.16,0,0,4.7,29.61,0,115.07,0,0,0,0,1671.424,2062.872,56.527,0,0,0,3.641,2098.092,0,432.292,4755.662,2.22,764.966,0,0,7.14,0,0,0,631.463,0,195.302,3529.234,0,0,25.916,62793.718,0,0,251.587,0,0.075,0,14.958,0,0,1.342,380.18,6358.629,10.203,3.491,22.458,0,77.941,460.02,2995.889,75.411,4.35,562.967,49.87,0,26.585,0,344.41,35.96,3.761,0,19.006,0,304.34,656.555,155.244,1.667,1.007,0,20.112,0,0,4.792,0,0,26.686,0,29.792,0,34.24,0,6.476,0,0,0,3258.165,3.048,0.042,0,31.481,43.661,0,0.807,428.251,0,24.528,2.501,0,0,1.785,83.289,2935.852,451.152,0,3.621,1145.838,1465.852,3.643,0,0,0,0,0,33.306,1.234,3.917,0,853.757,597.065,1604.785,11.29,3126.391,0,169.881,1.505,8214.435,0,0,697.501,4649.1,4.041,0,119.828,0,0,3.224,178.297,17.195,505.886,0,16.366,305.543,57.101,0.092,9490.778,24.452,2738.886,0,8.29,1120.096,16.738,0,201.737,5.919,0,0,0,0,2.864,0,0,0.037,15.345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.927,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.385,0,0,0,0,0,0.164,0,0,0,1.193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.654,0,0,0,0,0,0,0,0,0,0,0.244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.482,0,1.446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEL",0,0,12.982,0,0.074,75.469,0,4.468,21.136,2280.774,2654.706,0,0,45.268,14.376,0,0,0,0.016,0.504,0,448.802,0,0,0,0,105.302,0,9.473,1.807,1.989,44.227,1049.625,0.892,0,0,35.176,74.898,2058,46.43,0,13.93,170.278,0.327,733.455,0,49.805,1414.41,0,5274.517,0,0,27.431,0,0,0,77.68,0,670.476,23440.607,17.926,1359.071,0,25060.156,0,0,775.046,0,0,0,0,1.208,0,0.684,718.234,578.683,28.626,60.896,430.1,0,843.753,265.186,2983.811,87.983,0.129,1353.661,1.731,190.732,0,0,1690.856,5.426,0,0,30.144,0,62.042,85.765,2892.691,1.522,7.218,0,1916.445,0,0.518,84.209,0,161.023,330.852,0,50.865,0,97.782,0,57.151,3.737,0,0,26144.081,0,3.527,0,78.301,0,0,2.403,649.982,0,0,0,0,0,1.977,387.856,1865.895,1884.46,0,28.849,477.475,9066.158,8.848,0,0,0.111,0,0,74.915,0.959,0,0,131.809,574.843,678.085,86.786,251.429,0,283.286,0,5948.323,22.821,0,2268.094,4335.326,0,0,69.932,0,0,0.577,851.55,12.718,574.262,0,0,196.426,40.393,23.167,10098.47,0,14468.258,9.227,8.307,1.145,90.388,0,682.176,1.122,0,0,0,0,0,0,0,3.916,0,59.285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BMU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.349,0,1.293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.982,0,0.3,0,15.806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BIH",0,0,0,0,0,0,0,0,0,0,7.358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.639,0,0,0,0,0.103,0,0,0,0,0,0,0,0,0.332,0,0,0,0,8.708,0,0,1.369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.201,0,1.227,0,0,0,0,0,0,0,26.391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
