"AFG","ALB","DZA","ASM","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BMU","BOL","BIH","BWA","BRA","BLZ","IOT","VGB","BRN","BGR","MMR","BDI","BLR","KHM","CMR","CAN","CPV","CYM","CAF","LKA","CHL","CHN","COL","MYT","COG","COD","CRI","HRV","CUB","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","GNQ","ERI","EST","FJI","FIN","FRA","PYF","GAB","GEO","DEU","GHA","GIB","GRC","GRL","GRD","GUM","GTM","GIN","GUY","HND","HKG","HUN","ISL","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LSO","LVA","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MSR","MAR","MOZ","OMN","NAM","NRU","NPL","NLD","ANT","NCL","VUT","NZL","NIC","NER","NGA","NOR","MNP","PAK","PAN","PNG","PRY","PER","PHL","POL","PRT","TLS","QAT","ROU","RUS","RWA","SHN","KNA","LCA","VCT","STP","SAU","SEN","SYC","SLE","IND","SGP","SVK","VNM","SVN","SOM","ZAF","ZWE","ESP","SDN","SWZ","SWE","CHE","SYR","TJK","THA","TKL","TON","TTO","ARE","TUN","TUR","TUV","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","YEM","SCG","ZMB","HTI","SLB","CXR","CCK","GMB","KIR","NFK","ETH","LBY","TKM","WSM","TCD","COM","LBR","SPM","SUR","TCA","DJI","TGO","ATF","WLF","BTN","PSE","NIU","MHL","GNB","COK","FSM","ABW","FLK","PCN"
"BWA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.755,0.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRA",0,0,0,0,0,23.43,0,0,2946.149,29.837,23.83,0.147,0,0.175,0,0,3.901,0,290.662,0,0,0,0,0,0,0,0,0,0,0,0,0,50.475,0,0,0,0,159.413,478.704,80.28,0,0,0,14.162,7.352,0.156,0,1.12,0,0,0,2.516,13.89,0,0,0,0,0,8.67,10.073,0,0,0,37.461,0,0,19.538,0,0,0,1.155,0,2.65,20.021,0,9.533,0,6.46,66.791,0,20.078,7,12.606,0,0.464,1.233,0,0,0,0,0.104,0,0,0,0.432,0,0,0,0,0,0,0,12.796,0,0,0,0,3.504,680.636,0,0,0,9.878,0.229,0,0,0,0,1897.919,0,0,0,17.278,0.995,0,0.061,14.058,0,0,21.969,0,66.511,125.396,0,0,60.772,0,101.662,187.537,183.021,0,0,0,0,0,0,0,0,0,0,0.452,40.01,0,0,2.429,0,69.418,0,25.333,0,0,92.348,0.696,2.519,0,13.158,0,0,1.596,0.05,0,109.139,0,1.607,0,1.112,1.165,4.148,0,2151.422,0,327.967,0,164.895,0,0.006,0,0,0,0,0,0,0,0,0,0,0,43.358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.095,0,0.303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IOT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VGB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRN",0,0,0,0,0,0,0,0,0,39.136,4.685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.276,0,0,0,0,0,0,0,0,0,0,0.155,0,0,0,0,0,0,0,0,0,0,13.747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.511,155.298,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075,0,0,0,0,0,0,0,0,0,0,0,29.199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGR",7.882,7.251,2.533,0,0,0,0,0.621,0,89.124,28.762,0,0,0,2.671,0,5.694,0,0,2.706,0,0,0,0,0,0,0,0,0,23.8,0,0,34.456,0,0,0,0,0,0,7.685,0,0,0,0,12.909,0,10.298,19.343,0,7.709,0,0,0,0,0,0,0,0,13.034,169.583,0,0,9.6,227.578,3.438,0,63.045,0,0,0,0,0,0,0,0.272,12,0,0,0,0,0.508,1.051,10.694,0,0,0,0.231,0,0,0,45.832,0,0,0,3,0,0.327,2.419,0,0,0,0,0,0,0,0,0,0,90.814,0.482,1.36,0,0,0,4.912,0,0,0,22.322,0,0,0,3.112,0,0,0,1.356,0,8.084,0,0,0,0,0,29.801,3.207,0,0,32.614,99.832,0,0,0,0,0.201,0,0,0,0,0,0.164,2.146,3.433,0,35.568,0,9.09,0,29.22,0,0,29.396,23.989,0,0,0.077,0,0,0,0,0,10.07,0,0,0,12.04,0,235.383,0,134.148,0,0,0,0,0,45.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLR",0,0,0,0,0,0,0,0.022,0,1.383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0.6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0.1,0,0,0,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.316,0,0,0,0,0,0,0,1.244,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,6.4,0,0,0,0,685.3,0,0,0,0,0,0,0,0,0,0,92.662,0,0,0,0,0,0,0,70.003,0,0,25.508,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,42.824,0,10.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KHM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.568,0,0,0,0,0,0,0,0.351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237,0,0,0,0,0,0,0,2.865,0,0,0,6.143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CMR",0,0,0,0,0,0,0,0,0.856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN",10.098,35.909,19.589,0,0,5.875,3.18,0,378.685,2009.127,869.069,24.671,169.967,69.283,0,15.43,656.778,15.376,40.442,0,0,3029.14,11.38,0,0,13.7,49.111,0,0,12.385,0.258,4.355,0,0,0,0,66.495,469.106,4424.445,983.898,0,7.054,0,82.21,190.267,148.154,0.342,113.838,0,156.806,0.577,25.472,139.118,0,0,8.713,97.067,40.735,265.469,2152.6,4.794,0,0,7730.032,0,87.668,2651.57,0,0.017,23.977,56.775,6.925,13.185,36.4,5684.142,103.476,29.449,36.583,98.252,15.024,62.169,2748.485,2227.277,0,784.499,7977.017,18.139,57.672,10.782,279.746,6585.652,102.669,0.378,0,145.327,0,16.548,19.114,621.593,0,0.148,0,695.647,0.259,26.161,16.827,0,20.747,2259.799,0,0.115,0,93.752,0,89.488,0,0,2.505,722.096,13.072,0.762,0,345.134,35.614,60.765,87.93,247.859,0,84.943,470.76,6.85,1.694,264.424,529.018,118.105,217.173,18.282,407.093,206.156,959.05,0,0,4.791,117.195,0.063,0,367.715,4.264,0,0,4444.76,2077.05,3.164,64.074,59.41,0,569.283,0,1660.142,0,0,199.668,732.639,0,0,2694.066,0,0,108.581,645.827,126.501,1053.618,0,0,6.598,0.944,115.854,17952.024,1.778,348034.848,61.395,59.017,0,57.578,0.165,54.17,0,0,0,0,0,0,0,0,0,0,0,0,0,14.276,8.857,0.038,7.53,0.482,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CPV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.451,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.961,0,0,0,2.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LKA",0,0,0,0,0,0,0,0,0,14.007,0,0,0,0,0.826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.356,0,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.813,107.932,0,0,0,0,0,0,0,0,0,0.273,350.594,0,0,448.88,0,0,0,0.799,0,0,0,0,0,0,0,1.147,0,117.162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHL",0,0,0,0,0,0,0,0,57.895,1.35,0,0,0,0,0,0,0.42,0,528.234,0,0,18.358,0,0,0,0,0,0,0,0,0,0,23.164,0,0,0,0,0,0,0,0,0,0,24.638,0,43.722,0,0,0,0,0,2.045,21.017,3.29,0,0,0,0,21.129,0,0,0,0,36,0,0,0,0,0,0,3.598,0,0,0,0,0,0,0,0,0,0,20.992,2,0,0,0.585,0,0,0,0,0,0,0,0,0,0,0,2.73,0,0,0,0,0,0,0,0,0,0,7.347,0,0,0,0,0,0,0,0,0,11.524,0,0,0,0,0,0,0,0,0,0,0,0,574.845,214.442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.063,0,0,3.831,0.58,0,0,1.914,0,0,0,0,0,0,0,0,0,0,0,2.411,0,406.779,0,4.065,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN",23.336,3.334,852.49,0,193.861,15.551,0,17.256,4154.464,19870.191,9783.593,0,206.836,967.443,31.299,8.737,16485.113,0,37.575,100.448,3.832,19085.136,16.797,0,0,54.445,769.826,83.698,0,485.323,17.533,2.496,15203.377,0.079,0,0,131.955,3257.829,0,1831.061,5.151,63.829,0,242.056,4602.049,52.085,214.391,3645.146,58.84,11738.358,5.248,31.023,1158.431,37.492,0.227,0,1281.51,2.414,5648.144,52937.205,120.36,96.929,16.686,122543.411,243.007,0,1726.677,0,0,0,6.62,24.913,1.024,97.752,352144.274,2122.607,132.034,4384.413,2498.934,0.029,5758.302,5461.477,18914.964,43.732,18.512,299646.172,65.318,275.584,44.235,41.865,265117.607,206.962,0.698,474.97,628.659,0,70.886,1347.197,1603.849,110.494,18.992,8.536,5592.828,2.821,19.325,122.793,15.587,315.627,25571.895,63.548,32.995,0,4915.523,52.052,13.364,0,0,46.619,46168.562,0,35.11,0,2790.71,84.695,0.225,1218.606,2302.509,0,1054.441,718.027,11.227,630.521,815.674,1716.411,7410.977,4325.643,0.068,10.991,1137.474,3896.653,38.156,0,0.163,2.862,1.383,0,2709.523,1.949,1.963,83.717,6933.501,13197.527,1151.523,2331.63,742.765,0,6412.201,0.903,17511.25,237.879,0,9281.939,2289.06,804.06,0,27249.317,0,0,40.91,9335.513,218.808,19868.846,0,5.32,479.836,148.422,3215.044,50130.427,16.713,442571.026,67.729,86.463,75.297,186.507,13.039,179.468,53.732,0,0,0,0,9.219,0,0,0.417,80.445,58.234,0,0,0,0.15,0,24.168,0,0.504,32.357,0,0,0,0,0,0,0,0,0,0,0,0
"COL",0,0,0,0,0,0,0,0,1.457,1.141,1.354,0,0,0,0,0,0,0,0.096,0,0,0.105,0,0,0,0,0,0,0,0,0,0,401.93,0,0,0,0,4.123,0.32,0,0,0,0,31.856,0,21.145,0,0,0,0,0,0.333,21.902,0,0,0,0,0,0,0,0,0,0,2.885,0,0,0,0,0,0,8.321,0,0,0,0,0,0,0,0,0,0,10,5.895,0,0,11.618,0,0,0,0,1.642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.414,0,0,0,0,0,0,0,0,0,74.661,0,0,0,0,0,0,0,0,0,0,11.679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.811,0,0,0,0.099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.819,0,0.606,0,0.956,0,5.725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MYT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CRI",0,0,0,0,0,0,0,0,1001.86,22.401,0.03,0,0,0,0,0,200.269,0,0,0,0,145.731,0,0,0,0,0,0,0,0,0,0,4.695,0,0,0,0,0.108,587.06,1.59,0,0,0,0,0,0,0,2.514,0,0,0,0,1.113,0,0,0,0,0,3829.938,6748.623,0,0,0,36007.798,0,0,0,0,0,0,1.351,0,0,0,183.882,0,0,0,0,0,0,149.146,0,0,0,50.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215.947,0,0,0,0,0,49.109,0,0,0,44.872,0,0,0,0,0,224.548,0,0,0,0,48.413,0,0,0,0,0,2.931,0,0,1.272,0,0,0,0,0,0,3.594,0,0,0,0,0,0,0,0,0,0,0,85.351,0,0,0,0,0,0,0,0,0,0,0,0,0,101.498,0,0,0,0,0,0,0,0,0,0,0,784.946,0,3617.581,0,0,0,1.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HRV",0,8.349,0,0,0,0,0,0,0,0,317.381,0,0,0,0,0,0,0,0,788.943,0,0,0,0,0,0,0,0,0,0,0,0,1.083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.036,0,0,0,0,0,0,0,0,0,0,4.195,1.945,0,0,0,364.573,0,0,0,0,0,0,0,0,0,0,27.219,31.403,0,0,0,0,28.563,0,511.025,0,0,0,0,0,0,0,8.831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.345,0,0,0,0,0,0,0,0,0,19.994,0,0,0,0,0,0,0,14.2,0,0,0,0,0,0,0,0,0,0,0,23.2,3.623,0,0,0,0,0,0,0,0,0,0,0,1.441,0,0,274.842,0,0,0,0,0,0,11.707,3.113,0,0,0,0,0,0,0,0,13.543,0,0,0,19.674,0,7.387,0,11.297,0,0,0,0,0,238.272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CUB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
