"AUS","AUT","BHR","BGD","BEL","BWA","BRA","BGR","BLR","CAN","LKA","CHL","CHN","COG","HRV","CYP","CZE","DNK","FIN","FRA","GEO","DEU","GRC","GUM","HKG","HUN","ISL","IDN","IRL","ISR","ITA","JAM","JPN","KAZ","JOR","KEN","KOR","KWT","LVA","LTU","MYS","MLT","MEX","NAM","NLD","NZL","NER","NGA","NOR","MNP","PAK","PAN","PHL","POL","PRT","RUS","LCA","SAU","SYC","IND","SGP","SVK","VNM","SVN","ZAF","ESP","SWE","CHE","THA","TTO","ARE","TUR","UKR","EGY","GBR","TZA","USA","BFA","GHA","ROU","BIH","QAT","MOZ","ZMB","ALB","COL","PER","DZA","ARG","MMR","ECU","ETH","IRN","LAO","MAR","NPL","ZWE","SDN","VEN","CMR","MDG","BRN","BDI","MUS","MNG","YEM","FSM","KHM","WSM","BRB","IRQ","SRB","SOM","UGA","AZE","CUB","AGO","OMN","SUR","PNG","LSO","SWZ","GRD","AFG","GMB","GIN","UZB","LUX","BHS","BLZ","DOM","SLV","EST","GTM","CUW","KNA"
"LKA",0,0,0,109.461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN",853.872,81.675,2.042,112.872,4699.749,0,0,0,0,6.267,0,0,0,0,0,0,1037.26,0,0,226.983,0,800.752,0,0,1715.328,3.354,0,0.039,2.492,0.4,1301.559,0,86523.572,32.053,9.462,0,14787.926,2.68,0,0,1721.185,0,0,4.368,15.288,0,0,0,127.403,0,146.138,0,572.614,452.517,0,952.386,0,202.4,0,16600.018,111.012,0,203.75,0,116.369,0.545,18.444,40.275,27.43,0,583.639,0,15.916,0,214.472,0,2064.374,0,0,0,211.308,25907.426,0,7.91,0,0,51.26,25.255,0.099,2.492,106.868,2.709,215.075,9.668,25.502,0.032,3.469,1.943,10.182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HRV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280.453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZE",0,0,0,0,0,0,0,0,0,0,0,0,351.689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,593.046,0,0,0,0,0,374.91,0,0,0,0,0,0,0,0,0,0,39.891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNK",4070.708,0,4.551,0,0,0,0,0,0,0,0,0,29.74,0,0,0,1783.864,0,0,0,0,20.586,0,0,0,3.902,0,0,0,0,0,0,71.345,0,0,0,539.978,0,0,0,0,0,0,0,0,0,0,0,1132.999,0,0,0,0,12189.923,0,177.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275.886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FIN",18.466,0,0,0,0,0,0,0,0,0,0,0,3458.288,0,0,0,0,0,0,46.48,0,107.899,0,0,0,0,0,0,0,0,0,0,5229.268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326.441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRA",0,40.663,1.044,0,0,0,8.025,0,0,0.003,0,0,122.208,0,0,0,489.384,0,0,0,0,431.702,0.664,0,0,5.759,0,0,0,4.075,474.242,0,8.166,2.108,0,0,30.299,0,0,0,0,0,1.31,0,3.148,0,0,0,4.127,0,0,0,0,0.593,0,12.526,0,911.734,0,29.466,6.306,132.55,0,0,0,6.066,7.523,6.403,0,0,0,0.664,0,0,24194.87,0,6.59,0,0,0,0,0,0,0,0,0,0,2.028,0,0,0,0,0,0,0.273,0,0,0,0,0,6.287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
