"AFG","ALB","DZA","ASM","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BMU","BOL","BIH","BWA","BRA","BLZ","VGB","BRN","BGR","MMR","BDI","BLR","KHM","CMR","CAN","CPV","CYM","CAF","LKA","TCD","CHL","CHN","COL","MYT","COG","COD","COK","CRI","HRV","CUB","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","GNQ","ETH","ERI","EST","FLK","FJI","FIN","FRA","PYF","ATF","GAB","GEO","GMB","PSE","DEU","GHA","GIB","GRC","GRL","GRD","GUM","GTM","GIN","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LVA","LBR","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MNE","MSR","MAR","MOZ","OMN","NAM","NRU","NPL","NLD","CUW","ABW","SXM","NCL","NZL","NIC","NER","NGA","NIU","NOR","MNP","FSM","PLW","PAK","PAN","PNG","PRY","PER","PHL","PCN","POL","PRT","GNB","TLS","QAT","ROU","RUS","RWA","SHN","KNA","LCA","VCT","SMR","SAU","SEN","SRB","SYC","SLE","IND","SGP","SVK","VNM","SVN","SOM","ZAF","ZWE","ESP","SDN","SUR","SWZ","SWE","CHE","SYR","TJK","THA","TGO","TKL","TTO","ARE","TUN","TUR","TKM","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","WSM","YEM","ZMB","KIR","TON","SLB","VUT","BTN","GUY","AIA","DJI","LBY","SPM","COM","LSO","TUV","WLF","NFK","MHL","STP","CXR","TCA"
"BWA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.718,0.763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.195,0,0,0,0,0,0,4.646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRA",0,0,2.555,0,0,47.988,0,0,14868.862,24.382,120.313,0,0.231,0,0,0,21.289,0,145.197,0.015,0,0,0,0.038,0,0,0,0,0,0,0,7.393,21.005,0,0,0,0,481.118,224.393,353.717,0,0,0,0,61.909,0,25.746,0,5.366,0,0,0,661.969,266.879,3.507,18.1,5.276,0,0,0,0,0,102.28,0,0,0,0,0,0,410.81,1.855,0,36.811,0,0,0.103,1935.349,0,0.235,19.17,1007.406,9.75,0,16.028,3.302,4.56,0,13.709,21.532,0,0,30.955,18.358,0.427,2.391,42.362,634.369,0.024,0,0,0,0,0,2.159,0,0,0,0,32.738,0,0,0,0,0.918,424.496,0,0,0,0,6.801,59.633,0,1.272,0,0,95.206,0.037,0.086,0,0,0,0.646,0,5.008,0,33.51,0,0,0,0.562,92.952,0,524.897,333.793,0.416,0,143.233,81.442,0,0,0,0,2.652,0,0,0,0,0,0,0,0,0.488,0,0,49.091,294.949,0,48.074,0,0,51.26,1.817,1.515,0,1.262,0,11.605,11.402,0.252,0,7.49,0,0,0.18,26.754,0.083,65.045,0,0,0,6.676,0.361,25.085,5.958,3953.57,71.121,325.588,0,425.534,0,0,0,0,0,0,0,0,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VGB",0,0,0,0,0,0,0,3.928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0,0,0,0,0,0,0.469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500.795,0,0,0,0,0,0,32.457,0,0,0,0,0,0,0,0,0,0,0,0,0,2.768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.421,0,0,0,0,0,0,0,0,0,0,0.794,0,0,0,3.561,0,0,0,0,0,0,0,0,0,0,0,18.579,0,3.248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGR",16.189,3.901,0,0,6.769,0,0,31.831,0,23.266,2.285,0,8.215,0,2.684,0,8.559,0,0,8.019,0,62.668,0,0,0,0,0,0,11.758,0,0,317.024,0,0,0,0,0,0,1.138,7.302,0,0,0,0,2.353,7.207,0,74.943,57.287,0,30.167,0,0,0,0,0,0,0,0,0,0,4.067,193.691,0,0,0.637,1678.617,0,0,609.143,0,0,343.938,0,0,0,0,0,0,0,12.445,5.798,0,0,0,8.825,0,40.174,117.318,0,0,114.027,4.706,0,0,0,12.841,0,0,0,7.098,0.416,0,0.16,66.08,0,0,0,4.145,0,0,0,0,0,33.23,0,10.786,2.545,0,8.488,0,0,0,0,0,2475.09,0,0.299,0,0,0.194,0,0,0,0,18.081,0,0,0,0,0,0,0,1.392,0,0,64.523,12.14,0,0,5.57,319.999,53.241,0,0,0,0,0,0,0,2.806,51.66,0,0,6.423,16.203,0.443,0,0,0,0.788,0,173.236,0,0,0,16.012,15.367,0,0,16.096,0,0,0,1.968,0.637,111.148,0,0,0,95.023,0,169.953,0,505.68,0,0,0,0.839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMR",0,0,0,0,0,0,0,0,0,0,0,0,0,0.174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041,0,0,0,0,0,74.178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLR",0,0,0,0,0,0.633,0,0.1,0,0,1.051,0,0,688.535,0.2,0,0.1,0,0,0,0,0.2,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0.5,0,0,0,0,0,0.1,0,0,20.399,0,0.4,0,0,0,0,0,0,0,0.8,0,0,0.5,0,0,0,0,5.2,0,0,0.5,0.3,0,0,0,0,0,0,0,0,0,0,0,0,8.9,0.9,0,0,0,0,0,0,0,31.599,0.1,0,0,0,0,0,0,0,0.5,0,5.801,0,0,0,0,0,0,0,0,0,0,19.726,0,0.1,0,0,0,0,0,0,0,0,0.212,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,4.3,0,0,0,0,0.1,1209.9,0,0,0,0,0,0,0.1,0,0,0,0,11.807,0,0,7.629,0,0,0,0,0,0,0,0,0.2,2,1.2,0,0,0,0,0,0,0,0.1,0,0,19.6,0,0,0.2,0,2.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KHM",0,0,0,0,0,0,0,0,0,30.952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.975,0,0,0,0,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,7.139,0.627,0,0,0,0,0,0,0.442,0,0,0,0,0,0,0,0.952,0,0,0,0,0,0,0,0,0,0,0,66.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CMR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158,0,0,8.595,0,0,0,0,0,0,1.484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.066,0,0,0.304,0,0,0,0,0,0,5.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123,7,0,0,0,0,0,0,0,0,48.439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.304,0,0,0,0,0.766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133,0,1.939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN",6.081,0.28,113.277,0,0,6.305,1.111,206.921,3685.589,4473.54,373.613,16.779,15.634,34.416,49.331,117.403,842.715,72.705,28.72,7.786,15.648,7130.053,0.443,0,0.493,15.496,0,0,5.146,0,0,0,0.394,3.728,0,145.428,0,532.419,11752.599,766.914,0,0,62.157,0,89.975,530.131,522.622,397.713,1107.012,0,212.231,0,3.236,22.596,11.618,3.811,169.164,0,42.662,0,4.14,511.158,3924.85,0.853,0,47.213,557.01,0,0,8873.263,0.48,0,764.591,0,0,0,76.222,14.284,26.958,31.638,8825.311,70.007,54.69,395.523,19.01,237.261,125.736,1037.631,2316.719,14.242,31.801,4469.505,174.38,25.709,64.404,0,10832.094,63.809,0,0,227.296,23.45,0,146.784,174.124,1.005,3.015,0,1294.111,19.751,21.442,2.057,0,23.295,9178.956,114.087,4.496,13.731,0,627.567,1.43,365.521,0.943,0,0,1349.541,0.335,2.391,0,20.018,1291.114,118.212,0,184.431,0,416.327,0,0,0,203.402,136.648,18.065,36.378,1007.005,1286.537,0,154.175,79.805,0,0,319.495,345.303,1697.486,0,0,1.055,5.694,2.266,0,1208.968,0,61.845,93.451,0,6319.522,2161.739,636.928,97.364,144.198,0,1268.578,0,428.483,0,4.228,0.624,4218.699,1067.823,41.368,0,2440.807,0,0,20.037,1062.234,45.118,1926.21,88.325,2.699,344.511,76.902,212.054,25627.671,5.079,422543.332,3.739,134.395,0,46.472,0,0,4.08,0,0,0,0,0,0.114,0,0,13.502,0.187,0,0,0,0,0,0,0,0,0
"CPV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693,0,0,0,0,0,0,16.739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LKA",0,0,0,0,0,0,0,0,0,2.229,319.713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.278,0,0,0,0,0,0,519.256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.399,0,0,13.388,11.969,0,0,0,0,0,0,269.241,0,0,0,0,0,0,0,0,0,0,2.47,0,0,0,0,0,0,1,0,0,0,154.734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.714,0,0,0,0,0,0,0,0,0,0.189,0,0,0,0,0,0,0,0,0,0,0,2.891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.94,13.751,0,0,0,0,0,0,1.409,0,0,0,0,78.652,0,0,0.052,0,0,0,0,0,0,0,0,0,0.681,0,6.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHL",0,0,0,0,41.705,0,0,0,202.203,6.399,5.355,0,0,0,0,0,31.656,0,2250.455,0,0,206.346,0,0,0,0,0,0,0,0,0,24.005,0,0,0,0,0,0,0,68.31,0,0,0,0,1.028,0,0,3.515,0,0,1.859,0,0,4.465,0,0,0,0,0,0,0,4.788,40.781,0,0,0,0,0,0,26.194,0,0,0,0,0,0,84.104,0,0,19.002,34.959,0,0,0,0,0,0.215,13,0,0,0,0,0,0,0,0,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.926,0,0,0,0,0,0,0,0.401,0,0,29.151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.888,0,830.279,1450.777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.488,0,0,0,0,0,0.166,0,68.608,0,0,0,2.373,0.334,0,0,10.197,0,0,0,0,0,0,0,0,0,0,0,1.919,0,84.379,0,12.265,0,5.795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN",62.677,314.308,7400.975,0,485.05,7641.259,7.743,709.496,48867.612,97941.893,16613.618,19.402,762.941,4961.515,414.196,16.986,35110.982,0.799,557.379,552.868,72.908,96826.014,39.737,0,189.935,1608.908,2489.63,513.394,2094.114,4470.741,518.705,104262.492,31.565,0,31.542,1212.237,251.511,22509.027,0,13416.236,1.056,743.325,275.644,0,2537.653,4857.812,323.717,1132.53,65351.687,463.039,18846.436,194.652,1610.744,7417.925,2129.529,417.744,1211.231,10.158,2382.225,0,449.703,13939.604,152261.538,1030.621,0,170.921,362.955,45.577,81.712,299160.581,1869.624,17.02,7974.521,20.44,19.128,0,1392.205,146.548,124.637,487.349,2764160.465,36494.039,198.545,42522.15,16197,6751.672,47576.618,12820.575,70492.353,123.55,854.13,769170.88,2676.109,3934.314,1206.184,2724.371,422669.136,525.869,979.965,1506.803,2855.942,1184.822,34.277,2366.89,595.101,503.138,310.668,247.275,34167.693,89.224,76.013,1375.037,102.193,345.308,131570.073,147.272,243.856,189.446,0,7256.241,273.092,733.24,138.515,0,2617.658,214413.858,106.175,17.647,0,403.025,22840.26,472.776,53.884,16558.831,0,19610.924,0,0.003,0.047,10450.933,6015.045,223.281,7740.429,21678.119,17874.387,0,49976.826,9899.035,12.516,69.669,585.457,8208.237,56896.605,67.118,0,6.475,29.641,12.151,0,12674.438,1457.434,1239.883,10.328,10.945,88430.595,50388.225,22088.227,51169.988,5896.175,68.92,32127.947,83.776,64682.688,15065.892,72.774,3.776,16823.453,7705.037,6480.445,3395.536,144960.345,262.537,0,316.8,46730.471,2726.617,62586.363,282.138,391.811,5862.246,408.009,19219.466,450068.705,656.334,3032586.888,7.679,4907.13,959.581,4479.618,343.091,620.776,1066.991,10.312,101.516,48.332,3.332,0.722,67.653,0,97.813,779.482,0,0.503,0.156,1.95,0,0,0,0,0,0
"COL",0,0,0,0,0,0,0,0,1.242,0,559.93,0,0,0,0,0,0.581,0,1.368,0,0,93.729,0,0,0,0,0,0,0,0,0,0.308,0,0,0,0,0,2.985,13.284,0,0,0,0,0,113.216,0,0.28,0,0,0,7.579,0,4.275,191.573,31.635,0,0,0,0,0,0,0,4.025,0,0,0,0,0,0,24.442,0,0,0,0,0,0,3.134,0,0,2.85,0,0,0,0,0,0,0.119,0,0,0,0,0,0,0,0,0,1.351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.082,0,0,0,0,0,0,0,0,0,0,151.736,0,0.5,0,0,2.004,0,0,0,0,1.761,0,0,0,0,4.426,0,0.315,18.083,0,0,0,0.146,0,0,0,0,0,0,0,0,0.234,0,0,0,0,0,0,0,8.882,0.347,0,0,0,0,12.899,0,8.121,0,16.212,0,2.737,0,0,0,0.902,0,0,230.687,0,0,0,0,0,0,0,0,1.659,0.209,491.316,0,0,0,131.978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MYT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG",0,0,0,0,0,17.443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.479,0,0,0,0,0,0,8.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CRI",0,0,6.135,0,0,0,0,0,0,6.993,0,0,0,0,0,0,0,0,0.09,0,0,0.01,0,0,0,0.449,0,0,0,0,0,68.99,0,0,0,0,0,91.267,0.517,6.521,0,0,0,0,0,0,0,0,0,0,0,0,1.726,4.606,6.895,0,0,0,0,0,0,0,2.195,0,0,0,0,0,0,0,0,0,0,0,0,0,17.468,0,0,7.739,0,0,0,0.005,0,0,0,0,2.117,0,0,3.554,0,0,0.006,0,37.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.531,0,0,0,0,1.689,0,0,0,0,0,3.868,0,0,0,0,0,24.312,0,0,0,0,0,0,0,0,4.794,0,0,2.332,0,0,0.609,0.404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.798,0,0,0,0,0,68.412,0,0.749,0,0,0,0,3.57,0,0,199.623,0,0,0,0,0,80.071,0,0,0,0,0,0,0,306.217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
