"AFG","ALB","DZA","ASM","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BMU","BOL","BIH","BWA","BRA","BLZ","VGB","BRN","BGR","MMR","BDI","BLR","KHM","CMR","CAN","CPV","CYM","CAF","LKA","TCD","CHL","CHN","COL","MYT","COG","COD","COK","CRI","HRV","CUB","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","GNQ","ETH","ERI","EST","FLK","FJI","FIN","FRA","PYF","ATF","GAB","GEO","GMB","PSE","DEU","GHA","GIB","GRC","GRL","GRD","GUM","GTM","GIN","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LVA","LBR","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MNE","MSR","MAR","MOZ","OMN","NAM","NRU","NPL","NLD","CUW","ABW","SXM","NCL","NZL","NIC","NER","NGA","NIU","NOR","MNP","FSM","PLW","PAK","PAN","PNG","PRY","PER","PHL","PCN","POL","PRT","GNB","TLS","QAT","ROU","RUS","RWA","SHN","KNA","LCA","VCT","SMR","SAU","SEN","SRB","SYC","SLE","IND","SGP","SVK","VNM","SVN","SOM","ZAF","ZWE","ESP","SDN","SUR","SWZ","SWE","CHE","SYR","TJK","THA","TGO","TKL","TTO","ARE","TUN","TUR","TKM","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","WSM","YEM","ZMB","KIR","TON","SLB","VUT","BTN","GUY","AIA","DJI","LBY","SPM","COM","LSO","TUV","WLF","NFK","MHL","STP","CXR","TCA"
"AUT",101.519,11.817,772.515,0,22.853,3.474,0,16.695,693.496,851.191,0,0,7.901,0,12.099,0,3128.971,0,2.112,182.722,0,249.45,0,0,0,137.64,0,0,4.609,0,0,425.702,0,0,0,2.784,0,125.735,6590.376,25.401,0,0,0,0,2.23,1188.79,2.348,181.305,19003.6,0,2994.145,0,0,12.268,7.267,0,2.774,0,318.304,0,0.301,179.771,8716.575,12.723,0.23,7.481,13.998,0,0.064,55810.088,0.104,0,683.999,0.073,0,8.47,0,0,0,0.561,1871.437,11393.227,3.786,1434.922,246.592,98.302,38.494,91.315,7368.407,3.032,0,1029.59,615.426,54.072,8.454,0,531.825,92.001,0,0,4.906,212.466,0,168.07,25.712,34.992,4.738,0,1282.338,3.763,0,174.223,63.72,15.115,967.292,0,0.59,3.53,0,69.094,186.433,0,0.221,0,0,5279.3,0.093,0,0,3.079,85.158,0,0,75.988,0,786.627,0,0,0,218.995,3.866,6.618,8.722,113.668,289.339,0,2220.159,1139.091,0,0,169.886,3030.887,667.262,0,0,0,0,0,0.529,331.787,4.441,349.648,2.155,0,923.779,251.825,1605.435,65.433,3190.667,0,187.656,0,1800.725,4.39,0,0,1172.434,9518.866,0,0,983.944,0,0,0,1691.922,37.425,357.815,0,0.138,882.009,274.932,642.779,5321.427,0,42261.919,0,30.624,7.122,28.285,0,0,26.462,0,0,0,0,0.241,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHS",0,0,0,0,0,1.861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.185,0,3.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHR",0,0,0,0,0,0,0,0,0,4.681,0,0,0,0,0,0,0.538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.631,0,0,0,0,0,0.06,0,0,0,0,0,0,146.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.974,3.602,0,0,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.082,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0.046,0,0,0,0,0,0,0,0,0,0,0.055,27.074,0,10.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.818,0,0,0,0,0,0,0,0,0,7.968,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106,0,0,0,0,0,0,0,0,0,0,0,0,0.226,0,0,0,0.25,0,0,0,0,0,0,145.707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275.891,0,0,0,0,5466.817,0,0,0,0,1.817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233,0,0,0,0,0,0,0,0,0,0,84.889,0,0,0,0,0,0,0,0,0,1.177,0,0,0,0,0,0,0,0,0,0,2.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.165,1.395,0,0,0,0,2.782,0,0.705,0,0,0,234.001,0,0,0,0,0,0,0,0,0,41.242,0,0,0,0,0,0,0,25.044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.568,0,0,0,0,0,0.314,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.234,0,0,0,0,0,4.496,0,0,0,0,0,0,0,0,0,0,0,0,1.976,0,0,0,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,22.99,0,0,0,0,0,1.411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRB",0,0,0,0,0,0,0.493,0,0,0,0,0,0,0,0,0,0.341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.672,0,0,0,0,0,0,2.006,37.243,0,0,0,0,0,0,0,0,0,0,0.871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.994,1.681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189,0,0,0,0,0,0,0,0,0.84,0,25.942,0,0,0,225.901,0,0,0,0,0,0,0,0,5.425,0.614,0,0,0,0,0,0,0,0,0,0,0,0
"BEL",295.265,28.102,814.674,0,1.803,32.863,0,98.469,4224.947,2505.041,1975.219,0,156.44,1067.158,13.765,51.323,0,0,295.594,2.134,24.777,6358.986,0,0,0,476.288,0,0,9.563,0,143.653,639.687,1.031,0,22.093,24.295,5.176,1083.47,2814.513,894.687,0,118.683,135.268,0,103.565,203.492,0.178,478.808,569.389,187.114,2197.797,0,67.203,688.802,30.542,0.571,21.615,0.057,58.839,0,0,1211.414,23600.354,0.607,0.053,13.993,43.027,0.777,82.157,21448.013,43.421,0.019,2202.346,0.439,0,0.556,83.856,0,0,0.681,2898.657,1342.391,43.859,779.936,1714.572,844.237,1049.002,789.384,12066.726,0.176,0,768.426,949.079,175.724,4971.259,0,1502.294,91.985,0.207,0,77.284,205.463,1.211,214.336,1407.196,0,2.44,0,1786.118,0,156.461,236.843,0.261,29.754,33068.983,46.769,88.239,0.177,0,209.518,0,37.053,2.371,0,145.713,27663.083,19.709,20.42,0,4.654,179.926,299.719,5.153,189.82,0,1615.812,0,0,0,262.958,117.906,0,28.05,250.805,171.365,0,1532.717,1356.574,0,0,36.375,2791.522,4614.282,159.811,0,0,0,38.28,0.115,1583.768,174.441,27.389,0.003,0.089,5560.435,994.447,150.146,330.743,461.038,0,5241.472,0,5623.119,0.052,72.548,0,4516.068,3293.07,156.569,0,1015.222,0,0,9.126,859.891,155.398,2007.188,5.434,3.812,252.385,1.132,876.136,14263.42,53.868,16501.544,0.074,99.638,22.166,2151.19,0,23.506,0,0,0,0,0,0,0,0,1.713,0,0,0,0,0,0,0,0,0,0,0
"BMU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOL",0,0,0,0,0,0,0,0,0,0,0.864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.396,0,0,0,0,0,0,21.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.405,0,0,1.748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.753,0,0,0,0.043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BIH",0,0,0,0,0,0,0,0,0,0,0.785,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.313,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08,0,0,0,0,0,0,26.209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.658,0,0,0,0,0,0,23.631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053,0,0,0,0,0,0,0,0,0,0,0,0,0,3.006,0,0,0,0,0,0,0,0.131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.333,0,0,0,0,0,0,3.472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196,0.342,0,6.238,0,0.149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
