"AFG","ALB","DZA","ASM","AND","AGO","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BOL","BIH","BWA","BRA","BLZ","SLB","VGB","BRN","BGR","MMR","BDI","BLR","KHM","CMR","CAN","CPV","CYM","CAF","LKA","TCD","CHL","CHN","CXR","CCK","COL","COG","COD","CRI","HRV","CUB","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","ETH","EST","FJI","FIN","FRA","PYF","GAB","GEO","GMB","DEU","GHA","KIR","GRC","GRD","GTM","GIN","GUY","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LSO","LVA","LBR","LBY","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MNE","MSR","MAR","MOZ","OMN","NAM","NRU","NPL","NLD","ABW","SXM","NCL","VUT","NZL","NIC","NER","NGA","NIU","NFK","NOR","MHL","PAK","PAN","PNG","PRY","PER","PHL","PCN","POL","PRT","GNB","TLS","QAT","ROU","RUS","RWA","BLM","SHN","AIA","LCA","VCT","SMR","SAU","SEN","SRB","SYC","SLE","IND","SGP","SVK","VNM","SVN","ZAF","ZWE","ESP","SDN","SUR","SWZ","SWE","CHE","TJK","THA","TGO","TON","TTO","ARE","TUN","TUR","TKM","TCA","TUV","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","YEM","ZMB","STP","CUW","COK","FSM","WSM","SSD","KNA","ATG","COM","DJI","PSE","GIB","BMU","IRQ","GNQ","ERI","GRL","BES","PLW","SOM","SYR","ATF","WLF","GUM","MNP","BTN","FLK","IOT"
"BLZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,176.212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VGB",0,0,0,0,0,0,0,0,7.376,0,0,0,0,0,0,0,0,0,0,0.093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGR",0,9.505,0.145,0,0,0,0.71,0,61.645,146.663,0,0,0,0,0,0.02,0,3.013,0,0.156,0,0,0,0,0,0,0,6.705,0,0,11.76,0,0,0,0.576,0,261.188,23.46,0,0,0.503,0,0,0,12.814,0,0,6.457,0,10.91,0,0,0,0.359,0,7.429,0,0,25.929,0,0,4.555,0,281.528,0,0,265.912,0,0,0,0,0,0,20.703,174.739,0,2.494,0,0,0,127.923,1.147,0.419,0,0,0,0.271,0,0,0,0,0,1.447,0,0.413,0,0,0.181,3.431,0,0,0,0,0,0,0,0,0,6.635,0,1.18,0.759,0,0.278,0,0,0,0,0,38.491,0,0,0,0,0,0,0,0,0,0,13.3,0,1.313,0.635,0,0,0,0,0,0.578,111.729,0,0,0,233.437,65.194,0,0,0,0,0,0,0,11.258,0,49.373,0,0,1.093,0.023,35.43,0,2.564,3.238,0,7.665,0,0,0,1.757,8.239,0,3.2,0,0,0,1.333,0.466,1.129,0,0,0,0,47.743,14.029,0,10.857,0,182.702,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLR",0,0,0,0,0,0,1.2,0.027,0,0,0,0,0,0.248,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,71.7,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0.1,0,0,2.8,0,0,0,0,0,0,0,0,0,0,34.1,0,0,0,0,41.9,0,0,0,0,0,0,0,0,0,0.71,1.3,0,0,1,0.504,0,0,0,0,0,8.7,0,0,0,6.601,0,0.2,0,0,0,1.2,0,0,18.499,0,0,0,0,0.5,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,3091.199,0,0,0,0,0,0,0,0,0,54.099,0,0,2.1,0,0,55.514,0,0,0,2.5,0.4,0,0,2,3.5,0.1,0,0,0,0,0,0,6.6,0,0,0,0,38.499,0,0,1.1,0,56.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KHM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,832.553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,337.597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CMR",0,0,0,0,0,0,0,0,0,0.215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028,0,0,0,3.195,0,0,129.019,0,30.106,0,3.178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032,0,0,8.58,0,0,0,0,0,0,0,0,0,0,0,0,0.335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN",0,0,4.829,0,0,52.691,0,4.818,442.947,570.906,0,6.891,0,0.37,9.285,28.456,2.143,0.199,481.591,32.425,0.185,0,0,0,7.807,0.061,0,11.9,0,0.577,0,0,0.067,0,33.282,0,74.529,2501.389,0,0,8.861,0,1.242,21.921,0,7.744,0,12.107,0,15.8,0,9.798,2.51,6.583,0,7.672,0.008,488.373,454.366,0,0,0,0,8499.635,45.575,0,11.628,0.073,0,3.448,0.902,1.109,9.982,3304.26,1.917,1.33,184.09,101.068,31.344,4868.646,570.199,0,5.945,2277.435,3.905,0,3.537,0,4388.684,9.378,0,0,0,0,4.577,0,0,35.393,0.357,0,0,0,1002.759,0.134,0,0,18.175,0,468.202,1.147,0,0,0,5.122,0,0.769,811.048,0,0,1634.133,0,0,0,0,28.228,11.6,0,4.033,0,0,16.941,0,24.444,430.554,0,0,92.405,2778.476,0,11.199,9.511,0,0,0.558,5.712,210.98,0.307,0,0,0,0,0,0,7.643,0,13.456,0,0,113.825,1122.423,0.261,4.554,1.494,3072.814,0.013,16.699,0,0.06,0,604.34,1426.488,0,18.247,0,0,13.956,325.029,0,10374.026,0.037,0,0,0.284,145.646,0,8.207,4077.522,43.163,188601.453,0,8.55,2.62,3.22,55.926,0,0,0.055,0,0,0,0,0,0.103,0,0,0,0,37.276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CPV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LKA",0,0,0.372,0,0,0,0,0,0,0.15,0,0,0.099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.557,0,0,0,0,0,0.074,0.122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.236,0,0,3.215,0,0,0,0,26.901,0,0,0,0,0,0,0,0,0,15.246,3.752,0,0,0,0.063,0,0,0,0,20.463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0,0,0,0,79.419,0,0,0,0,28.088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.402,0,16.449,0,0,0,0,0,0,0.09,0,0,0,0,0,1.995,0,0,0,0,0,0,0,0,0,0,0,0,39.599,1.308,0,0,0,0,0,0,0,0,0,10.078,14.346,0,0.063,0,0,0,0,0,0,0,0,0,2.101,0.076,0,0,0,0,19.646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHL",0,0,0,0,0,0,0,326.598,71.293,8.565,0,0,0,0,0,1.819,0.792,0,0,22.035,0,0,0,0,0,0,0,0,0,0,0.098,0,0,0,0,0,0,3.354,0,0,3.984,0,0,0.338,0,0,0,0,0,0,0,15.492,0.27,0,0,0,0,0,0,0,0,0,0,1.867,0,0,0,0,0,0,0,0,0,0,0.538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.407,0,0,0,0,0,0,0,0,0,0,0.116,0,0,0,0,0,0,0,0,0,0,0,0,781.552,0,0,10.025,20.229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.729,0,0,0,49.309,0,0,2.159,0,0,0,1.069,0,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,1.292,0,22.297,0,0,0,4.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN",20474.735,187.943,4526.854,0,563.917,8629.835,164.222,21409.679,679672.377,21431.669,78.526,963.121,56909.433,806.457,736.069,29340.771,14163.847,1240.669,264.371,485425.261,80.473,411.94,39.338,86.547,366.195,36377.033,655.211,6404.029,7646.387,8052.141,120511.244,352.013,98.119,15.655,16390.76,595.116,65847.37,0,0,0,14307.883,255.021,1928.563,3947.082,1061.694,37987.236,113.902,26007.739,2465.364,5733.536,275.019,11780.566,3290.686,15524.795,7781.709,3186.814,547.306,12281.594,52954.609,474.974,37.587,481.214,882.465,405311.835,20339.243,41.402,1392.206,83.219,3907.881,1611.45,608.849,2810.41,13514.118,2624345.822,17447.591,736.269,30778.151,104710.615,2118.102,41087.807,93238.285,3332.408,1844.898,2224541.604,6793.094,143066.686,35842.891,1815.585,1160252.837,787.459,389.816,2396.912,3527.876,0.511,1171.982,359.104,405.853,5122.434,6018.603,1713.452,11421.405,1772.8,160333.919,1396.013,29743.861,123.536,20641.578,1118.386,472905.712,15735.815,561.784,95.637,0,50558.373,3277.163,6496.18,17297.449,10,2095.016,226663.833,248.798,0,986.849,777.224,11981.341,3500.034,706.334,23285.063,0,0,5198.158,18.82,366620.558,20635.109,1747.409,1265.228,88280.051,61644.27,0,46515.766,850.341,258.568,2.428,1138.373,1228.625,73436.523,5452.423,0,0,0,14.244,30.646,0.286,7530.861,21039.577,2896.612,3.763,674.615,3607525.916,161997.473,1081.332,170103.545,22723.36,59689.863,2129.17,28424.737,2527.405,70.625,3.94,11530.295,43957.346,60.719,134092.952,4559.279,1056.717,43.086,285625.97,8729.661,147442.521,86.591,0,0,15294.141,101073.626,593.63,41528.31,69064.14,21341.683,1019324.297,7822.838,49974.265,4216.603,142.444,17754.731,2099.285,0.66,590.114,44.822,1.591,450.982,68.259,8.527,224.257,53.134,1263.016,835.316,0,0.915,432.897,11.412,4002.701,2.011,1.532,5.318,4322.347,5992.558,0,0,0,0,0,0,0
"CXR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COL",0,0,0,0,0,0,0,0,1.606,0,0,0,0,0,0,0,0,0,0,2.612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076,0,0,0,0,0,0,12.358,0,0,0,0,0,0,0,26.668,129.298,7.786,0,0,0,0,6.5,0,0,0,0,0,0,0,0,0,0.734,0,0,0,0.28,0,0,0,0,0,0,0,0,9.592,3.195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.766,0,0,0,0,0,0,0,0,0,0,12.005,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,2.983,0,0,7.617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.959,0,0,0,0.533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.351,0,12.308,0,0,0,8.952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG",0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.005,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CRI",0,0,0,0,0,0,0,0,0,0.086,0,0,0,0,0,0,0,0,0,0.358,0,0,0,0,0,0,0,0.1,0,0,5.415,0,0,0,0.546,0,0,8.061,0,0,0.498,0,0,0,0,0,0,0.22,0,0,0,0,0,2.806,0,0,0,0.092,0.415,0,0,0,0,9.757,0,0,0,0,12.895,0,0,0,0.324,0,0,0,0.758,0,0,0,0,0,1.65,0,0,0,0,0,11.959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.824,0,0,0,211.047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,7.677,0,0,0,0,0,0,0,1.11,0,0,0,0,0,3.096,0,0,0,0,1.243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.964,0,0,0,0.095,0,0.025,0,0,0,0,0.019,0,0.004,0,0,0,0,0,0.214,0,0,0,0,0,0,0,1.667,0,10.052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HRV",0.902,7.019,0,0,0,0,0,47.351,74.637,1135.392,0,0,0,0,0,0.196,0,116.789,0,194.29,0,0,0,0,8.455,0,0,0.007,0,0,0.573,0,0,0,0,0,0,1.497,0,0,4.088,0,0,0,0,0,0,0.334,0,391.417,0,0,0,0,0,12.841,0,0,8485.632,0,0,0,0,10799.864,0,0,168.426,0,0,0,0,0,0,0.205,2000.689,1.498,0,0,0,0.667,4356.784,0,0,0,19.586,0,0,0,0,0,0,0,0,0,0.086,0,0,0,1.946,0,0,0,0,0,0,0,0,0,0,0,0,7.277,0,0,0,0,0,0,0,3268.574,0,0,0,0,0,0,0,0,0,0,461.907,0,0,0,0,0,0,0,0,2.166,34.334,0,0,1.617,2.269,0.567,0,0,0,0,0,0,0,0,0,39.741,0,0,0.692,4.013,188.944,0,404.89,10.622,0,18.107,0,0,0,0.442,40.952,0,0.163,0,0,0,17.691,92.638,56541.713,0,0,0,0,10.879,35.026,0,0.392,0,0,0,2.887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
