"AFG","ALB","DZA","ASM","AND","AGO","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BOL","BIH","BWA","BRA","BLZ","SLB","VGB","BRN","BGR","MMR","BDI","BLR","KHM","CMR","CAN","CPV","CYM","CAF","LKA","TCD","CHL","CHN","CXR","CCK","COL","COG","COD","CRI","HRV","CUB","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","ETH","EST","FJI","FIN","FRA","PYF","GAB","GEO","GMB","DEU","GHA","KIR","GRC","GRD","GTM","GIN","GUY","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LSO","LVA","LBR","LBY","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MNE","MSR","MAR","MOZ","OMN","NAM","NRU","NPL","NLD","ABW","SXM","NCL","VUT","NZL","NIC","NER","NGA","NIU","NFK","NOR","MHL","PAK","PAN","PNG","PRY","PER","PHL","PCN","POL","PRT","GNB","TLS","QAT","ROU","RUS","RWA","BLM","SHN","AIA","LCA","VCT","SMR","SAU","SEN","SRB","SYC","SLE","IND","SGP","SVK","VNM","SVN","ZAF","ZWE","ESP","SDN","SUR","SWZ","SWE","CHE","TJK","THA","TGO","TON","TTO","ARE","TUN","TUR","TKM","TCA","TUV","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","YEM","ZMB","STP","CUW","COK","FSM","WSM","SSD","KNA","ATG","COM","DJI","PSE","GIB","BMU","IRQ","GNQ","ERI","GRL","BES","PLW","SOM","SYR","ATF","WLF","GUM","MNP","BTN","FLK","IOT"
"BHS",0,0,0,0,0,0,0,0,0,0.294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.847,0,54.65,31.84,0,0,0,0,0,0,0,0,0,0,31.53,0,0,0,22.218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,28.467,99.544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHR",0,0,0,0,0,0,0,0,0,2.255,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.105,0,0,0,3.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.724,0,0,0,0,0.12,0,0,0,0,0,0,176.963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054,0,0,0,0,0,0,0,0,24.25,0,0,0,0,0,0,0,0,0,0,0,0,9.426,0,0,0,0,0,0,1214.051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042,0,0,0,0,0,0,3.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRB",0,0,0,0,0,0,0,0,0,0,7.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.635,0.146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEL",0,0,2.901,0,0,43.443,0,27.118,43.969,1022.612,0,0.536,0.055,0,0,0,0,0.271,0,65.999,0,0,0,0,25.146,0,51.997,5.312,0,32.003,95.86,7.97,0,0,1.275,22.232,1.85,81.427,0,0,10.054,28.309,148.076,13.705,3.756,0,31.376,332.87,22.96,299.645,0,0,0.447,4,3.962,71.547,0,66.712,6161.929,1.282,0,0.165,15.406,8913.573,194.768,0,279.927,0,9.147,6.918,0,17.509,0,1461.725,440.263,13.06,2.819,21.531,1487.736,941.903,2582.639,11.559,0,98.824,0.369,61.549,21.37,0,869.982,2.576,0,0,1.631,0,32.941,5.47,0.7,30.987,486.525,0,1.709,0,228.168,1.189,10.167,12.774,0.016,1.293,346.118,0,0.579,0.106,0,627.293,0.962,4.658,83.479,0,0.003,14718.834,30.505,0.001,11.885,0,3.161,0,30.532,3.227,0,0,126.194,0,10.545,4.064,0,0,1.58,26.014,0,753.203,3078.299,0,0,2.946,1103.88,448.231,6.331,0,0,0,0,0,1.114,25.823,5.11,9.388,0.141,25.348,25.631,13.558,99.918,0.81,23.446,3.425,2.193,744.982,0,1.751,0,446.08,831.89,0,90.415,12.516,0,0,41.653,12.242,255.494,0,0,0,0.048,52.943,326.558,6.445,1831.27,0.059,1040.932,47.805,17.594,0,0,0,0.468,0,1.608,0,0,0,0,0,0.486,0.485,2.851,0.013,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BIH",0,0,0,0,0,0,0,4.187,0,10.354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.282,0,0,0,0,0,0,0,0.335,0,0,0,0,0,0,0,0,0,0,1.789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.886,0,0,0,0,0,0,0.355,0,0,0,0,0,0,0,6.348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BWA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.709,1.368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRA",0,0,0,0,0,29.34,0,87.255,0.136,0.026,0,0.507,0,0,0,0.904,13.48,0,0,0,1.084,0,0,0,0,0,0,0,0,0,0.377,0,0,0,0,0,58.749,971.764,0,0,24.874,0,0,2.757,2.911,0,0,1.348,0,0,0,99.241,10.474,0.183,0,0,0,0.043,1.343,0,0,0,0,65.086,0,0,0,0,1.222,0,0,0,0.366,71.792,0.494,0,0.328,0,0,3.341,3.617,0,0,0.711,0.27,0,0,0,9.332,0,0,0,0,0,0,0,0,0,0,0,0,0.098,0.543,0,0,0,0,0,419.201,0,0,0,0,0.165,0.014,0,0,0,0,0.284,0,0,0,0,0.004,0.422,0,2.342,0,0,0,0,0,2.153,0,89.916,27.822,0,0,0.008,0.025,0,0,0,0.792,2.104,0,0,0,0,0,0,0,0.026,0,1.725,0,0,7.284,1.574,0,3.603,0.141,1.094,0,72.537,0,0,0,2.659,0.69,0,1.527,0,0,0.312,0.006,1.145,1.478,0,0,0,0,2.908,0,0,0.211,0.782,245.709,0,6.801,0,2.558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
