"AFG","ALB","DZA","ASM","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BMU","BOL","BIH","BWA","BRA","BLZ","VGB","BRN","BGR","MMR","BDI","BLR","KHM","CMR","CAN","CPV","CYM","CAF","LKA","TCD","CHL","CHN","CXR","COL","COM","COG","COD","CRI","HRV","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","ETH","EST","FJI","FIN","FRA","GAB","GEO","PSE","DEU","GHA","GRC","GRL","GRD","GTM","GIN","GUY","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LSO","LVA","LBR","LBY","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MNE","MSR","MAR","MOZ","OMN","NAM","NRU","NLD","CUW","ABW","SXM","NCL","VUT","NZL","NIC","NER","NGA","NOR","MNP","MHL","PAK","PAN","PRY","PER","PHL","POL","PRT","GNB","TLS","QAT","ROU","RUS","RWA","SHN","KNA","LCA","SMR","SAU","SEN","SRB","SYC","SLE","IND","SGP","SVK","VNM","SVN","SOM","ZAF","ZWE","ESP","SSD","SUR","SWZ","SWE","CHE","SYR","TJK","THA","TGO","TTO","ARE","TUN","TUR","TKM","TCA","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","WSM","YEM","ZMB","VCT","SLB","COK","PYF","GUM","IRQ","PNG","GMB","SDN","NPL","CUB","GIB","STP","GNQ","DJI","SPM","BTN","ERI","KIR","FSM","PLW","TON","ATF","WLF","BLM","IOT","BES","NIU","FLK","AIA"
"BWA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101,43.369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRA",0,0,0,0,0,0.182,0,0,436.27,5.517,19.981,0.12,0,0,0,0.624,0.099,0,16.187,0,0,0,0,0,0,0,0,0,1.1,0,0.439,0.189,0,0,0,0,0,46.496,186.729,0,1259.993,0,0.306,0,8.116,0.018,0,0,0,30.135,0,1.269,15.675,1.285,0,0,0,0,35.922,0,0,0,52.873,0,0,0,0,0.987,0,94.29,1.19,0.106,23.543,0.337,0,0.004,0,0,2.986,4.425,0,0,0.514,4.219,0,0,0,105.534,0.06,0,0,0,0,0,6.38,0,0,0,0,0,0,9.973,0,0,0,0,0,57.463,0,0,0,0,0,0.114,0,0,0,0.413,0.176,0,0,0,0,22.911,8.413,0,0.612,0.218,0,0.695,0.502,1.124,12.215,4.508,4.059,0.136,195.409,0,0,0,0.486,9.6,0,0,0,0,0,0,0,2.355,0,0,9.868,1.652,25.137,33.95,0.184,0,2.077,0,3.306,0,0,0,1.048,4.198,0,0,0.027,0,0,20.723,0.096,0.341,0,0,0,0.241,0,0.015,1.99,0,89.399,0,39.484,0,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,5.442,1.376,0,0.199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VGB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGR",0,0,0,0,0,0,0,0,0.004,43.598,218.651,0,0,0.42,5.322,0,186.737,0,0.964,2.103,0.01,0,0,0,0,0,0,0,20.96,0,0,0.909,0,0,0,0,0,108.83,4.755,0,0,0,4.819,0,0,69.435,7.158,23.596,0,11.043,0,0.068,0.257,0,0.244,22.336,0,1.882,10.114,0,10.15,0.092,705.249,2.777,1151.798,0,0,0,0,0,0,0,9.197,299.747,0,4.517,0,0,26.413,210.647,0,0,34.137,0,0,0,0,0.088,1.321,0,0,0.137,0,4.792,0,0,0,0,0,0,0,0,0,0,0,0,0.865,2.928,0,0.432,0.571,0,8.202,0,0,0,0,465.267,0,0,0,0,0,0.109,0,0,0,1.435,0,0,0,0,0,2.561,0,3.404,11.609,0,0,18.926,680.389,97.296,0,0,0,0,0,0.744,1.99,222.305,0,0,2.426,49.02,108.176,0,8.021,0,0.103,0,7.518,0,0,0,5.709,1.727,0,0,0.082,2.072,0,1.082,0.451,0.823,0,0,0.186,7.645,285.144,0.572,12.875,0,272.801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113,0,0,0,0,0,0,1.964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1068.013,0,0,8.924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,730.927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLR",0,0,0,0,0,0,0,1.6,0.009,3.086,7.5,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,15.7,0,0,0,0,0,2.5,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0.4,0,7.8,0,0,0,0.1,0,0,0,0,0,0.8,5,0,0.8,0,106.098,0,0,0,0,0,0,0,0,0,2.8,0.1,0,0,0,0,5,1.3,0,0,5.6,0.908,0,0,0,0.6,0,7.9,0,0,0,0,0,0,45.598,0,0,0,0,0,0,0,0,0,0,4.5,0,1,0,0,0,0,0,0,0,6.8,0,0,0,0,0,0.677,0,0,0,3.6,0,0,0,0,0,0,0,13.501,0,0,0,0,0,1458.902,0,0,0,0,0,0,0,7,0,0,0,0,0.6,0.1,1.591,0,0,0,0.3,0,0,0,0,8.2,0,0.5,0,0,0,0,0,10.848,0.5,0,0,91.402,0,0,169.796,0,86.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KHM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.433,0,0,0,0,0,0,0,0,0,0,0,0,800.381,0,0,0,0,0,0,353.183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.177,0,0,0,0,0,0,0,3111.939,7.99,149.616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4720.073,5.082,0,0,0,0,0,0,97.199,0,0,0,0,1.04,0,0,0,0,0,0,0,3.696,0,0,0,0,0,0,0,0,18848.057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CMR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.065,0,0,0,0,0,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.383,0,0,0,0,0,0,0,0,26.576,0,0,0,0,0,0.048,0,0,0,0,0,0,0,0,0,0,0,0,0.053,0,0,0,0,0,0,0,0,0,0,0,0,0,0.681,0.472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN",0,0,23.136,0,0,0,0,0,9.113,340.186,1439.476,290.955,0.083,0.012,0.588,6.221,261.435,87.498,0.024,0.518,0.236,50.509,2.845,0,4.075,0.643,0,1.324,40.9,0,0,0,0,0,0,0,0,85.466,2348.466,0,24.705,0,0,2.407,0.358,0.228,1.194,103.909,0,38.54,0,0.927,35.193,4.837,0,1.747,0,282.84,1172.257,0,2.918,8.909,11316.221,1.564,0.489,0,0,0,230.72,2.72,7.466,1.661,8496.925,0.799,0,295.953,0,50.32,3176.235,550.279,0,50.854,2120.747,3.117,0,1.483,0,6196.379,4.063,0,0.182,1.008,0,0.581,0,0.416,2.497,10.09,0,0,25.974,1628.811,3.676,76.097,0,0,0,346.154,0,0,0,0,2.783,0,33.751,0,0,3147.328,0,2.921,0,0,0,203.494,0,0.078,25.798,26.69,0,0,0.469,1.243,1.698,0.632,2436.304,108.701,0.371,0,0,21.134,2.079,449.022,0.095,0,0,0,0,38.22,0,2.445,0,0,814.999,2038.365,0.032,1.792,0.304,11.848,599.033,44.267,20.787,0,12.326,0,654.746,1706.994,0,0,24.43,0,0.375,530.919,0.465,2824.847,0,13.802,1.802,4.96,0,0,4925.156,0,99887.027,0.791,63.341,0,5.711,0,0,37.553,0.811,0,0,0,0,211.719,0,0,0.844,0,26.632,0,0,0,0.342,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CPV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768.3,0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.558,0,0,0,0.164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LKA",0,0,0,0,0,0,0,0,0,0,2.335,0,0,0,0,0,0,0,0,0,0,0.076,0,0,0,0,115.161,0,0,0,0,15.841,0,0,0,0,0,0,746.596,0,0,0,0,0,0,0,0,7.559,0,0,0,0,0,0,0,0,0,0,0.171,0,0,0,1.58,0,0,0,0,0,0,0,0,0,0,3.008,0,0,0,0.195,1,0,0,0,7.458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22,60.423,0,0,0,0,65.047,0,0,0,0,0,0,0,0,0,0.252,0,0,0,0,0,0.398,0,0,0,0,0,0,9.903,0,0,0,0,1.196,0.419,0,0,0,0.255,1.095,0,0,0,0,0,0,0,0.277,0,0,158.724,13.158,0.219,2.82,36.118,0,0.95,0,0,0,0,0,1.691,92.773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHL",0,0,0,0,0,0,0,0,43.134,0,0,0,0,0,0,0,0,0,65.167,0,0,0.108,0,0,0,0,0,0,0,0,0,0.009,0,0,0,0,0,0,66.703,0,0.006,0,0,0,0,0,0,1.406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.989,11.272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.307,0,0,0,0,0,0,0,0,0,1.071,0,0,0,0,0,1.79,0,0,0,0,0,0,0,0,3.29,32.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.507,0,0,1.106,1077.566,0,0,0,0.557,0,0,0,0.211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.651,0,37.506,0,18.092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN",14625.253,2275.782,4285.843,0,10.518,3011.628,62.317,521.098,197393.243,1284255.231,53297.855,217.774,2850.763,41608.06,6840.48,3766.786,103558.498,2009.583,1325.383,1162.459,1673.873,1112327.659,364.87,2.368,24.182,12979.413,17569.856,423.331,51323.244,45399.443,4658.846,80646.001,191.243,150.374,259.898,24842.735,527.186,156563.821,0,0,32264.421,890.253,145.17,3014.1,5527.744,2866.433,14010.928,23634.304,4796.077,30164.407,564.027,47509.037,1984.918,44931.492,2278.114,6197.062,923.09,14530.042,99758.173,703.803,2009.627,3201.283,1026166.844,8424.539,40207.371,2.137,141.027,5872.657,3343.55,1287.816,6204.543,8282.245,2530773.053,34937.646,888.637,36172.768,24172.075,1777.502,111679.259,211325.305,5232.909,3969.511,2032079.037,152472.85,159333.913,44079.708,3.731,1194225.932,2226.504,370.987,117.894,5590.894,553.958,302.44,617.111,976.777,12547.622,10531.22,4994.616,7246.116,8539.769,184984.792,2272.023,71343.95,4667.468,1533.813,2480.73,808733.876,402.08,583.259,383.387,0.16,39214.598,4684.095,107218.724,6583.192,0,1776580.423,515.837,468.87,0.311,5222.649,242.45,11675.817,2501.183,589.41,43838.763,8758.098,0,47.797,364789.062,60042.075,1181.845,11844.427,138334.502,129970.889,297355.801,83.532,43.696,627.019,3894.513,201877.171,1893.365,0,36.17,45.608,0,114647.768,27691.204,3533.971,1240.619,407.216,1701219.847,188296.721,2565.382,1794720.377,52236.268,2410.626,288811.801,5745.089,935828.932,628.194,290.177,3638.301,24584.147,7870.616,6860.748,177.28,240303.968,8164.813,19.086,255621.644,21997.22,173372.897,21.844,7.539,13912.146,1016885.138,2430.311,154257.218,100493.623,21183.91,354371.46,9169.622,2389.733,3171.565,144.478,1.096,11263.83,2180.823,96.586,253.615,19.986,952.244,0,1510.121,1410.3,1025.006,6261.068,16324.278,18442.932,0,0.064,199.03,1938.852,0,8.157,82.457,188.826,13.164,126.114,1.592,0,0,0,0,0,0,0,0
"CXR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COL",0,0,0,0,0,0,0,0,0,0,0,0,4.402,0,0,0,0,0,0,0,0,0.575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165,8.686,0,0,0,0,0,0.654,0,0,0,0,0,0,24.453,110.822,18.799,0,0,0,0,0,0,0,0,0,0,0,0,0.764,4.589,0,2.895,0,2.313,0,0,0,0,0,0,0,0,0,0.704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.453,0,17.087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248,0,0,0,0,0,0,75.795,0,0,0,0,0,0,0,0,2.568,0,0.907,0,0,0,6.443,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG",0,0,0,0,0,0.244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.103,0,0,0,0,0,0,0.098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CRI",0,0,0,0,0,0,0,0,0.724,0,0.003,0,0,0,0,0,0,0,0,0,0,1.173,0,0,0,0,0,0,0,0,0,0.085,0,0,0,0,0,0,3.997,0,0.235,0,0,0,0,0,0,0.023,0,0,0,10.038,0,1.785,0,0,0,0.134,1.407,0,0,0,0,0,0,0,0,10.248,0,0,0,0.39,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.21,0,0,0,0,0,0,0,0,0,0,0,0,3.827,0,0,0,0,0,0,296.682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022,0,0,0,0,0,0,1.222,0,0.008,0,0,0,0,0,0,0,0.023,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.939,0,0,1.185,0,0,0,0,0,0,0,0,0,47.41,0,0,0,0,0.499,0,0,0,0.028,0,0,0,0,12.532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
