"AFG","ALB","DZA","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BMU","BTN","BOL","BIH","BWA","BRA","BLZ","IOT","SLB","VGB","BRN","BGR","MMR","BDI","BLR","KHM","CMR","CAN","CPV","CYM","LKA","TCD","CHL","CHN","CXR","COL","COG","COD","COK","CRI","HRV","CUB","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","GNQ","ETH","ERI","EST","FJI","FIN","FRA","PYF","GAB","GEO","GMB","PSE","DEU","GHA","GIB","KIR","GRC","GRL","GUM","GTM","GIN","GUY","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","LAO","LBN","LSO","LVA","LBR","LBY","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MNE","MAR","MOZ","OMN","NAM","NRU","NPL","NLD","CUW","ABW","SXM","BES","NCL","VUT","NZL","NIC","NER","NGA","NIU","NOR","PAK","PAN","PNG","PRY","PER","PHL","POL","PRT","GNB","TLS","QAT","ROU","RUS","RWA","SHN","LCA","SPM","VCT","SMR","STP","SAU","SEN","SRB","SYC","SLE","IND","SGP","SVK","VNM","SVN","ZAF","ZWE","ESP","SDN","SUR","SWZ","SWE","CHE","SYR","THA","TGO","TTO","ARE","TUN","TUR","TKM","TUV","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","VEN","WLF","WSM","YEM","ZMB","KNA","NFK","MHL","TCA","UZB","SSD","CAF","COM","GRD","IRQ","DJI","KGZ","FSM","PLW","SOM","TJK","TON","MNP","BLM","AIA","ASM","TKL","FLK"
"BWA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.667,272.816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,1.241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRA",0,0,13.513,0,141.232,0,0,130.731,0.066,0.596,0,0,0.045,0,0,0,0,0,16.777,0,0,0,0,0,0,0,0,0,0,0,0,0,0.429,0.529,0,0,0,0,42.637,196.952,0,109.283,0,0.645,0,6.834,0,1.341,0,0.314,0,0,0,115.997,9.497,0.29,0.904,0,0,0.172,0,0,4.368,0,0,0,0,0,26.196,0.628,0,0,0,0,0,0.929,0,0,0,0.656,54.848,9.244,0,0.002,0,7.073,7.918,4.427,0,0,7.655,1.343,0,5.299,0,149.393,0,0,0,0,0.015,0,0,0,0,0,0,0,3.623,0,0,0,0,0,813.514,0,0,0,0.318,0,0.052,0,0,0,0.74,0,0,0,0,0,0,0.207,3.365,0,1.385,0,0,0,1.811,0,58.803,48.624,0,0.013,0,0,0,0,0.173,0.642,0,0,0,0,0,0,0,0,0,1.163,0,0,4.05,0.937,3.233,256.698,0.224,1.3,0,5.529,0,0,0,0.05,1.06,0,3.574,0,0,0.081,0,0.64,0,0,0,0,0,0.705,0.277,0,208.041,0,22.281,2.046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IOT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VGB",0,0,0,0,0,0,0,0,3.647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGR",0.532,0,1.411,0,0,0,0,0,0,383.956,0,0,0,21.059,0,0,0,0,0,4.822,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0.586,0,0,0,0,0.739,9.079,0,1.435,0,0,0,0,5.433,3.717,1.733,1.138,0,43.21,0,0,0,0,0,0,0,1.299,0,0,7.832,0,0,0.289,0,0,546.416,0,0,0,254.327,0,0,0,0,0,0,0.05,23.692,106.784,0.646,0,0,0.762,0.994,138.358,1.02,0,0,0,0,0.332,0,0.278,0,0,0,0,59.245,0,0,2.959,0,0,0,0,0.538,0,0,0,0,0,2.392,0,0.085,0.084,10.605,0,0,0,0,0,30.131,0,0,0,0,0,0,0,0,0,0,0,0.328,0.244,0,0,0,15.468,0,10.848,133.62,0,0,0,1230.08,10.797,0,0,0,0,0,0,0,0.266,0,45.282,0,0,0.399,0.33,5.159,0,1.584,0.632,137.7,29.395,0,0,0,0.118,10.009,0,0,0,0,5.131,0.842,101.437,0,0,0,5.123,26.4,40.391,27.669,0,145.652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0,0,0,0,0.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.012,0,0,0,0,0,0,0,0,0,0,0,0,0.033,0,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLR",0,0,0,0,0,0,1,0.035,0.3,9.5,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,4.2,0,0,0,0,0,4.7,0,0,0,0,0,8.3,0,0,0,0,0,0,2.5,0,0,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0.323,0,0,0,0,0,44.399,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0,0,0.9,0,0,0,1.4,0,0,0,0.5,0,0,0,0,1.9,0,0,56.8,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,2.323,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,2.483,0,0,0,0,0,1553.9,0,0,0,0,0,0,0,0.3,0,0.359,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.32,0,0,0,0,0,0,0,0.7,0,0,22.1,0,0,0,0,65.399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KHM",0,0,0,0,0,0,0,0,3.936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.216,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1669.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.837,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,7.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CMR",0,0,0,0,0,0,0,0,0,0.158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.747,0,0,0,0,0,16.896,0,0,0,0,0,0,0,0,0,0,0,48.34,0,0,0,0,0,0,0,0,0.085,0,0,0,0,0,0,0,6.842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.124,0,0,0,0,0.159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0.72,0,0,0,0,0,0,0.208,0,0,0,0,0,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,1.956,0,0.315,0,0.425,0.223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.147,0,10.612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN",0,0,1.889,0,0,0.111,0,17.953,193.248,522.734,0.22,16.359,0,12.417,0.742,32.868,0,0,0.886,0.006,0,86.44,13.327,0,0,150.854,0,0.001,0,0,23.1,5.155,2.301,0,0,2.729,0,3.099,88.03,5916.076,0,32.41,0,0,0,8.131,0,26.301,73.16,5.151,0,6.598,0,0,0.73,1.777,3.039,0,0,20.18,0.013,188.632,602.897,0,0,16.08,0,0,10892.966,6.407,0,0,4.547,0,0.052,0.794,0,0,0,4.476,3954.489,10.507,9.57,241.253,0,12.741,1932.407,370.639,75.288,105.894,1218.194,0.416,0.765,1.217,0,654.632,85.882,0,0,0,2.597,0,0.354,15.485,2.641,0,0,0,511.721,1.049,0,0.024,8.294,0,1660.535,18.147,0,0,19.394,0,3.822,0.469,0,0,3103.13,0,0,0,0,36.442,0,36.822,20.417,0,65.884,0,31.47,2.674,9.093,0,0.985,57.264,6036.407,39.008,24.439,0,0,48.788,2.418,124.131,0,0,7.565,1.22,5.06,0,0,111.159,1.875,2.099,0,0,274.475,798.312,0.195,0.269,33.464,826.064,0.341,57.782,0,0,0,1785.29,1370.8,0,30.852,0,3.037,2593.906,0,370.099,0.044,0,8.779,17.037,0,8.139,10160.134,2.431,239758.787,101.976,0,0,0,0,0,0.035,0,0,0,24.692,0,0,0,0,3.291,1.359,0,0,0,0,0,0,0,0,0,0,0,0,0
"CPV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.333,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LKA",0,0,0.951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.387,0,0,0,0,0,0,0.115,0,0,0.502,0,0,0,0,0,0,0,0.254,0,0,0,0,4.518,0,0,0,0,0,0.163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.461,0,0,0,0,0,0,4.055,0,0,0,0,0,0,0,0,0,0,0,0,3.399,141.758,0,0,0,0,0,0,0,0,0,0,0.176,0,0,0,0.818,0,0,0,0,0,0,0,0,0,0,0,0,3.733,0,0,0,0.705,0,0,0,0,0,0,0,1.978,0,0,0,0,0,0,0,0,0,0,0,0,10.03,0.323,0.646,18.054,0,0,0,0,0,0,0,0,28.067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHL",0,0,0,0,0,0,0,0.021,0,0.036,0,0,0,0,0,0,0,0,18.221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,4.583,0,0,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0,0,89.222,0.159,0,0,0,0,0,9.349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.415,0,0,0,0,0,0,0,0,0,5.35,0,0,0,0,0,0,0,0,0,0,0,0,29.871,2.375,0,0.717,24.443,278.838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.827,0,0,0,0,0,0,1.657,0,0,0,0,0.613,0,0,0,0,0,0,0,0,9.406,0,0.194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN",4797.548,58.633,115294.577,67.828,2260.013,1536.487,101.819,6965.016,399583.23,34471.299,137.41,964.705,35566.666,539.362,1456.247,93394.5,51.325,0,1180.646,1206.592,1213.885,54882.12,4.584,0,968.042,7.425,369.812,952.084,34000.956,45.88,1733.023,2788.542,1112.188,109531.403,79.571,538.822,5094.468,376.795,260656.443,0,0,8461.475,113.794,4354.515,125.001,2682.266,4809.633,8259.873,162.461,17154.396,3202.425,44326.759,241.768,22107.166,10470.474,9082.743,1229.336,3375.015,130.207,849.131,761.043,23011.901,235691.271,834.961,391.148,488.709,958.066,806.337,364678.713,22064.05,4,79.949,1913.707,0,0,25290.075,2059.648,176.942,2432.725,199575.013,3788110.179,15839.012,225.438,29047.247,76843.212,1733.213,56005.676,76320.213,1346.255,2220.301,4005493.581,2376.844,86548.392,14802.672,8487.939,1290645.594,9882.948,3279.055,3994.091,22.399,756.09,49.206,807.616,4660.38,12009.2,14559.848,11371.61,1199.486,182150.841,1186.702,2716.504,3477.018,2572.702,484.755,196683.666,111.421,471.462,393.783,6699.889,3998.216,2446.326,3652.933,0,2120.4,741198.007,1373.476,315.202,0,46.8,524.129,809.991,10002.67,3621.927,526.511,30290.356,0,4766.652,391583.465,30877.933,2381.221,902.571,2449.726,540512.554,28376.312,4206.774,33.6,95.93,1331.451,3989.534,99058.545,839.236,0,172.065,0,241.674,6.35,0,13358.05,11169.065,1341.852,84.731,65.449,1502998.109,403240.527,1073.39,99311.527,5614.487,107341.764,2029.972,23770.357,1724.94,359.821,30.735,18674.15,103896.274,2813.949,406944.029,11081.591,85.178,123364.473,3696.184,292440.809,203.151,0,18646.237,13467.748,2421.226,19448.246,688395.395,9201.892,2134095.509,16440.643,33580.712,42.207,0,1217.533,40739.523,1689.542,4.261,0,101.222,0,1645.327,1450.008,78.325,577.104,43.441,1525.648,4035.395,127.705,583.668,157.142,2415.215,803.81,362.107,0,0,0,0,0,0
"CXR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.75,0,0,0.146,0,0,2.947,0,0,0,0,0,0,0,0,0,0,0,0.149,0,0,0,0,0.26,0.016,0,0,0,0,0,0.311,0,0,0,0,0,0,0,0.004,113.302,13.6,0,0.028,0,0,0,0,13.272,0,0,0,0,0,191.644,0,0,0,0,0,0,46.12,0,0,0,0,0,0,0,0,0,0,0,0,0,5.394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.459,0,0,0,0,0,0,0,0.01,0,0,0,0,0,15.727,0,0,5.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.541,0,0,0,0,0,0,0.042,0,0,0,2.361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.37,0,0,22.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119,0,0,0,0,0,0,2.059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CRI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.424,0,0,0,0,0,0,0,0,0,0,0,10.461,0,0,0,0,0,39.166,0,3.277,0,0,0,0,0,0,0,0,0,0,0,0.165,0,3.619,0,0,0,0,0,0.03,0.353,0,0,0,0,0,8.842,0,0,0,0,0,0,8.26,0,0,0,3.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.327,0,0,0,0,0,0,0,0,0,3.172,0,0,0,0,0,0,0,4.834,0,0,0,7.828,0,2.9,0,0,0.027,2.032,0.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.599,0.08,0,7.349,0,0,0,0,0,0,0,0,2.292,0,0.168,0,0,0,0,1.139,0,0,0,0,0,0,0,0,21.637,0,0,2.117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
