"AFG","ALB","DZA","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BOL","BIH","BWA","BRA","BLZ","SLB","VGB","BRN","BGR","MMR","BLR","KHM","CMR","CAN","CPV","CYM","CAF","LKA","TCD","CHL","CHN","CXR","CCK","COL","COG","COD","COK","CRI","HRV","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","ETH","ERI","EST","FJI","FIN","FRA","GAB","GEO","DEU","GHA","GIB","GRC","GRD","GUM","GTM","GIN","GUY","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LSO","LVA","LBR","LBY","LTU","LUX","MAC","MDG","MWI","MYS","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MNE","MAR","MOZ","OMN","NAM","NRU","NLD","CUW","ABW","NCL","VUT","NZL","NIC","NER","NGA","NIU","NOR","MHL","PAK","PAN","PNG","PRY","PER","PHL","POL","PRT","GNB","TLS","QAT","ROU","RUS","RWA","KNA","AIA","LCA","VCT","SMR","STP","SAU","SEN","SRB","SLE","IND","SGP","SVK","VNM","SVN","SOM","ZAF","ZWE","ESP","SDN","SUR","SWZ","SWE","CHE","SYR","TJK","THA","TGO","TTO","ARE","TUN","TUR","TKM","TCA","TUV","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","VEN","WSM","YEM","ZMB","SYC","KIR","MDV","TON","COM","PYF","PSE","NPL","SSD","BDI","GNQ","DJI","GMB","SXM","CUB","BMU","GRL","FSM","PLW","UZB","BLM","SPM","BES","ASM","WLF","MSR","BTN","MNP","SHN","FLK","IOT"
"BLZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225,0,0,0,0,0,0,0,47.566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VGB",0,0,0,0,0,0,0,0,10.081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGR",0,0,6.011,0,0,0,0,0,78.068,184.826,0,0,0,0,0,0,0,2.504,0,0.075,0,0,0,0,0,0,3.3,0,0,4.15,0,0,0,0,0,29.796,499.91,0,0,2.514,0,0,0,0,9.992,0,3.462,0,11.441,0,0,0,0,0,0,0.069,0,0,6.03,0,1.221,1055.296,0,0,122.976,0,0,0,0,0,0,0,5.801,996.2,0,0.794,0,0,0.405,0,941.713,0,0,32.256,0,0,0,0,10.392,0,0,0,0.629,0,0.697,0,0,365.242,0.135,0,0,0,0,0,8.375,0,1.955,3.416,0,1.604,1.135,8.011,0,0,0,0,10.457,0,0,0,0,8.724,4.35,0,0,0,1.173,0,27.302,0,0,0,0,0,3.199,58.956,0,0,0,233.841,109.213,0,0,0,0,0,0,0,0,0,57.393,0,3.141,0.275,0,0,1.769,0,1.161,0,4.537,0,0,0,13.778,17.67,0,0,0,0,0,0,1.116,0,0,0,0,0,29.207,21.964,0,13.639,0,122.492,16.081,0,0,0,0,0,0,0,1.035,0,0,1.806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMR",0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLR",0,0,0,0,0,0,0.6,0.018,0.2,0.7,0,0,0,0.365,0,0.6,0,0,0,2.4,0,0,0,0,0,0,0,0,0,10.6,0,0,0,0,0,0,4.9,0,0,0,0,0,0,0,1.3,0,19.8,0,0,0,0,0,0,0,0,0,0,0,0.46,0,0.2,2.5,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0,0,1.331,0,0,0,13.8,6.2,0,0,0,0,0.1,0,0,0,2.4,0,0,7.3,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,19.4,0,0,0,0,0,0,0,0,0,2.7,0,0,0,0,0,0,0,10,0,0,0,0,0.1,2053.71,0,0,0,0,0,0,0,0,0,0,0,0.1,0.378,0,0,0,0,0,0,0,0,0,0,0.4,1.2,0,0,0,0,0,0,0,0,0.2,0,0,0,41.999,0,0,4.542,0,56.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KHM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.928,0,0,12.076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CMR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.754,0,0,0,0,0,0,0.387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.863,0,0,0,0,0,0,0,0,0,0,0,0,1.256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238,0,0,0,0,0,0,0,0,0,0,0,0,1.283,0,15.505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN",0,0.15,0,0,56.409,0.115,1.18,47.445,286.786,564.523,4.997,0.041,0.522,0.501,1.746,132.892,0.3,0.301,28.425,2335.928,0.317,0,0.074,0.134,0.93,0,10.3,0,5.97,0,0,0,0,0.89,0,327.783,2869.564,0,0,2.139,3.621,109.488,0,153.254,4.833,107.935,20.262,0,13.241,0,13.482,3.712,4.587,0,0,13.797,2.641,156.287,426.239,0,0,8104.978,16.909,0,0.003,0,0,11.701,2.266,0.101,0.064,0,6719.942,1.369,0.018,158.864,16.8,0,252.096,2611.719,435.79,5.355,202.903,1904.412,8.144,0,0.466,0,925.247,2.485,0,0,0.219,0,8.887,0,0,46.761,0.764,0,67.626,5.177,740.426,0,0,4.281,0.122,1075.015,0,0,0,1.184,0,13.896,0.105,0,2384.428,5.634,0,0,0,60.269,0.028,0,17.975,0,18.891,0,45.816,0,0,1.381,68.155,2578.547,40.597,7.269,0,0,0.018,0.008,144.716,4.684,0,122.422,5.263,10.522,0,0,8.425,0.68,3.285,15.915,497.205,1436.284,0.101,0.5,1.175,0,1565.292,0.22,279.61,0,1.503,0,1099.626,1329.3,0,0,22.216,5.102,116.589,1826.823,1.902,2135.763,0,0,0,6.531,0.742,0,1.516,8885.334,2.191,216233.218,0,0.466,0,0,0,0.355,0,0,3.952,0,0,0,0,0,0,0,0.979,0,0,0,40.179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CPV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,2.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.084,0,0,5.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LKA",0,0,0,0,0,0,0,0,0,0,0,0,27.138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.165,0,0,0,0,0,0.092,0.468,0,0,0,0,0,0,0,0,0,0.281,0,0,0,0,0,0.38,0,0,0,0,0,6.572,0,0,2.194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.219,0,0,0,0,0,0,0,0,0,0,0,16.401,0.403,1.125,0,0,0,0,0,0,0,0,0,0,12.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06,0,5.01,0,0,0,0,0,0,0,0,169.614,0,0,0,0,0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHL",0,0,0,0,0,0,0,47.197,0,0.653,0,0,0,0,0,0,63.201,0,0,2.667,0,0,0,0,0,0,0,0,0,0.632,0,0,0,0,0,0,1325.053,0,0,0,0,0,0,0,0,0,0,0,0.337,0,0,0,0,0,0,0,0,0,0,0,0,0.654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.665,0,0,0,0,0,0,0,0,1.242,0,0,0,0,0,0,0,0,0,0,0,7.255,0,0,8.472,17.266,0,0,0.307,0,0,0,0,0,0,0,0,0,0,0,0,2.255,0,0,0,138.803,0,0,0,0,0,0,0,3.074,0,0,0,0,0,0,0,0,0,0,0,0,12729.852,0,0,0,0,0,0,0,5.307,0,240.586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN",13064.031,212.342,19263.277,126.943,517.616,1606.617,180.672,6063.754,368897.996,26672.27,109.974,184.765,34043.669,366.293,2982.229,50316.737,1448.257,986.58,340.052,323570.888,255.013,693.946,0,45.497,408.321,19418.338,19846.702,3043.521,12769.951,36995.568,80.456,214.17,451.863,11212.451,170.401,204144.671,0,0,0,8297.493,1291.693,3650.079,66.773,2131.513,1754.308,45.173,14314.195,5394.819,24399.804,284.229,8365.012,3083.192,13901.345,3726.855,82.194,515.46,1615.022,6462.206,71918.986,159.85,329.213,426682.202,17827.911,0,2088.572,57.062,0,4476.59,1747.891,251.435,1838.322,17843.952,2558901.778,19625.447,537.271,29634.184,89640.499,1356.912,1556.522,27318.825,103297.194,2073.085,4867.085,3009510.033,3653.921,51807.562,21137.19,5239.526,1080020.793,1783.071,462.737,1158.637,2945.407,95.091,524.51,266.215,685.676,12288.871,8792.902,931.313,10552.597,1293.162,122497.016,4561.276,267.718,9646.636,1453.462,161614.783,6058.647,437.641,118.581,36327.174,3900.265,5065.828,8934.571,0,500689.074,16.562,548.988,5831.64,1304.974,11292.535,2209.975,741.051,31528.294,0,4915.657,70.887,368971.645,19158.481,2295.215,651.872,4764.936,165642.359,13505.19,3035.152,16.167,415.602,501.113,1851.683,52457.807,12247.808,0.636,0,199.034,120.824,16.21,23.541,9190.448,36430.983,2268.961,196.31,2605822.513,146590.651,1365.694,88899.054,10901.101,1957.502,70973.648,1872.267,18956.177,3478.973,234.657,16.591,19646.965,66768.118,2399.439,259.435,205745.129,5551.574,13.26,76290.945,2646.624,884829.454,63.004,0,0,13294.48,81662.797,1330.885,24276.303,273205.184,17438.228,1892571.509,7141.995,23011.08,281.332,1284.48,30443.877,1733.383,0.269,11.774,1713.244,633.055,656.551,838.353,125.388,5111.793,423.439,171.56,155.684,2052.228,649.25,0,31643.337,49.32,0.107,36.94,52.502,833.359,0,0,0,0,0,0,0,0,0,0,0
"CXR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COL",0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,5.619,0.024,0,0,1.01,0,0,0,0,0,0,0,0,0,1.079,0,0,0,0,0,0,0.112,0,0,0,0,0,0,65.499,0,0,0,0,0,0,0.158,243.816,6.921,0,0,0,0,0,0,0,0,1.335,0,0,0,0,0,3.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.617,0,0,9.345,0,0,0,0,0,0,0,1.179,0,0,0,0,0,0,0,0,0,0,0,0,0.331,0,0,0,0,0,0,0.578,0,0,0,0.171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.736,0,0,4.167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COD",0,0,0,0,1.99,0,0,0,0,0,0,0,0,0,0,5.502,0,0,0,0,0,0,0,0,0,0,0,0,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CRI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.032,0,0,0,0,0,0,0,0,0,28.252,0,0,0,0,0,19.252,13.188,0,0,0.716,0,0,0,0,0,0,0.306,0,0.063,0,0,0,1.775,0,0,0,0,0.013,0.184,0,0,1.161,0,0,0,0,0,6.528,0,0,0,0,0,3.308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.061,0,0,0,0,0,0,0,0,0,0,0,0,0,12.744,0,0,0,0,449.664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.212,0,0,0,0,0,0,17.537,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0.112,0,0,0,0.058,0,0,0,0,0,0,0,0,0,0,0,0.078,0,0,0,0,120.426,0,0,0,0,0,0,0,0,0,107.424,0,0,1.637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HRV",0,0.091,0,0,0,0,0,0,0,500.261,0,0,0,0,0,143.64,0,839.9,0,62.331,0,0,0,0,15.103,0,0,0,0,0.622,0,0,0,0,0,0,3.759,0,0,0,0,0,0,0,0,0,21.852,0,1354.543,0,0,0,0,0,0,141.594,0,0,8500.3,0,0,6001.315,0,0,66.818,0,0,0,0,0,0,0,0.217,162.463,0,0,0,0,0,2,5134.494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129,0,0,11.383,57.396,0,0,0,0,5652.155,0,0,0,0,0,0,0,0,0,118.276,0,0,0,0,0,0,0,0.511,25.368,0,0,0,2.227,0.109,0,0,0,0,0,0,0,0,0,29.058,0,1.837,0,299.71,0,455.483,0,2.248,0,32.716,0,0,0,7.134,236.074,0,0,0,0,0,4.522,97.035,5877.018,0,0,0,0,0,42.431,0,1.83,0,2.455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP",0,0,0,0,0,0,0,0,0,2.626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,56.901,0,0,0,0,0,0,0,0,0.213,0,0,0,0,0,0.254,10.509,0,0,0,0,0,0,0,0,0,0,0,0,0,6.971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.995,1.565,0,0,0,0,4.474,0,0,0,0,0,0,0,1.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0.569,0,0,0.003,0,0,0,0,0,0,0,1.549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.639,0,0,35.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
