"ARG","AUS","AUT","BHR","BEL","BIH","BWA","BRA","VGB","BGR","BLR","CMR","CAN","LKA","CHN","COL","CYP","CZE","BEN","DNK","ECU","FIN","FRA","GEO","DEU","GHA","GRC","GRD","GUM","HKG","HUN","IDN","IRN","IRL","ISR","ITA","JPN","KAZ","JOR","KEN","PRK","KOR","KGZ","LBN","LTU","LUX","MYS","MEX","NAM","NLD","NZL","NOR","MHL","PAK","PHL","POL","PRT","ROU","RUS","SAU","IND","SGP","SVK","VNM","SVN","ZAF","ZWE","ESP","SWE","CHE","THA","ARE","TUR","UGA","UKR","MKD","EGY","GBR","USA","ZMB","OMN","PNG","WSM","LVA","QAT","MLT","MOZ","ALB","CUB","PER","BGD","LAO","RWA","SRB","SDN","TZA","YEM","NIC","DZA","AGO","HRV","PYF","MDG","MRT","ETH","KWT","MUS","CIV","FSM","NGA","MMR","IRQ","BLZ","KHM","MNG","VUT","BFA","SUR","FJI","NPL","MDV","TLS","LSO","MWI","SWZ","CHL","MAR","EST","SYR","ATG","BHS","BRN","CRI","DOM","HTI","HND","JAM","MDA","PAN","TTO","TUN","COG","COD"
"BLR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CMR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,14137.386,0.057,0,0,0,0,0,373.466,299.934,0,1011.063,0,0,0,0,82.787,0,0,0,0,0,0,46.498,0,0,0,0,2.039,0,0,0,0,0,0,0,0,0,98161.418,0,0,0,0,0,0,0,0,45.98,5.037,0,0,0,0,0,5.821,0,2.814,0,0,0,0,0,0,0,0,10765.89,0,0,0,0,0,0,0.046,0,0.13,0.4,0.102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LKA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN",0,1242.634,101.055,12.035,177.023,0,3.362,0,0,0,1.6,0,2537.237,0.872,0,0,0,225.757,0,3.484,106.927,32.659,25.663,0,19675.787,0,0,0,0,7109.489,29,32.339,0,0,4,41.869,118216.317,1210.909,3.513,0,0,23949.694,0,0,0,0,1016.738,0,0,90.81,0.208,3161.409,0,239.553,5408.179,0,0.5,0,1191.355,133.067,16705.671,753.182,167.273,135.39,0,2672.887,0,66.321,40.628,913.434,7226.288,0,313.514,0,0,0,40.327,854.616,10962.499,0.084,123.522,0,0,0,0,0,0,0,0,0,67.008,7.7,0.036,152.984,2.448,0.975,33.638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.383,0,0,0,0,0,0,60.096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.641,0,0,0,0,0,0,0,0,0,913.09,0,2.608,0,0,107.067,0,0,0,0,0,2.68,2226.676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298.891,0,0,0,84.702,0,0,47.802,0,0,0,1761.513,0,0,0,0,0,0,0,0,41.15,0,0,101.197,0,0,0,39.842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNK",0,4368.113,0,0,0,0,0,0,0,0,0,0,0,0,1.836,0,0,255.141,0,0,0,0,0,0,0,0,0,0,0,324.701,0,0,0,0,0,0,515.693,0,0,0,0,1608.622,0,0,0,0,0,0,0,0,0,4440.31,0,0,0,13006.992,0,0,0,0,0,0,0,0,20.047,0,0,0,40.388,0.216,0,0,0,0,0,0,0,0,2579.991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
