"AFG","ALB","DZA","ASM","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BMU","BTN","BOL","BIH","BWA","BRA","BLZ","SLB","VGB","BRN","BGR","MMR","BDI","BLR","KHM","CMR","CAN","CPV","CYM","CAF","LKA","TCD","CHL","CHN","CXR","CCK","COL","COM","COG","COD","COK","CRI","HRV","CUB","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","GNQ","ETH","EST","FLK","FJI","FIN","FRA","PYF","ATF","DJI","GAB","GEO","GMB","DEU","GHA","GIB","GRC","GRD","GUM","GTM","GIN","GUY","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LSO","LVA","LBR","LBY","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MNE","MAR","MOZ","OMN","NAM","NRU","NPL","NLD","CUW","ABW","SXM","BES","NCL","VUT","NZL","NIC","NER","NGA","NIU","NOR","PLW","PAK","PAN","PNG","PRY","PER","PHL","POL","PRT","GNB","TLS","QAT","ROU","RUS","RWA","BLM","SHN","KNA","AIA","LCA","VCT","SMR","STP","SAU","SEN","SRB","SYC","SLE","IND","SGP","SVK","VNM","SVN","SOM","ZAF","ZWE","ESP","SSD","SDN","SUR","SWZ","SWE","CHE","SYR","TJK","THA","TGO","TKL","TTO","ARE","TUN","TUR","TKM","TCA","TUV","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","WSM","YEM","ZMB","PSE","KIR","FSM","GRL","SPM","ERI","MHL","TON","WLF","MNP","NFK","IOT","MSR"
"AUT",0,3.713,77.307,0,73.51,2.531,0,9.133,39.787,749.697,0,0,18.415,3.518,204.169,0,947.543,0,0,12.143,76.653,0,303.656,1.417,0,60.983,0.216,926.455,1.679,0,22.593,0,5.626,14913.748,0,0,0,7.297,0,402.494,14167.205,0,0,92.529,0,0,0,0,1.756,1036.837,0.033,67.027,4175.997,12.424,1568.177,0.022,88.864,139.183,2.959,0,4.738,844.122,0,0,742.061,3506.59,5.348,0,29.346,0.058,36.489,0.056,51310.519,0.153,0,596.705,0.138,0,76.747,11.581,0,0,1.247,437.441,5345.88,38.567,852.906,119.027,0,31.001,156.681,5329.595,16.967,0,848.88,5.02,0.538,10.436,0,835.883,50.054,1.839,13.892,6.933,0.87,60.905,1.462,0.484,274.111,70.85,4.87,2.947,0.834,841.94,82.534,0,75.609,0,5.184,1912.014,0.083,30.34,22.442,40.206,22.78,26.777,5.473,0,0.129,5951.212,0,0,0,0,9.766,14.196,137.709,155.602,0,11.712,0,4067.598,0,48.094,29.485,1.442,14.837,56.248,40.256,3674.427,1581.883,0,0,85.676,1355.59,927.256,9.455,0,0,0,0,0,0,10.642,0,136.789,1.592,560.038,0,0.055,584.291,692.317,8031.781,320.151,2010.914,0,299.742,0,1668.683,6.124,0.065,0,0,2350.292,16323.661,0,0.875,484.433,0,0,1.137,978.539,3084.904,498.802,7.599,0,0,0,85.821,10.712,96.048,7600.171,5.32,7622.746,0,4.49,85.939,0.058,0,0.046,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHS",0,0,0,0,0,0,0,0,0,4.488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.863,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0.084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,5.795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.666,0,0,0,0,0,0,0,0,0.086,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHR",0,0,0,0,0,0,0,0,0,0,1.101,0,0,0,0,0,0.227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021,0,0,0,0,0,0,0,0,0,0,0,0,0.636,0,0,0,0,0,0,8.676,0,0,0,0,0,0,0,0,0,0,1.199,0,0,0,0,0,0,0,1.289,0,0,0,0,5.795,0,0,0,21.277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.659,0,6.743,0,0,0,24.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.58,0,0,0,0,0,0,0,0,0,0,0,99.625,0,0,0,0,7.799,6.368,0,0,0,0,0.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.374,0,0,0,0,0,0,0,0,0,46.349,0,5.759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGD",0,0,0,0,0,0,0,0,1.01,0,0.116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.315,0,0,0,5.94,0,0,0.039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0,22.367,2.053,0,0,0,0,0,0,57.842,0,0,0,0,0,0,0,0,0,0,3.396,0,0,0,0,0,208.456,0,147.059,0,0,4708.983,0,0,0,0,41.014,0,0,0,0,0,0,0,0,1.498,0,0,0,0,0,0.111,0,1.077,0,0,0,0,0,0,0,0,0,0,0,0,14.89,0,0,0,0,0,0,0,0,0,0,0,39.075,0,16.472,0,0,0,0,0,5.786,0,0,0,0,0,0,0,0,0,0,0,0,0.055,0,0,0,0,0,0,0,12.048,8.385,0.089,0,0,0,0,0,1.178,0,0,0,0,0.117,0,0,0,1.336,0,0,0,0,0,4.209,0,0,0,0,0,0,0,60.229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0.401,0,0,0,0,0,0,0,0,0,15.285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.318,0,0,0,0,12.406,0,1.446,0,0,0,0,0,0,0,0,0,0,0,32.192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.617,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,4.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRB",0,0,0,0,0,0,0.003,0,0,2.485,0,0,0,0,0,0,0,1.432,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,5.308,0,0,0,0,0,0,0,0,0,0.339,0,0,0,0,0.086,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0.439,0,0,0,0.925,0,0,0,0,0,0,0,0,0,0,0,0,0.131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.303,0.615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.945,0,0,0,0,0,0,0,0,0,0,1.639,0,42.691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEL",4.849,19.77,133.661,0,11.72,23.081,0,9.139,23.126,328.186,1081.888,0.153,35.777,18.691,67.231,0.112,0,1.89,0,1.711,6.863,0,594.168,0.075,0,0,0,410.095,4.944,7.011,15.731,4.056,14.558,864.435,0.929,0.7,0,35.87,0.395,40.205,2504.814,0,0,42.902,0,39.377,58.671,0,19.268,476.08,2.807,150.23,624.155,23.758,3018.676,0,4.002,56.295,30.331,0.214,2.682,729.698,0,1.983,828.01,28771.616,12.186,0,4.425,14.364,36.388,5.362,28954.272,2726.022,7.809,1542.187,0,0,75.495,56.229,0.598,0.007,0.001,2711.497,2059.809,30.811,26.994,177.055,6.273,1240.815,1683.39,17158.4,103.059,0,5806.846,123.974,73.319,4.24,1.511,364.672,41.676,0.189,0,36.552,0,464.179,78.491,2.872,490.172,1686.669,0,46.191,0,354.697,50.737,9.758,318.895,7.26,96.453,123.269,37.739,12.623,0.767,96.446,3.696,137.632,0.011,0,0,34265.663,16.417,38.333,0.331,0,1.011,0,30.667,3.732,0.794,278.57,0,1552.412,0,36.488,169.397,23.149,65.31,11.333,93.325,3643.865,1457.109,0,1.269,39.795,1475.077,829.982,27.026,0.055,0,0,0,0.106,0,67.746,0,104.103,288.027,59.524,6.686,8.2,935.476,568.952,522.516,287.731,114.834,0,356.036,0.061,6936.954,0,7.722,171.977,0,5322.602,3669.538,0,0,4664.452,480.971,0,0,607.939,167.279,865.17,0,0,0,4.806,84.367,108.33,74.766,20337.23,33.808,10524.279,15.682,67.951,1.936,2.307,0,0,22.111,10.018,0,0,2.129,0,0,0,0,0,0,0,0,0
"BMU",0,0,0,0,0,0,0,0,0,5.404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0,0,0,0,0,0,0,0,0,22.655,0,0,0,0,0,0,1.339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1233.785,0,0,0,0,0,0,2.144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.119,0,0,0,0,0,0,0,0,0,0,0,0,136.298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.361,0,1032.515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BTN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOL",0,0,0,0,0,0,0,0,0,0,0.044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.439,0,0,0,5.056,0,0,0,0,0.062,0,0,0,0,0,41.706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.916,0,0,0,0,0,0,0,0,0,0,0.422,0,0,2.975,0,0,0,0,6.057,0,0,0,0,0,0,0,18.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.389,0,0.054,1.479,0,0,0,0,0,0,0.085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.455,0,0,0,0,0,0,5.008,0,0,0,0,0,0,0,0,0.945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
