"AFG","ALB","DZA","ASM","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BMU","BTN","BOL","BIH","BWA","BRA","BLZ","SLB","VGB","BRN","BGR","MMR","BDI","BLR","KHM","CMR","CAN","CPV","CYM","CAF","LKA","TCD","CHL","CHN","CXR","CCK","COL","COM","COG","COD","COK","CRI","HRV","CUB","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","GNQ","ETH","EST","FLK","FJI","FIN","FRA","PYF","ATF","DJI","GAB","GEO","GMB","DEU","GHA","GIB","GRC","GRD","GUM","GTM","GIN","GUY","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LSO","LVA","LBR","LBY","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MNE","MAR","MOZ","OMN","NAM","NRU","NPL","NLD","CUW","ABW","SXM","BES","NCL","VUT","NZL","NIC","NER","NGA","NIU","NOR","PLW","PAK","PAN","PNG","PRY","PER","PHL","POL","PRT","GNB","TLS","QAT","ROU","RUS","RWA","BLM","SHN","KNA","AIA","LCA","VCT","SMR","STP","SAU","SEN","SRB","SYC","SLE","IND","SGP","SVK","VNM","SVN","SOM","ZAF","ZWE","ESP","SSD","SDN","SUR","SWZ","SWE","CHE","SYR","TJK","THA","TGO","TKL","TTO","ARE","TUN","TUR","TKM","TCA","TUV","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","WSM","YEM","ZMB","PSE","KIR","FSM","GRL","SPM","ERI","MHL","TON","WLF","MNP","NFK","IOT","MSR"
"BIH",0,0,0,0,0,0,0,0,0,0,615.677,0,0,0,1.423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.695,0,0,0,0,0,0.979,0,0,0,66.559,0,0,0.032,0,0.621,0,0,0,0,0,0,0,0,0,0,2.371,0,0,0,0,0,0,279.452,0,0,0,0,0,0,0,0,0,0,0,1.197,0,0,0,0,0,0.763,4.136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.064,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,1.239,0,0,0,0,0,0,0,0.026,0,0,0,0,0.061,0,0,0,0,0,0,0,0,0,0,0,0,22.404,0,0,11.768,0,0,0,56.189,0,0,0,0.024,0,0,0,0,0,0.555,0,0,0.179,0,0,0,0,0,0,0,0,0,0,0,4.301,0,0.047,0,1.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BWA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.014,0,0,0.265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.972,0,0,0,0,0,0,0,0,0,57.412,1.428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048,0,0,0,0,0,0,0,0,0,0,0,0,28.728,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRA",0,0,621.267,0,0,21.231,0,0,2596.241,978.111,0.316,0,1.153,0,0,2.927,50.591,0,0,358.564,0,0,0,0.241,0,0,0,0.042,0.072,0,1.421,0,0.235,114.581,2.792,0,0,0,0,847.568,46.191,0,0,831.587,0,0.409,0,0,43.189,0.108,49.409,0,5.893,0,26.6,0,18.288,361.177,4.678,0.856,4.474,8.976,0,0,0.093,851.362,0,0,0,11.55,0,0,2427.674,2.942,0,0.153,0,0,18.299,0,0.916,0.129,47.667,67.989,74.165,3.655,29.081,6.124,0.661,0.076,1015.729,51.113,0.403,0,28.615,0,6.879,45.148,0,94.885,5.821,0,0,3.78,0,0,0,0,0,0.052,0,0,0,3.686,0,0,0,0,0,726.478,0,4.423,0,79.67,2.109,0.055,0,0,0,293.093,0.504,0,0,0,2.038,0,355.766,25.138,0,5.192,0,96.59,0,14.305,162.871,0,1276.563,314.915,16.753,2114.768,97.291,0.63,0,0.49,1.967,6.527,0,0,0,0,0,0.086,0.46,0,0,892.293,0.37,0.065,0,0,754.032,48.065,0,11.246,0.042,0,4708.808,2.229,54.3,0,0.218,1.445,0,346.108,0.558,0,0,56.956,0,0,4.909,142.291,0,21.565,0,0,0,144.156,0,0,5.476,3690.316,0,11109.912,0.278,1165.253,0,169.407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VGB",0,0,0,0,0,0,0,0,0,2.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.196,0.057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRN",0,0,0,0,0,0,0,0,0,0.307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.984,0,0,0,0,0,0,24.969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.763,0,0,0,0,0,0,24.224,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0.021,0,0,0,0,0,0,0,0.04,0,0,0,0,0.369,0,0,0,0,0,0,0,0,0,0,0,0,0,6.973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0,0,0,0,0,0,0.308,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.368,160.478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.621,0,0,0,0.268,0,0,0,0,0,0,0,0,0,3.036,0,5.969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGR",0,231.735,1.792,0,0,0,0,5.178,22.854,69.716,441.684,0,0,0,3.407,0,55.464,0,0,0.95,84.148,6.198,127.293,0,0,0,0,0,0,0,1.4,0,0,112.648,0,0,0,7.397,0,1.95,460.913,0,0,1.019,0,0,0,0,0.339,1075.559,0,459.656,291.51,0,364.513,0,0.257,9.648,0.037,0,28.899,175.709,0,0,28.043,855.125,0,0,0,0,647.097,0,2155.865,1.109,0,4881.276,0,0,0,0,0,0,0,53.374,2303.015,3.844,6.642,0.532,0,3.462,41.021,11754.81,1.594,20.129,75.115,36.821,42.694,0,0,34.595,16.034,0,0,20.084,0,1520.986,0,13.514,455.113,25.138,0,5.012,0,0.845,0,0.845,51.172,0,3.449,34.417,0,10.61,14.03,4.802,2.269,15.441,0,0,0,352.776,0,0,0,0,0,0,13.55,0,0,0.857,0,26.271,0,0.926,5.273,0,1.29,449.924,4.935,895.076,1329.822,0,0,11.133,2572.696,29.807,0,0,0,0,0,5.899,0,0,0,18.068,0,293.626,8.009,0,307.439,64.166,812.148,0.845,211.442,0,21.927,197.257,1767.086,0,0,0,0,157.78,138.927,0,0,58.56,0,0,0,375.785,0.785,148.038,0,0,0,0,17.463,216.858,0.193,10389.359,9.401,334.845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.432,0,0,0,0,0,0,0,0,0,0,0.628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021,0,0,0,51.985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.156,0.8,0,91,0,0,0,0,0,0,0,0,0,0,0.242,0,0,1.644,0,0,0,2.412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLR",0,0,0.003,0,0,11.5,0,11.4,0,8.8,0.467,0,0,0,31.499,0,0.1,0,0,0,2.6,0,0.5,0,0,0,0,7.8,2.4,0,0,0,0,0,0,0,0,0,0,0,26.6,0,0,0,0,0,0,0,0,1,0,0,127.199,0,0,0,0,0,0,0,0,2.5,0,0,0.124,0,0,0,0,0,0,0,138.9,0.2,0,0,0,0,0,0,0,0,0,2.4,2.3,0,131.5,0,0,0,2.7,11.399,0,0,13.049,99.14,0,0,0,1.556,0,4.1,0,0,0,37.2,0,0,25.399,0,0,0,0,0,0,0,0,0,0,0,16.2,3.801,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0.1,346.595,0,0,0,0,0,7500.702,0,0,0,0,0,0,0,0,0,0,0,70.7,0,0,86.5,0,0,559.628,0,0,0.3,0,0.3,0,1.4,0,0,1.7,0.1,0,0,4.788,0,0,0,25.5,0,0.8,0,0,0,0.1,464.593,0,0,0,0,30.586,0,0,18,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
"KHM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151,99.044,0,0,0,0,0,0,0,0.434,0,0,0,0,0,0,0,0,0.279,0,0,0,0,0,0,0,0.562,0,0,0,0,0,0,1.11,0.629,0,0,0,0,0,0,0,0,0,1255.518,0,0,0,0,0,0,0,0,0,0,791.508,0,0,0,0,24.767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.059,0,0,0,0,0,0,0,0,0,0,0,0,0,14.487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.413,0,0,0,0,0,0,0,0,0,0,0,0,0.042,0,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317.188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CMR",0,0,0.486,0,0,0,0,0,0,38.968,0,0,0,0,0,0,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0.038,0,0,0,0.932,0,0,2.693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197,0,0,0,0,0,0,0,140.999,0,0,0,166.903,0,0,0,0.084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.537,0,1.421,0,0,0,0,0,0,0,0.776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0,0,0,0,0,0,0,0.653,0,0,0,0,0,0,1.859,0,0,0,0,0,0,0,0,0,5.393,0,88.666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN",24.139,37.948,24.63,0,1.729,1.91,3.238,18.96,1759.799,7495.512,202.49,0.272,45.597,77.524,73.379,1.258,467.736,16.67,0,28.215,25.771,6.954,2120.363,3.268,0,3.453,5.473,489.196,17.029,0,116.5,19.23,3.669,0,0,0.052,0,96.908,0,572.25,15977.172,0,0,414.534,0,0.423,9.12,0,111.714,8.978,326.668,125.63,308.416,0,278.549,0.015,89.05,15.875,17.74,0,39.034,193.407,0.003,1.359,440.534,4379.238,20.671,0,0,0,5.562,0,8225.608,4.186,0,212.717,0,0,43.282,0,0.288,0,101.928,2808.974,323.693,22.976,170.121,168.903,11.901,73.958,1153.088,2269.474,33.919,30.826,2359.297,39.192,16.014,65.684,0,2601.925,76.275,0,0,130.744,0,49.968,0,0,176.684,835.58,0.013,39.315,0,520.368,6.331,188.358,0,0,5.912,30776.372,6.252,0.409,1.099,138.765,1.301,23.638,1.502,0,5.986,3060.895,5.817,0,21.981,0,60.684,0,1175.23,53.145,0,86.854,0,585.306,0,157.842,234.916,11.777,125.004,727.888,330.868,718.828,49.689,0,150.125,193.228,34.767,3463.739,0,0,0,0,0,1.362,11.58,0,4.488,681.221,0,89.553,5.359,8.311,5134.256,1429.977,346.814,394.592,22.832,0,2246.009,0,626.235,1.856,0,14.449,33.448,1981.944,974.898,0,2.47,2852.395,0,0,16.437,2021.503,6.161,1028.923,54.322,347.07,0,2.276,79.089,5.403,38.194,12186.634,0.428,488562.998,93.402,31.197,146.114,42.067,0,0,25.243,5.013,0,0,57.098,0.653,0,0,0,0,0,0,0,0
"CPV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.872,0,0.702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201,0,0,0.047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101,0,0,0,0,0,0,0,0,0,0,46.248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LKA",0,0,0,0,0,0,0,0,0,8.178,0,0,0,589.952,0,0,0.317,0,0,0,0,0,13.446,0,0,0,0,0,0,0,8.2,0,0,5.127,0,0,0,0,0,0,10.996,0,0,0,0,0,0,0,0,0,0,0,0.335,0,0,0,0,0,0,0,0.014,0,0,0,0.01,0.162,0,0,0,0,0,0,3.284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105,0,3.315,0,0,4.048,0,0,0,0,0.843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.853,7.453,0,0,0,15.786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134,0,34.383,0,1.509,0,0,0,4.404,0,0,0,4.343,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0.43,0.065,0,144.117,64.055,0,3.638,0,0,0,0,19.807,0,0.01,0,0,0,47.542,0,0,37.807,0,0,0,0.506,0,0,0,0,0,0,0,0,0,0.523,0,5.036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHL",0,0,0,0,2.293,0,0,0,507.691,26.409,1.796,0,0,0,0,0,4.645,0,0,2204.338,0,0,35.739,0,0,0,0,0,0,0,0,0,0,4.74,0,0,0,0,0,0,17.967,0,0,208.01,0,0,0,0,40.954,0,0,0,0,0,0.2,0,1.214,394.059,0.143,0,0,0,0,0,3.504,0.57,0,0,0,0,0,0,81.771,0,0,0,0,0,53.449,0,0,0,10.909,25.414,2.843,0,0,0,0,2.191,0,4.628,0,0,6.993,0,0,0,0,0.603,0,0,0,0,0,0,0,0,0,4,0,0,0,334.117,0,0,0,0,0,164.748,0,0,0,0,0,0,0,0,0,4.425,0,0,0,0,0,0,0,0,0,0,0,0,0,4.568,37.653,0,500.499,1827.409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.876,0,0,0,0,0,26.626,0,292.37,0,0,1.149,0,89.362,0,0,0,3.917,0,0,0,0,0,0,0,0,0,0,0,0.309,0,2.778,0,271.038,0,45.894,0,0,0,0,0.322,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN",446.168,2831.62,30105.454,0,206.035,2661.705,19.938,1000.707,144891.584,163446.099,65959.985,102.516,5424.863,38986.393,1322.586,205.754,79112.597,13.923,10.717,4971.679,2782.58,49.571,355557.915,117.334,39.841,2.2,462.51,32726.766,7931.043,64.444,8157.583,3656.506,1504.984,359289.457,65.035,20.334,41.3,15645.93,2407.104,53689.458,0,0,0,51748.692,60.993,1024.522,1175.48,9.567,6740.858,5712.954,4310.033,2441.587,69855.732,615.956,43052.639,97.286,14235.693,26803.352,6993.469,1162.114,9906.321,4397.837,0,594.199,29796.699,415081.65,524.724,0,5463.159,283.07,2487.284,161.696,550955.771,5391.086,23.614,42206.47,14.246,0,10899.986,498.897,805.435,1959.43,4154.086,1773699.791,36108.561,3276.438,160342.357,120396.091,21617.936,15052.846,34037.058,217806.472,1677.653,2754.01,983814.658,21817.503,8594.7,8615.155,1053.182,272797.524,10621.391,828.225,923.224,13141.738,3.291,5250.401,171.518,1126.85,5212.551,1185.5,2781.025,794.404,352.62,115859.206,1747.901,374.306,1267.807,1155.515,2455.392,519582.642,2339.196,2778.164,886.012,21869.777,1254.983,3268.594,1531.423,0,3265.721,358182.398,181.313,34.467,0,3.271,97.954,399.08,24980.555,3027.05,242.842,10871.664,0,54023.364,6.889,83025.044,13383.223,533.018,14991.823,38254.201,68483.628,272007.303,17491.393,36.341,129.021,3935.783,28868.596,248157.271,467.716,0,0,30.441,0,90.624,12.894,230.969,3.638,56732.514,1803.231,5319.29,58.161,417.885,237040.946,135233.066,34803.506,168822.901,11674.022,396.193,74612.606,5619.293,231417.526,73.344,6154.949,62.807,25.166,77765.871,43642.982,4261.704,820.941,344568.383,577.624,0,1735.569,76715.794,6077.427,111107.862,379.512,8.108,0,962.066,40945.045,1699.692,37540.647,419643.985,9380.25,4077364.097,183.278,11162.663,3970.793,12077.769,186.994,5600.904,1902.257,148.681,17.613,3.267,5.407,0,21.694,7.124,12.144,0,0,0,0,0
"CXR",0,0,0,0,0,0,0,0,0,1.822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COL",0,0,0,0,0,0,0,0,14.911,0,4.483,0,0,0,0,0,1.989,68.32,0,1.987,0,0,0.097,0,0,0,0,0,0,0,0,0,0,0.791,0,0,0,0,0,104.135,0.107,0,0,0,0,0,0,0,56.567,0.059,0.269,0,34.196,0,0,0,10.054,530.001,138.584,0,0,0.012,0,0,0,1.14,0,0,0,0,0,0,8.317,0,0,1.368,0,0,41.328,0,0,0.855,52.163,4.52,0.454,0,0.03,0,0,0,25.199,1.391,29.854,62.665,4.185,0,0,0,0,0.61,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,2.2,0,0,2.075,669.691,0,0,0,0,0,0,0,0,0,20.893,0.036,0.034,0,0,0,0,0,1.033,0,0,0,0,0,0,475.974,0,0.066,220.98,0,4.012,2.159,0,0,0,0,2.667,1.109,0,0,0,0,0,0,0,0,0,0,0,0,0,13.934,0,0,9.59,2.756,0,0,0,6.685,0,0,0,0,0.117,0.002,0,0,8.673,0,0,17.633,0,0,0,0,0,0,0,0,0,7.568,47.269,0,450.41,0,0.245,0,3.772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
