"DZA","ARG","AUS","AUT","BGD","BRB","BEL","BOL","BRA","BGR","BLR","CAN","CHL","CHN","CCK","COL","CRI","HRV","CUB","CYP","CZE","DNK","DMA","DOM","SLV","EST","FIN","FRA","PYF","GAB","GEO","DEU","GIB","GRC","HTI","HKG","HUN","ISL","IDN","IRN","IRL","ISR","ITA","CIV","JPN","JOR","KEN","PRK","KOR","KWT","LBN","LBR","LTU","MAC","MWI","MYS","MLI","MLT","MRT","MEX","MDA","MAR","MOZ","NLD","ANT","NCL","NZL","NER","NGA","NOR","PLW","PAK","PAN","PHL","POL","PRT","QAT","ROU","RUS","RWA","LCA","SPM","SAU","SEN","SLE","IND","SGP","SVK","VNM","SVN","ZAF","ZWE","ESP","SWE","CHE","TJK","THA","TTO","ARE","TUN","TUR","UGA","UKR","EGY","GBR","USA","BFA","URY","UZB","VEN","SCG","ZMB","GTM","PRY","PER","AGO","SLB","KHM","LKA","FJI","KIR","MDV","MUS","MNG","VUT","PNG","TON","WSM","BIH","GHA","JAM","LBY","BDI","TCD","COG","COD","GMB","SUR","ECU","GUY","NPL","KAZ","LVA","BHS","MMR","GIN","SYR","NIC","YEM","TZA","CMR","CPV","CAF","COM","BEN","GNQ","ETH","DJI","MDG","TGO","MKD","STP","AND","AZE","BHR","ERI","GRL","HND","OMN","SDN","ALB","BRN","COK","ABW","BTN","PCN","GNB","ARM","LAO","NRU","SYC","BLZ","ATG","BMU","VGB","GRD","IRQ","FSM","MHL","KNA","VCT","TCA"
"CZE",0,74.908,0,8.611,0,0,0.957,0,0,0,0,0,0,0,0,0,1.3,0.679,0,0,0,0,0,0,0,0,0,10.978,0,0,0,554.033,0,0,0,0,2,0,0,0,0,0,31.985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.399,0,0,0,0,0,0,0.581,0,47.752,0,3.953,0,0,0,1.18,88.428,0,0,0,0,0,0,0,0,0,0,7.822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNK",34.729,35.542,59.082,1433.505,0,0,317.961,0,23.076,0,0,327.255,11.074,0,0,2.177,0,1.611,0,0.852,0,0,0,0,0,0,385.072,851.363,0,0,0,1199.251,0,10.357,0,33.841,13,35.913,0,0,133.813,126,748.389,0,8.629,0,0,0,2.582,0,0,0,0,0,0,9.819,0,6.812,0,32.617,0,24.974,0,218.995,0,0,0,11.749,0,338.51,0,0,0,0,117.147,23.918,0,12,0,0,0,0,0,0,0,3.166,69.517,21.387,0,2.096,15.234,0,834.176,1563.355,185.696,0,4.735,0,0,0.705,15.529,0,0.529,0,227.084,886.041,0,2.038,0,32.283,0,0,0,0,0.706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.147,0,0,0,0,0,0,0,0,0,0,0,0,1.193,0,0,0,0,0,0,0.824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DMA",0,0,0,0,0,0,0,0,0,0,0,6.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM",0,0,0,0,0,0,0,0,0,0,0,1.308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1637.915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EST",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,466.525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FIN",28.932,0.714,13.422,0,0,0,0,0,2.17,0,0,95.44,0.714,10.27,0,1.039,0,0,0,0,0,20.683,0,0,0,826.351,0,38.158,0,0,0,19.463,0,84.821,0,10.647,36.581,0,5.486,0,12.945,6,3.368,0,79.204,0,0,0,2.08,0,0,0,0.761,0,0,3.878,0,0,0,27.044,0,0,0,2.071,0,0,2.012,0,0,22.827,0,0,0,7.801,93.886,0,0,0,98.299,0,0,0,0,0,0,1.381,2.842,0.678,0,0,0,0,0,114.74,2.778,0,1.891,0,0,0,0,0,0.548,0,38.878,445.571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRA",162.321,135.618,298.401,253.912,0,0,1256.685,0.857,199.518,0.857,0,592.914,43.752,58.306,0,91.8,9.33,11.78,0,2.501,94.49,1094.106,0,0,0,300.842,783.065,0,292.506,7.619,0,12316.253,0,52.921,35.326,203.224,238.368,98.716,120.558,127.417,214.803,150.073,5932.821,731.425,2524.838,0,488.735,0,177.05,3.944,6.913,0,0,0,0,4.611,187.587,3.429,10.46,142.908,0,481.261,0,6144.713,0,26.923,8.328,12.132,45.442,315.55,0,0,3.075,87.116,134.811,368.943,14.405,113,10.056,0,0,2.4,0,621.527,0,891.72,225.471,11.78,30.696,28.127,694.491,2.743,1887.013,1363.423,1301.275,0,89.86,0,2.4,67.567,58.595,0,2.709,8.506,7221.451,9565.885,172.753,42.255,0,47.514,2,0,0.786,0,26.057,1.2,0,0,0,0,0,0,0.832,0,8.917,0,0,0,0,0,0,1.2,0,122.272,14.233,0,9.256,0,11.351,0,14.748,0,0,0,0,101.223,144.737,0,25.037,5.952,290.67,46.816,178.668,25.552,37.899,1.371,127.809,94.49,144.219,1.371,0.565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PYF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.087,0,0,0,0.577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GAB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.184,0,0,0,0,0,0,7.907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GEO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEU",98.155,157.82,667.72,11590.506,0.576,0,10326.954,0.904,832.219,81.704,157.445,965.851,42.953,1207.998,0,19.327,2.383,117.701,4.613,27.232,6595.415,3949.406,0,0,0,23.41,3304.642,37540.393,5.463,29.669,0,0,0,412.498,0,1334.326,3940.379,9.36,219.973,32.743,4018.381,1410.389,31246.765,12.874,2175.404,15.626,23.761,0,266.922,4.613,5.825,0,132.976,0,0,36147.328,0.628,71.923,5.19,40.947,4.037,59.357,0,26114.181,0,0,30.17,74.27,35.955,773.041,0,11.534,4.322,37540.052,1490.212,8052.493,0,118.79,366.844,2.291,0,0,28.259,2.486,0,617.861,2569.703,877.374,6.92,524.239,848.786,0,11197.951,8601.49,10369.944,4.613,764.101,0,74.974,29.461,1546.282,7.49,123.025,61.975,26742.784,30675.915,11.582,8.967,2.306,80.73,46.845,0,1.219,2.272,20.499,0,0,83.048,8.65,0,0,0,2.396,0,0,0.576,0,0,6.343,23.103,0,8.074,0,11.534,0,4.037,0,0,2.058,0,3.46,12.111,12.629,0,0,1.153,127.456,0,0,23.437,2.8,8.911,0,0,136.106,0,2.883,4.037,19.411,3.384,6.149,0,0.576,4.037,5.19,41.524,1.794,6.61,4.037,12.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GIB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRC",0,0,0,148.771,0,0,0,0,0,7.868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.577,0,0,0,0,0,0,0,0,0,13,25.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.59,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.074,0,59.165,0,0,0,0,0,0,0,0,0,0,7.599,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HTI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HKG",0,722.29,362.081,13.955,18.608,143.505,111.169,0,297.882,125.146,0,2175.946,27.218,13041.654,0,2.813,11.989,0,0,3.889,60.967,272.458,0,0,0,7.75,137.241,115.277,0,0,0,2709.545,0,23.941,0,0,119.743,0,22.475,18.083,11.625,630.867,191.477,0,17332.304,3.1,0,0,3761.072,0,3.616,0,2,165.192,0,1588.04,0,6.187,0,915.421,0,0,0,527.013,0,0,41.527,0,2.43,14.117,0,19.374,0,295.665,81.391,6.409,0,49,9.704,0,0,0,0,0,0,181.724,14700.103,1.702,208.605,76.591,639.492,0,120.059,161.5,205.294,0,461.708,0,80.084,16.5,603.85,0,0,1.623,2582.5,19466.384,0,9.819,0,7.031,7,0,0,0,7.469,10.333,0,0,27.641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HUN",0,10.293,0,135.435,0,0,1.057,0,0,0,0,0.835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,104.314,0,0,0,253.99,0,0,0,0,0,0,0,0,0,0,1.349,0,0,0,0,0,0,0,0,0,0,0,0,11.649,0,0,0,0.988,0,0,0,3.59,0,0,0,0,0,5.758,0,0,0,0,0,0,0,5.217,1.02,0,0,0,0,0,0,0,0,5,0,2.001,0,0,0,0,0,0,0,0,0,0,39.49,0,0.539,0,1,34.823,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISL",0,0,0,0,0,0,0,0,0,0,0,2.239,1.644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IDN",0,10.729,12.288,0,0,0,3.093,0,11.981,0,0,2.447,0,862.179,0,0,0,0,0,0,0,0,0,0,0,0,0,102.067,0,0,0,139.662,0,0,0,16.274,0,0,0,0,0,0,1.825,0,15768.261,0,0,0,508.514,0,0,0,0,0,0,127.741,0,0,0,54.527,0,0,0,59.492,0,0,0,0,0,2.731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,766.791,0,0,0,0,0,51.814,0,0,0,264.99,0,0,0,0,0,0,0,2.2,63.619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRL",20.544,0,5.066,0,0,0,0,0,0,0,0,39.953,0,16.06,0,0,0,0,0,0,0,0,0,0,0,0,0,189.283,0,0,0,430.95,0,0,0,6.191,1141,8.023,0,0,0,14.548,226.668,0,9.338,0,0,0,2.251,0,0,0,0,0,0,10.236,0,1.092,0,12.836,0,0,0,35.9,0,0,0,4.339,0,162.609,0,0,0,0,193.421,0,0,0,0,0,0,0,1.882,0,0,0,30.671,2.477,0,0.908,0.988,0,23.7,61.763,30.356,0,1.289,0,0,0,40.054,15.764,0.529,0,144.059,2202.243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISR",0,0.903,146.282,0,0,0,0,0,24.21,0,0,2.337,1.468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.803,0,0,0,126.965,0,0,0,0,0,0,0,0,0,0,97.538,0,0,0,4.903,0,0,0,0,0,0,0,0,0,0,0,0,8.132,0,0,0,2.051,0,0,0,0,0,0.793,0,0,0,0,285.052,0.787,0,2,0,0,0,0,0,0,0,0,1.073,45.717,0,6.546,28.905,0,32.872,0,144.341,0,29.746,0,0,0,0,0,1.06,0,38.396,134.261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ITA",308.451,199.729,50.361,300.237,0,0,242.438,2.26,555.496,14.383,0,70.508,50.037,10.535,0,33.422,1.435,51.689,0,17.399,113.074,189.913,0,0.835,0,0,54.412,2842.219,3.768,0,0,6080.275,0,279.337,0,410.517,456.88,0.728,11.628,3.61,189.55,51.187,0,5.837,117.911,10.148,17.823,0,100.787,7.51,17.158,0,0,0,0,29.837,0,2.416,0,122.969,0,38.247,0,167.921,0,0,13.656,29.72,5.838,39.669,0,4.245,0,70.151,220.17,98.302,37.986,13.795,32.193,0,0,0,17.267,21.223,0,10.869,20.289,1.71,0,16.827,499.682,0,1596.273,256.56,325.163,0,169.455,0,21.216,8.56,131.84,2.513,1.62,49.035,909.592,578.344,2.582,26.52,0,60.774,12.817,34.045,4.528,0.507,5.479,8.351,0,0,0,0,0,0,1.128,0,0,0,0,0,0,9.055,0,7.316,0,0,1.664,0,0,0,24.883,0,0,0,0,2.42,0,0,4.668,0,0,60.141,4.886,0,6.061,0,0,0,4.593,0,22.541,2.68,10.491,0,0,0,0,0,0,0.926,9.868,0,20.732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CIV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.627,0,0,0,0,0,0,0,0,13.955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JPN",533.511,240.901,1626.944,264.288,328.993,0,7961.955,0,6523.009,17.593,0,10902.061,104.035,96259.177,0,11.249,2.295,53.106,0,0.868,2.264,772.692,0,0,0,179.147,9570.118,22570.682,0,0,0,75826.733,0,6.563,0,146019.296,813.22,5.757,17263.793,64.413,67.172,4036.746,6337.942,4.503,0,0,24.876,179.14,145307.688,6.951,0,0,0,1307.996,0,54676.811,3.334,11.282,0,4849.289,0,54.482,0,6737.873,0,0,132.273,11.305,3.681,893.258,0,49.876,8.241,19984.821,160.795,23.97,0,5,113.176,0,0,0,0,0,0,1465.562,120064.394,110.259,272.232,75.079,244.159,0,3276.121,10333.595,2539.7,0,33716.114,0,44.76,39.259,133.414,0,3.678,120.151,25130.148,234732.936,14.262,9.386,0,18.037,12,0,0,0,16.589,0,0,0,0,0,0,0,33.915,0,0,30.451,0,0,0,0,0,0,0,1.868,0,0,0,0,6.075,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.133,0,0,7.521,3.306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JOR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.857,0,0,16.863,2.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRK",0,0,0,0,0,0,0,0,14.43,4.068,0,0,0,0,0,12.342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266.326,0,0,0,0,0,0,0,0.777,0,0,0,0,0,0,0,0,0,0,1.774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KOR",28.701,428.101,58.555,12.219,0,0,0,0,536.629,4.082,0,254.201,6.16,2488.566,0,23.11,0,0,0,2.607,0,176.095,0,0,0,0,190.337,342.21,0,0,0,254.639,0,0,0,26982.898,52,0,253.173,16.837,3.747,3.656,96.588,0,68079.705,0,0,0,0,0,0,0,0,0,0,230.536,0,0,0,190.08,0,0.59,0,1152.021,0,0,251.211,0.659,0,22.623,0,0,0,445.66,55.276,4.375,0,34,8.8,0,0,0,0,0,0,53.132,12392.198,5.865,0,21.956,68.298,0,8.16,20.456,20.795,0,568.409,0,2.135,4.82,13.821,0,192.8,0,653.821,6621.597,0,0,0,0,0,0,0,0,2.927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.739,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
