"DZA","ARG","AUS","AUT","BGD","BRB","BEL","BOL","BRA","BGR","BLR","CAN","CHL","CHN","CCK","COL","CRI","HRV","CUB","CYP","CZE","DNK","DMA","DOM","SLV","EST","FIN","FRA","PYF","GAB","GEO","DEU","GIB","GRC","HTI","HKG","HUN","ISL","IDN","IRN","IRL","ISR","ITA","CIV","JPN","JOR","KEN","PRK","KOR","KWT","LBN","LBR","LTU","MAC","MWI","MYS","MLI","MLT","MRT","MEX","MDA","MAR","MOZ","NLD","ANT","NCL","NZL","NER","NGA","NOR","PLW","PAK","PAN","PHL","POL","PRT","QAT","ROU","RUS","RWA","LCA","SPM","SAU","SEN","SLE","IND","SGP","SVK","VNM","SVN","ZAF","ZWE","ESP","SWE","CHE","TJK","THA","TTO","ARE","TUN","TUR","UGA","UKR","EGY","GBR","USA","BFA","URY","UZB","VEN","SCG","ZMB","GTM","PRY","PER","AGO","SLB","KHM","LKA","FJI","KIR","MDV","MUS","MNG","VUT","PNG","TON","WSM","BIH","GHA","JAM","LBY","BDI","TCD","COG","COD","GMB","SUR","ECU","GUY","NPL","KAZ","LVA","BHS","MMR","GIN","SYR","NIC","YEM","TZA","CMR","CPV","CAF","COM","BEN","GNQ","ETH","DJI","MDG","TGO","MKD","STP","AND","AZE","BHR","ERI","GRL","HND","OMN","SDN","ALB","BRN","COK","ABW","BTN","PCN","GNB","ARM","LAO","NRU","SYC","BLZ","ATG","BMU","VGB","GRD","IRQ","FSM","MHL","KNA","VCT","TCA"
"BLR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN",2.272,17.257,8.322,130.4,0,0,2.363,0,81.038,0,0,0,66.177,204.158,0,0,0,0.694,0,0,0,31.945,0,0,0,11.239,160.706,1932.756,0,26.99,0,194.146,0,0,0,282.223,5.253,0,0,0,6.763,232.565,181.683,1.351,285.453,0,105.584,0,52.043,0,0,0,0,0,0,27.806,0,0,0,117.499,0,17.453,0,141.886,0,0,5.497,0,0,69.013,0,0,0,0,67.091,8.173,0,5,2.697,0,0,0,19.776,0,0,0.697,10.341,2.583,0,11.073,37.386,0,8.014,124.832,312.456,0,3.437,0,0,4.89,4.03,0,20.088,0,9568.212,31043.101,0,36.412,0,11.602,22.124,0,0,0,782.364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277.049,0,0,0,0,0,0,0,0,24.104,0,0,0,0,4.91,40.853,11.252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHL",0,10.481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.815,0,0,0,0,0,1.187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN",113.108,120.623,179.059,53.636,0,0,2600.489,0,297.347,153.498,0,1977.835,11.087,0,0,10.935,0,30.027,0,9.472,1.724,0,0,0,0,0,50.198,908.591,0,0,0,9193.568,0,9.812,0,78130.984,29.623,0,96.632,9.832,61.724,8.871,1501.213,0,9621.987,0,0.511,0,14145.769,0,0.599,0,0,1.58,0,2501.731,0,17.988,0,1886.902,0,0,0,294.591,0,0,1382.02,0,0,13.107,0,0,0,30.998,585.843,19.045,0,7,8.825,0,0,0,0,0,0,117.315,706.532,22.572,1.425,76.876,154.489,0,346.733,21.899,75.12,0,379.706,0,73.973,1.567,295.784,0,0,5.968,96.637,11292.87,0,0,0,0,2,0,0,0,0.569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCK",0,0,0,0,0,0,0,0,5.586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CRI",0,0,0,0,0,0,0,0,0,0,0,1.555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.777,0,0,0,0,0,0,0,0,0,0,0,0,15.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.49,0,0,0,0,0,0,8.419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HRV",0,0,0,14.932,0,0,0,0,0,0,0,359.467,0,0,0,0,0,0,0,0,0,5.893,0,0,0,0,0,57.065,0,0,0,279.88,0,1.135,0,40.748,0,0,0,0,0,0,32.999,0,0,0,80.415,0,0,0,0,0,0,0,0,6.248,0,0,0,0,0,53.675,0,0,0,0,7.971,0,0,0,0,0,0,0,0,0,0,0,2.625,0,0,0,0,0,0,0,0,0,0,15.919,577.163,0,11.447,0,12.239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CUB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
