"AUS","AUT","ARM","BRB","BEL","BRA","BGR","BLR","CAN","CHN","CRI","CZE","DNK","ECU","FIN","FRA","DEU","GRC","HKG","IDN","IRL","ISR","ITA","CIV","JPN","KOR","KGZ","LUX","MYS","MEX","NAM","NLD","NZL","NOR","PAK","POL","PRT","QAT","RUS","SAU","IND","SGP","SVK","SVN","ZAF","ESP","SWE","CHE","THA","TTO","ARE","TUR","UKR","GBR","USA","VEN","BHR","FJI","PNG","KNA","MLT","URY","PRK","IRN","KEN","LTU","PER","VNM","SLV","LVA","CMR","ETH","PYF","MDG","MAR","EGY","HUN","ISL","KHM","MUS","HRV","GHA","ROU","SPM","SYC","TZA","SCG","PHL","FSM","LKA","NIC","AGO","VUT","JOR","BGD","HND","NPL","NGA","BIH","BWA","MWI","ZWE","SWZ","ZMB","DZA","JAM","ERI","UGA","BHS","KAZ","LBN","BLZ","CHL","COL","DOM","GEO","GTM","PAN","TUN"
"CRI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZE",0,0,0,0,0,0,0,36.462,0,191.645,0,0,0,0,0,111.966,745.251,0,0,0,0,0,2.507,0,5.852,0,0,0,0,0,0,414.226,0,0,0,176,0,0,72.031,0,0,0,13.822,0,0,0,0,9.714,0,0,3.772,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNK",885.699,0,0,0,0,0,0,2.1,0,394.132,0,47.64,0,0,0,12.441,0,0,0,0,0,0,3.759,0,587.031,3.158,0,0,0,0,0,0,0,1236.831,0,68,0,0,37.816,0,0,0,0,0,140.871,0,240.457,15.415,0,0,0,0,0.84,0,799.677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ECU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FIN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.449,0,0,0,0,0,0,0,137.023,0,0,0,0,0,0,0,0,0.743,0,0,0,0,5.779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRA",2.264,10.187,0,0,4.527,0.457,100.69,0,19.242,0.008,0,0,0,0,11.319,0,13.644,0,5.659,0,0.781,0,113.186,0,1744.79,0.739,0,0,0,0,0,2.264,0,2.193,5.659,0,0,9.227,0,0,593.241,2.264,0,0,0,38.517,6.941,12.554,0,0,0,0,0,4.527,2.264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.241,0.228,8.813,4.689,19.449,3.396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEU",129.809,1115.429,0,0,5.569,0,159.597,0,17.279,2575.202,0,1523.791,0,0,5.798,178.693,0,7.927,0,0,10.702,0,12.957,0,36999.631,74.313,0,33.339,0,0,0,27.149,0,8380.526,0,403,1.244,0.273,7659.344,0,63.053,14826.428,0,0,1251.764,148.597,395.391,363.062,0,0,0,69.711,1377.84,0,41340.21,0,1.907,0,0,0,14.768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,3.052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HKG",0,0,0,0,0,0,0,0,0.283,336.493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.558,2.898,0,0,0,0,0,0,0,0,0,0,0,5.831,21.5,0,0,0,0,0,0,0,0,39.038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.789,0.122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IDN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
