"AFG","ALB","DZA","ASM","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BMU","BOL","BIH","BWA","BRA","BLZ","SLB","VGB","BRN","BGR","MMR","BDI","BLR","KHM","CMR","CAN","CPV","CYM","CAF","LKA","TCD","CHL","CHN","CXR","CCK","COL","COM","COG","COD","COK","CRI","HRV","CUB","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","GNQ","ETH","ERI","EST","FJI","FIN","FRA","PYF","DJI","GAB","GEO","GMB","DEU","GHA","GIB","KIR","GRC","GRD","GUM","GTM","GIN","GUY","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LSO","LVA","LBR","LBY","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MNE","MSR","MAR","MOZ","OMN","NAM","NRU","NPL","NLD","CUW","ABW","SXM","NCL","NZL","NIC","NER","NGA","NOR","MHL","PAK","PAN","PNG","PRY","PER","PHL","POL","PRT","TLS","QAT","ROU","RUS","RWA","SHN","KNA","AIA","LCA","VCT","SMR","STP","SAU","SEN","SRB","SYC","SLE","IND","SGP","SVK","VNM","SVN","SOM","ZAF","ZWE","ESP","SDN","SUR","SWZ","SWE","CHE","SYR","TJK","THA","TGO","TKL","TON","TTO","ARE","TUN","TUR","TKM","TCA","TUV","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","WSM","YEM","ZMB","PSE","GRL","VUT","NFK","FSM","PLW","SSD","BES","BTN","SPM","GNB","WLF","BLM","ATF","MNP","FLK","NIU","IOT"
"BWA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.039,0,0,0,0,0,0,0,0,0,0,0,1.096,0.048,0,0,0,0,0,7.615,0,0,0,0,0,0,1.882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.042,16.886,0,0,0,0,0,0.445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.702,0,0,0,0,0,0,21.133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRA",0,0,626.934,0,1.144,85.919,10.976,8.56,4663.302,2186.18,7.358,0,0.858,5.01,0,1.408,7.891,0,414.238,0,0.084,0,0,0,0,0,0,3.235,0,5.1,0.549,0.137,954.181,0.589,0,0,2.538,0,1398.173,81.64,0,0,656.724,0,0.373,0,0,106.751,0,31.396,0.35,0.217,0.609,14.571,0,34.221,510.339,6.364,0,0,0,0.531,0,4.178,1728.559,0.276,0,109.426,0,0,1770.696,2.197,0,0,13.075,0,0,198.667,0,0.717,0,24.122,36.82,41.281,0,31.48,0.292,0,40.764,2286.34,73.381,2.023,0.28,14.4,0,206.676,0.525,0,173.003,0,0,0,4.919,0,0,0,70.856,0.897,0.27,0,0.048,0,177.846,0,73.249,0,0,2.063,975.426,0,0,0,0,0.019,12.571,15.768,0,0,0.23,72.884,0.464,0,0,0.976,0.725,30.448,0,0.102,26.466,0.427,2.532,159.788,0,1404.74,489.384,2.769,1066.703,58.31,0,39.868,22.494,53.181,0,0,0,0,0,0,0,0,658.151,1.113,0,0,0,410.275,41.872,0.084,446.423,0.484,0,7552.278,0,183.608,7.153,1.952,0,104.321,10.803,0,0,37.528,1.619,0,0,0.566,262.713,0,21.532,0,0,0,0.198,0.965,4.399,55.324,2296.353,3.612,15645.854,0.224,1274.524,0,103.643,0,0.016,0.076,0,0,0,0,0,0,0.384,0.2,0,0,0,0,0,0,0,0,0,0
"BLZ",0,0,0,0,0,0,0,0,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.635,0,0.431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.582,0,0.622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VGB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.533,0,0,0,0,0,0,0,1.701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.387,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0,0,0,0,0,21.5,0,0,0,0,0,0,0,0,0,0,0,0.132,0,0,0,0,0,0,0,0,0,0,0.038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,647.643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.345,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161,0.67,0,1.508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGR",0,297.317,70,0,0.236,0.193,0,2.106,5.746,55.54,404.547,0,2.369,0,3.24,0,287.544,0,2.14,127.01,0,182.984,0,0,0,5.774,0,17.2,0,14.998,0,0,153.18,0,0,0,0,0,9.099,572.696,0,0,1.123,0,0,0,0,0,1304.076,0,586.798,318.316,0,544.578,0,0,105.096,4.132,0,0.358,0,268.625,0,16.479,797.613,0,0,0,206.863,0,2178.629,1.912,0,0,4447.465,0,0,0,0.381,0,0,43.194,8.356,2179.134,4.461,0,80.555,10.167,13.359,20.441,12518.75,2.42,22.383,477.808,55.631,33.594,3.643,0,31.287,58.996,0,0,39.362,0,1379.914,0,0,548.911,14.511,0,0,0,1.819,0,0,62.783,0,1.676,48.936,0,28.87,19.167,0,22.531,0,28.36,0,0,0,512.22,0,0,0,0,4.6,0.028,52.325,3.392,75.991,0,0,0,0,0,61.713,1.232,858.723,964.578,0,12.507,2996.58,56.255,0,0,0,0,0,0,0,0,56.389,0,426.268,23.278,0,240.103,5.084,962.582,0.94,764.397,0,15.525,0,5176.289,0,0,0,270.641,329.558,0,0,72.471,0,0,0,0,936.451,4.118,784.319,0,0,0,0,38.825,277.933,0.562,8350.602,7.554,342.827,0,2.622,15.542,0,0,0,0,0.124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMR",0,0,0,0,0,0,0,0,0,22.85,0.012,0,0,0,0.137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.966,0,0.316,0,0,0,0,0,0,0,0,0,0.611,0,0,3805.238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLR",0,0,0,0,0,13,0,1.9,0,7.5,0.523,0,0,0,2.5,0.1,6.4,0,0,8.6,0.2,58.499,0,0,0,0,22.84,6.3,0,0,0,0,2.865,0,0,0,0,0,0.462,1.326,0,0,0,0,0,0,0,0,0,18.1,0,132.6,0,0,0,0,0,0,0,0,0,0,0,0,3.9,0,0,0,1.8,0,94.098,1.7,0,0,0,0,0,0,0,0,0,0,0,0.101,0,0,0,0,0,0,0,0,0,0.2,242.7,0,0,0,20.224,0,1.7,0,8.955,0,26.1,0,0,284,0.1,0,0,0,0.8,0,0,0,0,0,0,0.9,8.301,0,0,0.818,0,0.1,0,0,0,16.2,0,0,0,0,0,0,0,0,0,0,7.504,0,0,0,0,0,262.899,1.558,0,0,0.601,8221.099,0,0,0,0,0,0,0,0,104,0,0.8,0,0,601.794,0,0,0.994,0,0,0,0,0.1,0.7,0,0,2.418,0,0,0,6.181,0,0,0,0,1.9,0,1.325,0,0,0,1,65.099,0,0.928,0,0,27.338,0,0,13.186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KHM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036,0,0,0,0,0,0,26.249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.963,0,0,0.189,0,0,0,0,0,0,0,2429.912,0,0,0,0,56.579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.302,0,62.288,0,0,0,0,13.316,0,0,0,0,0.104,0,0,749.479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.122,0,588.105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CMR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239,0,0,0.017,0,0,0,0,0,0,0,0,0,0,0,0,3.772,0,0,0.353,0,0,0,0,0,0,0,0,1.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0.843,0,0,0,0,0,1.017,0,0,1.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.995,0,0,0,0,5.231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.597,0,0.414,0,0,0,0,2.827,0,0,2.825,0,0,0,0,0.107,0,0,0,0,0,0.163,0,0,0,3.337,0,130.306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN",6.038,19.933,428.25,0,3.671,180.556,7.808,188.143,1184.599,5022.245,583.37,4.306,285.059,140.44,4.183,2.836,1693.985,1.394,62.86,12.418,28.797,3392.223,0.02,0,1.076,0.035,225.74,38.816,0.216,18.868,12.04,1.471,0,22.436,0.329,0,4.555,0.385,391.911,15038.853,0,0,611.712,0,62.387,1.32,0,152.778,34.481,143.731,6.597,472.582,1.437,71.795,0,31.37,106.913,10.793,79.594,12.982,0,85.893,11.066,751.627,7117.909,36.16,28.503,83.847,8.903,0,8685.695,5.744,0,0,173.663,1.807,0,38.666,0,0.855,0.176,74.778,6257.229,83.09,36.531,2281.246,62.531,47.893,257.666,1053.534,1720.396,8.678,44.715,4053.654,86.206,84.682,63.36,0,1960.059,188.429,0.477,0,96.268,0,41.557,0,0,209.996,273.564,45.068,149.619,24.012,636.459,19.886,41.241,37.54,18.33,10.595,49259.835,53.112,2.361,1.699,0,86.531,0,177.58,0.027,0,21.762,2451.925,15.052,0.114,3.994,0,564.766,25.44,0.98,240.21,758.4,0,101.55,96.485,18.548,117.62,527.486,387.456,909.932,73.734,0,219.543,255.822,3719.951,0.006,0,0,0,0.552,1.037,0,0,659.293,0,37.376,0,0,4516.32,1941.466,323.473,104.163,52.183,0,626.305,12.65,994.223,0,1.258,0,2100.38,1001.108,0,18.303,3047.331,0,0,0,18.233,1434.131,1.476,3223.498,0.189,0.403,0,2.39,197.938,5.299,350.886,12242.535,38.748,489767.189,11.137,111.342,16.023,86.311,0,0,0.836,0.597,0.009,0,0,0,0,23.345,0,81.368,5.123,0,0,0,0,0,0,0,0
"CPV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.511,0,0.205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LKA",0,0,0,0,0,0,0,0,0.271,42.422,0.131,0,0,0,0,0,0.379,0,0,0,0,84.082,0,0,0,0,0,0,0,0,0,0,4.185,0,0,0,0,0,0,212.156,0,0,0,0,0,0,0,0,0,0,9.144,1.487,0,0.898,0,0,0,0,0,2.197,0,0,0.72,0,0,0,0,0,0,0,2.838,0,0,0,0,0,0,0,0,0,0,0,11.543,0,0,0,0,0,0,0,0,0,0,2.271,0,0,0,0,0,0,0.035,0,0,0,0,0,0,0,0,0,0,0,0,84.609,0,0,0,0,256.139,0,0,0,0,0,0,0,0,0,0,0.344,0,0,0,0,0,0,0,0,31.392,0,0,0,0,0,0,0,96.452,0,0,0,0.853,52.846,0,0,0,0,0,0,0,0,0,0,0.094,9.619,0,97.711,4.138,0,0,0,0,0,0,0,0,0,0,0.115,26.859,0,0,70.273,0,0,0,0,2.661,0,0.402,0,0,0,0,0,0.213,0,0,0,149.254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.456,0,0,0,0,0,0.542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHL",0,0,0,0,14.612,0,0,0.457,370.106,16.242,2.483,0,0,0,0,0,1.556,0,1805.717,0,0,66.971,0,0,0,0,0,0,0,0,0,0,24.799,0,0,0,0,0,0,171.686,0,0,385.194,0,0,0,0,8.09,0,0.72,0,16.857,0,8.05,0,1.06,479.096,4.361,0,0,0,0,0,2.204,0.631,0,0,0,0,0,134.916,0,0,0,0,0,0,13.618,0,0,0,0,11.208,0.589,0,0,0,0,0,1,0.444,0,0,0,0,0,10.065,0,3.659,0,0,0,0,0,0,0,0,0,0.301,0,0.87,0,1731.251,0,0,0,0,0,60.331,17.898,0,0,0,0,0,0,0,0,0,0.291,0,0,0,0,25.282,6.875,0,0,59.901,0,3.955,21.061,0,297.453,1923.342,9.61,55.126,9.912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.658,0,0,0,0,0,0.128,0,10.793,0,222.021,0,0,0,0,3.639,0,0,8.46,0,0,0,0,6.706,0,2.95,0,0,0,0,0,0,2.106,5.131,0,518.262,0,159.228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN",1839.676,3680.901,26525.068,0,219.266,5563.764,7.848,2478.077,126571.063,167224.149,67177.299,38.086,11094.982,35250.316,4009.421,84.747,68399.161,16.841,4733.968,3454.364,710.698,280393.825,259.986,24.949,3,1129.564,32169.207,42156.161,79.243,7084.449,4346.151,2019.541,426259.672,47.453,23.791,26.345,14610.314,653.469,61748.857,0,0,0,61296.334,354.343,710.685,2350.596,0,7959.901,7350.5,5569.497,2843.351,105247.107,1874.859,38265.219,48.254,15462.274,27877.952,7676.894,465.478,9232.414,3.372,7757.659,722.649,27231.65,426078.513,673.428,6918.583,332.253,1804.527,187.334,609953.525,9357.859,13.179,4.959,41580.801,5.62,0,12479.662,1211.932,444.551,1512.421,5127.899,1557862.426,35096.78,3592.861,195513.855,72645.497,45605.026,13270.387,49232.154,206433.427,4703.089,2944.147,1548302.613,30603.252,12150.021,14803.831,10.458,408603.874,13800.308,3444.848,4640.058,14124.258,33.945,5231.393,585.501,3413.61,5047.132,2398.218,3999.885,2566.301,88.08,140717.289,732.42,659.248,2928.728,2385.995,4067.45,514672.299,3177.825,3181.735,1010.562,1.998,27203.238,5434.795,3490.205,186.739,0,4585.414,439769.148,121.497,190.031,105.274,137.1,25669.219,2187.211,163.853,19260.961,52522.536,28.487,78946.207,15503.377,1226.178,19050.12,45351.915,109818.852,292651.203,20173.362,178.204,5167.793,30036.886,348478.609,376.055,0,7.819,0,174.777,27.929,149.895,17.102,85543.453,3458.043,7020.633,142.169,834.424,209632.499,150348.503,15621.264,301973.589,12906.691,653.257,91353.961,873.621,204289.686,3011.993,595.078,108.549,69590.797,39922.028,13089.448,3562.946,371428.095,2575.541,0,18.79,1709.038,83634.89,6707.803,109857.45,1656.366,27.638,0,3049.79,48778.256,2165.836,55493.052,468194.863,6197.92,4867840,190.066,11320.32,6220.702,14657.522,11.432,9972.383,3418.143,666.259,24.217,381.383,0,4.863,5.631,31.332,0,13.798,0,13.937,0,0,0,0,0,0,0
"CXR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCK",0,0,0,0,0,0,0,0,0,14.222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COL",0,0,0,0,0,0,0,0,59.339,218.03,8.076,0,0,0,0,0.304,0.101,0,28.34,0,0,0.272,0,0,0,0,0,0,0,0,0,0,2.181,0,0,0,0,0,16.04,0.402,0,0,0,0,0,0,0,80.079,0.114,0,0,0,0,1.723,0,7.013,239.386,85.309,0,0,0,0,0,0,0.161,0,0,0,0,0,33.544,0,0,0,0,0,0,39.665,0,0,0.156,4.162,141.373,10.113,0,0,0,0,0,2,0,0,0.797,1.918,0,0,0,0,0.773,0,0,0,0,0,0,0,0,0,0.302,0,0,0,0,0,0,0.116,0,0,408.229,0,0,0,0,0,0,0,0,0,0,7.773,0.521,9.106,0,0,0,0.046,0,0,0,0,0,374.57,0,1.457,241.966,0,0.748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.268,0,0,0,12.854,5.388,0,0,1.172,0,0,0,0.022,0,0,0,0,0,0,0,0,0,0,0,4.084,244.701,0,0.157,0,17.656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
