"AFG","ALB","DZA","ASM","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BMU","BOL","BIH","BWA","BRA","BLZ","SLB","VGB","BRN","BGR","MMR","BDI","BLR","KHM","CMR","CAN","CPV","CYM","CAF","LKA","TCD","CHL","CHN","CXR","CCK","COL","COM","COG","COD","COK","CRI","HRV","CUB","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","GNQ","ETH","ERI","EST","FJI","FIN","FRA","PYF","DJI","GAB","GEO","GMB","DEU","GHA","GIB","KIR","GRC","GRD","GUM","GTM","GIN","GUY","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LSO","LVA","LBR","LBY","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MNE","MSR","MAR","MOZ","OMN","NAM","NRU","NPL","NLD","CUW","ABW","SXM","NCL","NZL","NIC","NER","NGA","NOR","MHL","PAK","PAN","PNG","PRY","PER","PHL","POL","PRT","TLS","QAT","ROU","RUS","RWA","SHN","KNA","AIA","LCA","VCT","SMR","STP","SAU","SEN","SRB","SYC","SLE","IND","SGP","SVK","VNM","SVN","SOM","ZAF","ZWE","ESP","SDN","SUR","SWZ","SWE","CHE","SYR","TJK","THA","TGO","TKL","TON","TTO","ARE","TUN","TUR","TKM","TCA","TUV","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","WSM","YEM","ZMB","PSE","GRL","VUT","NFK","FSM","PLW","SSD","BES","BTN","SPM","GNB","WLF","BLM","ATF","MNP","FLK","NIU","IOT"
"AUT",23.379,2.358,53.578,0,284.018,0.162,0,14.472,101.986,1032.001,0,0.003,11.007,4.644,180.274,0.18,387.188,6.706,1.465,106.602,0,174.181,0,0,0,5.103,1488.501,6.661,14.426,161.522,2.122,4.568,7279.221,3.531,0,0,6.103,0,788.592,28308.443,0,0,118.869,0,0,4.952,0,465.917,1424.798,311.022,1962.268,3820.042,0.012,1676.333,0.238,54.997,4.342,0.753,38.017,6.861,0,567.119,0.893,1122.626,3031.126,3.569,0,0.139,162.704,0.059,35204.82,8.432,0,0,540.18,0,6.966,92.861,0,0,0,19.226,6032.918,5407.486,30.273,762.371,191.587,20.413,785.557,285.412,6025.502,11.441,0,1412.344,45.287,2.257,0.309,0,881.697,7.1,0,0,17.907,0,115.924,7.7,0.536,472.38,1405.123,1.356,9.85,21.65,2200.496,176.491,0,19.369,0,0.913,597.38,17.695,43.269,22.552,0,1309.622,4.331,517.554,6.233,0,0.174,7362.476,0,0,4.06,18.556,194.35,0.132,0,7,3016.361,0,43.712,17.558,1.304,2.893,195.937,84.61,3458.336,1011.94,0,30.811,1875.521,637.005,0.216,0,0,0,0,1.489,6.913,0,923.76,2.473,1891.431,0.056,0.159,1409.163,1115.978,3422.674,294.003,1798.121,0,198.656,0,3507.612,0,0.927,0,2729.307,16206.664,0.021,0,385.574,2.922,0,0,1.238,598.649,884.851,406.141,2.389,0,0,1.658,81.695,26.721,94.575,8809.848,0.901,6991.1,2.345,163.348,24.116,55.532,0,0,2.057,0.142,0,0,0,0,4.82,1.561,0,0,0,0,0,0,0,0,0,0,0
"BHS",0,0,0,0,0,0,0,0,0,0,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.637,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.666,0,0,0,0,0,0,0,0,0,0,0,0,1.901,0,0,0,0,0,0,0,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHR",0,0,0,0,0,0,0,0,0,0,0.564,0,0,0,0,0,27.167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.981,0,0,0,0,0,0.537,0,0,0,0,0,0,0,0,0,0,0,0,0.048,0,0,0,0,0,0,0,0,0,0,0,0,8.422,0,0,0,0,0,15.869,0,0,0,0,0,0,0,0,0,0,0,2.947,1.153,0,0,0,14.999,0.61,0,0,0,0,0,0.022,2.746,0,0,0.2,57.369,0,0,0,0,0,0,0,0.188,0,0,0,0,0,0,0,0.438,0,0,0,0,0,0,0,0,0,22.434,0,0,0,3.313,0,0,0,0,0,0,0,11.79,0,0,0,0,0,0,0,0,1.586,0.092,0,0,0,0,0,0,0,0,0,0.067,0,0,391.366,0,0,0,0,0.597,8.274,0,0,2.561,0,3.898,0,0,0,0,0,0,1.808,0,0,0.399,0,0,0,0,21.122,0,0,0,0,0,0,0,0,0,8.547,0.03,4.591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGD",0,0,0,0,0,0,0,0,3.754,0,0.362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.65,0.881,0,0,0,0,0,53.392,0,0,0,0,0,0,0,0,0,0,0,4.975,0,0,0,0,0,78.061,0,0,0,0,5087.451,0,0,0,0,49.338,0,0,0,0,0,0,0,0,0,0.108,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,5.646,0,0,0,38.185,0,197.374,0,0,0,0,0,442.902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.636,0,0,0,0,0,0,0,1.108,0,0,0,0,0.051,0,0,0.25,0,0,0,0,0,0,2.336,0,0,0,0,0,0,0,1.186,0,3.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARM",0,0,0,0,0,0,0,0,0,0,1.481,0,0,0,0,0,0,0,0,0,0,4.814,0,0,0,0,0,0,0,0.142,0,0,11.479,0,0,0,0,0,0.605,1.748,0,0,0,0,0,0,0,0,0,0,0,2.396,0,0,0,0,0,0,0,1.744,0,0,0,0,0.804,0,0,0,90.644,0,0.014,0,0,0,20.149,0,0,0,0,0,0,0,0,0,0,2.926,0,17.7,2.229,0.197,0,0,0,84.117,0,0,0,0,5.804,0,20.736,0,0,0,0,0,0,1.184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.058,0,0,0,0,76.714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.538,0,0,0,0,1.423,0,0,0,0,0,0.691,3.133,0,0,4.114,0,0,0,0,1.552,0,1.453,0,0,0,0,0,0,0,4022.258,0,26.877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRB",0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,2.489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.734,0,0,0,0,0,0,0.164,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.854,1.856,0,0,0,0,0,0,0,0.121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0,0,4.231,0,0,0,0,0,0,0,0,0,0,1.203,0,43.207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEL",4.719,21.633,322.498,0,0.037,14.996,0.038,0,76.383,766.826,2749.31,1.808,59.724,21.994,30.823,0,0,1.116,1.443,30.731,8.528,693.932,0.044,0,0,0,490.334,0,6.241,53.886,3.078,23.836,788.439,6.971,0,1.62,4.32,0.067,74.621,3050.634,0,0,156.427,0,35.496,68.2,0,55.646,714.195,19.236,313.373,947.302,27.721,2188.813,0,3.316,13.525,14.164,0.407,4.897,0,526.099,0,873.628,33725.15,7.721,11.206,6.563,71.315,1.066,31987.298,2191.575,2.342,0,1549.669,0.021,0,35.595,27.221,0.58,0,6.997,1764.023,1567.33,27.376,71.962,10.004,10.092,1006.174,295.686,16795.693,47.923,0,729.883,43.741,32.878,36.068,0,1257.3,38.738,1.524,0,15.197,0,116.15,3.483,0,601.201,1943.918,0,6.71,0.806,391.097,1.288,33.51,399.203,7.921,14.776,145.635,325.93,126.875,1.335,0,139.607,0.813,33.379,2.723,0,1.776,37303.977,0.014,16.252,0.077,150.987,187.551,1.63,6.536,109.928,983.257,0,151.663,60.885,77.691,0.892,37.422,741.297,3864.342,1881.112,0,150.687,1638.534,1034.388,46.777,0,0,0,0.493,0,184.229,0.243,83.875,28.405,51.707,24.57,4.952,879.315,1038.299,481.619,27.753,255.456,0,385.533,0.039,6599.601,0.017,165.345,0,6595.561,1892.85,0.59,0,1485.812,91.994,0,0,0,622.461,193.986,1286.361,1.875,0,0,1.154,100.501,8.118,252.211,21076.963,34.566,17678.577,30.597,72.012,11.633,0.147,0,2.693,16.894,50.155,0,0.442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BMU",0,0,0,0,0,0,0,0,0,14.273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,728.221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0.809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.365,15.376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOL",0,0,51.144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0,0,0,0,0,16.464,0,0,0,11.942,0,0,0,0,0.366,0,0,0,0,0,0,0,0.764,0,0,0,0,0,0,0,0,0.086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.761,0,0,0,0.203,0,0,0,0.467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BIH",0,0.697,0,0,0,0,0,4.078,0,0,850.027,0,0,0,0,0,0.724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032,0,0,0,0,0,0,0,0,43.084,0,0,0.108,0,0.726,0,0,0,0,0,0,0,0,0,0,14.946,0,0,0,0,0,364.267,0,0,0,0,0,0,0,0,0,0,0,0,0.185,0,0,0,0,0,1,6.865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.065,0,0,0,0,0,0,0,20.326,0,0,0,0,0.07,0,0,0,6.788,0,0,0,0,0,0,0,0.122,0,0,0,0.378,0,0,0,0,0,0,0,0,0,0,0,58.143,0,0,0,55.428,0,0,65.265,0,0,0,0,0,0,0,0.115,1.209,0,0,0,0,0,0,0,66.913,0,0.104,0,0,0,0,0,4.3,0,3.083,0,0,0,30.389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
