"AFG","ALB","DZA","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BMU","BTN","BOL","BIH","BWA","BRA","BLZ","SLB","VGB","BRN","BGR","MMR","BDI","BLR","KHM","CMR","CAN","CPV","CYM","LKA","TCD","CHL","CHN","CCK","COL","COM","COG","COD","COK","CRI","HRV","CUB","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","GNQ","ETH","EST","FJI","FIN","FRA","PYF","DJI","GAB","GEO","GMB","PSE","DEU","GHA","GIB","KIR","GRC","GRL","GRD","GUM","GTM","GIN","GUY","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LSO","LVA","LBR","LBY","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MNE","MAR","MOZ","OMN","NAM","NRU","NPL","NLD","CUW","ABW","SXM","BES","NCL","NZL","NIC","NER","NGA","NIU","NOR","FSM","PAK","PAN","PNG","PRY","PER","PHL","POL","PRT","GNB","TLS","QAT","ROU","RUS","RWA","KNA","AIA","LCA","VCT","SMR","STP","SAU","SEN","SRB","SYC","SLE","IND","SGP","SVK","VNM","SVN","SOM","ZAF","ZWE","ESP","SSD","SDN","SUR","SWZ","SWE","CHE","SYR","TJK","THA","TGO","TKL","TTO","ARE","TUN","TUR","TKM","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","WSM","YEM","ZMB","TCA","CXR","ERI","FLK","VUT","TON","CAF","SPM","MHL","PLW","WLF","MNP","ATF","MSR","NFK","BLM","ASM","IOT","SHN"
"BHS",0,0,0,0,0,0.287,0,0,0,0,0,0,0,0,0,1.236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038,0,0,0,0,0,0,0,0,0,0,0,0,5.837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.857,0,0,0,0,0,0.741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.287,0,0,0,0,0,0,0,48.68,0,0,0,0,0,2.993,0,0,0,0,0,0,0,0,2.804,0,0,0,0,0,2.51,0,3.661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHR",0,0,0,0,0,0,0,0,0,10.682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,0,0,0.158,0,0,0,0,0,0,0,0,0,36.459,18.153,0,0,0,0,0,0,0,0,0,0,0,0.196,0,0,0,0,0,0,1.082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.074,27.316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.859,0,0,0,0,0,0,0,0,0,0,0,0,1.887,0,0,0,0,0,0,0,0,0,11.994,0,0,0,0,0,0,0,0,0,712.565,0,0,0,0,4.448,0,0,0,0,0,0,0,0,0,0,0,0,6.284,0,0,0,0,0,0,0,638.215,0,0.316,0,0,0,0,0,0,0,3.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGD",0,0,0,0,0,0,0,0,37.564,0.051,0,0,0,0,0,0,0,0,0,0,0,0.135,0,0,0,0,3.275,0,0,0,0,0,20.156,0,0,0,0,0,3.58,0,0,0,0,0,0,0,0.965,0,0,0,0,0,0,0,0,0,0,0,0.077,0,51.416,1.125,0,0,0,0,0,0,69.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189.122,0,15.707,0,0,6287.607,0,0,0,0,0,0,0,0,0,0,0,0,0,1.585,0,0,0,0,21.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.045,0,0,0,0,0,0,0,0,0,0,38.803,0,0,0,0,0,0,0,0.895,4.498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.696,9.315,0,0,0,0,0,0,1.753,0,0,0,0,3.675,0.106,0,0,0,0,0,0,0.026,0,5.627,0,0,0,0,0,0,0,9.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARM",0,0,0,0,1.631,0,0,0,0,0.104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24,0,0,0,2.538,0,0,0.957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.8,0,0,0,0,0,0.332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.027,0,0,0,0,0,0,0,0,0,55.978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRB",0,0,0,0,0,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0,0,0,0,0,0,0,0.436,0,0,0,0,0,0,0,0,0,0,0,0,0.013,0,0,0,1.046,0,0,0,0,0,0,0,0,0,0,0.217,0,0.481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.675,0.512,0,0,0,0,0,0,0,0.203,0,0,0,0,0,0,0,0,0,0,0,0,1.151,0,0,0,0,0,0,0.395,0,0,0,0,0,0,0,0,4.062,0,1357.087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEL",147.767,34.528,670.16,2.185,44.022,0.329,322.42,534.487,753.136,1161.766,0.154,5.437,73.448,33.352,0,0,0.953,0,30.659,13.576,8.918,1251.626,0,0,0,0,215.275,38.558,1.581,129.466,25.69,18.227,402.39,0.423,0,19.001,120.534,110.368,1877.536,0,417.184,0,48.991,125.096,0,111.897,418.256,0.261,298.367,643.211,4.704,1117.474,0,54.09,152.503,35.501,1.855,1.307,198.009,0.396,930.355,24604.254,18.719,0,18.097,64.993,0.291,56.338,21221.355,38.601,0.066,0,1392.068,0,0,0,52.142,240.378,0,0,15.186,1095.721,469.251,20.016,337.949,1918.966,293.424,952.711,172.211,13248.414,114.738,0.085,354.56,245.375,367.005,109.525,0,411.335,33.335,36.444,1.238,15.297,0,567.163,9.646,0,243.415,1538.21,23.711,1.973,3.963,546.327,10.573,2.999,376.83,0,22.334,1254.463,15.775,3.989,31.775,368.96,0.652,57.339,7.345,0,51.222,87529.919,0.011,42.151,0.058,0,39.888,119.41,19.181,0,216.647,0,1670.55,0,352.318,129.557,0,15.502,95.088,314.305,4338.065,815.843,0,0,40.693,2616.723,855.047,38.536,0,0,0.113,0,1.502,0,341.298,43.479,71.207,4.266,0.015,2143.445,315.335,226.206,167.196,726.416,0,428.119,0.751,3789.1,1.232,6.447,17.747,0,3683.87,1947.423,27.674,0,1235.31,0.054,0,0,560.737,142.32,1681.16,2.414,0.573,44.062,151.159,331.228,12532.488,17.169,5978.649,43.094,79.835,43.595,25.734,0,1.792,2.022,0,0,0,0,0,0,0.457,0,0,0,0,0,0,0,0,0,0,0,0
"BMU",0,0,0,0,0,0,0,0,562.554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.498,0,0,4.873,0,0.973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.103,0,0,0,0,0,0,2.341,0,0,0,0,0,0,0,0,0,0,19.992,0,7.479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BTN",0,0,0,0,0,0,0,0,0,0.367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOL",0,0,0,0,0,0,0,0,2.883,0,0,0,0,0,0,0,0,0,0,0,0,24.254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.807,0,0,0,0,0,0,35.84,0,0,0,0,0,0,0,0,0,8.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219.322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BIH",0,0,0,0,0,0,0,0,2.948,0.266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.078,0,0,0,0,0,0,0,0,22.089,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382.394,0,0,0,6.651,0,0,0,0,0,0,0,0,0,0.474,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.853,0,0,0,0,0,0,0.149,0,0,0,0,0,0,0,0,0,0,4.557,0,0,0,0,0,3.273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444,0,9.838,0,0,1.332,0,0,0,40.436,0,0,0,0,0,0,0,0,0.474,3.276,0,0,0,0,0,0,2.164,0,1.692,0,0,0,4.043,61.583,2.143,0,0.095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
