"AFG","ALB","DZA","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BMU","BTN","BOL","BIH","BWA","BRA","BLZ","SLB","VGB","BRN","BGR","MMR","BDI","BLR","KHM","CMR","CAN","CPV","CYM","LKA","TCD","CHL","CHN","CCK","COL","COM","COG","COD","COK","CRI","HRV","CUB","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","GNQ","ETH","EST","FJI","FIN","FRA","PYF","DJI","GAB","GEO","GMB","PSE","DEU","GHA","GIB","KIR","GRC","GRL","GRD","GUM","GTM","GIN","GUY","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LSO","LVA","LBR","LBY","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MNE","MAR","MOZ","OMN","NAM","NRU","NPL","NLD","CUW","ABW","SXM","BES","NCL","NZL","NIC","NER","NGA","NIU","NOR","FSM","PAK","PAN","PNG","PRY","PER","PHL","POL","PRT","GNB","TLS","QAT","ROU","RUS","RWA","KNA","AIA","LCA","VCT","SMR","STP","SAU","SEN","SRB","SYC","SLE","IND","SGP","SVK","VNM","SVN","SOM","ZAF","ZWE","ESP","SSD","SDN","SUR","SWZ","SWE","CHE","SYR","TJK","THA","TGO","TKL","TTO","ARE","TUN","TUR","TKM","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","WSM","YEM","ZMB","TCA","CXR","ERI","FLK","VUT","TON","CAF","SPM","MHL","PLW","WLF","MNP","ATF","MSR","NFK","BLM","ASM","IOT","SHN"
"BWA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048,0,0,0,0,0.221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.541,0,0.073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.337,0.686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRA",0,0,1.148,0,52.697,0,0,2728.508,56.728,3.121,0.069,0,0,0,0.568,13.822,0,0,309.793,0.122,147.305,0,0.343,0,0,0,0,0,0,0,0,0,110.251,4.848,0,0,0,729.439,547.892,0,814.922,0,6.468,0.395,0,335.439,0,15.199,0,0,0,0.133,0,17.755,800.164,99.581,2.702,0.536,12.92,0,0,538.794,0,0,0,0,0,0,703.767,3.176,0,0,0.755,0,0,0,143.745,0,49.982,0,25.341,72.45,21.384,0,1063.892,0,0,13.271,167,43.241,0,0.315,5.186,6.74,0,4.358,0,513.826,14.544,0,0,1.252,0,0,0,0,0,0.057,0,0,0,1.585,1.735,0,0.462,0,1.692,264.496,0,0,0,10.828,0.104,0.03,0,0,0,162.819,0,0.229,0,0,1.982,5.015,3.68,0,3.371,0,1.407,0,0.38,66.336,0,884.317,632.668,5.318,15.645,44.858,0,0,0.019,0.313,7.063,0,0,0,4.225,0,0,0,11.592,0,0,0,0,521.275,125.745,2.081,11.538,0.157,0,34.71,0,57.738,0,2.516,0,0,82.893,39.756,0,0,44.895,0,0,24.679,12.499,0.742,6.758,0,0,0,0,3.487,245.177,0,1302.008,0,437.703,0,316.965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLB",0,0,0,0,0,0,0,0,26.342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VGB",0,0,0,0,0,0,2.273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.878,0,0,0,0,0,0,0,0,29.274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049,0,0,0,0,0,0.893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRN",0,0,0,0,0,0,0,0,0.327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.553,0,0,0,0,0,0.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149,0,0,0,0,0,0,0,0,0,0,0,0,97.097,0,0,16.943,0,0,0,0,0,0,0,0,0,0,0,0,0.191,0,0,0,0,0,0,0,0,0,0,0,0,0,35.929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364,260.572,0,0,0,0,0,0,0,0,0,0,0,0,0.763,0,0,0,0,0,0,0.693,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGR",0,13.606,5.214,3.725,0,0,56.54,0.033,51.812,331.614,0,0,0.041,0,0,38.558,0,0,0.52,26.702,0,11.889,1.242,0,0,0,0,0,0,1.1,0,0,75.899,0,0,9.945,0,10.29,481.22,0,0,0,0,0,0,0,573.234,7.091,134.689,157.469,0,298.531,0,0,15.925,0,0,0,184.638,2.192,7.1,35.023,0,1.966,0,32.297,0,0,1729.633,0,0,0,2256.311,0,0,0,0,0,0,0,0,176.545,902.537,2.637,6.708,0,0,8.504,57.093,6812.576,0,0.412,226.108,93.936,19.118,0,0,133.85,0.323,0,0,122.402,0,819.27,0,0,178.363,50.639,0,7.994,0,16.751,0,0,63.874,0,0,232.13,1.451,9.441,27.244,35.816,0,0.345,0,0,0,403.966,0,0,0,0,0,1.575,0,0,2.561,0,10.638,0,0,0,0,0,25.055,0,294.577,980.717,0,0,2.301,4573.733,56.928,0,0,0,0,0,0,0,66.758,0,297.581,55.927,0,242.985,27.996,332.195,0.304,315.527,0,33.038,0,1664.413,0,0,0,0,52.926,51.771,0,0,183.977,0,0,12.481,66.096,0,106.357,0,0.288,60.765,281.476,0,3013.509,19.907,151.547,0,0,0,0,0,0.441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLR",0,0,0,0,2.2,0,5.1,2.772,0,0,0,0,0,2.1,0,0.3,0,0,0,0,0,0,0,0,0,0,5.623,0,0,0,0,0,6.704,0,0,0,0,0,30,0,0,0,0,0,0,0,0.137,115.3,0,92.3,0,0,0,0,0,0,0,0.1,0,0,0,0.11,0,0,0,0,0,0,3.908,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0.742,0,0,0,0.1,0,4,0.3,0,0,0,48.101,0,0,0,3.5,0,0,0,0,0,14.8,0,0,8.003,0,0,0,0,0,0,0,0,0,0.1,0,0.3,19.845,0,0,0,0,0,0,0,1.768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.3,0.3,0,0,0,0,390.203,0,0,0,0,0,0,0,460.5,0,0.1,0,0,0.3,0.706,0.3,0.5,0,0,0.1,0,0,0,0,0,0,0,0.993,0,0,0.805,1.2,0,0,0,1.1,0,0,0,32.3,0,0,0.2,0.1,0.101,0,0,5.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KHM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.622,0,0,0,0,0,0,3.985,0,0,0,0,0,0,0,0,0,0,0,0,0,18.553,0,0,0,0,0,0,0,0,0,12.082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237.171,0,0,13.249,0,0.06,0,0,0,0,0,0,0,0,0,0,8.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CMR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.898,0,0,0,0,0,0,0,0,0,0,0,0,0,10.121,0,0,0,0,58.382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23.301,0,0,114.316,0,0,0,0,5.182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.077,0,0,0,0,0,0,0,0,0,0,0,0,0.415,0,0,0,0,0,0,0,0.621,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.597,0,34.078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN",905.563,1.074,3.33,16.161,5.069,6.233,288.607,1978.883,7048.881,169.283,11.64,12.968,51.073,13.501,21.264,771.796,3.983,1.369,185.531,38.866,0,2135.313,41.668,0,0,2.212,189.078,0,0,14.105,0,73.716,0,0,0.237,117.039,0.75,1468.625,13831.539,0,683.742,0,6.304,0,64.911,423.649,16.851,74.046,24.035,59.827,0,329.266,0,13.794,273.268,112.756,0,7.373,147.016,3.249,524.331,4798.264,22.472,0,0,0,0,1.938,12412.959,1.417,0,0,65.397,30.407,46.007,0,15.158,51.961,0.332,5.596,13.479,3160.437,35.311,12.082,706.43,0,69.061,92.154,1767.358,1689.268,1.268,138.069,4822.003,22.818,95.34,50.243,0,3585.248,28.597,0,0,121.719,0,93.037,0,0,57.576,452.001,0,2.319,0,416.486,0,259.983,0.432,0,1.962,8406.347,10.934,10.398,6.207,41.123,0,101.795,7.005,0,291.342,5624.937,114.092,0,0,0,3.62,415.062,104.271,0,239.007,0,663.845,0,328.905,81.001,40.413,105.247,591.02,394.795,2476.313,56.084,0,0,204.276,11.769,1002.714,0,0.579,0,8.834,4.039,0,0,1366.087,1.902,21.629,4.109,0,2511.573,1869.502,62.498,375.347,134.96,0,653.622,0.01,326.788,3.15,0,17.723,7.038,2990.915,912.089,0,0,858.135,0,0,48.695,2027.239,58.271,994.9,0,0.285,76.412,21.808,854.545,14261.915,10.334,537689.275,4.791,61.267,0,3055.288,0,236.99,5.534,0.275,0,0,0,0,0,21.132,0.44,0,0,0,0,0,0,0,0,0,0,0
"CPV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LKA",0,0,0,0,0,0,0,0,1.857,0,0,0,0,0,0,2.103,0,0,0,0,0,561.393,0,0,0,0,0,0,0,0,0,0,5.464,0,0,0,0,0,20.142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.701,0,0,0,0,0,0,0,3.205,0,0,0,1.269,0,0,0,0,0,0,0,0,8.706,0,0,0,0.005,0,0,4,0,0,0,27.009,0,0,1.206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.443,0,0,0,0,2.196,0,0,0,0,0,0,0,0,0,0.392,0,0,0,0,0,0,0,0,0,0,2.091,0,0,0,0.535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.483,0,0,1.348,0,87.558,184.448,0,0.495,0,0,0.36,0,0,0,0,0,0,0,99.362,0,0,29.972,0,0,0,0,0,0,0,0,0,0,0,2.079,0,12.287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.58,0,0,0,0,0,0,0,79.231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.063,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.542,0,0,0,0,0,0,0,0,0,0,0,0,13.621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHL",0,0,0,2.488,0,0,0,313.92,0.988,0.754,0,0,0,0,0.197,2.059,0,0,2636.641,0,0,68.416,0,0,0,0,0,0,0,0,0,0,28.098,0,0,0,0,0,5.28,0,361.565,0,0,0,0,6.544,0,0,0,0,0,0,0,0,19.162,0,0,0,0,0,6.64,0.713,0,0,0,0,0,0,7.21,0,0,0,0,0,0,0,0,0,0,0,2.509,20.503,0,0,0,0,0,0,1,14.692,0,0,39.862,0,0,0,0,9.286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.864,0,1.56,0,0,0,0,0,0,0,4.055,0,0,0,0,0,185.368,0,0,0,0,0,0,6.9,39.306,0,909.113,1114.319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,209.107,0,0,0,0,22.115,0.194,0,0,1.755,0,0,0,0,0,0,0,0,0,0,0,252.062,0,590.598,0,12.696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN",214.249,1232.624,14109.727,74.104,5498.79,27.951,621.1,63480.294,157016.867,33156.681,3.872,1294.925,14908.427,4984.746,104.451,72756.723,34.233,6.624,2388.033,1561.199,49.751,209490.115,53.458,15.167,7.948,932.345,29706.316,6912.289,23.179,2365.21,5026.866,3582.905,190212.489,32.744,0.567,5342.304,416.224,34492.969,0,0,51017.36,4.056,2095.703,3521.78,15.456,4622.167,2730.272,1531.13,8749.099,71482.786,566.879,30776.378,102.607,5110.406,19992.357,2975.598,9039.998,13061.537,2448.07,146.634,21520.474,235367.06,451.554,2513.611,1171.544,900.98,27.95,91.765,440605.377,6411.478,20.348,0,20738.65,27.502,16.355,0,6254.895,1916.239,109.094,149.997,3494.976,1886280.063,33658.418,947.802,85812.801,23506.58,13942.276,9258.861,26506.635,192749.014,1532.746,3011.298,601310.482,8017.265,4538.678,2872.516,1431.444,110375.154,4091.322,304.344,3193.307,5676.507,10.834,2279.073,257.473,2096.755,3651.483,1004.535,3076.839,1108.922,928.327,82940.914,307.649,265.821,1416.291,674.683,753.807,199156.637,385.643,1560.317,135.028,8185.795,3600.155,1546.423,144.582,0,773.769,168472.582,150.192,32.847,0,0,646.073,19038.759,5344.331,1710.144,18267.216,0,38084.034,0,30749.528,6359.241,1861.943,6012.458,20707.159,42712.11,138493.199,15515.01,26.577,92.463,1725.331,14388.662,59707.148,222.862,20.03,0,84.436,30.262,40.2,0,20269.071,1559.042,5515.766,21.773,156.222,139405.473,258730.542,10822.481,82308.211,7290.882,198.35,45281.221,3730.834,254959.085,397.617,5501.618,122.415,2.826,95298.446,43696.327,1380.923,1210.03,249741.133,192.654,0,2072.43,47365.312,2950.785,93821.538,890.141,686.758,9897.896,1744.555,23342.71,326977.195,6444.235,2396417.467,16.324,6414.33,2341.554,3933.903,54.659,929.016,1720.272,2.976,0,250.643,0,107.07,0.096,37.205,0,97.864,0.045,0,0,0,0,0,0,0,0,0
"CCK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COL",0,0,0,0,0,0,0,0.742,1.784,3.752,0,0,0,0,0,0.399,0,0,78.245,0,0,12.543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.412,0.72,0,0,0,0,0,0,68.891,0,0,0.056,0.26,0,0,0,6.113,221.351,450.704,0,0,0,0,0,7.8,0,0,0,0,0,0,110.591,0,0,0,0,0,0,0,25.578,0,0.006,0,1.103,43.284,0,0,0,0,0,0,0,0.063,0,0,0,0,0,0,0,5.416,0.332,0,0,26.417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.941,0,0,0,0,0,3.003,0.14,0,0,27.547,0,2.101,0,0,0,0,0.143,0,0,0,0,0,0,174.814,0,0,348.829,0,0.166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.602,0,0,0,0,0,0,0,10.146,0,0,4.098,0,5.089,6.993,0,0,1.243,0,0,127.507,15.153,0,0,0,0,0,0,0,2.047,0,279.842,0,1.611,0,77.886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG",0,0,0,0,0.408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92,0,0,0,0,0,0,0,0,0,16.158,0,0,3.592,0,0,0,66.462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.375,0,0,0,11.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.287,0,0,0,0,0,0,0,0,0,0,0,210.409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
