"AFG","ALB","DZA","ASM","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","BRB","BEL","BTN","BOL","BIH","BWA","BRA","BLZ","SLB","VGB","BRN","BGR","MMR","BLR","KHM","CMR","CAN","CPV","CYM","CAF","LKA","TCD","CHL","CHN","CXR","COL","MYT","COG","CRI","HRV","CUB","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","ETH","ERI","EST","FLK","FJI","FIN","FRA","PYF","DJI","GAB","GEO","PSE","DEU","GHA","GRC","GRL","GRD","GTM","GIN","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","LBN","LVA","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MSR","MAR","MOZ","OMN","NAM","NRU","NPL","NLD","ANT","ABW","NCL","NZL","NIC","NER","NGA","NOR","PLW","PAK","PAN","PNG","PRY","PER","PHL","POL","PRT","QAT","ROU","RUS","RWA","KNA","LCA","SPM","VCT","SAU","SEN","SYC","SLE","IND","SGP","SVK","VNM","SVN","ZAF","ZWE","ESP","SDN","SUR","SWZ","SWE","CHE","SYR","TJK","THA","TGO","TKL","TTO","ARE","TUN","TUR","TKM","TUV","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","WSM","YEM","SCG","ZMB","CCK","COK","GUM","LAO","NFK","TLS","TON","ARM","LBY","BDI","COD","GIB","LBR","BMU","GUY","KGZ","TCA","IRQ","KIR","SMR","COM","GNQ","GMB","WLF","IOT","VUT","STP","MNP","NIU","MHL","GNB","AIA","LSO","SOM","SHN"
"BRA",0,0,2.574,0,0,1.874,0,0,1298.547,74.168,66.806,0,0,0,0,7.081,0,542.111,0,0,0,0,0,0,0,0,0,0,0,0,242.74,0,0,0,0,0,73.936,169.876,0,37.482,0,0,8.597,0,3.192,1.182,0,0,0,0,16.776,21.563,0,0,0,0,0,0,0,33.149,0,0,0,0,0,15.528,0,11.589,0,0,6.046,0,0,7.368,0,0,0,0,0,0,0,238.261,0,0,589.203,0,0,0,0,0.339,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,84.321,0,0,0,0,0,0,0,0,0,32.934,0,0,0,0.368,0.326,0,0,301.183,0,0,123.432,0,37.395,85.868,0.369,0,0.615,0,0,0,0,0,0,0,0,128.299,0,0,0,54.459,4.606,0,0,0,54.12,0,1.825,0,0,0,24.385,39.584,1.749,0,126.536,0,0,4.965,0,0,0.35,0,0,0,0,0,0,2.867,0,2801.018,0,18.534,0,105.856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLB",0,0,0,0,0,0,0,0,0,0,2.695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VGB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159,0,0,0,0,0,0,0,0,0,21.703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRN",0,0,0,0,0,0,0,0,0,0.212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.664,0,0,0,0,0,0,0,0,0,23.081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGR",0,9.787,25.89,0,0,0,0,0,0,0,75.747,0,0,0,0,1.925,0,0,0,0,53.189,0,0,0,0,0,0,0,0,0,22.162,0,0,0,0,0,0,0,0,9.464,0,0,4.687,0,0,1.713,2.777,0,1.614,0,0,0,0,0,0,0,0,0,31.219,1.887,0,0,0,0,0,126.676,0,0,0,0,0,2.049,0,0,0.376,0,0,0,0,1.273,5.678,4.295,0,0,68.574,0,0,0,0,0,1.612,0,0,1.205,0,0,0,0,4.788,0,0,0,0,0,1.589,0,0.4,0,0,0,0,0,0,0,0.274,0,0,0,0,0,0,0,0.887,0,0,0,0,0,0,0,0,0,0,6.096,89.187,0,0,0,0,0,0,0,0,0,0,0,0,0,17.345,9.447,0,3.746,0,0,0,0.206,3.221,0,0,0,0,0,0,0,0,5.192,0,0,0,0.919,6.436,0,238.75,0.873,337.687,0,0,0,0,0,0,37.363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLR",0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339.76,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,15.383,0,0,0,0,0,0,0.5,6,22.299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3290.6,0,0,0,0,0,0,0,0,0,8.364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KHM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.155,0,0,0,0,0,0,0,0,0,0,0,1.812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.564,0,0,0,200.431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CMR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN",0,0,6.288,0,0,0,0,3.309,30.085,5141.786,382.335,7.497,0,8.063,6.232,571.381,0,2.713,0,0.211,1528.743,0,0,0,0,27.412,0,0,1.535,0,0,0,0,0,3.067,0,399.018,2846.822,0,204.891,0,0,5.812,109.874,23.913,32.721,123.858,0,133.098,0,236.567,184.182,0,0,0,90.964,0,8.455,70.599,2780.661,12.109,0,0,5.161,0,1686.868,0,214.657,0,0.513,64.345,0.093,8.548,8.113,3382.335,159.98,53.075,505.033,143.084,45.445,628.025,1401.547,14.264,66.6,4135.758,65.123,139.851,0,7.572,3213.445,18.134,106.871,26.804,12.681,256.427,0,0,0.838,275.691,0,0,6.417,0,2.034,1733.599,0,0,0,56.486,0.189,2.809,0,0,0.085,1087.947,170.85,0,13.834,103.499,163.891,0,29.839,51.121,0,32.795,1.664,0,23.119,35.314,51.728,187.922,159.344,173.439,26.17,31.324,0,0.661,0.167,0,0.297,337.322,0.144,0,0,2007.933,652.097,69.068,12.866,130.558,107.544,0,587.954,0,58.535,0,100.961,419.182,0,0,550.31,0,0,160.722,529.049,5.754,325.738,0,0,0,12.3,6.193,435.53,5372.048,40.272,276538.641,0,32.938,0,10.166,0,0,5.898,0,0,0,0,0,0,0,14.014,0,0,0.484,0,0,0,23.574,14.469,7.321,34.168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CPV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYM",0,0,0,0,0,0,0,0,0,0,0,0.126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553.591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LKA",0,0,0,0,0,0,0,0,0,6.768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.247,0,0,0,0,0,0,0,0,0,0,43.447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.788,0,0,0,0,0,0,0.014,0,0,13.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.299,0,0,10.802,0,0,0,0,0,0,0,83.257,13.112,0,0,0,0,0,0,0.731,0,0,0,0,0,0,0,0,0,0,11.424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHL",0,0,0,0,0,0,0,0,0,2.061,0,0,0,0,0,0,0,7.035,0,0,142.298,0,0,0,0,0,0,0,0,0,701.168,0,0,0,0,0,0,0,0,10.734,0,0,0,0,0,0,0,0,0,0,3.087,15.979,13.613,0,0,0,0,0,0,4.812,0,0,0,0,0,0.088,0,0,0,0,10.482,0,0,0,0,0,0,0,0,0,3,1.004,0,0,0.9,0,0,0,0,1.749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.557,0,0,0,0,0,0,0,0,0,9.443,0,0,0,0,0,0,0,0,0,0,8.453,0,0,5.973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.514,0,0,0,2.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,531.457,0,21.366,0,1.211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN",0,0,343.488,0,14.209,0.094,0,0.29,1199.172,12947.044,4130.226,0,0.802,387.705,5.8,10147.295,0,18.577,0,0,2854.837,0,0,0,1.955,134.654,134.844,35.814,3.94,0.118,5617.381,0,0,0,86.037,0,382.705,0,0,470.098,16.712,0,26.807,1885.386,921.543,167.101,793.982,3,2339.475,0.007,38.373,223.669,18.839,7.062,0,207.375,0,3.089,1603.045,14572.228,75.077,0,0,51.694,0,129922,22.125,584.956,0,0,1.618,0,0,4.885,119701.454,3267,47.464,5662.718,358.48,479.988,1782.393,8786.691,3.291,2.997,158371.955,103.171,331.73,1.476,172.486,31498.687,98.248,581.077,51.67,731.606,108.426,63.655,5.679,0,1933.964,0.401,1.004,32.494,0,33.439,5515.068,14.293,8.712,0,556.172,38.032,36.309,2.491,0,2.184,14493.609,0,0,17.72,1066.202,7.905,7.345,348.343,1545.116,0,503.155,190.866,0.975,68.546,289.655,602.105,5864,299.127,8.035,292.48,4660.134,0.101,0,1.431,0,0.307,515.956,0.106,0.003,0,2822.318,5460.388,301.709,384.878,658.378,421.479,0,10430.144,184.21,22.036,0,467.175,1581.8,158.468,0,6832.118,0,0,55.178,1927.921,102.458,5822.033,0,0,1.135,60.593,15.383,3755.219,36989.006,0.05,326968.646,0,9.311,0,125.301,0,0.015,69.683,86.235,0,0,0,3.33,0,0,0,0.267,8.568,0,0,0,0,0,3.257,22.563,0,1805.817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CXR",0,0,0,0,0,0,0,0,0,3.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,248.428,0,0,0,0,0,0,0,0,0,0,0,0.736,0,0,0,0,0,0,0,0,4.723,0,0,0,0,0,0,0,0,0,0,0,0,0,9.024,0,0,0,0,1.395,0,0,2.8,0,0,0,0,0,0,1,3.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.597,0,0,0,0,0,0,0,0,0,0,0.016,0,0,0,3.92,0,0,0,0,0,10.962,0,0,0.552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.291,0,0,0,0,0,0,1.455,0,0,0,0,0.286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.472,0,0,0,16.763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MYT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CRI",0,0,0,0,0,0,0,0,0,0.64,0,0,0,0,0,0,0,0,0,0,1.523,0,0,0,0,0,0,0,0,0,0.867,0,0,0,0,0,0.005,207.449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122,0,0,0,0,0,472.963,48.127,0,0,0,0,0,256.235,0,0,0,0,0,0,0,1.644,255.831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.331,0,0,0,0,0,20.179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.435,0,0,0,0,0,0.613,0,0,2.595,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.101,0.239,0,0,0,0,0,0.719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,647.481,0,8848.632,0,0,0,2.598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HRV",0,0.59,0,0,0,0,0,0,0,0,14.274,0,0,0,0,0.529,0,0,659.806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.908,0,0,0,0,0,0,0,0,0,0,0,0.972,5.032,0,0,0,0,0,38.792,0,0,0,0,0,0,0,0,15.65,102.873,0,0,0,2.748,0,37.911,0,0,0,0,0,0,0,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.023,0,0,0,0,0,0,0,0,0,0,0,0.834,3.263,0,37.942,0,0,0,0,0,0,40.793,5.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265,0,19.621,0,1.086,0,0,0,0,0,0,100.664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CUB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6.665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.48,0,40.603,0,0,0,0,0,0,0,0,2.419,0,0,0.803,36,0.688,0,0,0,0,2.464,0,0,0,10.447,16.426,0,0,0,0,0,0,0,0,0,4.143,0,0,0,0,0,0,0,0,0,0,0,0,1.055,0,0,0,0,0,0,0,0.135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.027,0,0,0,0,0,0,0,0,0,0,82.254,0,0,0,0,0.265,1.597,0,0,0,0,0,0.768,0,0,0,0,0,3.422,0,0,48.092,0,4.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZE",0.204,0,136.83,0,0,0,0,0,192.126,15.12,61.751,0,0,0,0,31.579,0,0,1.376,0,0.223,0,0,0,0,3.7,0,1.3,0,0,1.899,0,0,0,0,0,0,3.175,0,0,0,0,0,35.227,0.32,9.957,0,0,34.77,0,0,0,0,0,0,0.085,0,0,52.791,33.922,0,0,0,3.45,0,2353.614,0,0,0,0,0,0,0,0,19.346,733.926,0,0,0,35.039,1.967,53.792,0.162,0,17.645,21.42,1.296,0,0,0,1.198,3.627,0.467,139.728,18.684,0,0,0,0,0,0,0,0,0.034,3.732,0,0.356,0,0,0,0,0,0,0,280.28,0,0,0,5.821,0,0,0,6.519,0,10.77,0,0,0,0,0,135.817,0.307,0,15.041,34.285,0,0,0,0,0,0.287,0,0,0,54.066,11.099,1246.197,0,16.903,13.44,0,2.339,0,0,0,287.338,395.239,0,0,11.754,0,0,0,0.541,0,10.248,0,0,0,59.817,0,0.999,700.599,0,525.825,0,0,0,0,0,0,48.958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
