"ARG","AUS","AUT","BHR","BEL","BTN","BWA","BRA","BGR","BLR","CAN","LKA","TCD","CHN","HRV","CYP","CZE","DNK","FIN","FRA","DEU","GRC","HND","HKG","HUN","IDN","IRN","IRL","ISR","ITA","JPN","JOR","KEN","KOR","KGZ","LVA","LTU","MYS","MNG","NAM","NLD","NZL","NOR","PAK","PRY","PHL","POL","RUS","SAU","SRB","IND","SGP","SVK","SVN","ZAF","ESP","SWE","CHE","THA","ARE","TUR","UKR","EGY","GBR","USA","URY","COL","ROU","BIH","ETH","LUX","UGA","YEM","ZMB","ALB","BMU","MEX","MDV","DZA","AGO","MMR","ECU","KAZ","PRK","NPL","NGA","QAT","VNM","ZWE","TON","CMR","MAR","NCL","TUN","BFA","CHL","IRQ","KWT","LBN","LBY","MLT","MUS","PRT","SDN","EST","AZE","BGD","KHM","MWI","ISL","OMN","MKD","TZA","BRN","MOZ","LSO","SWZ","AFG","ARM","GMB","UZB","SYC","BHS","BRB","CYM","DOM","GTM","JAM","NER","PER","TTO","VEN"
"CAN",0,0,1.148,0,0,0,0,0,0,0,0,0,0,42.628,0,0,0,0,0,1.046,135.785,0,0,70.339,0,0,0,0,0,0,6.088,0,0,0,0,0,0,0,0,0,6.039,0,194.455,0,0,0,0,5.087,0,0,0,0,0,0,0,0,2.752,0.236,0,0,0,0,0,0.118,198.181,0,0,0,0,0,0,0,0,0,0.316,0.977,0.426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LKA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN",0.179,1936.493,31.204,0,2801.652,0,0,39.345,0,0,3.781,14.884,0,0,0,0,1672.716,0,0,66.007,16757.196,0,0,6376.671,3.756,454.002,26.569,0,6.225,90.252,80759.914,2.148,0,13468.31,0,0,310.074,4851.393,0,0,17.454,0.039,330.371,159.165,0,0.281,244.721,1820.489,0,168.937,22469.772,2428.062,404.379,0,0.085,2.133,2.65,172.113,0,101.939,3.005,0,54.3,68.345,1675.148,0.12,0,0,247.463,5.444,0,0.344,7.892,0,0,0,0,0,0.152,1.359,456.995,55.8,1237.406,0.293,2.929,194.987,46083.001,361.42,0.156,2.676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HRV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1026.278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZE",0,0,0,0,0,0,0,0,0,0,0,0,0,302.276,0,0,0,0,0,0,0,0,0,3.857,594.032,0,0,0,0,0,1.102,0,0,0,0,74.986,66.28,0,0,0,0,0,19.868,0,0,0,133.676,28.031,0,0,0,0,0.73,0,0,0,0,0,0,0,0,14.559,0,82.151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNK",0,4699.167,0,0,0,0,0,0,0,0,0,0,0,213.606,0,0,2228.723,0,0,0,3.746,0,0,0,13.687,0,0,0,0,0,129.775,0,0,669.462,0,0,298.663,0,0,0,0,0,9991.603,0,0,0,6658.14,491.057,0,0,0,15.383,0,0,0,0,0,0,0,0,0,0,0,0,487.524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FIN",0,7.077,0,0,0,0,0,0,0,0,0,0,0,3146.664,0,0,0,0,0,56.574,42.85,0,0,0,0,0,0,0,0,0,4827.269,0,0,0,0,0,0,0,0,0,0,0,361.312,0,0,0,0,51.101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRA",0,20.262,33.548,0,1.196,0,0,0,0,0,0.299,0,0,71.338,0,0,0,0,0,0,63.732,0,0,0,2.924,1.21,0,0,0,1057.296,8.18,0,0,0,0,0,0,0,0,0,5.697,0,0.419,0,0,0,2.111,0,0,0,33.406,4.82,0,0,4.761,20.486,0,50.38,12.845,0,13.388,0,0,75922.66,34.173,0,0,0,0,0,0,0,0,0,0,0,2.79,0,2.653,0,0,0,0,0,0,0,0,1.717,0,0,1.447,9.033,0.785,2.474,1.943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
