"AFG","ALB","DZA","ASM","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BMU","BOL","BIH","BWA","BRA","BLZ","IOT","SLB","VGB","BRN","BGR","MMR","BDI","BLR","KHM","CMR","CAN","CPV","CAF","LKA","TCD","CHL","CHN","CXR","COL","MYT","COG","COD","COK","CRI","HRV","CUB","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","GNQ","ETH","EST","FJI","FIN","FRA","PYF","DJI","GAB","GEO","GMB","DEU","GHA","GIB","KIR","GRC","GRL","GRD","GUM","GTM","GIN","GUY","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LVA","LBR","LBY","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MNE","MSR","MAR","MOZ","OMN","NAM","NRU","NPL","NLD","CUW","ABW","SXM","NCL","VUT","NZL","NIC","NER","NGA","NIU","NOR","MNP","FSM","PLW","PAK","PAN","PNG","PRY","PER","PHL","PCN","POL","PRT","TLS","QAT","ROU","RUS","RWA","SHN","KNA","AIA","LCA","VCT","SMR","STP","SAU","SEN","SRB","SYC","SLE","IND","SGP","SVK","VNM","SVN","ZAF","ZWE","ESP","SDN","SUR","SWZ","SWE","CHE","SYR","TJK","THA","TGO","TKL","TON","TTO","ARE","TUN","TUR","TKM","TCA","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","WSM","YEM","ZMB","CCK","PSE","NFK","SSD","BTN","ATF","MHL","CYM","ERI","SPM","COM","LSO","GNB","SOM","TUV","WLF","FLK"
"BWA",0,0,0,0,0,0,0,0,0,5.038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.944,0,0.227,0,0,0,0,0,0,0,0,0,0,0,30.853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.046,1.661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.906,0,0,0,0,0,0,0,0,1.591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRA",0,0,10.117,0,0,114.685,0,0,14416.652,23.857,23.658,0,0,0,0,0.788,0.161,0,201.967,0.105,0,0,0,0,0,0,0,0,0,0,2.366,0,0,34.363,3.447,0,0,0,593.106,4103.987,0,536.641,0,3.578,0,0,13.928,0,24.049,0,9.511,0,5.221,0,9.115,332.666,2.624,146.536,2.543,107.883,0,0,374.358,1.003,0,0,0,0,498.804,0,0,0,1.152,0,0,0.171,2908.075,0,0,0.091,13.064,68.584,3.418,0,30.372,0,0,0.726,5.824,367.54,0,37.045,6.936,0,0.07,8.174,0,379.103,8.302,0,0,8.366,0,0,0,0,0,0,0,0,1.227,0,1.423,0,0,0,657.721,0,0,0,0,15.402,16.61,0,0,0,0,255.985,0.038,2.459,0,0,0,0.448,0.795,0,0.318,0,514.414,0,0,0,0.522,47.213,0.799,443.877,351.851,0.298,0,5.485,80.536,0,0,0.604,2.768,0,0,0,0,0,0,0,0,5.32,0,0,0,0,10.935,24.294,0,0.387,0,22.714,1,29.804,0,0,0,12.199,6.146,0,0,51.307,0,0,0,1.828,31.243,0,0.381,0,0,0,0,0,0.302,7.589,8.028,6774.658,0,581.841,0,1409.148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IOT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLB",0,0,0,0,0,0,0,0,0,5.949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VGB",0,0,0,0,0,0,0,17.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRN",0,0,0,0,0,0,0,0,0,92.639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216,0,0,0,0,0.801,0,0,0,0,0,0,0,0,0,2.331,0,0,0,0,0,22.134,0,0,0,0,0,0,0,0,0,0,0,0,8.77,0,0,0.032,0,0,0,0,0,0,0,0,0,0,0,0,13.111,0,0,0,0,0,0,0,0,0,0,0,0,40.639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186.37,0,0,0,0,0,0,0,0,0,0,0,0,0,87.683,0,0,0,0,0,0,0,0,0,0,0,0,0,4.811,0,5.735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGR",33.026,1.539,5.231,0,0,0,0,201.865,0,42.709,108.111,0,10.97,0,3.596,0,5.928,0,0,3.103,0,10.362,0,0,0,0,0,0,0,0,19.384,0,0,96.524,0,0,0,0,0.654,20.147,0,0,0,0,0,0,0,33.129,0,10.218,45.616,0,74.202,0,24.159,0,0,0,0.059,0.406,0,7.59,7.9,0,0,0,4.108,0,489.824,0.827,0,0,699.469,0,0,0,0,13.025,0,0,0,3.312,14.667,0,0,0.641,0,0,5.759,64.057,0,0,139.936,15.995,0,0,0,10.427,0,0,0,0,0.775,0,0,3.144,82.296,0,0,0,0,0,0,4.609,0,0,81.133,0,9.494,2.211,0,0,0,0,0,0,0,586.478,0,0,0,0,0,4.314,0,0,0,0,17.226,0,0,0,0,0,0,0,15.057,2.503,0,159.832,96.464,0,7.823,1535.072,305.327,0,0,0,0,0,0,0,0,154.082,0,112.497,0,0,9.065,35.712,11.818,0,2.233,5.152,370.896,104.729,0,0,0,28.715,12.818,0,0,29.272,0,0,0,0,7.307,0,50.48,0.22,0,0,3.143,102.975,0,125.913,0,323.86,0,0,5.11,0.977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.911,0,0,0,0,12.476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.338,0.404,0,0,0,0,0,0,0,0,0,0,0,0,0,0.882,0,0,0,0,0,0,43.509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLR",0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0.6,0,0.3,0,0,0,0,0.2,0,0,0,0,0,0.721,0,0,0,0,0,2.822,0,0,0,0,0,8.8,0,7.6,0,0,0,0,0,2.1,0,0,3.8,0,3.799,0,0,0,0,0,0,1.5,0,3.5,0.9,0,0,0,20.2,0,0.064,0,0,0,0,0,0,0,0,1,0,0,0,2.9,0.7,0,4,0.7,0,0.1,0,0.7,0,0,0,47.3,0,0,0,11.418,0,0.2,0,0,1.1,0,0,3.4,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.101,0,0,0,0,0,0,0,0,24.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.1,0,4.7,0,0,0,0.2,4253.8,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0.4,0.6,0,0,0.167,0.3,0.6,0.281,0,0,0,13.8,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,6,0,0,30.294,0,10.898,0,0,0,3.921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KHM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.326,0,0,0,0,0,0,0,0,1.092,0,0,0,0,0,0,0,0,0,0,0,0,5.129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.474,0,0,0,0.182,0,0,0,0,0,0,0,4.761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CMR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.935,7.787,0,0,0,0,0,21.281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.001,0,5.236,0,0,0,0,0,0,0,234.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152,0,0,0,0,0,0,0,0,0,0,0,0,0,4.803,0,0,0,0,0,0,0,0,0,0,2.878,0,0,0,0,0,0,0,0,0,0,0.542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.528,0,0,0,0,0,2.979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.883,0,0,0.232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN",54.2,9.411,9.84,0,0,150.096,29.781,134.65,1769.732,4436.388,266.523,0.46,4943.649,8.525,81.1,2.486,1218.12,30.415,442.007,45.101,9.632,5135.371,1.865,0,0.601,0,3.334,78.83,0,28.069,498.241,0,2.224,0,0,0,320.318,0,474.975,12390.252,0,140.327,0,0,38.788,0,110.763,65.666,89.287,102.444,82.711,0,162.815,0,237.856,40.071,17.068,0,51.279,70.974,0.61,258.922,3435.585,0.302,0,8.144,150.647,0,11985.071,88.7,29.639,0,90.044,17.129,0.241,0,54.273,0,31.866,0,19.325,2340.976,72.698,103.004,3682.775,0,106.811,171.353,949.525,1760,0,19.766,4692.829,94.973,891.626,25.447,0,6561.27,44.658,5.209,6.632,179.281,15.924,0,10.259,103.912,524.555,60.023,101.303,0,1448.88,24.457,133.713,4.469,0,46.049,4250.156,16.332,1.984,0.398,0,40.195,0,12.947,14.623,0,0,1368.766,9.641,12.964,0,8.197,0,438.008,5.809,43.127,333.414,0,642.79,0,0,0,115.037,62.548,0.083,6.373,578.708,1005.667,0,356.462,171.841,0,236.399,216.845,3438.41,2.461,0,0,0,6.267,0.994,0,0,1268.619,0,112.621,0,0.198,4299.298,1539.782,54.576,79.042,173.868,548.619,4.111,343.135,34.039,166.979,1.539,1566.297,787.311,6.133,0,2163.804,0,0,0,26.79,1022.154,31.745,1398.887,0,0.403,1.845,4.029,83.254,155.262,16221.081,21.163,390008.542,4.306,92.059,0,388.426,0,0,19.337,0,73.759,0,0,0,0,0,1.956,0.521,0.145,0,0,0,0,0,0,0
"CPV",0,0,0,0,0,0,2.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.342,0,0,0,0,0,0,0,0,0,0,0,3.367,0,0,0,0,0,0.635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.68,0,0,0.023,0,0,0,0,0,0,0,0,0,0,1.567,0,0,0,0,0,0,0,0.922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LKA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.211,0,0,0,0,0,0,0,0,0,0,0,0,0.115,0,0,0,0,0,0,0,0,3.084,0,0,0,0,0,0,269.609,0,0,0,0,0,0,0,0,0,0,0,0,33.866,0,0,0,0,0,0,3,0,0,0,98.507,0,0,0,0,3.044,0,0,0,0,0,0,0,0,0,0,0,0,0,52.966,0,0,0,0,0.685,0,0,0,0,0,0,0,0,0,0,0.223,0,0,0,0,0,0,1.222,0,0,0,0.296,0,0,0,0,0,0,0,0,0,0,119.567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142,0,3.095,178.214,0,0,0,1.043,0,0.706,0,0,0,0,15.475,0,0,3.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372,0.815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHL",0,0,0,0,18.575,0,0,0,352.113,1.619,4.05,0,0,0,0,0,0,0,2508.087,0,0,769.9,0,0,0,0,0.338,0,0,0,0,0,0,38.442,0,0,0,0,0,12.252,0,94.497,0,0,0,0,12.497,0,0,3.943,0,0,0,0,0,3.946,0,0,0,0.091,0,0,46.072,2.714,0,0,0,0,25.864,0,0,0,0,0,0,0,1.403,0,0,0,0,10.854,0,0,0,0,0,0,0,0,0,7.592,0,0,0,0,0,13.552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183.794,0,0,0,0,0.052,0,0,0,0,0,12.203,0,0,0,0,0,70.684,10.718,0,0,0,4.081,0,0,0,30.296,1.136,0,722.787,1366.421,0,0,0,0.584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.345,58.62,0,0,0,10.449,0,295.718,0,0,0,0.815,192.851,0,0,2.3,0,0,0,0,45.674,0,0,0,0,0,0,0,0,12.159,0,550.786,0,31.095,0,13.299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN",141.426,435.735,27406.244,0,281.366,1497.47,14.668,389.366,51284.856,120786.533,23024.491,4.903,868.435,5757.038,513.214,54.056,44094.259,15.239,1022.594,726.18,27.428,132037.517,91.013,0,0.01,0,619.806,2891.87,6396.192,32.171,1860.996,7460.604,1161.843,112519.171,25.957,60.218,1950.458,138.086,22923.162,0,0,17931.381,17.803,194.808,2735.524,0.015,1745.359,4563.471,755.149,1264.749,52799.26,251.413,17994.074,64.836,1961.78,6749.701,2721.109,1508.549,5557.732,2793.871,391.098,21529.162,148240.761,480.566,555.306,443.473,455.56,85.615,319117.147,4321.878,15.3,12.077,7548.448,8.124,4.508,0,1766.273,362.728,71.198,97.454,1577.107,1666143.899,31659.557,189.744,69081.273,14236.707,8874.56,12912.794,15104.653,89478.859,152.601,1690.086,832004.357,4269.367,7969.836,2212.92,1567.487,433090.131,1689.276,4433.704,3785.361,2837.626,1351.607,98.938,3439.583,3175.295,848.595,1391.213,208.711,103.898,47458.57,80.172,1843.721,1556.315,151.012,599.51,133598.736,1665.294,415.301,121.647,0,8231.722,536.469,1300.003,149.587,0,1591.421,316925.504,13.849,5.228,0,524.13,17.961,18556.491,583.401,511.543,25247.436,0,20882.506,0,0.067,0,10463.269,6814.952,183.429,7320.741,24830.417,14307.242,0,66399.451,11984.217,89.478,562.602,7310.73,76069.749,72.926,0,3.164,0,86.107,15.96,0,5.313,17810.104,159.279,1427.045,7.485,108.319,95050.893,55464.623,32123.093,142771.619,8239.248,36449.266,193.34,102103.916,2583.423,153.183,0.862,24977.438,25382.529,5641.079,413.003,173936.615,2627.1,0,0,391.525,47158.795,4195.475,64951.029,1739.465,0,1009.925,8061.561,529.668,15019.434,314379.071,557.188,2131138.37,22.513,7616.328,737.35,6709.268,4.362,2247.098,637.826,0,18.611,0,133.401,3.377,0,0,32.661,15.217,0,14.28,4.737,117.113,2.533,102.134,0,0
"CXR",0,0,0,0,0,0,0,0,0,9.147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COL",0,0,0,0,0,4.014,0,0,0,3.948,0,1.112,0,0,0,0,8.067,0,0,0,0,5.014,0,0,0,0,0,0,0,0,0,0,0,26.852,0,0,0,0,10.415,1.168,0,0,0,0,0,0,29.627,0,0,0,0,0,0,0,2.439,129.829,0.743,0,0,0,0,0,2.564,0,0,0,0,0,70.474,0,0,0,0,0,0,0,6.291,0,0,0,1.232,3.916,0.12,0,0,0,0,0,16,24.556,0,0,3.008,0,0,0,0,1.528,0,0,0,6.501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.544,0,0,0,0,0,0,0,0,0,0,78.264,0,0.056,0,0,0,0,0.255,0,0,0,0,0,0,0,0,32.348,0,0,93.211,0,0,0,4.819,0,0,0,0,0,0,0,0,0.05,0,0,0,42.667,0,0,0,0,0,0,0,0,0,107.726,0,0.428,0,0,0,0,0,0,0,1.744,0,0,0,0,0,0,0,0,0,0,0,0,0,33.789,0,236.43,0,0,0,225.214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MYT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG",0,0,0,0,0,10.657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.245,0,0,0,0,0,0,3.882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COD",0,0,0,0,0,0.019,0,0,0,0,0,0,0,0,0,0,0.505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
