"AFG","ALB","DZA","ASM","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BMU","BOL","BIH","BWA","BRA","BLZ","IOT","SLB","VGB","BRN","BGR","MMR","BDI","BLR","KHM","CMR","CAN","CPV","CAF","LKA","TCD","CHL","CHN","CXR","COL","MYT","COG","COD","COK","CRI","HRV","CUB","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","GNQ","ETH","EST","FJI","FIN","FRA","PYF","DJI","GAB","GEO","GMB","DEU","GHA","GIB","KIR","GRC","GRL","GRD","GUM","GTM","GIN","GUY","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LVA","LBR","LBY","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MNE","MSR","MAR","MOZ","OMN","NAM","NRU","NPL","NLD","CUW","ABW","SXM","NCL","VUT","NZL","NIC","NER","NGA","NIU","NOR","MNP","FSM","PLW","PAK","PAN","PNG","PRY","PER","PHL","PCN","POL","PRT","TLS","QAT","ROU","RUS","RWA","SHN","KNA","AIA","LCA","VCT","SMR","STP","SAU","SEN","SRB","SYC","SLE","IND","SGP","SVK","VNM","SVN","ZAF","ZWE","ESP","SDN","SUR","SWZ","SWE","CHE","SYR","TJK","THA","TGO","TKL","TON","TTO","ARE","TUN","TUR","TKM","TCA","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","WSM","YEM","ZMB","CCK","PSE","NFK","SSD","BTN","ATF","MHL","CYM","ERI","SPM","COM","LSO","GNB","SOM","TUV","WLF","FLK"
"AUT",0,13.507,183.385,0,0.707,10.78,0,180.457,258.425,1401.913,0,0,11.63,38.071,20.597,0,2857.777,0,4.047,607.614,0,235.045,0,0,0,0,0,148.014,0,0,41.513,10.932,53.033,2614.966,0,0,3.827,0,85.009,5162.076,0,227.417,0,0,0.075,0,3.094,470.568,0,66.765,9730.4,0,2180.683,0,0,9.11,1.488,0,0.144,309.177,0,890.319,10238.954,2.67,0,29.336,23.131,1.218,40488.256,0.176,0,0,637.507,0.069,0,0,128.348,34.435,0,14.356,13.012,2035.904,7438.035,6.102,1596.188,172.136,33.019,417.13,85.5,3658.213,0,0,971.923,169.754,3.063,0.118,0,732.136,6.135,7.361,0,19.571,24.883,0,0,193.18,26.073,0,0.222,0,1903.173,0,0,442.792,3.995,20.149,425.463,0,8.771,9.322,0,21.504,0,29.489,2.636,0,0,6309.952,0,0,0,15.895,0,33.005,11.505,0,3.918,0,1444.332,0,0,0,108.863,4.339,0,2.621,16.701,177.486,0,1386.204,1202.195,0,78.665,1622.981,1037.811,0,0,0,0,0,0,0.21,0,79.507,5.476,373.494,0,0,680.51,365.29,2032.664,22.807,1658.263,229.025,0,880.131,54.378,0,0,1069.974,8018.735,0,0,3142.697,0,0,0,1.801,528.897,8.308,530.533,4.531,0,9.298,346.822,209.811,52.466,3566.38,0.056,11911.693,0,6.355,40.579,33.745,0,1.403,5.034,0,0,0,0,2.77,1.117,0,0,0,0,0,0,0,0,0,0,0
"BHS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHR",0,0,0,0,0,0,0,0,0,0,0.259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.798,0,0,0,0,0,20.558,0,0,0,0,0,0,0,0,0,0,0,0,2.896,4.873,0,0,0,0,0,0,0.202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123,0,0,37.149,0,0,0,0,0,0,0,0,0,0,6.896,0,0,0,0,0,0,0,0,0,36.527,0,0,0,0,0,0,11.08,0,0,0,0,0,0,0,0,0,1.368,0,0,0,0,0,0,6.046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165,0,0,0,0,0,0,0,0,0,0
"BGD",0,0,0,0,0,0,0,0,0,1.283,0.051,0,0,0,0,0,0,0,0,0,0,5.311,0,0,0,0,0,0,0,0,0,0,0,15.327,0,0,0,0,0,0.345,0,0,0,0,0,0,0,0.469,0,0,0,0,0,0,0,0,0,0,0,0.117,0,55.48,1.12,0,0,0,0,0,67.961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196.279,0,0,0,0,6419.068,0,0,0,0,24.045,0,0,0,0,0,0,0,0,0,0,0,0,2.294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.461,0,0,0,0,0,0,0,0,0,0,1.637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335,0,0,0,26.579,0,0,0,5.311,0,0,0,0,0,0,28.683,0,0,0,0,0,0,0,0,101.781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARM",0,0,0,0,0,0,0,0,0,0,0.122,0,0,0,0,0,0.122,0,0,0,0,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122,0,0,0,0,0,0,0,0,0,0,0,0.122,0,0,0,0.115,0,0.397,0,0,0,0.122,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,8.661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0,0.122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122,0,0,0,0,6.562,0,0,0,0,0,0,0,80,0,0,0,0,0,0.131,0,0,0,0,0.245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRB",0,0,0,0,0,0,0.552,0,0,0,0,0,0,0,0,0,0,0.005,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.416,0.373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.875,0,0,0,0.455,0,0,0,0,0,0,0,0,0,0,0,0,1.397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,311.991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.089,0.265,0,0,0,0,0,0,0,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.378,0,0,0,0,0,0,0,0,0,2.091,0,75.708,0,0,0,291.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEL",118.269,6.822,797.883,0,0.905,25.715,0,143.839,3786.543,2682.365,2979.7,44.142,51.114,206.475,30.71,0,0,1.459,0.111,91.521,0,6833.667,0,0,0,0,17.122,328.779,74.68,9.776,61.641,0,3.63,690.8,0.481,0,46.885,64.853,676.728,5505.318,0,796.216,0,1.212,292.357,0,102.479,207.764,62.473,442.553,641.12,0.45,1880.465,0,52.353,950.047,52.138,0.212,70.732,175.134,0,970.185,26614.504,4.679,0,25.568,129.222,0,21801.24,49.754,0,0,1107.436,1.526,0,0,83.033,43.249,0,0,3.573,1912.751,947.145,34.555,333.862,172.662,951.784,883.464,277.679,13789.677,4.945,0,994.119,1203.78,141.806,82.977,0,1028.29,76.235,0,5.143,79.107,235.863,0,188.079,446.706,1707.168,0,4.582,0,430.458,0.649,5.966,144.122,0.508,11.22,31144.458,73.601,12.174,15.37,0,268.545,0.055,91.559,6.354,0,62.626,30630.857,15.962,6.87,0,28.273,0,164.668,269.665,0.968,241.182,0,1135.09,0,0,0,105.838,84,0,30.307,649.469,291.797,0,2068.69,993.062,0,147.846,4044.524,6039.308,0,0,0,0,0,0,0,0,432.442,19.525,137.931,1.847,8.325,4003.113,236.26,270.265,113.782,342.302,5970.41,66.509,4277.54,2.088,47.093,0,7677.684,2395.691,47.21,0,378.295,22.437,0,0,50.517,603.975,837.517,1853.729,5.941,0,0,267.276,0.639,304.873,17970.675,81.745,17556.084,10.629,73.024,0,1202.539,0,85.897,0,0,0,0,0,0,0.069,0,0,0,0,0,0,0,0,0,0,0
"BMU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0.428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOL",0,0,0,0,0,0,0,0,75.529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.968,0,0,0,0,0,0,0,0.143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.16,0,0,0,0,0,0,0,0,0,0,0.599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BIH",0,0,0,0,0,0,0,0,0,0,0.506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.662,0,0,0,0,0,35.617,0,0,0,143.224,0,0,0,0,0,0,0,0,0,7.747,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.578,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.394,0,0,0,0,0,0,11.124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
