"AND","ARG","AUS","AUT","BHS","BGD","BRB","BEL","BOL","BIH","BWA","BRA","VGB","BRN","BGR","MMR","BLR","KHM","CAN","LKA","TCD","CHL","CHN","COL","COG","COD","CRI","HRV","CUB","CYP","CZE","DNK","DMA","DOM","ECU","SLV","ETH","ERI","EST","FLK","FIN","FRA","ATF","GAB","GEO","GMB","DEU","KIR","GRC","GTM","HTI","HKG","HUN","ISL","IDN","IRN","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","LBN","LVA","LTU","LUX","MAC","MWI","MYS","MDV","MLI","MLT","MUS","MEX","MSR","MAR","MOZ","OMN","NAM","NLD","ANT","NCL","NZL","NIC","NER","NGA","NOR","PAK","PAN","PNG","PRY","PER","PHL","POL","PRT","TLS","ROU","RUS","RWA","SHN","LCA","SPM","SMR","STP","SAU","SEN","SYC","SLE","IND","SGP","SVK","VNM","SVN","ZAF","ZWE","ESP","SWZ","SWE","CHE","THA","TTO","ARE","TUN","TUR","TKM","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","VEN","SCG","DZA","HND","NPL","SDN","SLB","CAF","FJI","PYF","GHA","KGZ","LAO","VUT","NFK","TON","UGA","WSM","LBY","MNG","BDI","GIN","ZMB","AGO","AZE","VCT","KWT","MDG","TCA","GUY","SYR","QAT","ALB","CPV","BEN","GRL","GNB","SUR","UZB","YEM","ARM","CMR","COM","MYT","DJI","MRT","MDA","TGO","WLF","BHR","BLZ","COK","TJK","IRQ","MHL","SOM","LBR","LSO","TUV","ATG","GRD","AFG","CYM","KNA","AIA","BMU","ABW","FSM"
"TCD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHL",0,0.781,0,0,0,0,0,0,0.142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115,0,0,0,0,0,0,0,0,0,0,0,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.968,0.109,0,0,5.676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN",0,212.295,490.753,101.78,0,5.275,0,395.721,0.6,0,24.756,1263.008,0,0,63.097,0,44.9,4.616,2467.281,6.736,0,4.368,0,60.825,0,0,3.827,12.061,0.179,5.842,1113.295,213.831,0,0,0.347,12.756,0,0,3.446,0,75.879,499.601,0,0,0,0,8981.72,0,13.137,0,0,111389.955,60630.353,0.531,74.338,12.021,205.952,80.844,2210.609,0,1.926,7678.118,0,2.06,17.287,0,19049.611,0.594,0.66,11.216,0,179.294,0,12553.846,0,0,21.891,0.722,198.951,0,4.988,0,4.411,0,371.981,0,0.188,893.127,0,0.73,3.174,59.468,8.268,0.375,0,1.616,13.76,955.297,634.503,27.741,0,80.763,40.557,0,0,0,0,0,0,0,2.622,0,0,833.036,6616.443,97.705,10.151,188.225,607.642,0.542,815.685,0,10.608,309.535,817.474,10.352,35.756,1.286,72.991,0,179.01,1.437,40.258,2029,92.481,48507.24,0,17.178,8.452,93.073,0.561,0,0,0,0,0,0,0.15,2.244,0,0,0,0,0,0,0,0,12.33,0,0,0,0,70.657,0,2.165,1.99,0,0.024,25.835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COL",0,0,0,0,0,0,0,0,0.802,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,16.911,0,0,0,0,0,0,0,2.158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.4,0,0,14.313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CRI",0,0,0.369,0,0,0,0.024,0,0,0,0,0,0,0,0,0,0,0,3.728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.07,0,0,0,0,0,62.696,0,0,0,0,0,0,0,6.561,0,0,0,0,0,0,0,0,0,0,1.874,0,0,0,0,0,0,0,0,0,0,0,0,0.579,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,7.041,0,0,0,0,4.016,0,0,0,0.619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.135,0,0,0,0,0,0,0,0,0,0,0,30.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HRV",0,0,0,47.117,0,0,0,0,0,5.3,0,13.26,0,0,0,0,0,0,352.85,0,0,0,84.839,0,0,0,0,0,0,0,0,4.35,0,0,0,0,0,0,0,0,0,73.922,0,0,0,0,76.784,0,0,0,0,177.068,0,0,0,0,0,0,1514.658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.203,0,0,0,0,0,0,20.439,0,0,0,30.352,0,0,42.557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.762,0,0,0,0,0,0,0,0,0,0,0,0,1.372,0,11.839,0,0,3.632,0,0,28.988,0,0,0.496,0,0,0,0,0.579,0,5.126,0,0,0,0,0,0.492,16.227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CUB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.197,0,0,0,0,0,0,0,0,0,0,0,10.536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.964,0,0,0,0,0,0,0,0,0,0,0,0,0,0.323,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.017,0,0,0.053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZE",0,29.064,17.542,7.567,0,0.651,0,29.669,0,1.191,0,0.013,0,0,5.45,0,9.1,0,31.402,0.299,0,0,98.942,9.378,0,0,0,4.833,0,0.077,0,17.891,0,0,0,27.283,0,0,1.262,0,2.195,66.968,0,0,0,0,2512,0,0.731,0.233,0,0.211,21.786,0,0,0.124,1.811,0,23.533,0,0,0.247,1.916,0,0,36.805,86.939,0,0.034,0.452,0,0,0,3.781,0,0,0.092,0,6.67,0,0,0,0,0,3.746,0,0,0.201,0,0,0,0,0,0,0,0,0.17,0,3.475,0,0,0.48,6.577,0,0,0,0,0,0,0,0,0,0,4.741,0,249.875,0.257,1.585,1.013,0,11.899,0,240.823,46.471,3.015,0,0.434,0,0,0,25.774,0.391,0,15.154,0,41.443,0,0,0.17,0.041,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNK",0,6.457,53.994,909.734,0,0.297,0,266.096,0,0,0,4.282,0,0,0,0,0,0,205.544,0.348,0,37.252,0.365,0.087,0,0,0.166,6.962,0,0,63.51,0,0,0,0,0,0,36.344,1.832,0,2802.905,892.585,0,0,0,0,1525.541,0,16.141,0,0,36.446,52,29.642,0,0,715.512,6.635,612.354,0,0,21.113,0,9.854,0.179,0,2.112,9.171,0,0,0.004,0,0,33.807,0,0,35.608,0,19.822,0,0,0,0,0,255.007,0,0,1.121,0,0,0,227.697,0,0,0,0,0.616,7.813,86.952,26.427,0,1,7.644,0,0,0,0,0,0,0,5.914,0,2.357,10.343,96.155,12.374,0,5.829,36.486,0.027,1184.852,0,1367.416,252.413,71.49,0,0,2.74,39.538,0,0.31,0,0,807.301,0.054,710.969,0,0.005,6.407,0.568,0,0,0,0,0,0,0,0,0.398,0,0,0,0,0,5.686,0,0,0,0,0.01,0,0,0,0,5.196,0.146,0,0,1.803,0,0,1.347,32.124,1.322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM",0,0.079,0,0.266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.066,0,0,0,0,0,0,0,0,0,0,0,0,0,2.687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.079,0.056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6711.602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ECU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.061,0,0,0,0,26.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLV",0,0,0,0.428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.544,0,0,0,0.187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ETH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EST",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.416,0,0,0,0.057,0,78.049,0,0,0,0,0,15.71,0,0,3.545,0,0,0,0,0,1.099,0,0,0,0,3.146,0,1.088,1.274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063,0,0,0,0,0,0,0,0,0,0,1.752,0,0,0,0,0,0,0,0,0,0,0,4.796,0,0,0,0,0,0,0,1.071,0,0,0,0,0,0,0,0.78,0,0,110.549,0,1.198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FIN",0,5.871,2.919,1.649,0,4.145,0,0.958,0,0,0,157.014,0,0,0.116,0,0.05,0,9.276,2.537,0,1.997,855.801,0,0.701,0,0,0,0,0,24.861,203.108,0,0,0.735,0,8.687,13.901,366.182,0,0,429.936,0,0.421,0,1.291,745.08,0,225.881,0,0,436.31,6.486,8.662,0,1.28,80.024,17.906,8.396,0,0,8.297,0.02,0.64,5.427,0,93.842,0.005,32.488,1.598,0,0,0,2.566,0,1.271,2.602,0,17.566,0,14.578,68.026,3.519,27.553,56.047,0,0,1.455,0,5.192,0,68.251,12.843,0,0,0,0.007,0,106.073,8.551,0,3,392.817,1.277,0,0,0,0,0,0,0,0,2.114,7.581,24.927,0.051,10.233,1.098,3.626,0,1.934,0,146.324,25.267,0,0,0.027,6.032,0.323,0,14.19,1.285,0,40.187,0,239.691,2.499,0,0.005,0,0,0,0,1.183,0,0,0,0,0,0,0,0,0,0,116.241,0,0,0,0,2.585,69.479,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0.526,8.892,0.64,69.614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRA",1.146,12.221,719.859,711.085,0,0,0,870.485,0,0,0,127.45,0,0,56.163,0,31.8,38.838,1455.224,3.042,44.771,11.216,248.013,27.173,70.738,1.791,4.377,3.568,31.34,28.963,443.088,510.795,0,0,19.78,0,0,0,28.21,0,5946.382,0,0,84.102,0,95.697,17199.186,0,16.991,0,2.686,581.757,315.066,16.256,1.698,30.281,393.057,199.172,4948.435,68.961,0,4890.13,0,123.239,348.173,0,124.67,22.724,6.423,7.163,27.745,0,0,2.996,0,314.958,4.001,0.975,179.663,0,192.589,0.05,299.069,0,5514.281,0,363.745,27.373,1.791,10.681,26.749,39.365,0,0.597,0,0,0.895,114.613,41.001,353.689,0,34.302,25.053,6.852,0,0,2.686,0,0,178.342,405.786,0,0,1264.104,102.221,57.739,41.535,32.396,6144.563,4.112,1759.104,8.954,672.454,1910.622,264.032,0.851,76.11,549.454,75.448,0,1.89,0.135,70.619,6708.822,32.867,21773.615,103.373,14.15,13.431,5.694,35.817,0,49.248,0,0,16.616,0,772.606,2.686,0,22.385,0,0,0,4.843,0,0,0,0,40.949,0.895,0,0,0,0,51.941,0,0,0.895,0,0,1.791,1.241,0,0,0,0,77.901,16.099,40.741,53.725,5.821,12.536,40.294,0.718,16.099,3.724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GAB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GEO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.477,0,0,18.809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GMB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEU",1.265,113.777,626.843,7034.97,0,1.086,0.898,12220.996,10,5,1.348,1082.407,0,0,243.022,0,47.3,0,4223.425,81.811,7,30.803,9884.427,36.518,0,2,40.051,166.033,195.414,92.631,14814.042,5101.286,11.482,49.83,5.841,5.051,5.685,85,152.393,0,16828.774,65445.248,0,16.271,16.752,105,0,0,816.816,2.137,0,1787.992,17510.728,56.216,253,191.853,586.07,5827.419,58981.106,4.969,116.574,10026.182,20.296,139,431.89,29,350.406,9.262,32.767,141.222,269.863,0,1,64210.731,0,38.148,149.81,3.199,2007.441,0,132.042,17.367,178.856,42.926,13578.648,0,0,79.304,3.575,57.27,442.251,2798.557,42,2.089,1,6.652,29.493,34158.533,2223.454,11423.334,0,297.367,5688.664,8.515,0,0,0,0,0,208,36.597,0,0,2451.816,8315.959,2522.805,10.646,642.491,1175.268,6.186,28828.043,0,17758.81,19888.738,4336.075,1.519,309,64.302,1608.77,0,432.544,23.252,1075.453,39341.128,67.905,27788.907,7.138,2.75,39.595,77.291,51.572,1.223,0,2,0,2,0,0.911,23.031,0.969,13,0,0,0,10.571,0,12,9,0,10,7.465,6,0,0,12,1.944,0,2,4,1,0,0,0.569,0,0,0,24,29,1.047,21.677,0,0,6,343,18.186,1,0,3.142,3,38,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KIR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
