"ARG","AUS","AUT","BEL","BTN","BWA","BRA","BGR","BLR","CAN","CHL","CHN","HRV","CYP","CZE","DNK","EST","FIN","FRA","DEU","GHA","GRC","HKG","HUN","IDN","IRL","ISR","ITA","JPN","KAZ","JOR","KEN","KOR","LBN","LVA","LTU","LUX","MYS","MLT","MEX","NAM","NLD","NZL","NOR","MNP","PRY","PHL","POL","PRT","ROU","RUS","SAU","IND","SGP","SVK","VNM","SVN","ZAF","ESP","SWZ","SWE","CHE","THA","TTO","ARE","TUR","UKR","EGY","GBR","USA","ZMB","SLV","CMR","FJI","DZA","TCD","BHR","BGD","BIH","MMR","KHM","LKA","ECU","ETH","ISL","IRN","MWI","OMN","NPL","NGA","PAK","QAT","SRB","ZWE","KWT","MAR","NCL","TUN","URY","GEO","LBY","MUS","BEN","PLW","IRQ","UGA","AZE","BOL","SLB","PNG","AGO","TZA","BRN","COD","LSO","LBR","MOZ","AFG","GMB","SDN","YEM","GAB","UZB","COL","BHS","BRB","COG","CRI","DOM","GTM","GIN","MNG","CUW","NER","PAN","PER"
"CHL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN",0,3219.934,45.692,1.887,0,1.663,1.4,0,0,0.492,0,0,0,0,513.848,0,0,0,18.75,7254.085,0.35,0,26228.651,3.775,1406.749,0,0,2.86,65737.682,3.309,2.008,0,34190.026,0,0,0,0,9295.871,0,48.747,0,36.864,0,1119.943,0,0,132.952,0.454,0,5.011,791.051,1.183,81964.799,83.641,0,100.974,54.444,0.039,745.212,0,1.586,20.691,49.655,0,51.847,74.356,0,0,314.362,1355.794,6.52,0,0,0,0,0,10770.35,87.005,152.148,509.03,3.28,59.573,44.818,66.454,153.769,6.9,1.033,0.059,0.146,80.407,1703.102,55206.64,45,0.152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HRV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016,0,0,0,0,0,0,0,362.068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068,0,0,0,0,0,0,0,0,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZE",0,0,1.979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.874,1350.098,0,0,0,1.463,0,0,0,0,0,0,0,0,0,0,0,0,0,0.445,0,0,0,0,0,127.295,0,0,16.003,0,0,0,66.202,0,0,0,0,0,0,0,0,0,0,0,16.226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNK",0,4279.735,0,0,0,0,0,0,0,0,0,130.614,0,0,1248.173,0,0,0,0,11.635,0,0,0,0,0,0.318,0,7.162,132.084,0,0,0,0,0,0,271.625,0,0,0,0,0,1.184,0,4754.447,0,0,0,8475.473,0,6.374,338.879,0,0,4.519,0,0,0,0,0,0,0,1428.194,0,0,0,1.605,0,0,5.531,709.956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EST",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065,0,0,0,0,0,0,0,0,6.224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FIN",0,5.433,0,0,0,0,0,0,0,0,0,3151.385,0,0,0,0,0,0,0,291.726,0,0,0,0,0,0,0,0,6292.664,0,0,0,0,0,0,0,0,0,0,0,0,1.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.841,0,0,0,0,0,0,0,1619.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRA",0,1.842,7.276,1.069,0,0,0,0,0,1.379,0,21.416,0,0,261.544,0,0,0,0,59.482,0,0,53.826,111.353,0,0,4.991,259.804,138.579,0,0,0,0.032,0,0,0.754,0,6.654,0,0,0,18.15,0,0,0,0,0,3.092,0,1.237,6.777,1.996,21.024,1.706,0,0,0,0,1.239,0,0,12.252,0,0,0.572,6.452,2.574,0,52878.485,17.268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.58,0,0,0,0,0,0,0,0,0,11.955,1.407,2.54,1.176,22.889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEU",0,51.467,18.323,49.601,0,0,1.435,19.221,0,2.032,1.294,581803.823,0.051,2.311,2803.409,3587.466,3.532,6566.038,3581.475,0,0,0,11972.547,23.177,0,0,38,158.163,128527.219,4.329,3.056,0,77151.712,4.369,1.079,72.012,0,0,0.118,0,0,76.19,0.643,31249.494,0,0,0,4.105,1.325,71.332,3417.713,3.077,30.346,77717.534,4.472,0,0,0.898,1.093,0,7.131,849.772,298.675,0,2.198,8.469,448.185,3.307,58956.344,59275.156,0,0,0,0,1.117,0,0,2.075,0,0,0,4.223,0,0,0,0,0,0,0,0,0,1355.534,0,0,1.099,0,0,0,0,0.87,0.654,6.432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
