"AUS","AUT","BEL","BWA","BRA","BGR","BLR","CAN","CHL","CHN","CRI","CZE","DNK","ECU","EST","FIN","FRA","GEO","DEU","HKG","ISL","IDN","IRN","IRL","ISR","ITA","JPN","KEN","PRK","KOR","KGZ","LVA","LUX","MYS","MEX","NAM","NLD","NZL","NOR","PAK","PER","PHL","POL","PRT","RUS","SAU","IND","SGP","ZAF","ESP","SWZ","SWE","CHE","THA","TTO","ARE","TUR","UKR","EGY","GBR","USA","BHR","PNG","SVN","QAT","HUN","PRY","MAC","ROU","SVK","GUY","CMR","PYF","MDG","MAR","TUN","VEN","LBN","MUS","SYC","MLT","SYR","HRV","ALB","BIH","BGD","KHM","LKA","MNG","TZA","AGO","COK","UZB","GRC","OMN","NGA","MWI","ZWE","ZMB","CUB","MMR","JAM","GHA","GMB","JOR","SDN","UGA","DZA","ARG","BHS","BRB","BRN","COL","CYP","DOM","SLV","CIV","NIC","VNM"
"CRI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZE",0,0,0,0,0,0,5.16,0,0,0,0,0,0,0,0,0,15.226,0,104.725,0,0,0,0,0,0,41.207,551.803,0,0,0,0,0,20.604,0,0,0,0,0,0,0,0,0,279,0,1.513,0,0,0,0,0,0,0,8.631,0,0,0,0,47.94,0,0,143.543,0,0,0,0,0,0,0,0,1.936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNK",987.986,0,0,0,0,0,0,0,0,12.325,0,0.991,0,0,0,0,0,0,0,0,1.901,0,0,0,0,0,575.717,0,0,0,0,0,0,0,0,0,0,2.882,1064.542,0,0,0,114,0,375.63,0,0,0,0,0,0,672.562,0,0,0,0,0,0,0,0,900.847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ECU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EST",0.454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.001,1.927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FIN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.645,15.985,0,0,0,0,0,0,0,0,0,0,0,23.592,0,0,0,0,0,10.862,0,1.626,0,0,0,0,6.405,0,0,0,0,0,0,0,0,138.306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRA",0,7.163,0,0,0,0,1.791,0.034,0,0,0,169.912,0,0,0,0.895,0,0,36.029,0,0,0,0,7.163,0.895,4.81,2547.137,0.33,0,0,0,0,0,0,0,0,0,0,3.582,0,0,0,1.791,0,0.088,0,342.426,0.895,0,7.973,0,0,12.899,0,0,0,0,56.62,0,8.059,4.477,0,0,0,48.335,0,0,0,0,0,0,0.938,0.3,7.204,1.791,2.686,87.144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GEO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEU",1.522,33.661,0.262,0,86.215,3.689,0,0.382,0,3997.038,0,768.145,0,0,0,330.009,312.585,0,0,0,1.067,0,0,41.05,0,31.618,27369.393,0,0,272.193,0,0,0,27.226,0,0,73.451,0.319,1994.367,0,0,0,196,0,5878.987,0,3.518,4592.836,0.095,5.568,0,1436.061,92.241,14.279,0,0,2.281,1364.51,0,0,42797.668,0,0,5.524,0,0,0.054,0,0,0.077,0,1.867,0,0,0,0,0,0.141,0.052,0.641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HKG",0,0,0,0,0,0,0,0,0,409.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.16,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280.655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
