"AFG","ALB","DZA","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BMU","BOL","BIH","BWA","BRA","SLB","VGB","BGR","MMR","BDI","BLR","KHM","CMR","CAN","CPV","CYM","LKA","TCD","CHL","CHN","CXR","COL","COG","COD","CRI","HRV","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","ETH","ERI","EST","FJI","FIN","FRA","PYF","GAB","GEO","GMB","PSE","DEU","GHA","GIB","GRC","GRD","GTM","GIN","GUY","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LSO","LVA","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MUS","MEX","MNG","MDA","MNE","MSR","MAR","MOZ","OMN","NAM","NLD","CUW","NCL","NZL","NIC","NER","NGA","NOR","MNP","FSM","MHL","PAK","PAN","PRY","PER","PHL","PCN","POL","PRT","TLS","QAT","ROU","RUS","RWA","SHN","SMR","SAU","SEN","SRB","SYC","SLE","IND","SGP","SVK","VNM","SVN","ZAF","ZWE","ESP","SUR","SWZ","SWE","CHE","SYR","TJK","THA","TGO","TKL","TTO","ARE","TUN","TUR","TCA","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","ZMB","BLZ","KIR","LBR","VUT","PLW","PNG","SOM","SDN","LBY","SSD","KNA","AIA","LCA","VCT","CAF","GNQ","MRT","SXM","TUV","CUB","TKM","SPM","BTN","BRN","COM","DJI","GRL","NPL","ABW","GNB","TON","WSM","YEM","GUM","ATF","COK","ASM","BES","NIU","NFK","STP","IOT","FLK"
"BRA",0,0,0,0,29.227,0,0,127.578,0.593,5.92,0,0,0,0,0,0.111,0,8.671,0,0,0,0,0,0,0,0,0.3,0,1.816,11.446,0,0,0,0,48.371,57.295,0,1218.263,0,0,0.899,0,0,19.146,0.799,0.362,0,5.017,9.37,0.368,0.046,0,0,0,0.013,17.658,0,0,0,0,0,77.768,0,0,0,0,0.383,0.065,1.432,0.212,2.497,11.571,0.294,0.165,0,0,0,0,3.801,0.193,0,0,11.01,1.671,0,2.325,0,232.861,0,0,0,0,0,0,0,0,0,0,0,1.145,0,0,0.039,0,52.429,0,0,0,0,0.049,6.068,0.918,0,0.175,0,0,0,7.703,0,0,0,0,0,0,0,1.006,14.989,10.141,0.045,0,3.826,0.877,0,0,6.461,0.007,0,0,0,1.52,0,0.136,0,0,23.934,0.083,1.645,50.973,0.025,2.821,0,15.469,0,0,0.411,1.933,0,0,0.231,74.52,0,0,0.379,0,1.828,0,0,0,0,0,0.368,0,279.662,0,9.513,0,4.642,0,0,0,0.183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VGB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGR",0,0,0,0,0,0,0,0,121.402,183.735,0,0,0,7.48,0,62.041,0,0,0.675,0,0.215,0,0,0,0,0,1.867,0,0,9.698,0,0,0,0,2.765,7.57,0,0,0,0,0.071,172.421,0,98.117,0,49.11,0,0,0,0,0,0,29.884,0,0,4.394,0,0,7.999,0,0,293.83,0.649,0,3198.752,0,0,0,0,0,0,32.652,362.15,0.151,2.567,0.455,0,0,54.751,478.087,0,0,25.761,0,0,0,0,4.833,0.175,0,0,0,0,3.256,0.647,0,0,0,0,11.132,0,0,1.343,0,58.971,0,10.279,1.607,0,2.819,0,0,0,4.557,0,0,18.11,0,24.285,13.038,3.532,0,0,0,0.655,0,0,0,0,0,22.233,3.36,0,0,385.17,174.948,0,0,0,67.563,0,19.735,0,0,3.949,0.581,52.473,0,16.899,0.776,0,16.129,0,0,1.964,1.058,0,0,0,0,0,0,0,0,36.096,0,0,0.622,20.58,0.499,0.685,0,185.222,0,0,1.456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMR",0,0,0,0,0,0,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,13.67,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.314,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3405.981,0.115,0,1306.712,0,0.028,0,0,0,0,0,0,0,0,89.121,0,0,0,0,0,0,0,0,0,0,0,31.133,0,4035.186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078,0.148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLR",0,0,0,0,0,0,3.8,0,1.6,0,0,0,0,0.2,0,1.264,0,0,0,0,1.3,0,0,0.9,0,0,0,0,0,2.1,0,0,0,0,0,12.1,0,0,0,0,0,0,0,5.2,0,0,0,0,0,0,0,0,0.1,0,0.1,5.9,0,0,1.2,0,0,62.399,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0.4,2.086,0,0,10,3.6,0,0,0,12.21,0.1,1.6,0,0,0,0,17.3,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,2.5,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,56.5,0,0,0.3,0.3,1558.206,0,0,0,0,0,4.4,0,0,0.2,0.499,0.1,0.2,2.049,0,0,5.7,0,0,0,4,0,0,0,0,0,0,0,0,1.401,0,0,121.598,0,0.1,152.699,0,75.3,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KHM",0,0,0,0,0,0,0,0,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.342,0,0,64.799,0,0,1602.258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5708.808,21.709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203.257,0,0,0,0,0,0,0,0,0,0,0,0,5610.659,1014.999,0,860.763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1220.8,0,0,0,0,133597.852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CMR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.624,0,0,0,0,0,0.492,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,0.006,0,0.468,1.115,0,0,0,0,0,0,0,0,4.989,0,0,0,0,0,0.077,0,0,0,0,0,0,0,15.721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN",0,0,3.655,0,0,0,0,4.428,271.016,363.04,89.128,0,0,0,0.056,347.895,0,0.127,0,0,45.831,0,0,25.96,0,4.412,11.559,0,0,0,0,56.154,1.761,0.161,15.52,2194.309,0,13.116,0,51.421,1.71,210.989,0.487,98.997,55.952,14.58,0,148.294,1.111,0.05,0,0,0,0,148.458,970.423,0,0,0,0,0,6828.161,9.511,0,0,1.113,0,0,0.566,0.394,45.796,7713.649,1.604,0,265.839,0,0,31.901,4750.976,742.06,0,2.682,1238.679,0.149,0,0,0,4494.767,150.165,0,0,0,0,0.675,10.385,0.062,0,0,3.168,1891.809,0,5.131,0,0,235.595,0,0,0,0,0.058,0,125.436,28.926,1434.195,0,0.156,123.651,0,7.542,17.576,24.79,0,0,0,0,0.028,0.182,8.584,1513.133,0,31.804,3.658,0,266.823,1.472,302.209,0,0,0,18.241,0,0,0,0,191.135,1909.93,0.38,316.78,197.095,520.991,0,108.756,0,0,591.182,1146.636,0,0,1669.912,8.257,0,0.886,169.018,0,1485.99,56.537,0.438,1.298,0,0,3734.265,1.105,164828.885,0.178,7.473,0,0.052,76.99,0.055,0,0,0,0,0.731,8.947,8.376,0,0,0,0,0,0,0,0,0,0,0,14.535,0,0.073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CPV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056,0,0,0,0,0,0,0,0,1.575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LKA",0,0,0,0,0,0,0,0,2.051,1.401,0,0,0,0,0,0,0,0,0,0,2.275,0,0,0,0,0,0,0.327,0,26.334,0,0,0,0,0.647,1.901,0,0,0,0,0,0,0,0.489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.712,0,0,0,0,0,0,0,0,0,0,0.007,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,43.503,0,0,0,0,0.231,0,0,0,0,0,0,0.47,0,0,0,0.258,0,0,0,0,0,0,0,0,0,0,0.089,0,0,0.148,0.82,0,0,0,0,0,0.459,0,0,120.015,0,0.307,0.838,59.888,0,18.376,0.068,0,0,0,159.54,0,0,0,0,0,0,67.024,0,0,0,130.76,0,0,0,0,0,6.187,11.152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHL",0,0,0,0,0,0,0,0.394,0.164,0.123,0,0,0,0,0,0,0,30.553,0,0,0.443,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0.258,0,0.308,0,0,0,0,0,0,0,0,0,0.15,4.62,0,0,0,0,0,0,0,0,0,0,0,0,3.234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.303,0.219,0,0,0,0,0,0,0,0.572,0,0,0,0,0,0,0,0,0,0,24.097,0,3.936,34.774,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,1.094,0,0,0,137.302,0,0,1.213,0,0,3.257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.69,0,19.021,0,15.153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN",10992.809,2874.95,5377.842,165.743,1993.457,33.155,48.85,18188.982,1028593.677,71934.066,395.388,943.636,42392.583,20664.442,3665.829,133884.444,128.073,453.002,3794.698,399.37,1098966.092,785.131,80.752,15032.352,28572.891,1969.201,3829.741,106839.803,6155.711,81737.888,46.093,281.492,27102.345,1664.833,289992.305,0,0,34412.135,409.23,4758.762,4388.177,12001.591,3810.301,32157.304,6015.314,87916.346,68.966,54127.736,2965.734,11800.068,2703.115,162.887,57022.138,539.675,21786.814,217105.686,936.942,159.506,2731.736,2080.872,597.21,1228741.017,30103.153,0,219925.542,207.54,4213.177,3092.992,1233.574,15625.211,9427.853,2096649.648,63648.484,460.144,35386.468,29354.867,2297.058,1900.797,193702.937,132870.614,4224.504,1903.846,1846957.898,59205.91,51176.049,48836.137,0,954562.94,2270.936,279.583,872.993,2719.083,111.172,660.096,10622.438,12795.255,632.834,6957.305,2285.091,231536.132,2174.306,4107.586,2737.591,716.74,487184.478,639.908,1582.432,50.884,0,61560.468,6170.679,206481.463,5826.856,2416065.56,265.608,5904.919,13724.346,2343.235,773.173,47186.838,8189.211,0,453.427,30.251,368684.655,25572.958,1201.651,10882.355,147353.984,0,351855.387,295555.827,34.465,10012.432,6999.99,151311.433,304.846,0,3.9,26082.998,37833.991,5373.506,869.042,1459.533,1409955.657,166085.186,1577.233,3254947.608,86777.87,158040.41,9170.609,848977.745,179.567,1459.542,52986.162,64056.314,4488.564,95.046,330655.497,21924.623,0,19.76,112495.614,11579.789,233190.503,92.092,11884.326,190891.718,5740.481,61715.643,95476.138,26137.164,560372.423,12564.479,2157.402,2077.819,619.206,1264.767,331.172,718.246,1270.463,373.596,291.691,2693.797,7747.322,7421.614,974.111,555.985,245.519,0,90.15,69.857,251.265,125.619,3327.812,0,2.007,3869.677,70.281,0,0.709,515.961,951.229,1475.692,1.98,1812.309,280.861,64.493,1606.935,1189.953,13889.999,0,0,0,0,0,0,0,0,0,0
"CXR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,991.135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COL",0,0,0,0,0,0,0,0,0,0,0.529,0,0,0,0,0,0,0,0,0,0.293,0,0,0,0,0,0,0,0,0.032,0,0,0,0,14.701,0.081,0,0,0,0,13.35,0,0,0,0,0,0,0.319,119.724,9.784,0,0,0,0,0,0.64,0,0,0,0,0,0.034,0,0,0,0,40.261,0,3.27,0,3.542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.018,0,0,0,0,0,0,0,0,0.138,0,0,0,0,0,0,0,0,0,0,0,0,0,7.482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.713,0,0,0,0,0,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CRI",0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,80.162,0,0,0,0,2.222,4.608,0,0,0,0,0,0,0,0.776,0,0,0,0.644,0,5.061,0,0,0,0,0.31,0.12,0,0,0,0,0,145.893,0,0,0,0,12.513,0,0,0,0,0,0,0,0,0,0,0.056,0,0,0,10.609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.318,0,0,0,0,41.605,0,0,0,0,0,0,0,0,0,0,0,0,2.636,0,0,1.41,0,0,0,0,2.757,0,0,0,0,0.409,0,0,0,0,0,0,0,0,0,0,0.011,0,0,0.98,1.594,0,36.814,0.008,0.873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.779,0,0,0,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HRV",259.463,40.1,0,0,0,0,0,0,0,20.907,0,0,0,0,0,6168.203,0,0,586.175,0,0,0,0,60.65,0,0,0,0,0,3193.744,0,0,0,0,0,1.451,0,0,0,0,0,0,0,0.309,0,1359.822,0,0,0,0,0,0,0.04,0,0,15767.908,0,0,0,0,0,1195.97,0,0,854.916,0,0,0,0,0,0,0,4405.942,0.866,0,0,0,0,0.039,2194.338,0,0,0,0,0,0,0,0,0,0,0,0,0,0.747,14.897,0.066,0,0.479,0,0,0,0,0,0,0.03,0,0,13.964,0,0,0,0,0,4926.923,0,0,0,0,0,0,45.277,0,0,0,0,0,0,0,0,0,492.827,12.638,0,0,16.658,5.299,0,0,0,0,0,91.121,0,0,0.268,142.764,269.097,0,763.521,22.438,0,197.528,0,27.792,2.599,120.602,0,0,0.822,0,0,0,0,0,956.116,0,0,0.504,1.139,15.16,0.509,0,1169.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP",0,0,0,0,0,0,0,0,0,0.246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076,0,0,0,0,0,1.631,0,0,1288.734,0,0,0,0,0,0,0,0,0,0,0,0,0,4.029,0,0,0,0,1.408,0,0,0,0,0,0,0,0,0,0.719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1224.362,0,0,0,0.638,0,0,0,0,0,0,0,0,0,0,0,0.201,0,0,0,0,0.202,0,0,0,0.165,0,0,0,0,0,0,2.818,0,0,0,0,0,0,0,0.998,0,0,0,0,9.103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZE",0,7.313,0.298,0,0.052,0,1.832,0.336,36.818,1150.087,0,0,0,0.209,0,1019.833,0,0.042,0.226,0,14.053,0,0,1155.101,0.188,0,469.591,0,0,24.625,0,0,1.405,0,27.512,227.379,0,3.16,0,0.068,1.263,96.56,2.512,0,0,560.897,0,0.019,0.2,6.037,0.009,0,582.434,0,37.406,1288.609,0.046,0,0,0,1.202,14458.059,0,0,8.84,0,0.745,0,0,0,0,32.628,19982.878,0.748,4.177,0,0,525.942,62.679,2287.708,0.385,0,328.965,0.869,0,0.716,0,98.349,1.349,0,0,0,0,43.52,391.49,2.215,0,0,0,2.236,0.089,0,43.679,0,27.768,0,2.652,0.002,0,8.135,0,1.018,0,3552.489,0,0,2.958,5.393,0,0.133,73.565,0,0,0,0.082,0,0,1.569,48.293,0,13853.867,41.727,0,13.406,496.156,47.9,0,0,0,4.244,0,458.349,0,0,2.597,103.355,5433.129,1.394,678.973,2.82,0,231.037,0,0,125.448,1629.902,0,0,221.183,0,0,0,10.422,60.546,149.197,0,1.3,179.23,0.446,0.276,1856.695,0.353,914.06,0,0,0,0,0,0,0,0,0,0,0,242.783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.371,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
