"AFG","AUS","AUT","BHR","BEL","BRA","BGR","BLR","CMR","CAN","CHN","CYP","CZE","DNK","EST","FIN","FRA","DEU","GHA","GRC","GUM","HKG","HUN","ISL","IDN","IRN","IRL","ISR","ITA","JPN","JOR","KEN","KOR","KWT","KGZ","LVA","LUX","MYS","MLT","MEX","MAR","NAM","NLD","NZL","NOR","PAN","PHL","POL","PRT","RUS","SAU","IND","SGP","SVK","VNM","SVN","ZAF","ESP","SWE","CHE","THA","ARE","TUR","UGA","UKR","EGY","GBR","USA","ZMB","NGA","FJI","OMN","VUT","PLW","IRQ","QAT","ROU","ALB","BGD","BWA","LKA","GMB","PAK","PER","SDN","VEN","YEM","PYF","MDG","TUN","LBN","LBY","MUS","SRB","SYR","URY","FSM","BIH","CPV","AGO","BRN","SLV","GTM","ECU","TON","GUY","BTN","NPL","TZA","MDV","LSO","MOZ","SEN","SYC","ZWE","SWZ","BOL","HRV","RWA","WSM","DZA","ARG","BHS","BLZ","CHL","COL","CRI","DOM","GEO","GRD","HTI","JAM","KAZ","SHN","SUR","TTO","COD","MWI"
"CHN",0,486.309,87.452,1880.563,69.623,0,0,0,0,217.852,0,0,11.696,0,0,0,7969.62,9745.52,0,0,0,21489.464,0,0,0,0,0.057,3,617.699,62458.821,0.141,0,13187.704,0,0,0,0,2.94,0,0.062,0,0.334,32.529,0,23074.734,0,138.405,2.743,0,570.49,508.043,25242.542,10.433,0,0.814,0.42,103.591,225.921,0,371.175,1389.599,0,426.62,0.526,1.175,24.593,749.467,5549.018,0,0,0,3.756,0,0.037,0,0,0,0.101,4,6.084,2.775,1.307,200.665,26.613,10.684,55.009,9.401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1155.834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZE",0,0,68.247,0,0,0,0,12.2,0,0,52.668,0,0,14.409,0,0,0,50.976,0,0,0,14.936,0,0,0,0,0,0,0,228.908,0,0,119.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.662,0,68.331,0,0,0,0,0,0,0,0,0,28.502,0,764.998,0,0,0,0,0,166.922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNK",0,2222.158,208.382,0,0,0,0,0,0,0,37.212,0,587.348,0,0,0,0,0,0,0,0,108.672,0,0,0,0,0,0,4.029,58.886,0,0,2009.492,0,0,15.781,0,0,0,0,0,0,0,0,5785.873,0,0,7707.537,0,18.317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2556.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EST",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.537,0,0,2.877,0,0.287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FIN",0,0,0,0,0,0,0,0,0,0,3802.466,0,0,0,0,0,0,0,0,0,0,139.898,0,0,0,0,0,0,0,21855.623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,736.589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,466.395,66.109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRA",0,0,800.635,0,5.837,0,0,0,2.779,0,4458.702,0,0,0,0,0,0,10.709,0,66.657,0,0,0,0,0,0,0,0,15.283,2105.67,0,0,73.634,0,0,0,50.016,0,0,0,0,0,9.748,0,0,0,0,0,0,2.779,312.827,75.787,0,0,0,0,0.348,209.788,0,239.347,0,0,0,0,0,0,1218.694,4.862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.618,3.531,2.779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEU",0,27.851,324.793,18.771,28217.976,0,5.562,8,0,775.091,492736.224,4.44,9106.282,2313.059,0,1240.283,7606.658,0,0,5784.234,0,5968.236,0.011,0,0,0,0,117.882,273.661,200285.586,8.218,0,56736.834,0,0,4.359,0.318,4.072,7.407,0.088,1.086,0,409.269,0,163424.809,0,0,413.584,2.746,15251.197,8.138,2458.498,93970.478,0,0,0,19.949,55981.717,3.439,8722.647,4.185,12.234,0,0,8134.157,0.972,38997.693,132191.851,0,0,0,0,0,0,0,0,0,0.057,3.757,0,0,0,0.667,2.731,0,0,0.856,0,0,0,2.855,3.045,2.687,1.395,5.712,9.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GHA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
