"AUS","AUT","BHS","BHR","BEL","BWA","BRA","VGB","BGR","BLR","CAN","CHN","HRV","CYP","CZE","DNK","EST","FIN","FRA","DEU","GHA","GRC","GTM","HKG","HUN","ISL","IDN","IRL","ITA","JPN","KAZ","JOR","KEN","KOR","LVA","LTU","LUX","MYS","MLT","NLD","NZL","NGA","NOR","PHL","POL","PRT","RUS","IND","SGP","SVK","VNM","SVN","ZAF","ESP","SWE","CHE","THA","ARE","TUR","UKR","EGY","GBR","USA","VEN","CHL","FJI","ROU","SEN","AGO","ZMB","ISR","BMU","MEX","MMR","KHM","ETH","CIV","KGZ","NPL","PAK","SAU","UGA","TZA","UZB","LBN","CMR","COD","MAR","SRB","CRI","QAT","HND","SLB","TUN","SWZ","BGD","SDN","OMN","ECU","GNQ","MUS","NER","ZWE","BRN","MDV","CUW","LSO","MOZ","NAM","CUB","PER","LAO","AFG","TCD","COG","GMB","MWI","SLE","KWT","ATG","ARG","BRB","BIH","CYM","COL","DOM","SLV","GUY","JAM","PAN","TTO"
"CAN",0.081,0,0,0,0.018,0,0,0,0,0,0,0.187,0,0,0.022,0,0,0,0.067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.033,0,0,0,0,0,0,0,0,2.774,0,0,0,0.116,0,0,0.156,0,0,0,0,1.001,2.873,0,0,0,0,0,0,0,0,0.091,0.884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN",3026.529,57.33,0,23696.795,162.005,0.324,47.833,0,2.681,5.773,2.099,0,5.213,0,61.295,0,0,5.363,11.464,478.857,0,0,0,4292.384,1.054,0,0.669,0,74.233,33568.573,0.524,0,2.993,30886.834,0,0,0,4652.11,0,10.495,0,45.992,981.261,0,17.384,0,3373.161,9.652,616.035,0,7072.618,0,0.169,0.335,0.46,93.009,2.014,0.323,0.15,0.268,83.56,49.551,4373.413,0,0,0,0,0,0,2.302,0.717,0,1.43,2219.22,5.867,64.347,19.693,9.8,0.614,0.4,98.264,0.009,1.778,333.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HRV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198,0,0,0,0,0,0,0,0.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.139,0,0,0,0,18.887,0,0,0,1.89,0,0,0,0,0,0,384.032,0,0,0,0,0,0,0,0,0,0,239.606,0,0,17.674,0,0,0,0,0,0.959,0,0,0,37.268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNK",4600.624,0,0,0,0,0,0,0,0,5.6,0,3205.529,0,0.448,2995.869,0,0,0,0,2.489,0,0,0,0,6.554,0,0,0,9310.261,5587.803,0,0,0,89.772,84.519,0,0,0,0,0,0,0,1341.814,0,8254.817,0,214.318,0,22.262,0,0,0,0,16.567,0,0,0,0,0,90.951,0,0,1133.151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EST",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FIN",114.584,0,0,0,0,0,0,0,0,0,0,2964.167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3085.647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1153.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRA",0,23.918,0,0,28.336,0,0,0,0,0,0.541,11.901,0,0,0.216,0,0,0,0,91.928,0,0,0,155.036,25.414,6.534,0,0,4.774,112.12,0,0,0,1.924,0,0,0,352.684,0,28.851,1.912,0,0,0,0,0.003,0,6.762,15.215,0,5.562,0,0,258.387,0.46,15.789,0,0,0,0,0,282.548,15.114,0,0,0,0.056,0,0,0,0,0,12.755,0,0,0,0,0,0,0,8.411,0,0,0,0,1.459,0.669,6.482,3.106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEU",398.521,1654.068,0,0,26.605,0,0,0,16.661,13.5,2.721,580600.446,0.25,1.122,2829.489,5181.579,0,4952.039,1962.746,0,0,0,0,7906.983,3.445,0,0.689,0,7068.685,89153.385,0,0.948,0,85652.961,0,1.273,1.521,491.212,0.702,48.624,0.706,0,7559.77,324.942,3.193,1.138,7892.991,41.457,135697.768,0.122,11.407,2.492,3.861,52.679,5.197,3879.691,297.26,2.177,1.195,354.783,0.734,394.469,49350.83,0,0,0,1.541,0,0,0,119.583,0,0,0,0,0,0,484.583,0,1.173,0.302,0,0,0,0,0,0,0,0,2.332,9.121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GHA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.909,0,0,0,0,0,0,0,0,0,0,0,24.829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
