"AUS","AUT","BEL","BRA","BLZ","BGR","CAN","CHN","CZE","DNK","FIN","FRA","DEU","GRC","HKG","HUN","IRL","ISR","ITA","JPN","KOR","KGZ","LVA","LTU","MYS","MEX","NLD","NOR","PER","POL","ROU","RUS","SAU","IND","SGP","VNM","ZAF","ESP","SWE","CHE","ARE","TUR","UKR","EGY","GBR","USA","VEN","BRN","FJI","IDN","NZL","NFK","PNG","HRV","SVK","CYP","IRN","PHL","THA","TZA","DZA","MAR","TUN","BFA","ALB","GMB","OMN","SCG","CMR","UZB","ECU","LKA","BGD","MUS","PRT","KEN","BLR","SDN","CHL","GHA","LBY","ARG","BHS","BOL","COL","CRI","DOM","SLV","GRD","GTM","HND","JAM","MDA","ANT","NIC","NGA","PAN","TTO","URY"
"DEU",0.839,1321.229,8.096,233.32,0,0,1.931,372.426,15.756,0,497.893,1075.225,0,0,0,4,0,0,73.926,35144.365,1369.656,0,0,0,0,4.595,9199.844,286.266,0,0,44,1679.724,0,228.216,0,0,0,1.377,1359.183,41.771,0,0,212.729,0,111.067,50968.473,0,0,0,12.236,0,0,0,1.464,40.798,0,0,0,0,0.827,0,0,0,0,2.43,2.159,42.398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HKG",0,0,0,0,0,0,0,244.214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.425,0,0,0,0,0,0,0,0,88.412,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HUN",0,0,0,0,0,0,0,0,0,0,0,0,144.856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.804,171.396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.582,0,0,0,0,0,0,0,0,0,0,11.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ITA",0,12.189,2.667,0,0,0,0,425.925,96.066,0,0,182.439,174.065,0,0,0,0,0,0,12146.19,86.627,0,0,0,5229.679,0,0,6.254,0,0,106,0,0,0,0,0,0,0,0,19.018,0,0,0,0,0,19446.212,0,0,0,2.726,0,0,0,1.174,0,0,0,0,0,0,0,0,1.944,0,7.953,0,0,0,0.528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JPN",5289.383,0,707.719,65.02,0,0,0,3040.69,36.35,4452.516,2897.171,3049.857,660.933,0,143.935,0,0,0,105.536,0,23858.748,0,0,0,96111.09,0,1468.924,679.179,0,8.935,0,1349.653,0,0,16.263,0,431.352,0,2828.198,45.097,0,0,29.08,0,13165.351,14720.492,0,0,0,42.382,0,0,0,0,0,0,0,6.822,7.293,0,0,0,0,0,0,0,44.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KOR",0,0,0,0,0,0,0,41.895,0,0,186.759,0,9.581,0,0,0,0,0,5.39,5152.823,0,0,0,0,8.228,0,0,0,0,0,0,0,0,62.152,0,0,0,0,0,0,0,0,51.246,0,0,5139.405,0,0,0,1.113,0,0,0,0,0,0,0,0,2.84,0,0,0,0,0,0,0,0,0,0,5.624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KGZ",0,0,0,0,0,0,0,0,77.532,0,0,0,0,0,0,0,0,0,0,378.18,0,0,0,0,0,0,0,0,0,0,0,83.748,0,0,0,0,0,0,0,0,0,0,0,0,0,108.891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
