"AFG","DZA","AND","AGO","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BMU","BOL","BIH","BWA","BRA","BLZ","VGB","BRN","BGR","MMR","BLR","KHM","CMR","CAN","CPV","CYM","LKA","TCD","CHL","CHN","CXR","COL","COG","COD","COK","CRI","HRV","CUB","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","ETH","ERI","EST","FLK","FJI","FIN","FRA","PYF","DJI","GAB","GEO","GMB","PSE","DEU","GHA","GIB","GRC","GRL","GRD","GTM","GIN","GUY","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LBN","LSO","LVA","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MSR","MAR","MOZ","OMN","NAM","NPL","NLD","ANT","NCL","NZL","NIC","NER","NGA","NOR","PAK","PAN","PNG","PRY","PER","PHL","PCN","POL","PRT","QAT","ROU","RUS","RWA","SHN","KNA","LCA","VCT","STP","SAU","SEN","SYC","SLE","IND","SGP","SVK","VNM","SVN","SOM","ZAF","ZWE","ESP","SDN","SWZ","SWE","CHE","SYR","TJK","THA","TGO","TON","TTO","ARE","TUN","TUR","TKM","TCA","TUV","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","WSM","YEM","SCG","ZMB","SLB","BDI","CCK","KIR","LAO","VUT","NFK","MNP","GNB","ALB","BTN","LBY","ATG","CAF","NRU","ABW","SUR","SMR","COM","MYT","SPM","MHL","ASM","GUM","LBR","NIU","TLS","GNQ","TKL","FSM","PLW","AIA"
"VGB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.895,0,0,0,0,0,0,0,0,0,13.684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGR",0,593.715,0,0,0,10.749,5.686,22.085,0,0,0,0,0,43.568,0,0,2.372,0,0,0,0,0,0,0,0,0,0,0.796,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.633,2.372,0,6.735,0,0,0,0,0,0,0,0,0,2.202,1.791,0,0,0,0,0,0,18.124,0,0,13.693,0,0,0,0,0,0,0,0.125,1.996,0,0,0,0,0.412,0.609,2.849,0,0,0,0,4.564,0,0,0,0,0,0,0,0.018,0.134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.829,0,0,0,0,0,0,4.74,0,0,0,0,0,0,0,0,0,0,3.156,27.153,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.04,0,29.767,0,0,0,0,0,6.864,0,0,2.028,0,0,0,0,0,2,0,0,0,0,1.933,6.882,0,56.572,0,326.024,0,0,0,0,0,0,5.585,0,0,0,0,0,0,0,0,0,0,5.357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.6,0,0,0,0,0,0,0,0,0,0,2.715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,184.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.4,2.5,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KHM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.535,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,17.081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CMR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN",0,0,0,81.413,0,763.021,593.691,420.699,3.517,136.657,18.648,0,6.618,692.935,53.065,76.61,0,0,884.74,0.544,0,0,5.051,0,0,0.507,3.741,0,0,0,5.132,26.369,218.855,1369.716,0,497.935,0,0,0,5.377,10.016,232.043,63.565,186.336,0,349.64,0,0,21.118,0,0,0,13.047,0,0,449.451,2701.48,1.576,0,0,110.133,0,0,3324.457,5.836,0,408.631,0,0,3.281,0,0.571,0,25.21,1411.775,37.237,4.118,95.534,10.432,0,19.996,526.557,1002.792,9.017,6.889,3715.658,110.634,8.387,0,0,2055.206,6.034,0,6.777,0,14.199,26.334,114.085,22.382,0,0,52.986,0,0,5.538,0,0.191,947.19,0,0,0,22.692,0.534,6.017,59.188,0,683.518,0,1.471,213.118,2.382,0,379.038,280.502,17.825,11.486,0,10.06,106.276,154.268,0,293.357,110.858,63.958,365,264.527,128.404,0,0.046,1.399,9.451,0,21.075,0,0,0,885.755,282.411,59.925,13.997,38.329,0,105.615,0,524.494,0,0,511.384,245.928,0,0,275.441,6.715,0,50.161,329.902,18.259,142.297,0,0,0,0,49.88,207.644,18.527,4521.108,110.76,286392.555,0,70.317,0,922.621,0,0,3.024,0,0,0.545,0,0,0,0,0,0,0,0,0,0,0,0,0.302,128.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CPV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LKA",0,0,0,0,0,0,1.481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.6,0,0,62.127,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,2.781,0,0,0,0,0,0,0,0,0,0,0,0,0,0.896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.464,0,0,0,0,4.937,0,0,0,0,0,21.976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHL",0,0,0,0,0,4.738,2.049,0,0,0,0,0,0,0,0,0.092,0,0,59.394,0,0,0,0,0,0,0,0,117.38,0,0,0,0,0,0,0,0,0,0,0,3.607,0,0,0,0,0,0,0,0,2.194,0,0,0,0,0,0,4.206,0,0,0,0,0,0,0,3.235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.872,0,0,0,0,0,0,0,0,54.641,0,0,0,0,0,0,0,0,5.019,0,0.311,3.344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.398,0,0,0,16.235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.925,0,44.99,0,52.367,0,7.196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN",0,273.267,17.581,0,1.497,5353.145,5598.907,2799.777,0,2.808,886.024,0,5.115,7845.151,0,40.027,0,0,1643.605,21.171,0,1.747,101.451,1.623,83.5,8.17,0,6275.008,0,0,1424.263,0,345.719,0,0,472.699,0,0,0,111.252,902.67,94.875,136.188,1037.059,0,887.927,0,5.757,320.066,23.318,1.09,0,113.714,0,0,911.43,23825.428,44.41,0,1.738,0,0,0,71919,113.53,0,680.432,0,0,7.982,34.532,0.636,0,0,59657.248,1731.473,53.573,4581.249,783.269,0,196.725,1897.494,7740.958,4.917,10.882,134672.534,35,287.717,2.224,0,18305.438,12.634,1.455,1444.564,0,50.218,335.29,0,190.771,22.126,0,1307.466,0,7.813,60.804,0,21.036,4346.477,3.549,0,0,567.675,3.803,59.235,0,10.832,12987.662,0,11.438,1040.135,4.989,29.856,549.331,1084.197,83.796,48.52,66.293,22.281,218.855,357.28,0,5079,180.666,8.685,207.694,419.587,0,0,0,0.594,0.101,0,659.785,6.869,0,0,1286.891,7036.952,732.124,115.07,507.399,0,314.296,0,7085.166,335.802,0,568.007,1592.86,525.451,1.713,6248.333,0,0,17.416,1091.576,280.018,4025.822,0,0,0,1.735,10.916,9.041,1449.779,21052.218,96,165774.92,0,26.991,0.08,52.941,0,0.15,45.885,23.216,0,0.172,0,0,0,0,0,0,0.244,0,0,260,0,0,0,0,1.687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CXR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COL",0,0,0,0,0,0,0,0,0,0,0,0,0,6.872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.199,0,0,0,0,0,0,0.405,0,0,0,0.985,0,0,0,0,20.403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.653,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,86.271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043,0,0,0,0,0,0,0,0,0,0,0,0.573,0,0,0,0,0,0.3,0,0,1,0,0,0,0.226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480.444,0,5.4,0,0,0,12.892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.569,0,0,0,0,0,0,0,0,2.728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CRI",0,0,0,0,0,0,0,0,0.265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.47,0,0,0,0,0.06,0,0,0.235,0,0,0,0,0,0,0,0,0,0,0,0,0.049,0.4,0,0,0,0,0,2.265,99.418,0,0,0,0,0,0,0.373,0,0,0,0,0,0,0,0,0,7.273,105.454,0,0,0,0,0,0,0,0,0,0,21.263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.258,0,0,0,0,0,0,0,0,0,0,0,0,26.764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.816,0,0,0,0,0,0,0,0,0,0,0,0,0.467,0,0,0,0,0,0,0,0,0,0,0,0,0,1573.529,0,8859.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HRV",0,0,0,0,0,0,0,40.842,0,0,0,0,0,0.561,0,0,407.404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.212,0,0,0,0,0,0,0,0,0,6.405,0,0,0,0,0,0,0,0,0,0,0,0,0.947,0,0,0,0,0,0,68.165,0,0,0,0,0,0,0,0,0,0,5.336,2,0,0,0,0,0.171,0,150.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.642,0,0,0,0,0,0,3.389,0,0,0,0,0,0,0,0,0,0,10.991,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0.069,0,16.137,0,0,0,2.537,0,0,0.522,4.267,0,0,0,0,0,0,0,47.785,0,0,0,0,0,0,10.454,0,3.312,0,0.993,0,0,0,0,0,0,9.803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CUB",0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.644,0,63.679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP",0,0,0,0,0,0,0,0,0,0.763,0,0.092,0,0,0,0,0,0,0,0,0,0,0,0,27.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.139,0,0,0,22.785,0,0,0.341,7.915,0,109.864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.482,3.872,0,0,0,0,8.064,0,0,0,8.93,0,22.314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.383,0,0,2,0,0,0,0,0,0,0,0,0,0,0,25.546,0,0,0,0.007,0,108.621,0,1.994,0,0,0,12.015,12.107,0,0,0,0,0,0.45,0,4.123,0,0,0,0,0,1.791,1.255,5.783,0,7.209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZE",0,32.94,0,0,15.4,424.993,4.661,87.841,0,0,0,0,0,43.683,0,0,0.013,0,0,0,0,0,0,0,1.785,0,0,3.217,0,0,0,0,0,1.238,0,4.941,0,0,0,0,49.925,0,0.028,0,0,455.217,0,0,0,47.674,0,0,0.681,0,0,6.532,171.827,0,0,0,0.094,0,0,1466.901,8.663,0,3.303,0,0,0,0,0,0,0,3.167,17.735,0.2,0,0.697,0,17.124,1,90.852,0,0,0.51,1.96,0.171,0,0,47.835,0,0,1.448,0,0.031,1.871,0,0,0,0,19.588,0,0,0,0,0,0.889,0,0.493,0,0,0,0,0,0,31.984,0,0,8.04,0,0,0,4.814,0,0,0,0,4.747,0,0,127.704,0.796,0,6.21,28.762,0,0,0,0,0,0,9.452,4.69,0,0,3.611,27.472,949.561,0,23.664,0,11.241,0,2.43,0,0,339.704,71.165,0,0,16.658,0,0,0,0,1.988,11.681,0,0,0,0,82.877,0.155,0.496,1018.358,0,1358.051,0,0,0,0.112,0,0,592.759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNK",0,7.453,0,1.053,0,31.243,2164.723,4176.056,0,0,0,38.861,0,994.773,0,0,0,0,371.102,1.992,0,12.136,17.373,0,7.563,0,1.305,379.2,0,0,0,0,68.311,195.034,0,7.896,0,0,0,2.165,80.135,9.683,74.762,578.259,0,0,0,0,0,0,0,120.996,127.53,0,0,857.778,12053.361,0,0,0,2.659,0,0,13643.205,12.876,0,152.464,71.559,0,0,0,0,0,7.276,514.963,225.424,128.367,0.575,285.579,0,632.93,122.327,3910.123,0,2.69,1826.678,5.753,24.245,9.09,0,473.12,53.101,0,56.326,0,108.039,232.159,158.175,0,0,13.199,48.394,17.576,0,1.493,0,0.242,99.642,0,29.151,0,15.807,0,14.814,0,0,1471.807,0,0,115.002,0,0,8.138,1212.152,19.747,0,0,0,1.688,2.235,0,1538.99,671.197,6.289,16.485,226.902,0,0,0,0,0,0,371.896,0,0,0,50.715,416.303,44.934,3909.909,139.025,0,71.888,0,987.503,0,0,5580.76,3731.604,0,0,212.752,0,0,0,6559.542,0.788,173.352,0,0,0,1.992,1511.576,6.95,23.711,8732.954,17.509,10549.919,0,5.152,0,20.653,0,0,1.653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.063,0,0,0,0,0,0,0,0,0,0,0,0,0,0
