"ASM","AUS","AUT","BEL","BIH","BRA","BGR","CAN","LKA","CHN","CZE","DNK","DOM","FIN","FRA","GEO","DEU","HKG","IDN","IRL","ISR","ITA","JPN","KEN","KOR","KWT","KGZ","LVA","LBY","LTU","LUX","MYS","MUS","MEX","NAM","NLD","ANT","NGA","NOR","PAK","PER","PHL","POL","RUS","SAU","IND","SGP","VNM","SVN","ZAF","ESP","SWE","CHE","THA","ARE","TUR","UKR","EGY","GBR","USA","SCG","WSM","BHR","FJI","KIR","NZL","PNG","ETH","QAT","KAZ","KHM","GHA","IRN","PRK","MAC","ROU","SYR","TZA","YEM","BLR","SVK","EST","CMR","MDG","ISL","MKD","BWA","FSM","ALB","GRC","MLT","MAR","BGD","SYC","NIC","AGO","ARG","BTN","NPL","BRN","MMR","DJI","MOZ","RWA","ZWE","SWZ","ZMB","CUB","PRT","VEN","MWI","SDN","UGA","HUN","DZA","BHS","BRB","CAF","COL","CRI","HRV","SLV","GMB","GTM","GUY","HTI","HND","JAM","LBN","PAN","TTO"
"CZE",0,0,0,0,0.17,0,0,0,0,938.143,0,0,0,0,138.114,0,13.341,190.901,0,0,266.079,0,662.562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.86,0,0,0,1583.76,78.124,0,26.689,0,0,0,0,0,0,440.047,0,0,0,252.806,0,0,40.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.888,8.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNK",0,808.861,0,0,0,0,0,0,0,517.252,197.758,0,0,0,0,0,0,0,0,0,0,509.597,1580.316,0,1163.926,0,0,0,0,0,0,0,0,0,0,0,0,0,284.436,0,0,0,0.112,0,0,0,0,0,0,194.883,0,0,471.486,0,0,0,0,0,0,1122.456,0,0,0,0,0,0.103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FIN",0,0,0,0,0,0,0,0,0,0.45,0,0,0,0,107.783,0,3035.245,0,0,0,0,0,3217.081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRA",0,0,7.59,0,0,0,283.682,2.372,0,60.093,11.837,1.244,0,1.414,0,0,581.061,0,0,0,0,375.666,2204.149,0,0,0,0,0,0,0,0,0,0,0,0,4.611,0,0,0,0,0,0,4.574,680.234,0,86.212,1.284,0,0,0.079,27.611,0,125.522,0,3.597,1.244,0,0,104.516,32.124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.378,0,0,0,0,0,0,33.361,1.377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GEO",0,0,0,0,0,0,0,25.697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEU",0,211.571,540.427,13.184,0.929,6.843,0,2.028,0,16076.588,3331.673,0,0,1401.055,2840.675,0,0,0,0,0,0,388.479,64861.991,0,2741.027,0,1.558,0,0,0,14.926,2.009,0,1.135,0,0,0,0,6131.049,0,0,0,182.476,10951.268,42.968,42.811,39920.752,0,0,2134.167,60.309,0.134,3312.736,0,1.435,0.987,10063.696,0,0,67084.491,0,0,7.229,0,0,0,0,0,0,0,0,0.012,5.446,0,0,0.513,0,0,0,0,0,0,0,0,9.707,0.066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HKG",0,0,0,0,0,0,0,0,0,2432.573,0,0,0,0,9.954,0,0,0,0,0.337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.591,13.614,0,0,0,0,0,0,0,0,0,0,0,22.205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.465,0.162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IDN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRL",0,0,1.571,0.666,0,0,0,0,0,0,0.346,0,0,0,0.474,0,3.84,0,0,0,0,0,256.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.569,0,0,0,0,0,0,0,0.322,0.326,0,0,0,0,0.102,0,0.398,4992.626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISR",0,0,0,0,0,0,0,0,0,0,108.976,0,0,0,0,0,0,2.106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ITA",0,0,281.269,0,45.996,0,178.05,0,0.072,2697.959,0,0,0,0,4455.025,0,3980.389,0,26.633,0,0,0,14091.196,0,8323.588,0,0,0,0,0,0,14402.871,0,0.062,0,0,0,0,3.078,0,0,0,0,567.307,0,615.603,0,0,38.611,127.484,1148.201,0,301.61,0,19.443,0,3.742,0,125.816,11170.651,23.612,0,3.457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.56,0,0,0.035,0,0,0,0,0,1.081,0.274,0.478,252.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JPN",0,7509.722,26.595,2606.816,0,29.712,0,0,0,66554.723,0,0,0,3514.384,2063.932,0,11114.309,7.527,11825.18,0,0,9.194,0,0,32491.915,0,0,0,0,0,0,84266.145,0,0,0,1540.693,0,0,1297.401,0,0,2268.959,0,18.35,0,0.56,1406.557,0,0,2702.005,0,1503.21,145.646,0.139,0,0,2390.449,0,57684.15,35557.417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059,0,0,0.046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KOR",0,75,0,0,0,0,12.539,0,3.525,14854.347,0,0,0,586.689,136.987,0,462.772,339.913,0,0,0,941.311,6380.553,0,0,0,0,0,0,0,0,15.694,0,0,0,0,0,0,100.336,0,0,0,0,9.444,0,0,1.866,0,0,0.325,0,0,320.934,0,0,0,0,0,2.715,8481.89,0,0,0,0,0,0,0,0,64.891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KWT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KGZ",0,0,0,0,0,0,0,0,0,402.617,0,0,0,0,0,0,91.513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341.046,0,0,0,0,0,0,0,1.2,1.176,0,9.639,0,26.522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LVA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LBY",0,0,0,395.901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
