"AFG","ALB","DZA","ASM","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BMU","BOL","BIH","BWA","BRA","BLZ","VGB","BRN","BGR","MMR","BLR","KHM","CMR","CAN","CPV","CAF","LKA","CHL","CHN","COL","COG","CRI","HRV","CUB","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","ETH","ERI","EST","FJI","FIN","FRA","PYF","GAB","GEO","GMB","PSE","DEU","GHA","GIB","GRC","GRL","GRD","GTM","GUY","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","LAO","LBN","LVA","LBR","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MSR","MAR","MOZ","OMN","NAM","NRU","NPL","NLD","ANT","ABW","NCL","NZL","NIC","NER","NGA","NOR","MNP","PAK","PAN","PNG","PRY","PER","PHL","POL","PRT","TLS","QAT","ROU","RUS","KNA","LCA","VCT","SMR","SAU","SEN","SYC","SLE","IND","SGP","SVK","VNM","SVN","SOM","ZAF","ZWE","ESP","SDN","SWZ","SWE","CHE","SYR","THA","TGO","TKL","TTO","ARE","TUN","TUR","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","WSM","YEM","SCG","ZMB","SLB","CXR","CCK","KIR","NFK","TON","BDI","GUM","TCD","COD","GNQ","RWA","SUR","KGZ","GNB","TCA","MYT","GIN","LBY","TKM","COM","DJI","SPM","WLF","CYM","ATF","TJK","VUT","COK","LSO","NIU","MHL","TUV","STP","FLK","FSM","PLW","AIA"
"BWA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRA",0,0,0,0,0,1.8,0,0,848.693,13.717,3.352,0,0,0.067,0,1.921,0,0,431.206,0,0,0,0,0,0,0.055,0,0,0,0,79.608,0.738,0,0,274.769,645.041,86.697,0,12.993,0,0.48,0,0,0,0,0,13.549,10.958,0.122,0,0,4.924,0,0,18.051,0,0,0,0,0,3.496,0,0,16.458,0,0,7.07,0.148,0,5.252,13.729,0,0,15.908,0,0,82.816,0.056,9.994,0,0,21.117,0,0,0,0,0,0,0,0.275,0,0,0,2.473,0,0,0,8.5,0,0,0,0,0,118.662,0,0,0,0,0,0,0,0,0,100.805,0,0,0,398.01,0,0,0,86.612,0,0,14.084,0,72.245,68.885,0,0,5.946,0,0,0,0,0,0,0,0,390.139,1.131,0,0,1.983,1.894,0,101.53,0,0,73.282,0,15.881,0,0,73.008,15.927,0,14.951,0,0,4.16,0,0,3.143,0,0,0,0,5.289,0,4129.099,0,167.9,0,32.565,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VGB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.131,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183.197,0,0,0,0,0,0,0,0,0,0,6.645,0,0,0,0,0,0,0,0,0,0,0,0,49.676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGR",0,1.574,31.495,0,0,0,0,0,0,12.543,83.788,0,0,0,4.167,0,20.71,0,0,0,0,0,0,0,0,0,0,0.7,0,0,18.151,0,0,0,0,0,42.935,0,0,3.484,0,1.866,3.873,0,2.233,0,0,0,0,0.302,0,0,0,7.985,400.761,0,0,0,0,0,90.047,0,0,3.294,0,0,0,0,0,0,0,3,0,0,0,0,1.201,7,12.218,0,0,0,5.67,0,0,0,0,9.284,0,0,0,0.182,1.343,0,0,0,0,0,0,0,0.133,0,0,4.3,0,0,0,0,0,0,0,0,0,9.379,0,0,0,8.28,0,0,0,5.278,0,0,0,0,0,0,0,42.225,0,0,0,18.938,88.01,0,0,0,0,0,0,0,0,0,15.735,10.277,0,23.658,0,0.619,0,25.545,0,0,21.395,1.922,0,39.534,0,0,0,0,0,350.984,0,0,11.801,0.204,135.737,0,99.219,0,0,0,0,0,0,20.708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLR",0,0,0,0,0,0,0,0,0,0.437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.093,0,0,0,0,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,0,0,0,0,0,0,0,0.4,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,1.131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5,0,0,0,0,1609,0,0,0,0,0,0,0,0,24.548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2.352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KHM",0,0,0,0,0,0,0,0,0,7.067,0,0,0,0,0,0,0,0,0,27.906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.611,0,0,0.404,0,0,0,0,0,0,0,0,0,0,0,0,3.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CMR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,0,2.927,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,55.635,0,0,3.622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN",0,32.36,0,0,0,0,0,30.633,273.415,2792.66,95.309,5.748,0,0,0,22.135,843.191,26.715,5.455,266.183,0,365.569,4.678,0,2.236,11.548,0,202.795,14.547,9.76,0,0,0,1.089,717.596,10978.019,223.108,0,5.72,119.742,206.125,76.72,96.153,112.389,236.56,0,4.07,122.897,0,0,0,8.732,2.154,104.93,2296.775,0.379,4.091,7.059,0,0,6010.898,162.022,0,302.301,0,0.561,72.363,0.377,24.504,63.018,3396.09,143.804,10.731,220.342,2.375,0,496,1586.668,1311.521,12.309,5.123,6025.707,33.102,64.291,28.577,0,7308.233,84.229,0,106.756,84.462,0,54.326,13.244,19.283,0,0,233.16,0.014,78.621,4.158,0,103.704,1331.729,0,0,0,226.559,9.813,80.214,0,0,0,1192.8,0,0,0,164.41,16.451,0,152.089,356.173,0,240.058,26.215,0,14.446,88.109,511.57,485.959,61.327,0,88.135,65.974,603.594,4.829,10.556,1.039,0,862.16,0.02,0,0,2256.161,854.218,2.338,16.587,24.713,0,538.492,0,1081.649,0.661,0,221.401,857.908,49.219,1359.855,0,0,992.825,359.905,7.884,1168.459,0,42.432,0.403,133.657,9712.934,2.004,298050.465,0,34.95,0,19.872,0,0,18.402,0,0,0,0,0,0,0,0,133.868,0,0,0,0,3.169,1.773,47.749,50.279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CPV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LKA",0,0,0,0,0,0,0,0,0,0.74,0,0,0,11.967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.479,0,0,31.836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106,1.909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.7,0,0,0,0.046,0,8.04,0,0,0,0,0.372,133.627,0,0,0,0,0,0,0,0,0,0,0,0,12.261,0,288.575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHL",0,0,0,0,0,0,0,0,13.095,1.049,0.037,0,0,0,0,0,0,0,484.534,0,0,7.057,0,0,0,0,0,0,0,0,0,0,0,0,0,80.857,33.223,0,35.275,0,20.181,0,0,0,0,0,1.487,17.495,2.28,0,0,0,0,0,4.524,0,0,0,0,0,0,0,0,0,0,0,1.941,0,0,0,0,0,0,0,0,0,36.449,1.209,8.073,0,0,0.069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.021,0,0,0,0,0,0,0,0,0,3.003,0,0,0,0,2.935,0,0,0,0,0,4.313,0,573.925,47.631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502.859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN",0,0.18,563.308,0,120.213,0,0,14.985,1633.32,12929.413,2983.459,0,927.674,73.242,3.435,11.891,8889.94,0,39.483,83.697,27.691,3535.894,0.016,0,17.611,298.433,118.288,117.79,4.471,0,9809.713,1.554,0,171.957,3002.643,0,744.265,462.18,151.084,3421.602,27.668,177.893,1490.795,5.03,3489.51,0,8.991,987.898,39.578,81.611,0,394.692,42.909,2752.526,23796.29,109.412,4.354,12.545,0,2.016,110809.361,143.181,0,1322.897,6.142,0,4.375,13.976,0,29.952,202136.813,5887.124,148.055,4614.455,600.331,0,11791.784,1981.381,12381.245,9.472,16.752,203847.938,41.87,243.144,13.049,5.603,51015.042,319.02,138.219,475.574,6.434,0,764.282,499.724,147.622,59.09,1.716,2639.325,11.782,0,78.881,6.4,49.954,14720.813,22.257,34.411,0,1988.041,7.498,116.848,0,0,10.381,24414.312,1.23,0.895,15.66,1312.415,51.611,3.917,497.422,1009.913,0,2071.154,816.154,11.56,179.587,719.317,660.319,2917.175,522.551,0,14.061,795.249,1957.14,0.377,1.593,0.199,0,729.229,11.004,0.064,0,2665.204,6828.028,264.456,898.842,324.302,0,3651.281,0,11166.583,29.49,0,6715.914,1353.213,465.446,13325.284,16.101,0,46.863,6109.543,103.213,9205.481,4.046,266.392,32.264,1774.498,36355.476,10.213,334321.686,20.969,27.079,0,80.722,0,66.872,16.321,0.062,0,0,0,0,0,0,0,0,0,3.828,0,19.657,26.346,4.806,0,0,2.848,24.857,48.264,56.302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COL",0,0,0,0,0,0,0,0,0,2.521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209.687,0,0,0,0.746,0,0,0,2.084,0,0,0,0,0,0,0,12.433,38.717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8,0,0,16.277,0,0,0,0,0,0,0,1,9.045,0,0,4.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.811,0,0,0,26.701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.637,0,12.77,0,0,0,39.061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CRI",0,0,0.465,0,0,0,0,0,0,416.885,0.034,0,0,0,0,0,0,0,0,0,0,118.567,0,0,0,0,0,0,0,0,9.46,0,0,0,2.917,2715.285,0.312,0,0,0,0,0,0,0,0.168,0,0.56,101.742,12.5,0,0,0,0,8064.734,3439.602,1.516,0,0,0,0,11645.108,0,0,0,0,0,6.016,0,0,4.551,303.03,1,0,0,0,0,0,0,0,0,0,31.647,0,0,0,0,0,0,0,3.022,0,0,0,0,0,0,0,0,0,0,0,0,0,442.771,0,0,0,0,0,0,0,0,0,35.327,0,0,0,0,17.585,0,0,0.641,0,0,1.821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.625,82.937,0,0,0,0,0,0,0,0,0,53.915,0,0,36.056,0,0,0,0,0,1.1,0,0,0,0,199.137,0,6517.584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HRV",0,3.225,0,0,0,0,0,0,0,0,19.309,0,0,0,0,0,56.562,0,0,786.25,0,0,0,0,0,0,0,0,0,0,3.803,0,0,0,0,0,0,0,0,0,0,0,5.469,0,0,0,0,0,0,0,0,0,0,0.985,15.834,0,0,0,0,0,129.313,0,0,0,0,0,0,0,0,0,28.225,27.71,0,0,0,0,9.794,21,68.568,0,0,0,0,0,0,0,1.874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.029,0,0,0,0,0,0,0,0,0,0,0.078,0,0,0,0.192,1.706,0,0,0,15.885,1.013,0,0,0,0,0,0,0,0,0,0,0.945,0,36.699,0,4.569,0,15.633,0,0,1.642,2.781,0,0,0,0,0,0,3.914,9.213,0,0.148,40.585,0,5.085,0,1.791,0,0,0,0,0,0,135.544,0,0,0,0,0,0,0,0,0,0,7.259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CUB",0,0,0,0,0,0,0,0,0,0,31.832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.912,0,0,0,0,0,0,0,0,1.031,0,0,0,0,0,0,0,0,114.784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.027,0,0,0,0,0,0,0,0,0,33.849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP",0,0,0,0,0,0,0,0,0,0,2.885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.899,0,0,0,0,0,0,0,0,0,31.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.424,0,0,170.843,0,0,0,0,0,0,0,0,0.483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099,0,4.037,0,0,0,0.202,0,0,0,0,0,5.855,0,7.894,0,0.01,0,0,38.669,0,4.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZE",0,86.802,220.464,0,0,0,0,0,527.091,10.443,71.623,0,0,0,0,0,293.734,0,0,2.032,0,0.295,0,0,0,376.764,0,0,0,0,2.396,0,0,3.042,0,10.101,0,0,0,35.782,0,5.531,0,0,95.751,0,0,0,0,0,0,2.505,0,34.172,166.523,0,0,0.409,0,0,4621.551,0,0,4.355,0,0,0,0,0,0,1.575,101.718,0.79,18.702,0,0,29.903,10.382,40.321,0,0,5.147,0,0,0,0,14.289,0,0,0.856,17.421,0,8.877,0,0.9,0,0,0,0,0,3.766,0,0,3.686,0,0.446,0,0.905,0,0,0,0,0,187.738,0,0,0,2.839,0,0,22.982,1,0,71.374,0.039,0,0,0,0,341.357,5.774,0,0,79.202,52.79,0,0,0,0,0,0,0.99,0,34.952,13.054,2574.539,224.8,10.324,0,44.703,0,47.216,4.412,0,108.596,1081.987,0,5.263,0,0,0,0.047,7.609,76.86,0,167.21,0.751,0.034,683.174,0,391.643,0,0.046,0,0,0,0,8.742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNK",0,0,280.317,0,0,0,4.637,0.285,28.769,1937.278,3859.91,0,26.952,0,1.526,3.3,22401.903,0,0.034,23.624,0,90.08,0,1.329,0,8.504,0,56.7,0,7.11,604.252,0,0,29.117,27.82,162.115,22.889,0,1.956,358.819,18.374,10.185,890.583,0,0,0,0,0.904,0,1.207,0,64.541,0,1125.712,13834.06,0,0,0,0,0,12204.946,32.237,0,176.056,45.661,0,0.141,0,0,0,696.558,141.279,272.572,46.852,36.343,0,451.064,123,2848.318,0,0.337,2554.288,0,3.359,0.701,0,542.182,0,0,7.828,68.277,0,371.144,55.568,0,0,0,312.713,0,0,27.56,0,0,84.884,0,0.022,0,11.345,0,0,0,0,0,2642.968,0,0,9.989,48.715,0,0,10.952,3883.566,0,31.985,1.821,0,0.087,4.956,42.875,2782.532,693.981,0,33.957,673.221,559.253,0,0,0,1.747,66.513,0,0,28.633,40.872,270.61,60.132,82.776,35.749,0,40.782,0,1198.568,0,0,3586.503,1501.618,0,263.78,0,0,0,142.819,33.967,162.122,0.038,94.654,0.036,23.803,6541.157,0,15420.887,0,1.549,0,3.276,0,0,298.474,0,0,0,0,0,0,0,0,0,0,0,0,56.924,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
