"ASM","AZE","ARG","AUS","AUT","BHR","BEL","BRA","BGR","BLR","CAN","CHN","CZE","DNK","EST","FIN","FRA","DEU","HKG","HUN","IDN","IRN","IRL","ISR","ITA","JPN","KEN","KOR","LVA","LUX","MYS","MEX","NAM","NPL","NLD","NZL","NOR","PER","POL","QAT","ROU","RUS","SAU","IND","SGP","SVK","ZAF","ZWE","ESP","SWZ","SWE","CHE","THA","ARE","TUR","UKR","EGY","GBR","USA","VEN","URY","FJI","PNG","HRV","GHA","JOR","PRK","SYC","SCG","ISL","CMR","CRI","MDG","MAR","TGO","TUN","DZA","GRC","PRT","KHM","CUB","ALB","BGD","LKA","PHL","AGO","BOL","UZB","OMN","BRN","BWA","MWI","MOZ","TZA","ZMB","SDN","BHS","CHL","COL","DOM","ECU","HND","NIC","PAN"
"CZE",0,0,0,0,0,0,0,0,7.688,2.084,0,0,0,0,0,0,0,249.922,0,0,0,0,0,1.411,8.638,1165.065,0,0,0,21.796,0,0,0,0,0,0,0,0,300,0,0,23.506,0,0,0,21.2,0.01,0,0,0,44.728,0,0,0,0,5.963,0,34.024,10.969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNK",0,0,0,733.497,0,0,0,0,0,0,1.638,0,0,0,0,0.411,0,364,0,0,0.005,0,0,0,0,2173.335,0,0,0,0,0,0,0,0,0,10.484,995.066,0,363,0,0,404.115,0,0,0,0,0,0,0,0,691.651,0,0,0,0,0,0,12.419,477.624,0,0,0,0,0,0,0,0,0,0,0.737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EST",0,0,0,3.019,0,0,0,0,0,0,0,0,0,0,0,0,2.106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FIN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038,0,0,2.189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.282,0,0,0,0,0,0,198.934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRA",0,0,0.702,0,3.511,0,0,0,0,0,0.147,6.827,125.371,0,0,2.327,0,8.716,0,0,5.197,0,4.495,0,38.985,4036.663,0,0,0,0,0.702,0,0,0,24.859,0,0,0,0,0,0,0,0,277.958,0,0,0,0,1.826,0,0,48.714,0,0,0,103.04,0,0.702,24.164,120.103,0,0,0,0,0,0,0,0,0,0,3.967,3.511,2.162,0.702,1.297,6.882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEU",0,0,0,27.869,6.891,0.971,38.546,306.66,0,0,0.159,1171.621,8.106,0,0,17.329,448.308,0,0,31,0.008,0,0,0,105.63,31293.284,0,691.898,0,0,80.143,0,0,0,2396.617,1.078,218.296,0,0,4.751,11,4104.242,0,3.253,47.914,0,0.936,0,1.877,0,1541.546,127.952,2.424,0,0,236.71,0,687.147,58153.209,0,0,0,0,0.236,0,0,0,0,4,0,0,0,0,0,0,0.154,11.814,3.697,0.073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HKG",0,0,0,0,0,0,0,0,0,0,0.059,345.256,0,0,0,0,2.668,0,0,0,3.383,0,22.342,0,0,0,0.35,0,0,0,0,0,0,0,0,0,13.228,0,0,0,0,0,0,138.066,17.345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HUN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IDN",0,0,0,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,124.55,0.009,289.809,22.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISR",0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2.518,0,0,0,0,0,0,0,0,0,0,12.793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ITA",0,0,0,0.212,0,0,0,0.175,0,0,0,87.915,1.282,0,0,0,551.61,14,0,0,0.543,0,0,0,0,12496.17,0,195.102,0,0,9814.951,1.242,0,0,0,0,154.816,0,0,1.376,10,168.103,0,0,0,0,0,0,0,0,0,16.275,0,0,53.178,0,0,59.231,19096.557,0,0,0,0,6.139,0,0,0,0,0,0,0,0,0,0,0,6.644,0,0,0,0,0,0.806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JPN",0,0,0,4764.758,0.335,0.572,677.36,0,0,0,0.113,4010.242,1.699,985.789,0,4313.505,3299.146,2845,102.226,0,7568.521,0,170.83,0,60.32,0,0,19997.949,0,0,92346.198,0,0,0,1080.006,0,1636.936,0,0,4.27,0,4.417,0,0,128.418,0,3049.077,0,0,0,4746.308,16.723,2.671,0,0,589.892,0,25035.024,17056.614,0,0,0,0,0,39.781,0,0,0,0,0,0,0,0,0,0,0,0,0,4.894,0,0,0,0.04,5.509,2.616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
