"AFG","ALB","AZE","ARG","AUS","AUT","BGD","BEL","BOL","BRA","BLZ","BRN","BGR","BLR","KHM","CAN","LKA","CHL","CHN","COL","CRI","HRV","CUB","CZE","BEN","DNK","DMA","DOM","ECU","SLV","EST","FIN","FRA","PYF","GEO","DEU","GHA","KIR","GRC","GRL","GIN","HKG","HUN","ISL","IDN","IRN","IRL","ISR","ITA","CIV","JPN","JOR","KEN","PRK","KOR","LTU","MAC","MDG","MWI","MYS","MLI","MLT","MUS","MEX","MDA","MAR","OMN","NLD","ANT","NZL","NER","NGA","NOR","PAK","PAN","PER","PHL","POL","PRT","ROU","RUS","RWA","KNA","LCA","VCT","SAU","SEN","IND","SGP","SVK","SVN","ZAF","ZWE","ESP","SWE","CHE","THA","TTO","ARE","TUN","TUR","UKR","EGY","GBR","TZA","USA","BFA","UZB","VEN","YEM","SCG","ZMB","PRY","SUR","URY","MMR","FJI","LAO","MDV","PNG","VNM","TON","UGA","DZA","BIH","COD","CYP","HND","JAM","SYR","MKD","BDI","GAB","GMB","GTM","LBN","MRT","SYC","GUY","NIC","CAF","BHR","KWT","LVA","MOZ","COG","ETH","AGO","CMR","TCD","COM","GNQ","HTI","NCL","SPM","TGO","WLF","AND","VGB","ERI","KAZ","LBY","GNB","QAT","SDN","TJK","BRB","MNG","MHL","MNP","COK","CPV","ARM","KGZ","BTN","NPL","FLK","SOM","ATG","BHS","BMU","CYM","GRD"
"CRI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.829,0,60.822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.931,0,0,0,0,0,0,0,76.347,0,45.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.098,0,0,0,0,0,0,3.958,0,0,0,0,3.325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HRV",0,0,0,0,0,24.103,0,0,0,0,0,0,0,0,0,460.717,0,0,0,0,0,0,0,0,0,8.397,0,0,0,0,0,0,46.479,0,0,261.41,0,0,0,0,0,80.808,0,0,0,0,0,0,44.45,0,0,0,58.975,0,0,0,0,0,0,0,0,0,0,0,0,113.033,0,0,0,11.853,0,0,0,0,0,0,0,0,0,0,2.077,0,0,0,0,0,0,0,0,0,11.347,636.239,0,7.65,0,20.656,0,0,0,0,0,0,0,0,0,8.681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.832,0,0,0,0,0,1.493,0,0,0,0,0,0,0,0,0,56.057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CUB",0,0,0,0,0,0,0,0,0,7.926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZE",0,0,0,105.27,132.7,1.769,0,0.923,0,1.658,0,0,0.801,0,0,0,0,0,0,2.787,0,1.406,0,0,0,0,0,0,0,0,0,0,21.319,0,0,281.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.93,0,0,0,44.231,0,0,0,0,0,6.264,0,0,0,1.142,0,0,6.49,0,0,0,0,0,0,0,0,115.305,0,2.249,0,7.398,0.894,15.22,5.675,0,0,0,0,8.879,0,57.714,0,13.099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNK",0,0,0,4.461,122.613,1445.117,0,412.299,0,5.566,0,0,2.5,0,0,239.323,0,6.56,527.526,5,2.931,1.833,0,202.668,0,0,0,0,0,0,0,382.988,1056.559,0,0,3350.323,0,0,14.531,36.516,0,12.168,3.646,26.458,23.171,0,23.848,118.255,1228.351,0,37.989,0,0,0,11.76,86.809,0,0,0,83.704,0,6.536,0,26.786,6.208,0,0,421.39,0,1.461,0,0,419.34,0,0,0,0.983,394.57,17.016,1,0,33.55,0,0,0,1.863,0,34.445,65.197,6.366,2.48,18.134,28.141,834.319,2623.834,855.32,92.708,0,957.021,0,18.042,0,0,5549.041,16.437,1634.681,0,0,25.11,0,0,1.049,0,0,0,0,0,0,0,0,0,0,12.981,77.552,0,0,0,0,0,0,0.588,0,0,0,50.802,17.316,0,0,0,47.304,0,2.156,1.314,102.921,62.705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384.403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ECU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLV",0,0,0,0,0,0,0,0,0,30.503,0,0,0,0,0,1.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EST",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FIN",1.11,0,0,2.982,4.337,47.199,0,11.468,0,6.336,0,0,0,0,0,188.953,0,4.198,33.023,0,0,0,0,2.026,0,66.165,0,0,0,0,371.05,0,105.297,0,0,543.864,0,0,112.346,0,0,0,29.013,0,1.985,0,0,5.441,4.276,0,6.753,0,0,0,515.372,0,0,0,0,0.885,0,0,0,129.628,0,4.455,0,1.305,0,1.056,0,0,78.115,0.508,0,2.012,0,13.67,0,0,21.306,0,0,0,0,0.991,0,1.667,30.093,0,0,3.729,0,0.915,107.887,2.68,0.889,0,0,0,0,0,0,42.242,0,76.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.549,0,0,0,0,0,0,0,0,3.589,0,2.177,6.312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRA",0,0,0,109.568,324.283,655.138,0,1551.513,0,122.139,0,0,4.508,0,26.383,263.297,0,181.322,27.947,83.853,9.235,8.665,0,163.715,75.243,1045.626,0,0,2.383,0,2.712,756.117,0,260.597,0,6862.315,1.563,0,64.612,0,8.794,144.729,212.362,84.08,138.052,0,362.018,67.312,6643.144,148.268,510.534,0,310.158,0,83.922,0,0,182.719,0,96.863,301.522,0,5.55,131.724,0,374.888,0,3364.003,0,2.85,12.245,6.077,280.094,4.299,405.406,4.825,1.258,132.014,145.6,26,15.043,0,0,0,0,4.464,203.945,100.152,238.625,8.989,30.315,482.247,183.906,1924.729,2062.493,1364.076,3.962,0.977,0,263.979,45.078,0,5.667,5686.098,29.706,13968.899,20.928,0,46.494,155.176,15,0,6.001,0,5.081,0,0,0,0,0,39.282,0,0,60.933,0,0,0,1814.046,0,0,0,0,153.462,2.701,5.281,77.979,8.794,0,0,0,84.889,0,0.977,1.31,0,54.917,0,27.947,13.68,40.846,2.54,0.977,87.555,232.765,2.54,30.284,5.472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PYF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GEO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEU",0,0,0,128.706,243.429,11744.808,0,4213.363,3.469,718.184,0,0,57.731,176.749,0,469.729,9.302,43.654,345.391,24.88,1.357,135.336,0.664,5033.758,0,5048.15,0,0,13.956,0,11.882,3185.511,38238.532,0.722,11.96,0,30.084,0,387.976,21.539,21.263,760.791,2378.921,10.824,212.63,93.025,2681.831,4015.348,36622.352,11.883,2912.353,2.657,7.309,0,794.979,37.918,0,19.934,0,38113.851,11.96,50.206,7.98,297.968,2.657,21.816,0.664,20671.984,0.664,11.248,33.783,10.751,1053.241,18.605,1.577,8.57,42589.366,1434.459,8501.397,107.1,297.604,7.973,0,0,0,20.405,7.685,691.588,2119.179,678.346,532.135,974.664,0,9493.794,9014.48,12462.095,691.746,3.347,50.499,28.172,3634.738,24.273,41.53,28891.16,78.407,12738.323,6.619,2.657,29.923,0,87.102,49.218,11.817,1.328,7.659,4.651,0,0,0,0.664,0.664,1.993,5.277,18.467,0,46.512,4.975,12.049,0.696,11.96,13.775,0,24.636,1.328,2.869,0,15.282,0,0,0,2.296,3.322,2.657,16.609,1.993,0.664,7.309,1.993,233.893,4.651,0,0,6.644,0,0,7.497,0,0.664,2.657,2.657,4.651,0.664,2.657,0.664,13.289,1.328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GHA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KIR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRC",0,0,0,0,0,92.416,0,0,0,0,0,0,3.219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.022,0,0,0,0,0,0,0,0,0,0,0,0,70.883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.565,0,0,0,0,0,0,0,0,0,0,0,3,3.892,0,0,0,0,1.963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GIN",0,0,0,0,0,0,0,0,0,0.615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HKG",0,0,0,430.903,220.609,24.308,15.773,42.118,0,350.641,0,0,17.371,0,0,2476.13,33.875,7.067,9289.442,5.784,1.163,0,0,13.725,0,97.709,0,0,0.681,0,0,18.254,101.25,0,0,3442.785,0,0,2.961,0,0,0,229.352,0,31.687,0,11.895,220.916,162.704,0,20235.67,2.585,5.43,0,1246.759,11.199,176.562,0,0,4529.439,0,19.239,0,1113.27,0,10.905,0,3000.286,0,43.604,0,0,24.395,51.329,0,17.743,480.356,214.866,17.841,10.731,5.272,0,0,0,0,0,0,231.656,13561.826,8.211,35.805,352.254,0,79.079,177.913,288.623,1612.973,0,19.652,27.022,276.664,0,0,2255.982,0,14815.139,0,0,2.118,0,12,0,0,0,0,0,0,0,0,0,187.475,0,0,0,0,0,2.265,0,0,18.101,7.757,0,0,0,0,0,0,0,0,0,0,0,23.79,3.863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HUN",0,0,0,0,0,28.611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.483,0,25.312,0,0,0,0,0,0,0,0,48,0,0,159.918,0,0,0,0,0,0,0,0,0,0,0,0,39.95,0,1,0,0,0,0,0,0,0,0,3.089,0,0,0,2.589,0,0,0,1.525,0,0,0,0,0.896,0,0,0,0,0,0,1,3.243,0,0,0,0,0,0,2,0,0.987,0,0,0,0,0,11.678,0,0,0,0,0,0.529,0,0,0,40.858,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IDN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.963,0,0,211.287,0,0,0,0,0,0,12.559,0,0,0,0,0,0,0,0,0,5.98,0,0,0,0,0,19.056,0,0,0,0,0,0,0,0,593.608,0,0,0,2.367,0,0,0,0,154.243,0,0,0,85.712,0,0,0,0,0,0,0,0,0,0,0,0,0.972,0,0,0,0,0,0,0,0,0,0,0,6888.141,0,0,0,0,0,0,0,456.99,0,0,0,6.104,0,0,20.847,0,565.688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRL",0,0,0,0,0,0,0,0.628,0,0.661,0,0,0,0,0,24.978,0,0,0,0,0,0,0,24.309,0,1.018,0,0,0,0,0,0,158.685,0,0,563.488,0,0,0,0,0,1.016,0,0,0,0,0,0,200.245,0,92.384,0,0,0,0,0,0,0,0,558.025,0,0,0,8.253,0,0,0,7.312,0,3.451,2.319,0,90.982,0,0,0,0.937,73,0,0,0,0,0,0,0,0.684,0,0,29.214,0,0,5.218,0,7.077,0,126.466,7.386,0,0,0,0,0,0,53.566,0,791.429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISR",0,0,0,7.624,0,40.119,0,0,0,58.768,0,0,0,0,0,6.119,0,6,0,234.647,0,0,0,7.258,0,1.981,0,0,0,0,0,0,4.691,0,5.189,463.86,0,0,0,0,0,18.23,0,0,0,0,0,0,291.368,0,5.716,0,0,0,5.886,0,0,0,0,0,0,0,0,14.174,0,0,0,2.901,0,0,0,0,1.312,0,0,0,0,1561,0,1,0,0,0,0,0,0,0,3.496,113.437,0,18.366,0.908,0,136.348,3.58,86.617,0,0,0,0,0,10.09,0,108.048,0,291.303,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ITA",0,18.65,0,337.751,40.328,152.93,4.267,90.744,4.797,429.876,0,0,9.959,0,0,23.559,0,72.195,20.089,4.878,6.635,4.62,0,128.9,0,4181.81,0,0,1.037,0,0,40.4,2461.369,7.737,0,4420.563,0,0,242.112,0,0,252.021,53.972,6.093,40.527,0,183.094,40.852,0,9.122,41.655,34.123,2.359,20.003,19.658,0.899,0,0,0,94.905,14.659,12.167,0.957,316.086,0,46.782,0,278.337,0,38.489,2.174,2.321,4.608,0.842,1.069,19.257,6.209,458.927,103.105,24.873,62.604,0,0,0,0,9.581,31.506,59.166,38.48,7.132,40.247,560.427,77.273,2208.19,427.142,357.232,130.971,15.108,19.39,23.564,189.849,1.335,20.029,1093.071,9.89,570.97,5.403,0,31.038,0,22.499,0,0,0,10.775,0,0,0,0,0,0,0,4.347,7.389,0,9.399,7.107,0,3.006,0,1.535,0,0,29.768,0,27.383,0,15.177,0,0,1.457,2.619,4.537,0,0,1.74,0,0,12.403,0,0,2.484,0,0,0,0,0,0,0,0,0,1.713,0,1.142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CIV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.617,1.407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JPN",0,0,0,253.697,2168.813,161.902,479.368,9068.705,0,6419.203,0,0,2.895,0,0,5491.854,13.633,94.753,45999.903,13.293,3.947,33.117,0,445.861,0,1110.126,0,0,0.712,0,2.413,9562.741,20557.04,4.083,0,80707.826,0,0,5.8,0,0,109659.722,185.498,8.009,7655.096,46.238,50.015,3790.83,6233.725,2.559,0,0,9.774,88.195,131645.014,0,1212.443,0.78,0,58424.361,0,22.141,0.767,7126.96,0,160.46,0,9021.754,0,149.22,11.594,0,904.489,29.132,0,32.768,13714.927,194.027,90.523,13.021,60.508,0,0,0,0,3.5,20.048,802.172,119306.099,62.686,87.004,264.097,0,3027.971,7908.513,3191.72,46322.002,2.38,24.455,37.029,211.602,4.709,96.584,24128.534,0,196836.554,0,0,37.452,0,16,0,1.91,0,5.979,0,0,0,0,0,39.256,0,6.219,6.417,0,0,3.455,0,0,0,0,0,14.987,0,0,0,0,0,0,0,0,0,2.232,0,0,0,3.711,0,4.999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.478,117.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0
