"AFG","ALB","AZE","ARG","AUS","AUT","BGD","BEL","BOL","BRA","BLZ","BRN","BGR","BLR","KHM","CAN","LKA","CHL","CHN","COL","CRI","HRV","CUB","CZE","BEN","DNK","DMA","DOM","ECU","SLV","EST","FIN","FRA","PYF","GEO","DEU","GHA","KIR","GRC","GRL","GIN","HKG","HUN","ISL","IDN","IRN","IRL","ISR","ITA","CIV","JPN","JOR","KEN","PRK","KOR","LTU","MAC","MDG","MWI","MYS","MLI","MLT","MUS","MEX","MDA","MAR","OMN","NLD","ANT","NZL","NER","NGA","NOR","PAK","PAN","PER","PHL","POL","PRT","ROU","RUS","RWA","KNA","LCA","VCT","SAU","SEN","IND","SGP","SVK","SVN","ZAF","ZWE","ESP","SWE","CHE","THA","TTO","ARE","TUN","TUR","UKR","EGY","GBR","TZA","USA","BFA","UZB","VEN","YEM","SCG","ZMB","PRY","SUR","URY","MMR","FJI","LAO","MDV","PNG","VNM","TON","UGA","DZA","BIH","COD","CYP","HND","JAM","SYR","MKD","BDI","GAB","GMB","GTM","LBN","MRT","SYC","GUY","NIC","CAF","BHR","KWT","LVA","MOZ","COG","ETH","AGO","CMR","TCD","COM","GNQ","HTI","NCL","SPM","TGO","WLF","AND","VGB","ERI","KAZ","LBY","GNB","QAT","SDN","TJK","BRB","MNG","MHL","MNP","COK","CPV","ARM","KGZ","BTN","NPL","FLK","SOM","ATG","BHS","BMU","CYM","GRD"
"BLZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.235,10.094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.261,0.569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.548,1.426,0,0,0,0,0,0,0,0,0.908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.954,0,0,24.588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.939,0,1.169,0,2.867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KHM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN",0,0,0,5.004,12.141,115.638,0,22.209,0,76.149,0,0,0,0,0,0,0,106.507,8.516,2.426,1.177,5.68,0,14.808,0,83.557,0,0,0,0,1.002,70.434,493.353,0,0,333.605,5.781,0,0,5.294,0,226.839,14,0,5.804,5.591,9.899,124.868,413.839,0,675.506,0,0,0,128.886,0,0,0,0,2.46,0,0,0,173.783,0,23.299,0,17.234,0,5.226,0,0,35.533,0,0,133.333,102.004,93.007,8.401,0,1.801,0,0,0,0,0,0,1.258,14.831,9.957,39.441,26.956,0,2.633,4.804,202.167,10.937,0,0,0,1.822,22.812,21.214,24921.051,0,28483.191,3.166,0,0,0,0,0,0,0,1.218,0,0,0,0,0,0,0,0,1.644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LKA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHL",0,0,0,0.964,0,0,0,0,2.169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN",0,0,0,152.539,89.616,38.42,0,1858.205,0,544.984,0,0,33.912,0,0,1365.265,0,0.615,0,43.285,0,10.649,0,86.784,0,337.234,0,0,0,0,0.753,24.399,1244.995,0,0,4843.19,0,0,12.745,0,0,64493.892,4.495,0,28.247,21.158,0.518,2.989,1975.926,0,4839.986,0,0,0,7609.925,0,4.122,0,0,277.123,0,0.535,0,875.212,0,0,0,322.064,0,284.981,0,0.719,18.632,10.343,0,0,765.794,301,13.595,8.959,4.979,0,0,0,0,0,0,62.982,2292.926,94.539,32.415,41.214,0,238.145,10.59,20.653,243.978,0,7.451,1.599,155.457,0.769,13.896,181.497,0,9421.857,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,140.151,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COL",0,0,0,0,0,2.076,0,0,0,3.454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
