"AFG","ALB","DZA","AND","AGO","ATG","ARG","AUS","AUT","BHR","BGD","ARM","BRB","BEL","BMU","BOL","BIH","BWA","BRA","VGB","BRN","BGR","MMR","BLR","KHM","CMR","CAN","CYM","LKA","CHL","CHN","CXR","COL","COG","CRI","HRV","CUB","CYP","CZE","DNK","DMA","DOM","ECU","SLV","GNQ","EST","FJI","FIN","FRA","PYF","GEO","GMB","DEU","GHA","GRC","GTM","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LVA","LTU","LUX","MAC","MDG","MWI","MYS","MLI","MLT","MUS","MEX","MSR","MAR","MOZ","OMN","NAM","NRU","NPL","NLD","ANT","NCL","NZL","NIC","NER","NOR","FSM","PAK","PAN","PRY","PER","PHL","POL","PRT","TLS","QAT","ROU","RUS","SHN","LCA","SMR","STP","SAU","SEN","SYC","SLE","IND","SGP","SVK","VNM","SVN","ZAF","ZWE","ESP","SWZ","SWE","CHE","SYR","THA","TGO","TTO","ARE","TUN","TUR","TKM","UGA","UKR","MKD","EGY","GBR","TZA","USA","URY","VEN","WLF","WSM","YEM","SCG","ZMB","BFA","ETH","AZE","SLB","BDI","GIB","KIR","LBY","MDV","VUT","PNG","SUR","BHS","MDA","NGA","SDN","COD","GAB","GIN","RWA","GUY","UZB","CAF","BEN","GRL","GRD","ABW","VCT","BLZ","MNG","SOM","GNB","CPV","BTN","TCD","MRT","COM","MYT","DJI","LBR","SPM","ERI","GUM","IRQ","AIA","TJK","TKL","PSE","MNP","COK","NIU","TON","MHL","KNA","FLK","TCA"
"BRN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGR",0,0,0,0,0,0,0,0,1.763,0,0,0,0,0,0,0,0.032,0,0,0,0,0,0,0,0,0,0.125,0,0,1.235,1.235,0,0,0,0,0,0,0,2.163,0,0,0,0,0,0,0,0,0,0.985,0,0,0,1559.134,0,15.97,0,0,0,3.844,0,0,0,0,0,6,0.239,0,0,0,0,0,0,0,6.569,0,0,0,0,0,0.087,831.695,0,0,0,390.805,0,0,0,2.094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.615,0,0,0,39.912,0.141,0,0,0,0,0,0,0,0,0,0,0.174,0,0,0,0,0.206,0,3.885,3.805,0,0,0,0,5.959,0,0.201,0,0,0,0.406,0,0.263,0,43.503,0,0,0,0,0,13.888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMR",0,0,0,0,0,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0.6,0,0,0,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,3.201,0,0,0,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0.814,0,0.1,0,82.699,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KHM",0,0,0,0,0,0,0,0.999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CMR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN",0,0,0.476,0,0,1.39,9.194,133.869,94.835,0,0,0.395,6.351,74.715,0,2.947,0.017,0.011,42.331,0,0,2.223,0,3,0,0,0,0,0,50.376,1814.723,0,6.938,0,34.213,0.568,0.757,0.276,170.79,29.516,0,4.332,0,3.732,0,10.009,0,373.182,314.56,1.352,0.558,0,5628.299,55.501,2.429,0.954,2.141,23.14,2612.238,5209,0,133.177,13.343,148.679,320.323,339.221,0,1.136,1192.787,6.371,0.066,1.523,0,177.998,0,1.308,0,13.024,0.01,2.064,25.501,0,0,0,140.859,0,1.675,0,1329.837,0,82.991,0,0,0,0,0,359.735,0,0,113.819,0.11,0,93.164,0,0,0.817,0,13.215,4845.829,10.106,0.352,0,0,7.939,4.126,0,0,0,0,0,0,0,0,216.53,26.676,0.943,0.036,19.351,66.432,0,45.501,0,610.182,641.969,0,32.168,0,46.687,92.445,0.575,25.704,0,0,11.037,0,1.217,6547.943,0,32902.544,0.572,5.845,0,0,0,0,7.902,0,0,0,0,0,0,0,0,0.058,0,0,0,0.215,0,0.182,0,0,0,0,0,0.097,0,0,0.008,0.011,0.271,0.107,7.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LKA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.625,0,0,1.505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,505.853,0,0,0,0,0,0,0,0,0,0,0,0,0,1.272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.317,0,0,0,0,0,0,0,0,0,0.587,0,0,0,0,0,0,0,0,0,0,0,0,0.662,0,3.172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHL",0,0,0,0,0,0,3.345,0,0,0,0,0,0,0,0,4.905,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103,0,0.179,0,0,0,0,0,0,0,0,1,0,0,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153,6.298,0,0,0.077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.317,0,1.072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.894,1.206,0.546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN",0,0.4,8.338,0,140.517,0,337.646,5794.157,1899.977,0,43.918,1.459,0.763,16909.859,0,3.3,23.867,0,6634.431,0,0,373.532,0,140.77,6.591,0,6488.72,0,20.039,149.683,0,0,563.589,0,23.43,323.406,4.898,16.23,3339.481,328.921,8.149,48.62,169.181,13.456,0,103.415,0,650.315,4645.289,1.768,15.703,0,476861.414,267.204,106.811,62.3,0,27.73,309386.928,24104.081,27.586,1189.296,341.362,191.091,913.964,11753.201,0.838,12.625,172028.097,18.798,15.121,653.154,34.415,79186.26,0.234,0,147.206,7,48.023,128.198,2526.492,133.699,0.394,0.011,10588.495,6.538,7.009,1.259,3683.015,0,164.985,12.873,0,0,0,137.601,50477.12,0,11.724,1289.426,32.044,22.784,68.126,0,571.491,11.049,238.127,48.73,3944.792,2066.789,68.314,0,0,689.099,2423.531,0,0,0,0,267.489,0.215,0,0,4441.415,39526.773,548.395,307.637,259.886,3249.204,2300.866,32742.478,0,772.778,1315.025,108.033,8294.101,29.24,3.695,541.882,47.518,1756.137,0,71.323,416.879,5.109,65.733,13327.367,20.47,122186.168,31.515,205.509,0,0,0,14.014,1.212,3.619,62.388,0,0,0,0,0,0,0.363,0,0,0,0,2.984,14.018,216.338,0,0,0,37.44,0.2,12.147,0,0,0,0,0,0,0.57,1.064,6.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CXR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COL",0,0,0,0,0,0.618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137,0,0,0,0,1.494,0,0,0,0,0,0,0,12.865,0.785,0,0,0,0,0,0,0,0,1,0,0,0.682,0.171,0.911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.593,0,47.117,0,0,0,0,0,1.255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.434,0,23.499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CRI",0,0,0,0,0,0,0,0,1.498,0,0,0,0,0,0,0,0,0,0.543,0,0,0,0,0,0,0,45.665,0,0,0,12.328,0,0.105,0,0,0,0,0,0,0,0,0,0,5.242,0,0,0,1.291,0,0,0,0,4,0,0,0,0,0,25.208,0,0,0,0,0,1,0,0,3.086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.351,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.351,0,0,0,0,0,1.637,0,0,0,0,1.129,0,0,0,0,0.249,0,0,0,0,0,0,0,28.846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HRV",0,7.169,0,0,0,0,0,0,63.713,0,0,0,0,0,0,0,30.605,0,0,0,0,0,0,0,0,0,0,0,0,0,4.953,0,0,0,0,0,0,0,0,255.102,0,0,0,0,0,0,0,0.31,126.408,0,0,0,22.25,0,0,0,0,0,0,0,0,0,0,0,0,7817.816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186.364,0,0,0,0,71.749,0,0,0,0,0,15.954,0,0,163.365,0,0,0,0,0,0,0,0,0,0,2.85,0,0,0,0.001,0,0,0,0,0,0,0,0,65.538,0,0,0,48.088,0,0,10.319,0,0.34,15.162,0,0,0,0,0,0,0,0,0,0,0.73,0,0,0,49.428,0,0,0,0,0,28.712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CUB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184,0,0,0,0,0,0,0,0,0,0,289.137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286.766,0,0,1.679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1036.903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP",0,0,0.373,0,0,0,0,0,0,0,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15120.688,0,58.377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.095,0,0,0,0,0,0,0,0,0,0,3.07,0,0,0,0,901.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZE",0,0.046,0,0,0,0,0,35.051,308.372,0,0,0.248,0,4157.421,0,0,1.858,0,29.759,0,0,10.564,0,4.096,0,0,51.891,0,0,0,67.113,0,59.438,0,0.778,24.816,0,0,0,21.217,0,0,0,1.364,0,5.517,0,1.153,147.58,0,0.584,0,66093.53,0,21.865,0,0,0,71.031,48.601,1.547,0,0,17.046,0,231.734,0,0,62.518,1.208,0,0.782,0,101.563,0,0,0,1.951,10.927,13.28,0,0,0,0,1357.36,0,59.133,0,6.452,0,0,0,0,0,0,0,289.244,0,0,0,0,0,7.405,0,0,0.05,0,0.138,0,78.395,4.032,0,0,105.203,144.206,0,0,0,0,0,0,0,0,11.282,49.344,347.97,0,35.526,0.562,0,69.314,0,153.058,90.607,0,8.081,0,0,1.721,0,25.006,0,0,46.513,0.754,0,139.038,0,924.104,0,0,0,0,0,3.179,0,0,0.177,0.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNK",0,0,0,0,0,0,4.84,62.957,974.893,0,0,0,0,282.589,0,2.394,0.141,0,8.576,0,0,1.03,0,0.1,0,0,445.191,0,0,5.506,15.225,0,0,0.173,1.395,30.265,0,0.182,197.781,0,0,0,0,0,0,175.135,0,1950.529,2020.813,0,0,0.557,2538.712,1.504,7.94,0.262,0,0,69.285,28.3,56.478,0.359,0,7.152,161.479,1408.943,0,0.37,14.921,1.604,0,44.579,0,4.321,3.13,0,0,18.235,2.109,6.45,0,0,0,0,58.446,0,43.783,0,17.149,5.007,12.193,0,0,0.013,0,0,320.681,0,0,0.517,0,21.761,438.995,0,2.373,0,0,0,0,333.564,21.119,0,0,13.844,9.468,0,0,0,0,21.988,0,0,0,21.307,210.771,6.62,20.765,0.285,210.459,0,2835.282,0,3799.89,129.888,10.184,14.602,0,0,10.865,7.333,16.753,0,1.596,0.057,0,10.568,572.381,0.034,728.477,1.217,0.982,0,0,0,0,0,0,7.326,0,0,0,0,0,2.857,21.583,0,0,0,0,0,0,0,6.32,0,30.386,0,0,0,0,0,35.485,0,0,0,0,0,0,0,0.243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM",0,0,0,0,0,0,0,9.096,0.491,0,0,0,0,0,0,0,0,0,0,0,0,0.693,0,0,0,0,90.306,0,0,0,0,0,0.072,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,2.489,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,568.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.769,0,8.87,0,0,0,1.558,1.797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.925,0,0,0.161,0,0,0,0,0,0,0.279,0,0,0,0,0,78.378,0,5926.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ECU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.039,0,0,0,0,0,0.051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.276,0,23.571,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.525,0,0,0,0,0.24,0,0.722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLV",0,0,0,0,0,0,0,1.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058,0,0,0.287,0,33.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.188,0,7.334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GNQ",0,0,0,0,0,0,0.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EST",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361.065,0,0,0,0,0,0,0,0.004,0.118,0,0,0,0,0,0,0,418.127,0,0,0,0,95.91,0,0,0,0,0,0,1628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.408,31.931,0,0,0,0,69.001,0,0,0,1.566,0,0,0,0,0,0,0,0,0,0,0,0,0,2.104,0,0,0,0,0,0,0,0,0,0,0,142.781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.418,0,3.318,0,0,0.353,0,0,0,0,0,0,0,0,0,0,0.076,0,104.556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FJI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
