"AFG","ALB","DZA","ASM","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BMU","BOL","BIH","BWA","BRA","BLZ","SLB","VGB","BRN","BGR","MMR","BDI","BLR","KHM","CMR","CAN","CPV","CYM","CAF","LKA","TCD","CHL","CHN","CXR","CCK","COL","COM","MYT","COG","COD","COK","CRI","HRV","CUB","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","GNQ","ETH","ERI","EST","FLK","FJI","FIN","FRA","PYF","DJI","GAB","GEO","DEU","GHA","GIB","GRC","GRL","GRD","GUM","GTM","GIN","GUY","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LVA","LBR","LBY","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MNE","MSR","MAR","MOZ","OMN","NAM","NRU","NPL","NLD","CUW","ABW","SXM","BES","NCL","VUT","NZL","NIC","NER","NGA","NIU","NOR","PAK","PAN","PNG","PRY","PER","PHL","POL","PRT","GNB","TLS","QAT","ROU","RUS","RWA","BLM","SHN","KNA","AIA","LCA","VCT","SMR","STP","SAU","SEN","SRB","SYC","SLE","IND","SGP","SVK","VNM","SVN","SOM","ZAF","ZWE","ESP","SDN","SUR","SWZ","SWE","CHE","SYR","TJK","THA","TGO","TKL","TON","TTO","ARE","TUN","TUR","TKM","TCA","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","WSM","YEM","ZMB","PSE","KIR","SSD","GMB","ATF","SPM","LSO","FSM","PLW","BTN","WLF","MNP","MHL","NFK","PCN"
"BWA",0,0,0,0,0,0,0,0,0,0,6.704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.833,61.752,0,0,0,0,0,0,0,0,0.439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73,0,0,0,0,0,0,23.279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRA",0,0,2.953,0,0,709.547,0,0,4249.926,36.04,2.498,0,1.044,0,0,0,22.989,0,551.092,0,0,0,0,0,0,0,0,0,0,0.261,0,0,113.656,0.08,0,0,0,0,294.546,640.445,0,0,545.659,0,0,16.728,0,0,126.462,0,26.228,0.009,49.135,0,0,0,64.017,223.198,48.977,13.318,0,0,0,0,0,4.144,717.951,0,0,7.225,0,602.145,1.067,0,18.607,0,0,0,2130.518,0,0.589,3.452,8.946,28.928,17.949,0,1.551,3.083,0,0.507,8.239,18.474,0.879,1.305,277.142,0.08,0,18.208,0,405.289,0,0,0,3.549,0,0,0,0.167,0,0,0,0,7.71,0,0,0,1.043,1.007,378.048,7.027,0,0,0,9.843,2.757,0,0,0,0,122.936,0.97,0,0,0,0,0,27.028,1.633,0,0.23,0,51.562,0.843,84.354,0.377,688.504,538.966,1.774,8.105,29.233,0,0,0,0,14.369,0,0,0,0,0,0,0,0,0,0,0.416,0,0,0,13.745,20.438,0,41.716,0,0,45.817,0,116.257,3.736,0,0,1368.575,26.806,0,0,42.18,0,0,0,8.147,47.681,0,3.341,0,0,0,0,1.526,0,117.878,0,4419.862,0,630.305,0,1484.536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLZ",0,0,0,0,0,0,0,0,0,1.995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VGB",0,0,0,0,0,0,0.069,40.525,0,6.387,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRN",0,0,0,0,0,0,0,0,0,5.775,0,0,0,0.006,0,0,9.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.444,0,0,0,0,0,0,0,0,0,0,0,0.304,0,0,0,0,0,0,0,0,0,0,2.461,0,0,0,0,0.428,0,0,0,0,0,0,0,0,0,0,0,0,27.954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.645,0,51.796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGR",0.973,7.068,0,0,49.175,0,0,169.931,0,41.821,3.978,0,0,0,2.336,0,14.746,0,0,38.946,0,1.617,0,0,0,0,0,0,0,1.7,0,0,74.267,0,0,0,0,0,0,179.88,0,0,1.095,0,0,0,0,0,0.124,97.44,0,3.794,48.184,0,395.158,0,0,0,0,0,0.159,0,5.84,0,0,4.271,18.722,0,0,0,5.506,393.131,0,0,501.604,0,0,0,0,0,0,0,0,64.084,38.537,0.106,14.506,0,0,3.351,0.75,219.353,0,0,49.316,0.553,0,9.447,0,88.612,2.493,0,0,15.158,143.212,0,0,6.909,97.791,0,0,0,35.515,0,0,1.168,0,1.793,22.43,0.825,8.691,13.039,0,1.571,0,1.455,0,0,0,472.265,0,0,0,0,3.478,0,17.606,0,0,0,0,24.932,0,0,0,0,8.49,0,70.204,830.54,0,0,2.588,1259.296,171.818,0,0,0,0,0,0,0,0,0,4.716,4.637,96.698,0,0,48.796,24.867,1.961,0,15.772,0,184.821,0,165.685,0,0.869,0,16.838,11.648,0,0,123.492,0,0,0,0,60.536,0,52.017,3.112,0,0,0.215,254.961,1.414,108.98,0.021,398.578,0,7.101,13.116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296,0,0,0,0,0,0,264.572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLR",0,0.2,0,0,0,0,0,0.1,0,0.8,0,0,0,0,0.161,0,0,0,0,0,0,0.1,0,0,0,0,2.102,0,0,0,0,0,0,0,0,0,0,0,1.4,855.098,0,0,1.2,0,0,0,0,0,0,0.1,0,0,28.5,0,0,0,0,40.7,0,0,0,0,0,0,0,0,4.8,0,0,1.7,0,2.795,0,0,0.8,0,0,0,0,0,0,0,0,0,0.007,0,0,35,0,0,0.102,0,0,0,0,123.299,0,1.8,0,0,0,3.7,0,0,0.407,0,0,5,0,0,0,0,98.461,0,0,0,0,0,1.4,0,0.501,0.005,0,0,0,0,0,0,0,33.636,0,0,0,0,0,0,7.539,0,0,2.1,0,0.3,0,0,0,0,3.7,0,1.5,0,0,0,0,0.2,2074.596,0,0,0,0,0,0,0,0,0,1148,0,0.072,0,0,0,0.2,0,0.1,0,0,0,0,0,61.5,0,0,27.6,0,0,0,108.24,0,0,0,0,0.1,0,326.9,77.8,0,0.1,25.601,0.1,0,0.2,0.1,0.202,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KHM",0,0,0,0,0,0,0,0,4.316,2.367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.639,0,0.684,0,0,0,0,0,0,0,0,0,0,0,0,32.692,0,0,0,0,0,0,0,0,0,0,1.864,0,0,0,0.306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CMR",0,0,0,0,0,0,0,0,0,52.647,0,0,0,2.159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.473,0,0,0,0,0,0,0.523,0,0,0,0,0,0,0,0,0,0,0,0,0,3.849,0,0,82.082,0,6.886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.807,0,0,0,0,0,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041,0,0,0,0,0,0,0,0,0,0.46,0.578,0,0,0.272,0,0,0,0,0,0,0,0,0,0,0,0,0,5.816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN",11.979,11.811,7.005,0,0.249,28.699,33.972,370.642,1464.196,3635.38,452.34,0,81.788,4.808,0.433,0.644,1221.153,12.839,44.31,17.57,24.042,3962.151,45.542,0,0,1.42,51.297,100.811,0,1.3,0,19.768,0,0,0,0,32.839,0,635.757,8978.188,0,0,221.353,4.96,0,0.445,46.063,0,25.492,43.757,29.582,8.266,124.306,0,95.198,0,1.101,35.823,33.4,0,15.487,0,97.14,0,0.728,406.365,3386.835,4.775,0,0,23.51,9358.407,11.035,0,110.788,15.16,0,0,22.819,24.133,0,0,122.119,1985.52,61.285,30.95,2495.329,0,50.372,63.455,1289.921,2197.212,2.883,14.796,3141.813,106.102,86.363,151.126,0,6660.4,145.034,1.802,0,135.617,37.721,0,32.207,94.466,492.263,0.429,5.907,0,1142.069,8.701,0,114.653,0,59.339,2356.005,227.167,6.113,0.479,0,99.921,0,5.661,0,0,0,2268.5,156.727,0,0,0,39.952,0,673.7,77,0,102.171,0,719.442,64,16.12,22.291,64.951,344.727,522.861,215.191,62.712,0,0,1034.034,197.378,5774.125,0,0,0,0,0,27.425,0.884,0,0,777.513,0.604,16.876,0,7.821,4352.543,2839.133,37.255,25.614,17.221,4.947,1009.505,0.649,554.436,0,1.752,8.395,1547.499,971.251,0,0,1748.665,0,0,0,14.263,1548.756,1.408,951.345,373.005,0,0,260.218,26.392,136.062,12043.315,0,451526.752,2.402,148.641,0,213.14,0,6.196,23.93,3.988,0,0,0,0,4.623,0,0,0,0,0,0,0,0,0
"CPV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217,0,0,0,0,0,0,0,0,0,25.116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LKA",0,0,0,0,0,0,0,0,0,16.223,0,0,0,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,23.415,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0.278,0,0,0,0,257.412,0,0,0,0,0,0,0,0,0,0,0,15.01,0,0,0,0,0,0,0,0,0,0,48.718,0,0,0,0,2.81,0,0,0,0,0,0,0,0.136,0,0,0,0,0,7.54,0,0,0,0,5.894,0,0,0,0,0,0,0,0,0,0,0.007,0,0,0,0,0,0,3.899,0,0,0,0,0,0,0,0,0,0,0,182.216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.844,659.048,0,0,0,0,0,0,0,0,0,0,0.153,7.237,0,0,65.794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062,0,0,0,0,0,1.377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHL",0,0,0,0,5.694,0,0,0,164.172,0,81.185,0,0,0,0,0,27.295,0,2537.389,0,0,69.983,0,0,0,0,0,0,0,0,0,0,1.336,0,0,0,0,0,0,4.451,0,0,212.632,0,0,0,0,0,23.114,0,42.84,2.038,0,0,0,0,0,4.765,8.51,0,0,0,0,0,0,0,11.038,0,0,0,0,26.869,0,0,0,0,0,0,48.734,0,0,0,0,37.097,0,0,0,0,0,186.464,1,0,0,0,3.086,0,0,0,0,0.037,0,0,0,0,55.207,0,0,0,0,0,0,0,0,0,0,0,0,0,190.769,0,0,0,0,0,0,0,0,0,0,3.299,0,0,0,0,0,0,0.429,0,0,0,0,0.427,0.302,44.887,0,662.288,1737.392,0,0.128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,369.236,0,0,0,2.149,6.057,0,0,2.951,0,0,0,0,2.978,0,0,0,0,0,0,0,0,28.026,0,460.43,0,40.348,0,90.316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN",115.495,692.926,33788.744,0,653.232,3584.364,6.092,720.634,66357.463,136868.077,34881.451,154.672,1073.264,17996.238,281.631,37.196,32117.073,18.732,2681.087,1544.722,43.885,186706.87,55.295,4.903,0,2487.635,4081.076,6511.399,25.32,6058.5,2655.625,918.423,142301.361,23.392,0,1.554,3085.581,3787.597,28145.751,0,0,0,30813.735,182.347,0.8,876.796,1241.001,0,4119.328,1671.823,1066.901,939.787,42022.476,731.832,27500.798,31.186,1947.437,13078.563,2772.866,4677.346,6068.503,28.146,2427.739,0,106.737,25677.515,189476.037,316.561,770.255,838.123,235.167,423005.012,5135.905,65.43,8589.657,7.253,3.481,0,1592.835,581.184,94.195,92.824,1067.332,2126557.479,27840.274,282.838,90034.013,25723.75,15411.818,12680.353,17734.721,181365.75,318.099,1726.8,676070.565,4594.132,6049.262,3021.039,1100.032,120615.407,2654.628,3111.816,3808.474,6494.116,2728.242,7884.686,4927.063,4880.71,1095.339,2057.521,332.673,654.604,80069.95,150.512,361.647,1390.331,148.33,933.835,168779.354,711.646,1012.753,269.347,0,8602.136,1335.703,1269.511,62.368,0,1132.413,253366.305,9.996,8.476,0,0,561.722,27.096,20610.81,664.684,317.097,20755.547,0,21820.567,15299.578,7415.113,172.265,8046.264,19500.217,19166.082,93856.098,21066.573,18.212,5.972,2480.956,8606.263,76804.867,391.005,0,0,13.88,0,233.778,16.965,0,0.092,19238.254,432.707,1831.891,8.186,96.057,146390.548,58738,35377.49,73829.008,7118.024,47.634,138373.92,323.394,158764.748,5166.033,191.259,0.7,78586.843,44089.223,3134.823,923.741,206715.084,1787.161,0,0.335,664.495,77374.662,4531.506,77666.309,1502.817,6.12,440.937,9639.256,1277.123,14769.709,269367.675,1181.647,1939857.555,130.733,8104.16,1107.175,4742.204,102.717,2342.944,287.084,526.583,2.86,32.585,4.376,0,0,8.824,0.182,0.1,0,0,0,0,0,0
"CXR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COL",0,0,0,0,0,0,0,0,7.608,0.034,12.822,0,0,0,0,0,5.497,0,0.509,0,0,290.137,0.005,0,0,0,0,0,0,0,0,0,0.991,0,0,0,0,0,1.667,0.627,0,0,0,0,0,0,0,0,114.833,0,0,0,0,0,0.517,0,3.06,295.583,11.346,0,0,0,0,0,0,0,9.702,0,0,0,0,1.184,0,0,0,0,0,0,2.863,0,0,0,15.251,2.372,0.97,0,0,0,0,0,12.659,0.65,0,0,229.003,0,0,0,0,1.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.524,0,0,0,0,0,0,0,0,0,0,59.635,0,5.263,0,0,0,0,0,0.004,0,0,0,0,0,50.914,0,0,53.794,0,0.213,7.263,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,7.206,0,0,0,0,10.71,0,6.516,0,0,0,0.153,0.161,0,0,14.838,0,0,0,0,0.005,0,0,0,0,6.47,0,0,0,5.372,0,400.168,0,0,0,72.832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MYT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
