"AFG","ALB","DZA","ASM","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BMU","BOL","BIH","BWA","BRA","BLZ","SLB","VGB","BRN","BGR","MMR","BDI","BLR","KHM","CMR","CAN","CPV","CYM","CAF","LKA","TCD","CHL","CHN","CXR","CCK","COL","COM","MYT","COG","COD","COK","CRI","HRV","CUB","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","GNQ","ETH","ERI","EST","FLK","FJI","FIN","FRA","PYF","DJI","GAB","GEO","DEU","GHA","GIB","GRC","GRL","GRD","GUM","GTM","GIN","GUY","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LVA","LBR","LBY","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MNE","MSR","MAR","MOZ","OMN","NAM","NRU","NPL","NLD","CUW","ABW","SXM","BES","NCL","VUT","NZL","NIC","NER","NGA","NIU","NOR","PAK","PAN","PNG","PRY","PER","PHL","POL","PRT","GNB","TLS","QAT","ROU","RUS","RWA","BLM","SHN","KNA","AIA","LCA","VCT","SMR","STP","SAU","SEN","SRB","SYC","SLE","IND","SGP","SVK","VNM","SVN","SOM","ZAF","ZWE","ESP","SDN","SUR","SWZ","SWE","CHE","SYR","TJK","THA","TGO","TKL","TON","TTO","ARE","TUN","TUR","TKM","TCA","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","WSM","YEM","ZMB","PSE","KIR","SSD","GMB","ATF","SPM","LSO","FSM","PLW","BTN","WLF","MNP","MHL","NFK","PCN"
"AUT",0,34.576,71.276,0,6.647,13.758,0,52.397,384.4,1545.751,0,0,31.255,4.394,3.514,0,4386.723,0,6.01,201.003,0,357.147,0,0,0,0.492,377.476,0,0,16.705,0,0,11348.76,0,0,0,153.813,0,354.279,7524.175,0,0,84.856,0,0,0,0.006,0,111.555,1148.317,0,81.335,3219.619,0,1681.12,0,71.42,231.068,4.936,0,0.049,0,395.258,4.228,0,209.553,12195.156,16.797,0,4.169,3.719,61581.051,4.618,0,570.226,0,0,0,5.826,4.681,0,0,7.659,2279.987,4938.348,40.714,807.87,49.524,60.341,134.835,575.817,5231.154,5.513,0,4065.336,6.046,33.048,24.553,0,489.253,49.236,1.825,0,4.149,15.92,0,6.616,290.871,560.946,44.532,29.986,0,656.057,0,0,13.094,0,103.934,1047.963,0,26.344,31.836,0,27.612,0,2349.485,3.106,0,0.216,6839.161,0,0,0,0,3.519,4.732,120.569,12.889,0,24.901,0,1453.877,39.185,5.076,2.07,5.326,34.313,392.136,2756.61,3481.666,0,0,64.896,2036.471,381.814,0,0,0,0,0,0,0,0,0,3548.79,1.066,270.578,0.298,0,402.863,642.902,2701.592,6.828,1554.624,0,172.08,0.118,1467.739,5.241,0,0,2061.862,12922.866,0,0,765.081,0,0,0,0.205,422.776,1.881,354.627,32.024,0,1.126,233.96,178.57,35.792,2926.509,1.075,4922.91,0,34.41,4.787,12.958,0,0,43.482,31.458,0,0,3.338,0,0,0,0,0,0,0,0,0,0,0
"BHS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.279,0,0,0,0,0,0,0,0,0,0,1.927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.656,0,0,0,0,0.632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0.007,0,0,0,0.373,16.359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.79,0.003,0,0,0,0,0,0,0,0,0,0,298.531,0,0,0,0,4.597,0,0,0,0,0,0,0,0.693,0,0,0,0,31.255,0,0,0,0,0,0,0,8.289,0,0,0,0,0,0,0,0,27.403,0,4.508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGD",0,0,0,0,0,0,0,0,0,46.556,0,0,0,0,0,0,0,0,0,0,0,4.226,0,0,0,0,0,0,0,0,0,0,21.671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065,0,0,28.636,1.177,0,0,0,0,82.259,0,0,0,0,0,0,0,0,0,0,0,15.907,0,0,0,0,0,98.714,0,0,0,0,6636.362,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0.152,0,0,0,0,0,0.134,0,0,0,0,0,0,0,4.346,0,28.213,0,35.892,0,0,0,0,0,0,3.13,0,0,0,0,0,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569.633,16.401,0,0,0,0,0,0,9.429,0,0,0,0,0,0,0,0.848,0,0,0,0,0,0,7.076,0,0,0,3.058,0,0,4.793,0,76.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.448,0,0,1.617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327.274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.376,0,0,2.423,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134,0.441,0,0.586,0,0,0,0,0,0,0,2.939,0,0.25,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174,0,0,0,0,0.351,0,0,0,0,0.471,0,0,0,0.867,0.15,0,0,0,0,0,0,0,0,0,0,0,0.471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.925,0.635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.579,0,0,0,0,0,0,0,0,0,6.929,0,45.612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEL",222.511,38.617,957.572,0,0,124.247,0,118.11,932.137,1781.029,962.583,0,10.218,201.206,73.413,14.587,0,0.378,42.573,46.578,0,6341.693,0,0,0,11.596,299.889,0,0.87,132.334,31.582,44.651,403.467,1.234,0,0,44.766,60.249,422.304,3842.544,0,0,588.122,0,0.252,76.16,66.087,0,134.339,459.843,6.086,87.998,555.255,0.703,2105.513,0,181.194,160.125,61.039,0,2.216,0,359.151,0,0,947.295,35207.299,1.687,0,6.485,113.947,23396.06,88.109,0,2070.391,0,0,0.003,43.869,0.01,0,0,29.577,1067.23,1536.812,10.646,485.12,176.235,1357.383,1310.665,159.04,13150.054,15.206,0,1275.979,1537.494,116.829,37.97,0,1556.669,54.135,0,0,150.489,225.192,0,142.975,4011.371,1384.052,0,3.103,0,184.844,0.097,98.08,445.119,0,11.286,4088.379,79.747,13.429,3.554,0,109.472,1.078,31.241,83.576,0,100.059,33408.653,1.308,8.134,0,0,64.077,0,145.13,49.388,1.089,103.33,0,1313.186,342.781,120.376,0,349.347,281.102,167.198,2223.926,757.141,0,0,21.871,2137.718,7143.596,16.504,0,0,0,0,0.022,0.056,1.674,1.39,604.402,178.797,62.076,0,10.521,4495.781,527.282,444.719,411.679,384.428,16.261,528.32,50.405,5950.63,52.944,41.691,0,5341.167,2235.881,0.522,33.677,910.925,24.699,0,0,0,262.699,325.124,687.808,0,0,1.694,276.431,24.496,621.274,20647.915,16.792,9287.061,39.344,65.861,2830.053,605.027,0,204.294,0,46.883,0,0,82.625,0.003,0,0,0,0,0,0,0,0,0,0
"BMU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOL",0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183,0,0,0,0,0,0,0,0,0,0.047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BIH",0,0.428,0,0,0,0,0,0,0,0,14.793,0,0,0,0,0,0.423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.406,0.212,0,0,0,0,0,0,0,0,0,20.794,0,0,0.003,0,0,0,0,0,0,0,0,0,0.482,0,0,0,0,0,0,0,0,69.915,0,0,0,0,0,0,0,0,0,0,0,0,4.368,0,0,0,0,0.588,0.423,0.741,0,0,0,0,0,0,0,0,0,2.662,0,0,0,0,0.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.326,0,0,0,0,0,0,0,0,0,0.445,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,8.626,0,0,0,0,0,0,25.455,0,0,0,13.907,0,0,0,0,0.255,0,0,0,0,0,0,0,341.844,0,0.445,0,0,0,0,18.956,0,0.541,0,0.154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
