"AFG","ALB","AND","AGO","ATG","ARG","AUS","AUT","BHR","BGD","BRB","BEL","BIH","BWA","BRA","VGB","BRN","BGR","MMR","BLR","KHM","CMR","CAN","CPV","CAF","LKA","CHL","CHN","COL","MYT","COD","CRI","HRV","CUB","CYP","CZE","DNK","DOM","ECU","SLV","EST","FIN","FRA","GEO","GMB","DEU","GHA","GIB","KIR","GRC","GTM","GUY","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRL","ISR","ITA","CIV","JAM","JPN","JOR","KEN","PRK","KOR","KWT","LAO","LBN","LVA","LTU","LUX","MAC","MDG","MYS","MDV","MLI","MLT","MUS","MEX","MNG","MSR","MAR","MOZ","OMN","NAM","NRU","NLD","ANT","NCL","NZL","NIC","NOR","PAK","PAN","PNG","PER","PHL","POL","PRT","ROU","RUS","LCA","SMR","STP","SAU","SEN","SLE","IND","SGP","SVK","VNM","SVN","ZAF","ZWE","ESP","SUR","SWZ","SWE","CHE","THA","TGO","TTO","ARE","TUN","TUR","UKR","MKD","EGY","GBR","USA","URY","UZB","VEN","YEM","SCG","ZMB","DZA","BOL","BEN","PRY","BTN","TCD","FJI","PYF","VUT","NFK","LBY","NGA","SYC","SYR","UGA","TZA","BFA","GAB","MDA","RWA","NPL","ABW","AZE","ETH","KAZ","GRL","ERI","DJI","LBR","FSM","SDN","BDI","COG","GNQ","GIN","KGZ","MRT","NER","GNB","QAT","WLF","ARM","DMA","GRD","IRQ","TKM","WSM","VCT","SOM","COK","FLK","TON","BHS","LSO","MWI","SHN","BMU","BLZ","MHL","KNA"
"KHM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CMR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN",0,0,0,0,0,6.244,82.753,153.61,0,0,0,17.304,0,0,289.533,0,0,2.264,0,0,0,0,0,0,0,0,9.387,232.7,1.644,0,0,0.005,0.87,3.51,0,40.593,19.441,0,0,0.019,0,58.302,268.624,0,0,2056.096,0,0,0,0,0,9.476,0,0,181.755,7,24.544,0,23.156,208.103,3006.986,632.33,0,0.736,1037.948,0,0,0,92.968,0,0,0,0,0,2.058,0,0.289,53.502,0,0,0,0,107.528,0,0,0,0,0,0,0,132.621,0,0,72.02,0,40.722,101.135,0,0,555.405,251.202,215.937,4.486,48,4.818,0.209,0,0,46.885,0,0,20.539,34.409,0.975,0,9.148,284.089,0,4.149,0,0,290.494,511.032,31.997,0,0.79,0,0,3.348,88.65,0,3.856,14450.856,83351.269,0,0,13.077,0,45,0,8.708,0,0,0,0,0,0,0,0,0,0,0,1.397,0,0,0,0,0,0,0,0,0,0,20.121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CPV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LKA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.03,0,0,0,6.024,0,0,0,0,0,0,0,0,0,2.755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHL",0,0,0,0,0,1.702,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.257,0,0,0.134,0,0,0,0,0.588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN",0,0,0,0,0,611.386,358.063,221.463,0,7.16,0,2117.947,0,47.843,756.336,0,0,89.042,0,20,0,0,2373.519,0,0,52.933,23.936,0,24.671,0,0,0.677,8.191,0,0,627.654,185.409,0,0.238,0,3.285,1281.192,591.467,0,0,17176.204,0,0,0,16.286,0,0.572,0,0,110144.113,578,0.073,50.146,32.434,11.33,80.784,2788.69,0,0,8278.403,9.71,19.544,16.973,9218.624,0,0,6.707,0,6.751,7.877,353.763,0.797,10438.881,0,0.44,19.103,0,2362.368,0,0,1.929,0,0,0,0,534.166,0,0,852.536,0.078,74.343,37.514,2.389,0,20.347,668.739,596.172,40.195,19.585,167.271,0,0,0,0,4.476,0,550.059,7577.825,47.236,0,190.007,722.485,146.268,900.801,0,0,33.531,212.303,635.131,0,18.557,99.156,0.099,203.813,97.81,0.517,0.301,1167.863,36711.261,2.489,0,0.95,0,13,1.007,12.333,45.38,0,0.016,0,0,0,1.626,0,0,0,1.016,0,86.443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.458,0,0,0,0,0,0,0.411,0.835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067,0,0,12.138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MYT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CRI",0,0,0,0,0,0,0.236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.601,0,0,10.951,0,0,0,0,0,0,0,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.999,0,0,0,0,0,0,0,0,0,0,0,11.104,0,0,14.396,0,0.462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HRV",0,0,0,0,0,0,60.645,63.424,0,0,0,0,1.158,0,0,0,0,0,0,0,0,0,880.946,0,0,0,0,70.987,0,0,0,0,0,0,0,0.047,9.117,0,0,0,0,0,125.675,0,0,271.542,0,0,0,0,0,0,0,0,368.52,0,0,0,0,0,0,355.036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.202,0,0,0,0,0,0,0,93.905,0,0,0,0,53.299,0,0,63.435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.341,0,0,8.246,0,0,0,14.934,0,0,0,0,0,0,0,0,0,0.189,0,0,0,0,0,0,0,0.855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CUB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.932,0,0,0,0,1.258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,3.757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZE",0,0,0,0,0,91.042,0.731,44.496,0,1.734,0,18.03,0,0,0.001,0,0,4.227,0,2.2,0,0,53.488,0,0,0,0,54.033,3.016,0,0,0.223,1.383,0.339,0,0,27.308,0,0,18.829,4.162,3.3,83.692,0,0,8807.497,0.865,0,0,2.301,0,0,0,0,0,9.363,0,0,0,0.487,2.428,28.864,0,0,75.076,0,0,0,10.95,0,0,0,0,0.353,0,0,0,0,0,0,0,0,5.466,0,0,0,0,0,0,0,1.99,0,0,0,0,11.395,0,0.418,0,0,0,3.054,0,0.131,11.311,0,0,0,0,0,0,0,133.107,258.012,0,0.963,0.687,0,3.726,0,0,9.686,21.713,0,0,0,0,0,0.283,27.412,0.507,0.013,24.651,655.667,0,0,1.343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNK",0,0,0,0,0,5.64,83.383,1118.812,0,0,0,384.641,0,0,4.265,0,0,0.595,0,0,0,0,195.437,0,0,0,10.675,0.167,1.431,0,0,1.549,4.573,0,0.301,173.161,0,0,0.214,0,1.861,2141.649,682.644,0,0,1881.452,0.796,0,0,16.464,0,0,0,0,127.358,100,18.912,0,0,1339.051,86.018,676.783,0,0,17.617,7.774,0.249,0,58.371,1.337,0,5.107,3.446,0.162,0,0,0.582,141.439,0,0,73.004,0,15.259,0,0,3.114,0,0,0,0,318.147,0,0,11.33,0,284.366,8.498,0,0,2.29,1.512,105.58,25.759,2,17.213,0,0,0,5.903,0,0,15.06,32.11,8.474,23.355,6.235,10.752,11.028,1040.872,0,0,1438.887,149.395,24.993,0,0,0,6.136,26.899,0.95,0.255,0,1704.808,576.342,0,0,13.233,0,2.109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.073,0,0,0,0,2.01,0,0,0,0,3.122,0,2.975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM",0,0,0,0,0,0.147,0,0.669,0,0,0,0,0,0,0.662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.738,0,0.231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.49,0,0,0,0,0,0,0,0,0,0,9.086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9108.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ECU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.647,0,0,2.273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EST",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.991,0,0,0,3,0,0,0,0,0,0,0,0,0,3.042,0,0,0,0,0,0.641,0,0,0,0,0,0,0,0,0,0,4.602,0.218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.866,0,0,0,0,0,0,0,0,22.729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.449,2.115,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FIN",0,0,0,14.257,0,1.64,0.566,0,0,0,0,0.179,0,0,135.768,0,0,0,0,0,0,0,14.24,0,0,0.071,4.585,472.581,0,0,0,0,0.016,0,0,6.134,102.814,0,0,0,944.622,0,625.62,0,0.561,221.687,0,0,0,28.576,0,0,0,0,228.277,102.161,1.267,2.228,0,5.866,10.499,4.448,4.168,0,8.083,10.109,0,0,209.689,0,0,0,59.777,0.297,0,0,2.366,79.582,0,0,0,0,3.052,0,0,1.048,8.593,0,1.718,0,671.001,0,0,6.828,0,52.828,0,0,0,0,0,50.452,0.537,5.494,183.392,0,0,0,9.116,0,0,1.778,2.662,0.48,51.48,0.267,1.769,0,0.738,0,0,272.779,78.089,0.092,0,0,3.861,0,0.075,0.54,0,0.816,76.348,185.086,0,0,7.485,0,2.254,11.949,1.818,0,0,0,0,0,0,0,0,0,0,0,0,0,11.834,1.69,0,0,0.591,0,0,0,0,9.419,0.015,0,0.73,2.244,5,18.574,7.556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRA",0,0,0.155,7.444,0,15.925,822.504,215.096,0,0.33,0,614.21,0,0,239.525,0,0,296.636,0,0.843,182.019,57.165,1123.691,10.394,3.395,0.605,15.884,70.525,23.826,0.925,0,15.455,1.313,2.91,0.122,405.774,463.445,44.665,6.098,28.653,0.733,2862.653,0,0,268.085,18538.795,0.517,0,0,7.182,0,0,48.457,0,482.768,308.402,26.399,1.946,0,262.448,603.384,3287.586,17.608,0,3291.612,1.853,238.026,0,304.787,0,0,10.609,0,0.731,12.869,0,63.533,32.844,0,799.42,5.061,1.176,108.576,0,0,379.136,0.184,0,1.825,0,1211.968,0,203.946,16.324,12.102,87.431,7.865,1.327,0,5.69,1.124,128.743,329.481,32.797,9.41,0,0,0,41.715,1394.793,0,2399.655,87.71,16.814,49.019,26.621,1075.207,0.884,2501.137,0,0,1280.241,900.37,24.035,128.638,0,4.495,742.526,39.692,10.611,0.015,22.332,5692.423,20467.439,5.018,0,42.795,43.681,11,0,92.336,0,142.636,0,0,248.324,1.966,791.799,0,0,0,16.433,0,0,2.683,19.523,312.101,61.416,0.434,0,13.905,0,0,0,0,0,0,124.162,0,0,0,237.369,60.396,4.635,29.215,0.843,5.337,84.554,5.337,1.405,1.264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GEO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GMB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEU",46,0,2.159,0,0,130.531,533.735,17196.162,1.095,1.081,0.23,7237.993,7,22.855,1058.598,0,0,243.362,3,181.603,0,6,2152.829,0,6,44.011,46.768,12241.573,21.159,1.163,6,33.958,176.258,19.245,27.189,12700.748,5330.886,4,7.885,2.392,30.498,8827.843,58215.22,4.046,13,0,3.515,0,0,993.54,0.912,0,0,1.806,2134.406,17184.032,17.19,73.628,51.69,3813.559,2755.14,67586.698,15.525,1.045,4807.242,49.465,211.819,14,320.927,1,0,3.531,6.237,58.566,66.419,0.495,2.915,52280.444,0,56,159.222,2.824,1719.076,7.01,0,268,0,0,263.248,0,14432.702,0,0,87.285,0,3257.468,10,9.013,1,18.746,46710.424,1979.598,5826.246,586.126,3654.768,0.913,0,0,265,70.548,0,441.724,10183.69,1390.386,8,640.625,1529.955,10.967,23000.914,0,0,11165.013,19058.007,1370.39,1,5.829,158,25.727,2557.665,136.628,8.829,218.335,53169.94,27002.772,4.976,3,42.65,0,41.459,4.843,18.146,1.842,0,10,0,0,0,2.4,0,0,0,150.901,0,4,18.192,18.515,27.695,9.201,1.732,0,30.785,0,0.987,3.984,6,2,0,0,0,0,138,0,0,0,5,1.717,12,3.154,6,2,0,0.064,6,1,3,0.994,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"GHA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GIB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KIR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
