"AFG","ALB","DZA","ASM","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BMU","BOL","BIH","BWA","BRA","BLZ","VGB","BRN","BGR","MMR","BDI","BLR","KHM","CMR","CAN","CPV","CYM","LKA","TCD","CHL","CHN","CXR","CCK","COL","COG","COD","COK","CRI","HRV","CUB","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","GNQ","ETH","ERI","EST","FJI","FIN","FRA","PYF","GAB","GEO","GMB","DEU","GHA","GIB","KIR","GRC","GRL","GRD","GUM","GTM","GIN","GUY","HND","HKG","HUN","ISL","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LSO","LVA","LBR","LBY","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MNE","MSR","MAR","MOZ","OMN","NAM","NPL","NLD","CUW","ABW","SXM","BES","NCL","VUT","NZL","NIC","NER","NGA","NIU","NFK","NOR","FSM","PAK","PAN","PNG","PRY","PER","PHL","POL","PRT","QAT","ROU","RUS","RWA","SHN","KNA","AIA","LCA","SPM","VCT","SMR","STP","SAU","SEN","SRB","SYC","SLE","IND","SGP","SVK","VNM","SVN","SOM","ZAF","ZWE","ESP","SSD","SDN","SUR","SWZ","SWE","CHE","SYR","TJK","THA","TGO","TKL","TTO","ARE","TUN","TUR","TKM","TCA","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","WSM","YEM","ZMB","BTN","SLB","PSE","NRU","TLS","TON","BLM","FLK","ATF","GNB","DJI","HTI","COM","PLW","MHL","WLF","MNP","CAF"
"AUT",0,30.945,5.735,0,0,6.733,22.416,3447.894,345.329,1179.649,0,0,11.691,7.948,9.206,0,3138.2,0,4.442,254.878,0,354.551,0,0,1.451,207.362,1.058,0,384.348,0,0,11954.43,0,0,4.708,0,480.188,10398.864,0,0,45.078,1.032,4.363,0,16.564,971.728,0,130.438,3519.151,0,3616.937,0,2.448,130.43,2.079,0.341,0.332,0,530.933,0,150.904,11230.207,5.778,5.677,1.732,0.535,62371.259,8.125,0.047,0,973.632,0,0,0,1.942,0.648,0,0.961,3513.923,6081.7,12.547,740.264,27.93,0.452,8.624,67.432,3699.97,15.902,0,963.98,76.801,8.353,15.451,0,333.938,28.01,0,1.429,12.722,0,16.484,0,0,169.888,73.836,5.193,25.099,6.531,1465.631,60.727,4.649,110.459,0,62.644,322.092,8.004,5.066,43.109,0,29.361,0.551,31.118,5.773,0,6351.999,0,0,0,0,39.368,0,61.044,0.326,0,86.381,0,0,3164.704,0,67.379,5.839,10.494,5.654,9.095,339.027,2478.643,3791.768,49.684,1392.814,603.05,2.571,0,0,0,0,0,0,18.968,0,67.495,0.019,707.714,2.14,0,385.69,2453.022,3519.805,151.883,1980.405,0,231.104,0.009,1285.318,0,3.841,0,0,580.471,23366.625,0,11.736,779.421,0,0,13.528,1016.607,29.309,492.109,61.37,0,0,253.578,142.712,14.319,5553.431,0.692,5173.3,0,35.642,18.87,8.898,0,0,2.492,0.063,0,0,0,0,0,0.136,0,0,0,0,0,0,0,0,0,0,0
"BHS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.192,0,0,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.989,0,0,0,0,2.851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.485,0,0,0,0,0,0,0,0,0,0,0,0,0.75,29.504,0,0,0,0,0,0,0,0,0,0,0,0,8.472,0,0,0,0,0,0,0,0,0,0,0,0,24.215,0,0,0.552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1590.785,0,0,0,0,0,0,0,0,0,0,0,0,0.153,0,0,0,0,0,1.764,0,0,0,0,0,0,99.713,0,0,0,0,0,0,0,0.001,99.371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGD",0,0,0,0,0,0,0,0,0,18.438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.839,0,0,0.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.271,0,43.994,1.093,0,0,0,0,60.241,0,0,0,0,0,0,0,0,0,0,0,10.592,0,0,0,0,0,241.79,0,3.633,0,0,8006.318,0,0,0,0,0,0,0,0,0,0,0,0,0,1.158,0,0,0,0,3.906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032,0,0,0,0,33.248,0,0,0,0,0,0,0,3.839,0,0,0.159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.394,0,0,0,0,0,76.943,0,1.164,0,0,0,0,1.606,0,0,0,0.017,0,0,0,0,0,10.814,0,0,0,0,0,0,4.367,0,145.128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARM",0,0,0,0,0,0,0,0,0,2.712,0,0,0,0,0,0,0.403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179,0,0,6.496,0,0.168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,13.077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.645,0,0,0,0,0,0,0,0,0,0,0,0.126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188,0,0,0,0,0,0,0,0,0,0,0,0,0,2.742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.904,0,0,0,0,0,0,0,0,0,0,8.288,0,0,0,0.521,0,0,0,0,0,0,0,0,0,0,0,122.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,2.262,0,0.367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.908,0,0,0,0,0,0,0,0,0,2.709,0,39.427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEL",247.844,37.978,1308.647,0,0.133,152.707,0,77.594,366.307,1674.735,3313.579,0,15.638,386.564,30.787,0,0,11.205,38.689,21.258,8.3,1712.89,0,0,0,384.738,0,6.274,45.584,38.47,42.885,422.908,0.212,0,127.468,0,388.065,3075.027,0,0,615.341,36.775,104.204,0,80.606,753.291,1.941,167.818,1494.724,2.887,2963.471,0,83.53,270.927,22.323,8.611,2.563,0,422.465,0,938.733,34608.239,6.554,24.355,58.221,0.465,24949.835,29,0.139,0,1502.716,0.536,0,0,96.638,2.798,0,88.506,1126.506,2603.861,29.102,145.978,3489.224,1216.114,1059.96,869.63,15482.336,20.233,0,365.459,767.962,163.289,116.033,0,881.466,93.687,0,0.198,96.307,0,296.266,4.72,65.04,490.274,2399.463,0,19.754,0,357.195,1.563,359.989,298.924,0.335,15.545,1886.551,86.569,77.068,0.343,0,139.354,0,2.328,134.438,186.563,49774.388,41.846,0,0,0,74.344,0,129.437,32.203,5.761,183.774,0,0,905.623,0,991.631,15.907,0,55.874,278.119,231.529,2529.272,1124.112,15.893,2260.569,2455.079,0.996,0,0,0,2.32,30.955,0,2.557,0,1251.809,55.387,153.017,0.827,2.492,1660.524,472.091,551.001,266.862,427.638,0,466.813,22.219,7168.293,0,46.075,302.934,0,3859.619,2091.939,10.015,0,362.028,0.203,0,35.474,377.068,158.746,1921.382,8.525,0,4.596,124.187,50.01,349.436,19972.584,30.43,7337.107,50.674,62.857,191.617,156.675,0,190.355,37.797,0,0,22.233,0,0,0,0,6.713,9.371,0.035,0,0,0,0,0,0,0,0
"BMU",0,0,0,0,0,3.48,0,0,0,0,0,13.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOL",0,0,0,0,0,0,0,0,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0.088,0.327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.688,0,0,0,15.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252,0,0,0,0,0,0,0,0,0,0,0.486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BIH",0,0,0,0,0,0,0,0,0,0,1.029,0,0,0,0,0,110.586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.388,0.645,0,0,0,0,0,0,0,24.585,0,0,1.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350.325,0,0,0,0,0,0,0,0,0,0,0,0,0.108,0,0,0,0,0,0,23.847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.515,0,0,0,0,0,0,0.059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.086,3.871,0,0,0,0,0,0,0,0,0,0,0.111,0,22.826,0,0,0,0,0,0,50.807,0,0,0,6.064,0,0,0,0,0,0.312,0,0,0,0,0,0,0,0,0,0,0,0,0,26.977,0,1.334,0,0.171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
