"AFG","ALB","DZA","ASM","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BMU","BOL","BIH","BWA","BRA","BLZ","VGB","BRN","BGR","MMR","BDI","BLR","KHM","CMR","CAN","CPV","CYM","LKA","TCD","CHL","CHN","CXR","CCK","COL","COG","COD","COK","CRI","HRV","CUB","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","GNQ","ETH","ERI","EST","FJI","FIN","FRA","PYF","GAB","GEO","GMB","DEU","GHA","GIB","KIR","GRC","GRL","GRD","GUM","GTM","GIN","GUY","HND","HKG","HUN","ISL","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LSO","LVA","LBR","LBY","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MNE","MSR","MAR","MOZ","OMN","NAM","NPL","NLD","CUW","ABW","SXM","BES","NCL","VUT","NZL","NIC","NER","NGA","NIU","NFK","NOR","FSM","PAK","PAN","PNG","PRY","PER","PHL","POL","PRT","QAT","ROU","RUS","RWA","SHN","KNA","AIA","LCA","SPM","VCT","SMR","STP","SAU","SEN","SRB","SYC","SLE","IND","SGP","SVK","VNM","SVN","SOM","ZAF","ZWE","ESP","SSD","SDN","SUR","SWZ","SWE","CHE","SYR","TJK","THA","TGO","TKL","TTO","ARE","TUN","TUR","TKM","TCA","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","WSM","YEM","ZMB","BTN","SLB","PSE","NRU","TLS","TON","BLM","FLK","ATF","GNB","DJI","HTI","COM","PLW","MHL","WLF","MNP","CAF"
"BWA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113,0,0.705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.222,1.908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRA",0,0,0,0,0,146.144,0,0,3410.914,47.712,6.502,0,1.329,0,0,0.825,150.754,0,2538.824,0.215,0,0,0.586,0,0,0.202,0,0,0,0,0,180.488,4.492,0,0,0,804.253,3391.546,0,0,639.496,6.98,0,0,168.075,1.058,8.145,0,18.861,0,3.079,0,113.998,478.639,73.085,20.644,0.346,0,9.541,0,0.054,655.335,0,0.751,0,0,655.776,0,0,0,0,0,0,0,37.193,0,113.336,75.415,5.737,5.018,0,38.917,2.559,2.551,0.164,7,19.299,0,0,198.986,0,0.201,14.339,0,250.93,33.876,0,0,0.225,0,0,0,0,0,0.22,0,0.202,0,12.182,0,0,0,0,0,940.898,267.359,0,0,0,1.738,10.505,0.059,10.675,0.55,134.598,0,0,0,0,3.375,0,12.625,5.03,0,18.517,0,0,0.246,0,17.185,163.056,0,696.471,593.76,0,5.053,40.27,0.522,33.548,7.75,0,0,0,0,0,0,0,0,0,0,0.332,1.213,0,0,196.557,227.656,0,4.774,0.246,0,27.634,1.052,49.43,0,10.575,2.073,0,1902.091,48.346,0,0,55.215,0,0,0.391,29.698,0.22,42.012,0,0,0,0,0,28.477,287.269,0.45,1145.169,0,378.159,0,410.342,0,0,0.146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLZ",0,0,0,0,0,1.684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023,0,0,0,0,0,0,0,0,0,0,0,0.592,0,0,0,0,0,0,0,6.278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VGB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,2.987,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRN",0,0,0,0,0,0,0,0,0,1.991,8.055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.667,0,0,0,0,0,0,0,0,0,0,0,0,0,21.418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.299,54.919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.521,0,0,0,0,0,0,0,0,0,0,0,0,1.92,0,48.995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGR",0.832,58.456,21.752,0,0.563,0,0,140.173,2.972,112.38,123.997,0,0,0,11.955,0,12.344,0,1.263,48.084,0,1.23,0.336,0,0,0,0,0,5.777,0,0,111.643,0,0,0,0,7.547,305.718,0,0,0,0,0,0,0,314.62,0,59.89,90.159,0,608.887,0,0,0.257,0,4.516,0.415,0,57.271,0,17.849,178.825,0,0,57.505,0,804.139,0,0,0,1285.09,0,0,0,0,9.945,0,5.908,19.791,297.516,0,9.007,0.415,0.641,0,28.63,1583.1,0,0,86.82,26.574,2.323,1.425,0,76.612,0,0,0,61.827,0,511.218,0,0,99.338,48.446,0,0,0,10.872,0,0,50.784,0,0,4.039,0.536,5.202,55.29,0,53.535,0,2.309,0,0,523.596,0,0,0,0,0,0,9.562,0,0,8.619,0,0,16.389,0,1.875,0,0,0,83.051,0,615.97,229.148,6.689,1741.005,119.082,0,0,0,0,0,0,0,0,0,10.787,0,315.761,21.405,0,185.351,32.536,553.155,0,164.517,0,8.537,0,666.489,0,0,0,0,36.255,86.968,0,0,235.337,0,0,16.488,43.721,0,75.175,0,0,0,0,184.879,0,899.887,0,320.058,0,8.945,35.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.34,0.039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.303,0,0,0,0,0,244.3,0,0,0,0,0,0,0,0,0,0,0.049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLR",0,0.1,0,0,0,0,0,5.7,0,1,0,0,0,0,201.7,0,12.1,0,0,0,0,2,0,0,0,4.009,0,0,0,0,0,0,0,0,0,0,2,1.659,0,0,0.4,0,0,0,0,0,0,0,51.5,0,0,0,0,0,0,0,0,0,0.039,0,0,426.2,0,0,0.1,0,0.118,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0.2,0.6,43.471,0,0,0,28,0,0,0,0.204,0,0.1,0,0,0,2.7,0,0,17.701,0,0,0,0,0,0,0,0,0,0.105,0.2,0.076,0.601,0,0,0,0,0,0,0,8.918,0,0,0,0,0,0,0.356,0,0,0,0,0,0.185,0,0,0,0,0,3.9,0.3,52.5,0,0,0,1357.5,0.4,0,0,0,0,0,0,0,0,60.559,0,0,0,0,0,6.381,1.404,0.4,0,0,0.048,0,0,0,0,0,0,34.3,0,0,0,0,0.5,0,0,5.032,0,5,1.3,0,0,15.1,0.1,0,0,0,0.301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KHM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.041,0,0,0,0,1.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045,0,0,0,0,0,0,0.158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CMR",0,0,0,0,0,0.478,0,0,0,0,2.309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.326,0,0,0,1.875,0,0,0,0,0,9.094,0,0,0,0,0,0,0,0,0.331,0,0,0,0,0,38.502,0,0,0,0.688,40.278,0,0,0,0,3.052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.482,0,0,0,0,0,0,0,0,0,0,0,4.458,0,1.586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,7.898,0,0,0,0.108,0,0,0,0,0,0,0.292,0,0,0,23.623,0,0,0,0,0,0.128,0,0,0,0,0,0,2.268,0,1.173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN",75.966,24.798,9.079,0,0,49.406,12.566,29.918,330.343,5136.12,330.001,0.055,185.954,14.314,0,3.145,859.544,4.691,38.112,14.268,0.673,5271.154,0,0,10.261,57.826,0,0,0,0,12.661,0,0,0.119,294.216,5.799,526.257,13049.025,0,0,521.531,163.896,14.355,0,299.827,24.161,78.159,0.397,173.965,0,140.822,0.019,2.752,184.078,7.706,0,48.599,0,716.279,0,570.232,4085.182,8.271,61.153,21.987,0,13776.215,6.606,0,0,132.1,0.105,0.128,0,156.367,132.121,2.004,86.347,2492.857,88.438,28.728,1447.272,0,166.673,129.993,1351.126,2054.518,99.483,38.036,3108.13,213.754,88.176,0,0,4968.777,858.632,0,0,79.556,0,281.4,0,41.21,276.682,232.02,0,8.732,33.604,1124.315,0.241,0,19.168,1.77,88.68,3437.472,119.729,7.05,0,0,15.827,12.09,80.489,0.458,0,1895.58,3.924,0,11.149,0,0.284,0,456.02,1.375,0,360.31,0,0,1075.898,0,779.961,168.007,0,20.444,288.139,792.75,405.614,77.821,472.401,57.745,8833.065,0,0,0,0,5.994,0.329,0.009,0,0,1963.29,3.617,95.82,132.86,0,4823.677,3319.629,62.098,235.377,44.03,0,587.431,0,384.714,0,0,0.055,0,1202.793,831.415,0,0,1569.952,0,0,53.865,1299.729,2.431,1866.221,0,0.288,1.041,0.568,1.042,46.598,15189.423,7.947,470715.151,1.075,35.941,0,0,0,38.49,3.405,0,0,13.359,0,0,0,0,0,0,0,0.076,0.095,0,0,0,0,0,0
"CPV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259.147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LKA",0,0,0,0,0,0,0,0,0,16.404,0,0,0,0,0,0,0,0,0,0,0,2461.094,0,0,0,0,0,0,0,0,0,1.117,0,0,0,0,0,18.657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39,6.424,0,0,0,0,11.842,0,0,0,0,0,0,0,0,0,0,0,14.61,0,0,0,0,0,0,30,0,0,0,37.684,0,15.663,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.574,0,0,0,0,0,0,0.157,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.219,0,0,0,0,2790.436,457.469,0,0,0,0,0,0,0.245,0,0,0,0,0,121.305,0,0,2.459,0,0,0,0,0,0,0,0,0,0,0,0,1.852,0,11.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHL",0,0,0,0,0,21.403,0,0,1338.971,0.999,5.748,0,0,0,0,0,5.955,0,3619.003,0,0,12.04,0,0,0,0,0,0,0,0,0,10.937,0,0,0,0,0,25.574,0,0,348.351,0,0,0,2.208,0,0,3.387,0,0,0,0,0.112,2.003,8.504,0,0,0,0,0,0,67.618,0,0,0,0,69.671,0,0,0,0,0,0,0,0.586,0,0.38,0,1.361,0.046,0,0,0,0,0.062,6.271,4.787,0,0,61.479,0,0,0,0,209.989,0,0,0,0,0,0,0,0,0.113,0,0,0,0,0,0,0,0,0,0,30.842,0,0,0,0,0,0,0,0,0,0.122,0,0,0,0,0,0,13.837,0,0,0,0,0,13.068,0,18.678,129.333,0,1068.159,1510.095,0,1.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.744,0,82.862,0,0,0,0,5.519,0.276,0,0,6.703,0,0,0.032,0,0,0.996,0,0,0,0,0,0,417.292,0,602.466,0,4.452,0,92.513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN",326.947,513.21,15743.7,0,242.937,13702.162,309.578,319.624,50786.249,161189.685,42756.284,17.553,1677.286,14685.202,300.98,76.055,61454.12,47.163,2656.748,2025.276,8.445,172258.969,25.488,3.14,1428.191,12073.549,8172.41,15.895,1402.167,3192.019,2024.778,170150.271,36.679,4.309,3930.147,4538.345,33426.542,0,0,0,46198.662,880.455,3750.082,0,3157.954,2255.013,3256.026,2091.645,66424.593,417.797,26093.687,15.663,3309.171,13727.728,2172.808,1664.645,10385.997,169.026,3207.908,121.198,25705.148,224074.097,365.435,290.758,1032.455,149.978,478727.146,6526.122,74.039,6.325,16505.926,2.226,13.366,0,5054.734,707.966,302.709,2332.777,997273.744,26963.505,659.129,79119.395,33141.243,27174.678,8441.367,22974.49,216706.95,2833.363,2083.803,669740.316,9273.603,4982.006,3825.095,1548.975,114189.469,4379.455,358.92,1162.448,3369.927,4.554,2452.813,38.309,2238.377,5190.73,1206.907,2925.992,341.903,28.622,63917.206,151.462,62.397,1670.818,275.259,822.231,195291.848,982.318,1495.055,444.243,0,10013.983,1619.144,958.822,134.26,838.37,190063.983,62.94,11.949,0,0,674.914,10.393,20667.459,1157.339,572.126,34738.851,0,0,25636.972,0.046,21522.601,7072.163,354.64,8201.534,19964.808,20899.42,109733.571,18416.175,1773.059,10874.565,85735.874,263.682,0,94.48,0,104.834,0,42.583,0,0.01,18963.32,1279.857,2856.651,11.417,124.919,117492.92,56505.1,25634.943,105287.602,7261.3,52.635,49114.959,558.283,297286.339,2.156,3501.278,113.454,5.7,112146.444,47900.64,3080.977,233.627,207786.935,1573.797,0,999.828,55981.542,3302.897,85554.444,851.508,5,1044.622,7697.583,1255.135,17220.263,181408.19,3204.277,2011558.416,46.282,6596.556,858.848,14185.963,1077.554,1361.639,530.565,0,0.6,346.783,3.74,83.896,2.949,0,0,0,6.165,445.921,242.139,60.654,4.279,0,0,0,0
"CXR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COL",0,0,0,0,0,0,0,0,21.191,0,6.247,0,0,0,0,0,0.019,0,10.024,0,0,23.848,0.048,0,0,0,0,0,0,0,0,0.09,0,0,0,0,5.438,0.284,0,0,0,0,0,0,81.689,0,0,0,0.732,0,0.978,0,22.146,317.267,99.279,0,0,0,0,0,0,3.329,0,0,0,0,7.37,12.6,0,0,0,0,0,0,8.822,0,0.09,1.01,163.526,0,0,0,0,0,0,1,20.893,0,142.525,0,0,0,0,0,5.777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.238,0,0,0,0,0,0,0,1.593,0,33.697,0,0,0,0,0,0,19.247,4.871,0,0,0,0,1.286,0,8.908,101.618,0,10.071,146.747,0,0.318,0,0,0,8.168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.144,0,0,0,0,0,4.4,0,29.121,0,0,0,0,0.358,0,0,0,1.095,0,0,0,4.634,0,12.42,0,0,0,0,0,0,16.411,0,106.051,0,0,0,186.631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG",0,0,0,0,0,5.097,0,0,0,2.158,0,0,0,0,0,0,1.604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096,0,0,0,0,0,0,0,0,0,0,0,0,1.162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.992,0,0,0,66.422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.265,0,0,0,0,0,0,0,0,0,0,0.132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CRI",0,0,0,0,0,0,0,0,0,1.028,0,0,0,0,0,4.62,0,0,0,0,0,5.48,0,0,0,2.33,0,0,0,0,0,4.534,0,0,0,0,0.481,2.554,0,0,3.581,0,0,0,0,0,0.863,0,0,0,0,0,3.376,3.021,10.105,0,0,0,0,0,4.118,0.566,0,0,0,0,5.211,0,0,0,0,0,0,0,29.712,0,0,24.559,0,0,0,0,0,0,0,40.488,5.143,0,0.845,6.574,0,0,0,0,561.47,0,0,0,0,0,0,0,0,0,0,0,0,0,23.907,0,0,0,0,0,11.344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.2,0,0,0,0,0,0,0,20.192,0,0,17.251,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.952,0.858,0,2.3,0,0,0,0,0.331,0,0,0,0,0,0,0,0,388.526,0,0,1.573,0,0,0.657,0,0,0,0,0,0,1.455,0,2547.532,0,0,0,0.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
