"DZA","ARG","AUS","AUT","BHR","BEL","BRA","BGR","CAN","CHL","CHN","CYP","CZE","DNK","DMA","ECU","EST","FIN","FRA","DEU","HKG","IDN","IRL","ISR","ITA","JPN","JOR","PRK","KOR","LUX","MDG","MYS","MEX","NAM","NLD","NZL","NOR","PAK","PHL","POL","PRT","ROU","RUS","SAU","IND","SGP","SVK","ZAF","ESP","SWE","CHE","THA","TTO","ARE","TUR","UKR","GBR","USA","VEN","FJI","MUS","PNG","SVN","QAT","MLT","URY","PRY","IRN","KGZ","VNM","SCG","BLR","ISL","CMR","PYF","GHA","TUN","UGA","BGD","GMB","HRV","GRC","ALB","BEN","SYC","LKA","AGO","LVA","KEN","KAZ","LTU","UZB","KWT","NPL","NGA","BRN","MMR","BWA","MOZ","ZWE","SWZ","TZA","ZMB","MAR","HUN","LBN","OMN","JAM","AZE","BHS","BRB","BLZ","COL","CRI","DOM","SLV","GEO","GTM","HND","NER","PER","LCA","EGY"
"CHN",0,0,422.455,0,80.378,0,0,0,118.81,0,0,0,41.997,0,0,0,0,0,76.283,55.157,95.087,0.051,0,0,259.058,23157.193,0,0,540.015,0,0,3.032,0,0,0,2909.725,378.378,0.315,2.23,0,0,0,30.899,0,9478.687,0,0,0,248.782,0,0.269,29.503,0,0,61.6,133.86,228.561,608.682,0,0,0,0,0,0,0.553,0,0,37.751,95,0.7,75.474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.629,17.115,0,0,0,0,12.795,486.182,0,0,0,0,0,0,0,0,0,0,205.393,0,0,0,0,0,3.877,0,21.859,0,75.929,0,0,0,53.717,0,0,0,0,25.09,0,31.609,0,0,0,0,0,0,0,0,0,0,0,0,0,17.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNK",0,0,624.467,0,0,0,0,0,0,0,3.073,0,14.652,0,0,0,0,0,6.606,1,0,0,0,0,0,289.782,0,0,0,0,0,0,0,0,0,0.7,1369.18,0,0,0,0,0,130.72,0,0,0,0,36.727,0,89.542,0,0,0,0,0,0,0,967.429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ECU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EST",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FIN",0,0,0,0,0,0,0,0,0,0,0,0,0.093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.612,0,0,0,0,0,0,34.003,8.551,0,0,0,0,0,0,161.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRA",0,0,0,7.553,0,91.576,0,0,22.041,0,0.944,0,0,0,0,0,0,1.602,0,34.88,0,0.209,0,5.915,2.649,2012.842,0,0,3.367,0,1.288,0,3.776,0,16.049,0,24.533,0,0,0,0,0,0,0,391.538,2.356,0,0,25.507,0,1.793,0,0,0,0,0,0.944,36.819,30.07,0,0.748,0,0,0,0,0,0,0,0,0,0,2.832,0,45.172,8.389,3.776,0.944,0.694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEU",3.052,0,8.408,23.613,5.875,0.491,0,341.692,20.906,0,4384.702,0,1632.13,0,0,0,0,213.693,136.831,0,0,11.119,92.923,1,131.171,28461.932,0,0,76.248,0,0,0,0,0,58.548,0,4314.181,0,0,210,0,0,5577.69,30.933,14.801,10566.322,0,29.466,0,688.825,144.251,0,0,0,0.649,2234.77,0,45135.442,0,0,0,0,2.512,13.612,0,0,0,0,0,0,0.009,0,0,2.775,0,0,0,0,0.015,0.671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
