"AFG","ALB","DZA","ASM","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BIH","BWA","BRA","BLZ","VGB","BRN","BGR","MMR","BLR","KHM","CMR","CAN","CAF","LKA","CHL","CHN","COL","MYT","COD","CRI","HRV","CUB","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","ETH","EST","FJI","FIN","FRA","PYF","ATF","GEO","GMB","DEU","GHA","GRC","GRD","GUM","GTM","GIN","GUY","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LVA","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MNE","MSR","MAR","MOZ","OMN","NAM","NPL","NLD","ABW","NCL","VUT","NZL","NIC","NER","NGA","NFK","NOR","MHL","PAK","PAN","PNG","PER","PHL","PCN","POL","PRT","TLS","QAT","ROU","RUS","LCA","SMR","STP","SAU","SEN","SRB","SYC","SLE","IND","SGP","SVK","VNM","SVN","ZAF","ZWE","ESP","SUR","SWZ","SWE","CHE","SYR","TJK","THA","TGO","TTO","ARE","TUN","TUR","TCA","TUV","UGA","UKR","MKD","EGY","GBR","TZA","USA","URY","UZB","VEN","ZMB","BDI","VCT","BOL","PRY","COK","KIR","LBY","ANT","WSM","YEM","IRQ","SDN","TCD","COG","GAB","RWA","BFA","GNQ","SPM","BMU","BTN","SLB","COM","ERI","DJI","PSE","LBR","PLW","TKM","GIB","GRL","TON","FSM","CPV","GNB","WLF","LSO","NIU","SOM","SHN","KNA","CYM"
"BLZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,639.696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VGB",0,0,0,0,0,0,0,0,0,0,12.255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490.344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGR",0,0.236,0,0,0,0,0,0,0,0,0.206,0,0,0,0.395,0,640.315,1.096,0,1.361,0,0,0,0,0,3.6,0,0,0.154,0,0,0,19.292,0,0,0,0,0.137,0,0,2.018,0,120.782,0,0,0,0,0,0,0,0,657.678,0,0,0,0,7408.103,0,2918.316,0,0,0,0,0,0,0,0.379,0,0,0,0,0,0,722.311,0,0,0.597,0.016,0,0,0,0,0,0,0,0,0,0,130.007,0,0,0,373.053,0,0,1.09,0,0,2.752,0,0.437,0,0,0,0,0,0,0,1421.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.817,2776.465,0,0,81.096,0,0,0,0,0,0,93.839,0,0,0,0,0,0,0,0,0,964.964,0,0,0.616,1.028,0,0,0,0,0,0,0,19.535,0,0,0,0.191,22.559,0,0.814,0,264.263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMR",0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,4.927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLR",0,0,2.324,0,0,0,0,3.062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.7,0,0,0,0,0,0,0,0.035,0,0,0,0,0,0,0,0,0,0,9.8,0,0,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.57,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0.029,0,0.007,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KHM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CMR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.472,0,0,0,0,0,0,0,0,2.579,0,0,0,37.454,0,0,0,0,0,0,0,0,0,43.382,0,0,0,0,0,0,0,3.077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094,0,0,0,0,0,0,0,0,0,29.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN",0,0,6.626,0,0,21.9,0,0,10.091,442.166,355.532,28.203,0,133.87,0,1.404,16092.652,10.276,0,138.129,0,0,0,0.986,0,0.1,0,1.112,0,0,5.575,141.282,3157.471,13.119,0,1073.932,78.622,4.541,2.938,1.475,45.248,0,42.513,0,96.214,20.601,388.787,1.217,3.275,0,723.927,863.483,0,55.616,0,0,67161.278,2.662,142.504,0,0,22.282,0,0.009,0,0.933,529.307,5.367,1.341,10.45,0,42.486,1019.286,3292.843,0,0.318,1520.53,9.765,58.84,1.759,0,1303.146,0.132,0.03,0,0,2.308,5.691,35.914,0,1.633,0,550.433,0,0.32,0,21.576,0,1599.28,0,2.454,0,0,0.211,0.423,2.988,0,0,105.03,0,7.085,0,15.184,0,0,0,0,43.554,0,7.022,0,8.213,4.068,5525.51,0,283.399,22.199,0,0.845,5.709,27.898,0,0,0,17.118,0.732,10.059,0,0,222.097,125.131,6.369,203.993,11.733,397.196,0,11354.01,0,0,1067.364,1517.803,0,0,49.689,0,0.692,86.91,16.909,41.326,0,0,19.886,19.124,0,28.572,7148.594,11.037,45717.772,2.714,0,13.837,0,0,0.501,2.945,0,0,3.776,135.234,0,0,17.394,0,0,0,0,0.048,0,7.731,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LKA",0,0,0,0,0,0,0,0,0,0,0.046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.848,1.874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.883,0,0,0,0,5.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.609,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.677,0,0,0,0,0,0,0,0,0,0,33.262,0,0,0,0,0,0.727,0,0,0,0,0,0,0,0,0,0,4.458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHL",0,0,0,0,0,0,0,0,5.358,0,0,0,0,0,0,0,1.348,0,0,0.944,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0,0,0.002,0,0,0,0,0,0,0,0,0.64,0,0,0,0,0,7.945,0,0,0,0,4.159,0,0,0,0,0,0,0,0,23.284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.691,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145,0,0,0,0,0,0,0,0.057,0,13.827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.381,0,2.212,0,0,0.556,0,0,0,4.302,3.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN",1291.643,63.308,1353.532,0,0,2838.489,86.678,0.342,3273.471,66833.335,13731.39,0.613,5.683,2433.193,2.208,1.151,403690.03,368.187,277.009,19850.932,2.788,0,1.816,3219.074,159.303,828.913,35.433,91.701,31847.497,0,31.128,2129.644,0,2199.696,0.45,740.31,58.828,4049.201,1148.783,4422.007,46644.363,77.107,4090.133,6.339,301.757,310.648,23.979,259.117,498.206,23.869,2843.035,185402.208,10.054,0,68.242,100.279,3228439.794,238.639,7010.094,0.114,0,78.259,543.663,1835.849,52.545,349.289,825679.256,13470.575,60.164,9097.942,1851.445,1143.511,5429.34,566664.839,38.513,127.312,351113.28,574.697,505.586,2055.533,31.983,569294.73,108.403,11.345,370.727,438.301,405.454,940.903,2761.731,2519.144,191.977,133.463,24919.919,30.587,895.12,132.869,166.976,16.467,18785.864,948.156,28.148,3.965,0,769.119,455.37,158.638,242.931,291.52,449350.653,10.834,122.218,31.442,1039.799,743.217,62.894,7964.239,0,430.541,0,2116.889,558.769,66.959,726.117,3694.714,0,8299.047,81570.083,0,54.237,3248.239,6956.872,6.049,3.539,0,14456.715,327.186,572.671,0,10.954,23810.175,57775.895,871.608,1874.387,3551.142,8581.939,135.506,4267781.091,0,0.165,4093.264,4135.253,140.906,0,15925.092,39.034,73.087,11991.657,444.304,11229.74,0,0,1736.184,1417.661,76.366,518.138,31569.743,760.699,374592.106,218.978,126.355,615.16,38.006,0,3.478,39.941,101.556,0,15.933,21.3,0,109.032,11.495,2451.886,288.063,1.7,30.858,86.48,2.984,117.8,0,0,28.55,7.018,114.666,203.715,2.808,1.087,1.605,29.446,2.344,18.028,0,0,0,0,0,0,0,0,0,0,0,0,0
"COL",0,0,0,0,0,0,0,0,0.091,0,0,0,0,0,0,0,0,0,0,0.064,0,0,0,0,0,0,0,0,0,0,0,0.018,0,0,0,0,99.548,0,0,0,0,0,0,0,1.226,0.02,1.958,0,0,0,0,0,0,0,0,0,7.566,0,0,0,0,0.463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054,0,0.539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.155,3.099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.826,0,0,54.796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MYT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CRI",0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.472,0,0,0,100.013,0.004,0,0,0,0,0,0,0.062,0,0,0,0.252,0,2.545,0,0,0,0,1.473,0,0,0,0,1.796,0,0,0,0,2.383,0,0,0,1.012,16.92,1,0,0,0,0,0,0,0,10.791,37.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.346,0.278,0,0,0,0,0,0,0.654,0,1.543,0,0,0,0,0,0,1.777,0.016,0,0,0,0,0,0,0,0,0,3.419,0,0,0,0.01,0,0,0,0,0,0.901,0,0,21.303,0,0,0,0,0,0,0,0,0,0,0,0,0,6.576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HRV",0,0,0,0,0,0,0,0,0.327,0,80.246,0,0,0,0,0,0,49.097,0,0,0,0,0,0,0,0.145,0,0,0,0,0,0,74.554,0,0,0,0,0,0,0,0.983,0,134.05,0,0,0,0,0,1.068,0,0,95.632,0,0,0,0,62.421,6.976,0,0,0,0,0,0,0,0,0,97.082,0,0,0,652.622,0,78884.055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022,0,0,7.679,0,0,0,0,0,0,4.42,0,0,0,51.081,0,0,0,0,0,0,0,0,0,0,0,0,0.176,0,0,0,1.919,0,0,0,0,0,0,121.079,0,0,0,7.099,0.59,0,37.079,106.031,0,24.367,0,0,0.32,84.437,0,0,0,0,0,2.465,0,12.138,0,0,0,0,13.308,0,4.573,4.564,152.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CUB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,993.835,0,0,0,1984.044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP",0,0,0,0,0,0,0,0,0,0,23.333,0,0,0,0,0,0,0.68,0,0,0,0,0,16.284,0,0,0,0,0,0,0,0,0,0,0,0,0.847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59207.703,0,3681.887,0,0,0,0,0,0,0,0,0,0.765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.746,45.23,0,0,0,0,0,0.214,0,0,0,0,0,0,0,14.739,0,26256.027,0,0,0,0.982,0,0,0,0,0,0,0,1.927,0,0,3.461,0,0,0,0,0,16.28,0,0,0,6.466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZE",0,0,0,0,0,0,0,1.698,0.15,575.581,1670.327,0,0,0,0.539,0,58591.103,13.554,0,42.102,0,0,0,53.769,0,30.753,0,0,39.411,0,0,0,174.533,12.916,0,7.334,1.458,105.386,0,0,0,0,5.377,0,0,0,0.721,0,123.663,0,41.594,1320.247,0,0,7.307,0,657380.244,0,0.833,0,0,0,0,0,0,0,152.957,1691.022,1.472,0.127,0,5.691,95.499,6312.837,0,0,1390.937,1.327,0,0,0,2033.382,0,0,0,0,7.506,23.191,0.034,0,0,0,53.66,0,0,0,0,0.734,4.042,1.809,0.487,0,0,0,0,0,0,0,782.281,0,0,0,0.198,0,0,7.085,0,79.035,0,0.802,0,0,2.835,0.886,0,988.061,46.558,0,0,54.929,248.156,0,0,0,0,0,72.069,3.088,0,9.724,7.353,2768.954,109.528,54.294,21.895,0,3190.103,0,0,7.074,202.555,2.336,0,1.28,0,0,0.287,0.282,19.11,0,0,0,145.457,3.392,1.03,852.613,0,148.892,0,0,0.145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNK",0,0,23.886,0,0,13.837,0,0,4.678,185.333,1237.71,0,0,21.233,0.084,0,510.466,1.796,0,25.153,0,0,0.443,0.454,0,76.2,17.704,0,551.476,16.25,0,40.722,308.468,6.273,0,0,0,6.028,0,0,43.567,0,0,0,0,0.291,2.971,0,6.465,0,1770.713,295.97,0,0,0,0.539,10187.151,0,4.545,0,0,0,27.331,0,0,0,791.715,1272.356,251.175,0.083,0,7.16,13.754,792.479,0,8.382,11.124,0.683,55.722,52.851,72.171,134.347,1.872,0,0,320.334,0.418,78.061,1.03,0,0,0,13.874,0.336,0,403.727,0,4.055,33.487,0,0,0,0,13.219,31.771,0,0,41.511,12938.66,0,0,0,28.114,0.85,0,0,0,315.715,0,0.81,9.33,0,0.325,0,0,676.381,6.376,0,17.674,1.437,6.364,0,0,0,33.257,0,17.874,0,8.022,109.049,25.395,1.201,0.255,4.663,14.461,9.225,1418.673,0,0,4870.809,190.594,0,0,72.578,0,1.741,107.572,11.931,72.435,0,0,11.442,1.765,0,0,2489.521,13.837,1562.096,2.475,0,75.318,0,0,0,0,0.16,0,0,0,0,0,0,0,41.511,0,0,0,9.225,3.214,0,0,0,0,0,0,0,0,0,0,0,0,1.462,14.724,0,0,0,0,0,0,0,0,0,0,0
"DMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM",0,0,0,0,0,0,0,0,5.383,30.485,2.686,0,0,0,0,0,0,0,0,0,0,0,0,1.021,0,0,0,0,172.793,0,0,0,3.225,0,0,0,63.644,2.12,0,0,2.818,0,0,0,0,0,0,0,0,0,0,7.367,0,0,0,0,4.906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0,0,0,0,0,0,0,0,0,5.936,0,0,0,0,0,0,0,0,0,0,15.668,0,0,0,0,0,750.117,0,0,0,0,0,0,0,0,0,527.508,0,0,0,0,1.658,0,0,0,0,0,0,0,0,0.03,0,0,10.159,0,0,0,0,0.436,0,0,0,0,0,0,0,0,0,6.65,0.597,0,2.738,4.008,0,39.747,0,0,0,0,0,0,0,0,0,0,0,0.613,0,0,0,0,0,0,0,0,24.9,0,0,0,0,0,0,0.164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ECU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.629,0,6.341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.951,0,0,11.559,0,0,0,0,0,0,0,0,0,0,0,0,0,0.416,0,0,0.055,0,0,0,0,0,0,0,0,0,0,0,0,407.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
