"AFG","ALB","DZA","AND","ATG","ARG","AUS","AUT","BHS","BGD","ARM","BRB","BEL","BOL","BIH","BWA","BRA","VGB","BRN","BGR","MMR","BLR","KHM","CMR","CAN","CPV","LKA","CHL","CHN","COL","COM","COD","CRI","HRV","CUB","CYP","CZE","DNK","DMA","DOM","ECU","SLV","ETH","ERI","EST","FIN","FRA","GAB","GEO","DEU","GRC","GTM","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LVA","LTU","LUX","MAC","MWI","MYS","MDV","MLI","MLT","MUS","MEX","MNG","MSR","MAR","MOZ","OMN","NAM","NRU","NLD","ANT","NCL","NZL","NIC","NER","NOR","MHL","PLW","PAK","PAN","PNG","PRY","PER","PHL","PCN","POL","PRT","QAT","ROU","RUS","RWA","AIA","LCA","STP","SAU","SEN","SYC","SLE","IND","SGP","SVK","VNM","SVN","SOM","ZAF","ZWE","ESP","SWZ","SWE","CHE","SYR","TJK","THA","TGO","TTO","ARE","TUN","TUR","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","SCG","ZMB","ASM","SLB","COK","FJI","PYF","GMB","GHA","KIR","GUM","GIN","MRT","NPL","VUT","FSM","TLS","TON","YEM","BEN","MDA","BDI","IRQ","MDG","NGA","AGO","AZE","MYT","GUY","COG","BHR","GRL","BLZ","CAF","LBR","LBY","SDN","TCD","GNQ","DJI","GNB","SPM","ATF","PSE","GIB","GRD","VCT","SUR","TKL","WSM","BMU","KNA","NIU","BTN","TKM","TCA","LSO","SHN"
"MMR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058,0,0,0,12.3,0,0,0,0,1.8,0,0,6.946,0,0,0,0,0,0,0,0,0,2.1,0,0,20,0,0,0,0,6.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,26.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.947,0,0,0,0,0,16.5,0,0,0,0,0,0,0,0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KHM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CMR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01,8.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN",0.001,0,2.573,6.119,0,6.736,406.941,44.804,11.126,0,0,3.876,21.021,3.254,0,0,22.461,0,0,1.413,0,71.8,0,1.992,0,0,0,31.382,861.262,0.808,0,0,10.219,20.663,14.277,0.066,8.545,3.354,0,0,6.767,5.773,0,0,10.821,254.636,324.082,0,0,2002.008,0.825,0,0,0,1560.927,7.336,0.473,11.541,218.868,806.509,190.392,186.569,0,4.926,1320.734,8.4,0,0,0,331.171,0,0,0,0,2.76,2.96,2.041,0,0,6.351,0,0,1.721,0,1234.255,0,0,0,0,0,0,0,29.412,0,0,9.356,0,0,27.389,0,0,18.714,0,19.864,0,0.24,2288.272,0,0,2.509,0,3.535,89.866,0,0,0,0,0,0,0,0,55.99,75.326,0,0,35.04,0,164.334,0,48.375,4.117,452.151,356.579,0,0,281.932,13.794,3.319,0,0,12.912,0.6,11.91,0,0,32364.896,0,38184.292,0,0.16,0,0,0,0.308,0,0,0,7.152,0.262,0,0.903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.858,0,2.959,10.135,0.103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CPV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LKA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,2.973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.737,0,0,0,10.104,0,0,0,0,0,0,0,0.103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHL",0,0,0,0,0,0,0,0,0,0,0,0,0,2.34,0,0,0.177,0,0,0,0,0,0,0,1.361,0,0,0,0,0.615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.543,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.396,0,0.542,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN",0,1.104,5.569,0.702,0,253.162,1048.625,126.561,0,1.035,0,0,329.615,6.587,0.4,0,3037.493,0,0,212.904,2.954,87.256,9.466,0.037,4438.677,0.267,12.466,54.421,0,96.103,0,0,2.297,60.933,14.23,12.737,1717.357,236.382,19.038,7.234,10.192,13.518,0.5,0,16.436,336.747,1798.742,0.048,0,24996.887,69.21,11.217,0,1.039,208129.164,142736.453,1.936,344.284,370.907,840.517,183.73,4292.042,0,2.797,26510.971,1.79,2.113,196.104,0,9353.899,1.42,0,421.395,10.037,50.292,149.91,48.605,114.388,1.785,8799.89,0.074,0,8.485,4.421,14231.298,0,0,109.287,1.15,0,5.212,0,2649.8,0,0.329,473.304,0.364,0,223.601,0,0,14.033,1.214,0,0.005,27.957,727.773,0,300.633,37.747,0,468.591,673.175,0,0,0,0,44.801,3.888,0,0,1462.945,11979.687,187.229,29.005,263.489,0,4482.643,0,2029.303,0,148.984,156.115,59.935,0,3741.755,0,6.326,131.993,17.713,915.249,7.655,106.555,3.381,30.189,2903.639,9.354,59665.09,0,12.39,0,0.36,0,0,0,0,0,11.242,4.604,0,0.352,0,0,0,0,24.89,0,0,0,0,2.537,0,0.065,0,0,0,7.223,1.5,0,0,0.559,2.605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.503,0,0,0,0,0,0,0,0.027,17.262,0,0,0,0,0,0,0,0,0,0.072,0,8.257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196,0,0,0,0.073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COM",0,0,0,0,0,0,0,0,0,0,0,0,8.696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.131,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CRI",0,0,0,0,0,0,0.405,0,0,0,0,0.209,0,0,0,0,0,0,0,0,0,0,0,0,32.267,0,0,0,1.117,0,0,0,0,0,0,0,0,0,0,0,0,1.838,0,0,0,0,0,0,0,0,0,1.072,0,0,0,0,0,0,0,0,0,0,0,0.602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.213,0,0,0,0,18.246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,786.294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HRV",0,0,0,0,0,0,0,89.698,0,0,0,0,0.583,0,38.998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.793,0,0,0,0,0,0,0,0,138.372,0,0,51.755,0,0,0,0,0,0,0,0,0,0,0,2325.458,0,0,0,0,0,259.638,0,0,0,0,0,0,0,0,0,0,0,0.294,0,101.397,0,0,0,0,0,77.36,0,0,0,0,31.006,0,0,45.288,0,0,0.186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.17,0,0,0,5.264,0,0,9.924,0,0,0,0,0,0,0.185,0,0,0,0.011,0,21.361,0,0,0,0,0,0,14.814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CUB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221.644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.309,0,0,0,0,0,0,0,0,0,0,0,2107.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323.542,0,0,0.321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZE",0,0,0.679,0,0,0.024,5.282,569.424,0,0.279,0.065,0,2.56,0,3.375,0,0.512,0,0,11.789,0,1.71,0,0,120.919,0,0,0,2.523,24.567,0,0,0.746,1.714,0,0,0,11.876,0,0,0.049,2.34,0,0,9.351,5.186,32.123,0,0.071,4534.641,0.856,0,0,0,4.024,10.606,0,0,0,0,5.498,80.058,0,0,148.677,0.354,0,47.289,0,0.258,0,0,0,0,5.058,10.945,0.187,0,0,0.044,0,0,0,0,2.158,0,0,0,0,0,0,0,15.978,0,0,2.115,0,0,6.135,0,0,0,0,0,0,0,0,0,10.539,0.51,0,2.059,44.512,0,0,0,0,0,0,0,0,0,217.572,334.427,0,10.788,0,0,0,10.047,0,146.147,32.849,0,0,0,0,0,0.057,0.114,0.28,0,28.177,0.756,0,10.739,0,729.869,0,0,0,1.719,4.157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNK",0,0,1.822,0,0,4.721,41.1,1281.592,0,0,0,0,268.936,0,0.236,0,13.363,0,0,0,0,1.7,0,0,371.717,0,0.494,33.292,30.3,0.37,0,0,0,29.145,0.352,2.582,108.934,0,0,1.2,0,2.284,0,10.144,6.592,1089.792,1100.035,0,0,3421.455,125.64,0,0,0,263.918,19.984,39.284,0,0,14.304,77.66,629.408,0.802,0,35.61,0,0.411,0,0,16.797,0,0,0,6.651,0.357,5.664,0,0,0,7.591,0,0,25.23,0,29.37,0,0,0,0,0,0,0,253.084,0,0,0.806,0,0,354.816,0,0,0,0,0,0,0.818,2.426,0,54,18.325,0,7.59,6.943,0,0,0,0,0.318,5.06,0,6.912,3.454,44.484,7.261,0,2.113,12.088,57.238,0,2409.777,0,1500.048,363.279,0,0,49.165,0,0,0.341,6.553,68.033,50.636,67.28,0,4.352,418.216,9.084,1203.364,0,0.274,0,0.856,0.384,11.793,0,0,0,0,0,0,1.918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184,2.359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM",0,0,0,0,0,0,0,0.931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.637,0,0,0,0,0,0,0,0,0,0.864,0,0,0,0,0,0,0,0,0,0,0,3.393,0,0,12,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0.163,0,5.399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4009.098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ECU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.632,0,0,0,0.147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLV",0,0,0,0,0,0,1.597,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232,0,1.095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.503,0,0,0,0,0,0,0,0,0,0,0.879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ETH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321.241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EST",0,0,0,0,0,0,0,5.751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026,1.54,0.29,0,0,0,0,0,0,0,3080.796,2.262,0,0,0.218,0,0,0,0,111.697,92.42,0,0,0,0,0,0,0,0,374.469,0,0,0,0,1116.969,0,0,0,0,6.648,0.115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,6.372,0,0,0,0,0,0,0,0,0,3.893,0,0,0,10.531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.107,0,0,0,0,0,0,0,0,0,0,3.66,0,0,0.478,0,35.897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FIN",1.495,0,0,0,0,0.015,17.768,8.077,0,0,0,0.257,1.252,0,0,0,72.616,0,0,0.361,0,0.1,0,0,25.28,0,52.527,2.18,90.758,0,0,0,0,0,0,0.378,1.51,140.078,0,0,0,0,12.781,0,814.273,0,368.44,0,0,838.097,141.145,2.57,0,0,125.802,73.968,3.353,0,0,2.87,1.698,5.685,0.857,0,35.811,0.563,7.473,8.51,0,81.452,0,0,0,0.007,18.491,1.537,0,0,0,21.243,0,0,0,0,2.902,0,0,12.021,0,0,0,0,85.857,0,0,1.132,0,19.506,59.739,0,0,5.322,0,0,0,0.011,6.552,0,84.624,1.468,0,0.96,641.053,0,0,0,0,0,1.495,0,0,1.241,2.653,1.384,0,1.312,0,2.218,0,3.489,0,557.474,41.794,0.351,0,6.717,0,0,121.1,0,0.026,24.724,7.772,0.021,0,84.673,90.997,212.296,0,0,0,0,0,0,0,0,0,0,0,1.407,0,0,0,0,0,0,0,0,0,0,0,0,0,6.685,0,0,0,0,0.182,0,0,1.495,0,0,0,22.419,1.495,2446.302,285.635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRA",0,19.242,6136.957,1.979,0,14.122,121.009,717.42,0,0,0,0,529.712,0,0.116,3.592,480.533,0,0,19.536,0,29,473.772,33.221,387.311,27.288,6.548,5.659,802.513,21.198,0,79.23,21.842,18.686,0,104.907,111.482,207.636,0,278.901,23.709,3.577,511.602,0,4.685,7185.864,0,98.421,48.67,30252.414,101.868,33.956,0,26.134,776.05,163.856,20.012,11.319,10.187,824.65,1998.528,6082.241,22.093,1.991,1880.039,4.6,0,1003.109,11.319,221.087,0,0,0,22.637,37.401,1.135,2.264,0,27.165,101.127,0.013,570.534,0,5.83,353.875,0,0,2004.608,6.791,73.571,0,0,16407.36,0,694.265,16.543,7.747,25.298,57.687,0,0,0,0.304,0,0.376,0.86,37.99,0,34.312,1631.548,0,68.639,92.965,6.791,0,0,0,35.088,572.433,0,3.396,576.021,63.044,65.749,17.375,154.591,0,621.655,0,4823.971,0,1320.722,1185.731,5.659,0,21.714,477.646,3.396,48.67,79.021,7.923,24.701,6.791,0,45.274,2293.357,97.401,8606.959,393.944,0.43,0,23.804,0,132.185,0,0,0,0,363.056,159.396,34.915,50.934,0,82.626,413.925,81.779,0,0,0,0,0,26.104,0.397,0,0,215.58,14.714,3.396,0,1.597,0,0,0,0,0,2.941,0,81.494,1096.775,43.011,10.187,1.132,5.659,4.527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
