"AUS","AUT","BHR","BEL","BTN","BIH","BRA","BGR","BLR","CAN","CHN","HRV","CYP","CZE","DNK","FIN","FRA","DEU","GRC","HKG","HUN","IDN","IRL","ISR","ITA","JPN","KAZ","JOR","KOR","LVA","LTU","LUX","MYS","MEX","MOZ","NAM","NRU","NLD","NZL","NOR","MNP","PAK","PRY","PHL","POL","PRT","ROU","RUS","SAU","IND","SGP","SVK","VNM","SVN","ZAF","ESP","SWE","CHE","THA","TTO","ARE","TUR","UKR","EGY","GBR","USA","QAT","NGA","IRQ","ECU","LKA","DZA","BHS","BWA","SLB","MMR","KHM","CHL","COL","ETH","IRN","KGZ","MUS","MAR","OMN","NPL","SRB","UZB","WSM","EST","MDV","MLI","SYC","CRI","MLT","SDN","URY","ZMB","BGD","TLS","GHA","MDG","TUN","MAC","SWZ","PLW","KWT","NIC","AGO","COM","ISL","BRN","COD","KEN","LSO","MWI","CUB","PER","LAO","GRD","TCD","SEN","UGA","TZA","ZWE","LBY","ATG","ARG","BRB","IOT","CYM","DOM","GEO","GTM","HND","CIV","NER","PAN","KNA","VEN"
"CHN",3798.76,54.674,7269.259,273.094,0,0,0.206,0,42.063,1.07,0,0,0,123.717,0,0,62.915,403.797,0,37063.27,1.524,1.17,0,0,0,26693.498,0,0,21556.238,0,0,0,4667.612,0.42,0,0,0,44.648,0,243.794,0,8798.79,0,84.644,0.007,0,0,4221.523,339.773,42.447,1883.845,0,108.752,3.544,0.218,0,4.237,90.004,0.202,0,191.543,0.45,0,8.834,34.91,9965.86,29665.66,100.561,0,0,43.638,6.223,0.985,1.635,0.188,1.556,12.581,0.032,0.16,19.854,0.063,2.45,0.125,3.256,0.018,1.067,0.148,571.414,0.056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HRV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZE",0,0,0,0,0,0,0,0,0,0,0.105,0,0,0,0,0,0,59.063,0,271.51,10.223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,99.339,0,0,0,69.195,0,0,0,0,0,0,0,0,0,0,57.756,0,0,0,0,0,0,0,0,39.862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNK",4096.289,0,0,0,0,0,0,0,4.8,0,481.7,0,0,2675.106,0,0,0,557.416,0,0,0,0,0,0,19.364,1394.209,0,0,0,308.251,102.829,0,0,0,0,0,0,0.009,0,1332.691,0,0,0,0,7188.16,0,0,433.495,0,0,27.492,0,0,0,0,0,2.343,1.399,0,0,0,0,0,0,0,1896.354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FIN",25.654,0,0,0,0,0,0,0,0,0,4080.648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5393.033,0,0,0,0,0,0,0,0,0,0,0,0.019,0,0,0,0,0,0,0,0,0,21.096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266.322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRA",2.94,6.027,0,0.779,0,0,2.554,0,0,4.92,84.198,0,0,0,0,0,0,155.072,0,184.359,7.654,0,0,2.505,0.141,75.716,0,17.987,0,0,0,0,0,0,0,0,0,27.021,8.398,0.002,0,0,0,0,0,0,2.869,2.085,17.238,7.715,15.629,0,17.697,0,0,9.511,0,41.323,0,0,0,0.745,384.848,0,27.763,15.246,1159.774,25.521,0,0,0,0,0,0,0,0,0,0,0,0,1.129,0,0,10.979,0,0,0,0,0,0,3.154,1.644,1.129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEU",308.768,635.252,0,12.074,0,0,0,21.942,9.664,0.339,724527.232,0.043,4.081,1847.836,912.374,532.448,1374.765,0,0,19220.597,9.039,0,0,80.696,13060.462,69614.552,1.486,0,41293.75,0,0,1.008,393.819,0,0,0,0,1707.851,0,22280.345,0,0.065,0,1237.155,1.766,1.679,1.966,7210.87,11.43,42.492,102788.25,75.298,0,0.043,1.691,35.689,0.351,1720.199,171.213,0,1.081,1.708,3458.586,0,4351.161,44271.802,1429.233,0,0,0,0,2.29,0,0,0,0,0,0,2.358,0,0,0,1.081,0,1.373,0,0.06,0,0,0,0,0,0,0.068,1.848,1.155,11.277,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.053,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HKG",0,0,0,0,0,0,0,0,0,0,244.768,0,0,0,0,0,2.897,12.587,0,0,1.561,4.309,0,0,0,74.051,0,0,6.343,0,0,0,1133.652,0,0,0,0,279.156,0,420.544,0,0,5.132,3.306,0,0,0,124.794,0,11.933,8.195,0,2584.076,0,1.802,0,0,5.711,0,0,0,2.993,0,0,0,1.253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056,10.933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
