"AUS","AUT","BHR","BEL","BTN","BIH","BWA","BRA","BRN","BGR","BLR","CAN","LKA","CHN","CRI","HRV","CYP","CZE","DNK","FIN","FRA","DEU","GHA","GRC","HKG","HUN","ISL","IDN","IRL","ISR","ITA","JPN","KAZ","JOR","KOR","KWT","LVA","LTU","LUX","MYS","MLT","MEX","NAM","NPL","NLD","NZL","NOR","MNP","PHL","POL","PRT","ROU","RUS","SAU","IND","SGP","SVK","VNM","SVN","ZAF","ESP","SWE","CHE","THA","ARE","TUR","TCA","UKR","EGY","GBR","USA","ZMB","CMR","FJI","QAT","IRQ","GNQ","NGA","CUB","ETH","DZA","BHS","KHM","DOM","IRN","MUS","PLW","PAK","SRB","ZWE","SDN","UGA","UZB","TUN","URY","KGZ","LBN","BEN","BGD","SLB","TLS","MAR","MOZ","TZA","NIC","AGO","AZE","MMR","LSO","MWI","SWZ","BOL","GTM","GMB","KEN","OMN","RWA","LBY","ARG","CHL","ATG","BRB","BLZ","CYM","COL","ECU","EST","GRD","HTI","HND","JAM","KNA","SUR","TTO","VEN","COD"
"BLR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.7,0,0,14.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.943,0,0,42.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN",0,0,0,0.034,0,0,0,0,0,0,0,0,0,954.074,0,0,0,0,0,0,1.29,8.314,0,0,255.79,0,0,0,0,0,0,0,0,0,0.023,0,0,0,0,0,0,5.527,0,0,0.018,0,1242.466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022,0,0,0,0,0,0,25.592,0,0,0,0,0,0,0,2.059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LKA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN",4816.681,56.765,478.045,36.013,0,0,0.081,40.064,0,0,32,0.764,108.909,0,0,0,0,8.416,0,0,66.833,1768.974,0,0,5942.238,7.702,0,0.602,0.314,1,0,35160.707,2.389,5.114,8497.995,0,0,0,0,2652.741,0,0.341,0,2.173,359.66,0,147.6,0,314.906,0.183,0,0,320.656,1.415,9348.317,1913.935,0,89.925,12.463,0,0.322,0,76.881,5.226,5.586,3.037,0,0,0,247.127,7591.634,0,49.495,0.456,26195.584,0,0,589.982,0,0.725,4.129,0.275,4.537,0.035,39.12,1.203,0.666,2025.107,35.447,0.025,0.026,2.2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CRI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HRV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249.612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.307,0,0,3.66,6.985,0,0,0,0,1.276,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078,0,291.501,0,5.909,257.299,0,0,151.727,0,0,0,46.717,0,0,0,0,0,0,0,0,0,0,216.257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNK",5514.115,0,0,0,0,0,0,0,0,0,4.6,0,0,7.976,0,0,0,1315.194,0,0,0,1682.664,0,0,0,0,0,0,0,0,0,499.308,0,0,0,0,52.315,25.415,0,0,0,0,0,0,0.04,0,892.938,0,0,4773.966,0,0,27.369,0,0,212.633,0,0,0,0,0,0,0,0,0,0,0,55.484,0,4.426,1219.802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FIN",3.979,0,0,0,0,0,0,0,0,0,0,0,0,2917.519,0,0,0,0,0,0,0,189.304,0,0,0,0,0,0,0,0,0,6831.185,0,0,0,0,0,0,0,0,0,0,0,0,0.018,0,0,0,0,0,0,0,9.772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778.913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRA",0,13.712,0,0,0,0,0,0,0,0,0,2.467,0,20.27,0,0,0,105.617,0,0.009,0,75.756,0,0,144.886,8.91,0,0,0,14.941,0.806,248.97,0,2.117,0,0,0,0,0,0,0,0,0,0,28.119,14.367,0.001,0,0,3.975,0,0,0,8.137,10.281,3.2,0,0,0,0,34.295,0,22.41,2.767,0,8.999,0,189.884,0,835.138,3.968,0,1.383,0,3438.605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.808,15.785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
