"DZA","AZE","ARG","AUS","AUT","BHS","BGD","ARM","BRB","BEL","BOL","BIH","BRA","BLZ","BRN","BGR","MMR","BLR","CMR","CAN","LKA","CHL","CHN","COL","CRI","HRV","CYP","CZE","DNK","DMA","DOM","ECU","SLV","EST","FIN","FRA","GEO","DEU","GIB","GRC","GTM","HTI","HKG","HUN","ISL","IDN","IRN","IRL","ISR","ITA","CIV","JAM","JPN","KEN","PRK","KOR","KWT","LVA","LBR","LTU","MAC","MDG","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MDA","MAR","NLD","ANT","NZL","NOR","MHL","PAK","PAN","PER","PHL","POL","PRT","QAT","ROU","RUS","LCA","SAU","SEN","IND","SGP","SVK","VNM","SVN","ZAF","ZWE","ESP","SWE","CHE","SYR","THA","TGO","TTO","ARE","TUN","TUR","UKR","MKD","EGY","GBR","TZA","USA","URY","UZB","VEN","SCG","ZMB","AGO","KHM","FJI","PYF","KIR","MWI","MOZ","OMN","NCL","NFK","PNG","TON","UGA","WSM","GHA","HND","LBY","COD","BEN","GAB","GMB","LBN","NGA","RWA","SDN","GUY","NIC","PRY","KAZ","JOR","GRL","AFG","AND","CAF","TCD","COM","GNQ","ETH","DJI","GIN","NER","GNB","SPM","BFA","ALB","BHR","CUB","ERI","MNG","NPL","SUR","CPV","COG","SLE","BTN","SLB","FSM","SOM","BDI","ABW","COK","NIU","IRQ","AIA","GRD","VCT","SYC","TKM","YEM","ATG","BMU","VGB","CYM","PLW","KNA"
"LKA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.593,0,0,0,0,0,0,0,0,0,0,8.072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHL",0,0,0,0,0,0,0,0,0,0,1.645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN",0,0,152.195,336.542,325.45,0,0,0,5.434,1782.396,0,0,264.424,0,0,43.849,0,6.199,0,1266.206,0,9.144,0,45.253,0,14.508,0,134.212,204.707,0,0,0,0,0,51.295,696.215,0,8884.292,0,16.248,0,0,71100.402,188,0,0,41.149,57.04,2,1897.258,0,0,7768.318,0,0,14646.98,0,1.528,0,0.529,31.266,0,5033.909,0,0,16.201,0,0,1902.48,0,3.395,311.918,0,1922.423,62.958,0,6.909,0,17.144,1439.851,488.505,0,0,20,54.824,0,0,0,253.774,1106.111,8.182,3.202,145.279,622.84,0,538.288,44.634,43.946,0,431.401,0,0,4.694,0,325.332,49.41,0,12.842,30.224,0,14007.817,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.648,0,0,12.287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.845,44.703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CRI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.722,0,0,3.225,0,0,0,0,0,0,0,0,0,9.419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304.235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HRV",0,0,0,0,8.474,0,0,0,0,0,0,1.388,0,0,0,0,0,0,0,651.988,0,0,133.682,0,0,0,0,1.191,12.924,0,0,0,0,0,0,86.762,0,340.934,0,2.257,0,0,0,0,0,0,0,0,0,50.714,0,0,0,77.887,0,0,0,0,0,0,0,0,30.024,0,0,0,0,0,0,0,59.307,31.456,0,1.854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.667,230.309,0,14.624,0.758,6.093,0,0,0,0,0,0,0,0,0.959,0,0.655,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,1.405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZE",0,0,97.002,0,9.69,0,0,0,0,1.745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.784,2.014,0,0,0,0,0,0,0,0,0,9.982,0,1184.695,0,1.607,0,0,0,2.027,0,0,0,0,0,34.363,0,0,0,0,0,0,0,0,0,1.549,0,0,0,0,0,0,0,0,1.02,0,0,11.212,0,0,0,0,0,0,0,0,24.102,0,0,1,13.996,0,0,0,0,0.536,195.608,0,0,0,0,24.872,0,135.476,0,0,0,0,0,2.095,0,0,0,0,0.911,0,14.997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNK",34.119,0,16.075,106.453,1499.173,0,0,0,0,152.202,0,0,53.217,0,0,0,0,0,0,214.414,0,6.517,0,3.196,0,7.663,0,247.89,0,0,0,0,0,0,376.898,842.057,0,2578.519,0,22.989,0,0,14.961,72,4.829,0,0,3516.1,191.35,988.922,0,0,13.574,0,0,5.003,0,2.004,0,0,0,0,178.918,0,0,74.396,0,0,20.731,0,0,379.556,0,6.925,344.255,0,3.129,0,4.147,0,109.732,23.511,0,4.802,23.158,0,0,0.98,39.214,40.861,4.327,0,1.938,14.162,0,927.391,1639.356,122.941,0,43.419,0,0,3.888,1.897,17.327,0,0,0,4025.391,16.989,1082.703,0,0,24.559,0,0,9.374,0,0,0,0,0,0,0,0,0,0,0,3.456,0,8.428,0,0,0,0,0,0,5.869,0,0,0,0,0,0,0,19.339,11.324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM",0,0,0,0,0,0,0,0,0,0,0,0,1.937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2517.518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ECU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EST",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.133,0,0,1.104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.218,0,0,0,0,0,0,0,0,0,0,0,94.75,5.341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FIN",0,0,1.083,8.781,0,0,0,0,0,2.306,0,0,8.659,0,0,0,0,0,0,16.863,0,4.697,3.976,0,0,0,0,1.611,18.652,0,0,0,0,2383.907,0,142.138,0,151.468,0,32.163,0,0,52.471,3.75,0,1.41,0,0.899,4,1.831,0,0,20.534,0,0,1.136,0,2.275,0,1.433,0,0,0,0,0,0,0,0,10.242,0,0,15.388,0,1.929,39.585,0,0,0,0,366.841,18.955,1.175,0,0,38.433,0,2.803,0,2.159,2.18,0,0,13.523,1.574,0,3.547,160.264,0.568,0,1.014,0,0,3.976,0,0.729,0,0,0,21.613,29.754,80.82,0,0,6.236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRA",996.597,0,195.018,234.332,538.895,0,10.221,0,0,1076.373,1.111,0,934.654,0,0,10.245,0,0,62.655,595.984,0,29.72,166.854,84.116,1.019,41.197,3.108,76.096,1209.619,0,250.701,1.974,0,327.909,302.588,0,3.566,14237.197,0,32.682,0,30.403,151.74,156.941,80.333,22.313,0,146.166,200.229,4565.281,143.77,0,1898.823,588.34,0,45.334,0,0,0,0,0,113.563,9.65,1.019,537.723,10.187,0,0,157.223,0,4357.213,13023.028,0,11.127,224.912,0,0,4.507,11.099,0,145.135,211.836,8.492,31.936,15.275,0,25.679,1557.278,129.021,77.557,13.465,54.862,22.866,688.046,45.01,1934.447,2001.24,1465.21,0,5.613,7.687,0,0,233.7,141.473,1.019,0,146.587,9820.201,0,8947.062,10.714,0,46.683,8,0,4.416,0,0,1206.169,0,0,0,9.341,513.122,0,0,0,365.597,0,7.278,0,0,1.358,15.626,84.047,121.282,11.379,85.265,44.273,254.608,0,0,0,0,1.698,0,4.246,0.796,8.511,24.458,28.874,128.577,1.528,21.571,84.979,15.892,4.416,6.963,140.922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GEO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEU",15.078,4,173.581,573.955,11592.926,0,2,0,0,5716.659,19.356,3,1387.161,0,276,96.611,5,106.957,16.932,1888.467,1,39.206,483.405,39.488,4.624,368.393,1.637,7279.999,4491.449,0,0,7.817,1,47.975,5218.069,40825.101,0,0,0,600.683,4.983,0,2152.548,7003.077,17.37,18.943,72.932,4178.482,1638.753,35470.849,11.162,2.701,2364.436,134.869,0,228.839,2,8.563,59,87.769,0,6.948,28614.011,0,25.262,73.864,65,3,236.173,3.052,344.032,16569.324,0,30.72,3665.657,0,23,5.053,14.224,40509.84,495,8157.343,1,207.231,627.298,0,57.014,1.343,245.669,2886.323,1182.958,5,1875.22,1492.146,0,14421.804,8661.074,13886.992,10,57.283,1.021,2,128,37.399,1843.161,71.183,6.8,77.139,28854.488,32.868,18245.221,6.963,1,46.31,69.547,3,0,2,0,2,0,0,0,0,0,0,0,0,40,0,10.353,1.234,209,0,14.059,3.343,2.054,2.207,2253.154,0,106,0,0,1,4.482,433.92,0,0,0,25.094,10,0,0,14,0,10.704,50.451,0,0,12.013,4,12,11,80,149.443,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GIB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRC",0,0,0,1.766,0,0,0,0,0,0,0,0,0,0,0,11.126,0,0,0,0,0,0,0,0,0,0,7.237,0,0,0,0,0,0,0,88.842,0.849,0,0,0,0,0,0,2.993,0,0,0,6.9,0,0,28.428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.769,0,0,0,0,0,0,0,0,0,0,0,223.444,0,0,1.34,0,0,0,0,0,0,0,0,0,7.93,237.602,0,0,0,0,0,0,0,0,3.218,0,0,0,15.716,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GTM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HTI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HKG",0,0,537.897,490.914,70.409,0,0,0,410.421,122.343,0,0,571.892,0,0,71.51,0,0.899,0,792.146,6.619,59.006,12079.084,14.133,4.617,0.854,0.756,51.188,145.511,0,0,2.875,0,3.098,23.912,235.88,0,3004.842,0,5.059,0,0,0,171.605,0,2.241,0,296.074,595.664,271.424,0,0,15177.809,0,0,991.76,0,4.682,0,0,361.694,0,2202.429,0,0,0,0,0,855.774,0,0,633.828,0,59.214,6.367,0,64.035,1.187,9.812,882.936,27.69,0,0,16.058,2.088,0,0,0,232.404,7442.32,1.241,223.85,26.371,883.545,0,190.873,494.663,149.078,0,439.437,0,0,56.805,0,333.584,0,2.84,1.477,4022.87,0,22197.317,19.085,0,0,4.991,0,40.538,0,0,0,0,0,0,0,0,0,0,0,4.902,0,0,0,0,0,0,0,0,6.326,0,0,0,0,0,0,0.899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HUN",0,0,1.204,0,103.926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.914,141.677,0,230.31,0,1.239,0,0,2,0,0,0,0,0,1,685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.966,0,0,4.544,0,0,0,0,0,0,0,0,2,0,0,3.217,0,0,0,0,0,0,7,0,1.349,0,0,0,0,0,0,2.556,0,0,0,0,0,1,0,0,0,0,36.849,0,0,0,4.608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IDN",0.597,0,18.194,2.774,1.133,0,0,0,0,0,0,0,7.097,0,0,0,0,0,0,4.578,0,0,463.146,0,0,0,0,0,0,0,0,0,0,0,60.043,136.868,0,279.545,0,0,0,0,10.745,172,0,0,0,0,0,0,0,0,13051.63,0,0,534.818,0,0,0,0,0,0,252.018,0,0,0,0,0,313.523,0,0,130.77,0,0,3.717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.647,0,0,0,0,0,49.242,0,0,0,60.006,0,0,0,0,0,0,0,0,0,0,612.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.651,0,0,0,0,0,0,0,0,0,0,5.302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRL",0,0,0,1.931,0,0,0,0,1.731,0,0,0,0,0,0,0,0,11.399,0,7.773,0,0,23.492,0,0,0,0,2.942,1.864,0,0,0,0,0,0,195.314,0,66.319,0,0,0,0,14.284,490,0,0,0,0,41.733,306.987,0,0,2.645,2.24,0,0.812,0,0,0,0,0,0,2.758,0,0,0,0,0,18.384,0,0,4.544,0,21.047,81.792,0,0,0,0,101.471,152,0,0,0,12.958,0,0,0,0.566,58.397,0.832,0,0,9.224,0,8.654,370.359,61.052,0,0,0,0,2.711,0,5.105,0,0,0,662.236,0,1094.787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISR",0,0,0,53.088,20.892,0,0,0,0,11.154,0,0,58.779,0,0,0.829,0,0,0,14.868,0,20.363,0,0,0,0,0,0,0,0,0,0,0,0,0,86.264,0,155.29,0,0,0,0,0,0,0,0,0,0,0,185.831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.451,10.196,0,0,34.333,0,0,0,0,0,16,0,0,791,0,0,0,0,0,0,0,0,420.76,35.751,0,2.114,4.644,0,228.848,3.776,77.751,0,14.285,0,0,0,0,27.014,0,0,0,2,9.082,370.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ITA",399.046,13.234,154.443,71.294,188.94,0,2.192,0,0.602,98.166,2.632,0.882,360.945,0,0,22.805,0,1.3,5.866,30.827,0,59.836,43.839,14.621,8.039,86.468,14.821,224.834,599.849,0,0,20.716,2.118,0,75.75,3452.745,0,7194.522,0,303.62,1.194,6.251,424.676,49.11,0.675,12.874,0.615,101.998,58.805,0,2.847,1.951,61.678,200.858,0,41.324,5.732,0.915,0,0,0,1.636,27.164,4.674,3.99,64.47,0,1.687,213.041,4.533,34.793,157.739,0,13.677,2.338,0,8.072,1.546,12.178,0.663,86.545,179.419,5.024,40.171,62.689,0,16.456,8.764,111.572,9.034,3.971,8.021,65.533,266.879,146.937,2331.707,278.245,387.21,11.332,67.969,0,0,8.148,12.283,230.674,29.192,9.295,93.38,991.961,93.158,684.569,19.62,0,72.538,4.367,14.87,7.928,0,0,5.339,0,0,0,2.277,0,0,0,0,9.389,0,5.964,2.156,9.984,16.191,11.855,0,1.16,21.23,3.144,0,0,0,0,14.502,0,3.081,0,0,0,7.609,0,0,0,3.062,0,63.727,0.56,0,0,3.854,6.987,0,0,129.853,0,0,0,0.782,62.943,9.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
