"AFG","ALB","DZA","AND","AGO","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BEL","BOL","BIH","BWA","BRA","BLZ","SLB","VGB","BRN","BGR","MMR","BLR","KHM","CMR","CAN","CPV","CYM","CAF","LKA","CHL","CHN","CCK","COL","CRI","HRV","CUB","CYP","CZE","DNK","DMA","DOM","ECU","SLV","ETH","ERI","EST","FJI","FIN","FRA","PYF","GEO","DEU","GIB","GRC","GTM","GIN","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","LAO","LBN","LVA","LBR","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MNE","MAR","MOZ","OMN","NAM","NPL","NLD","ABW","NCL","NZL","NIC","NER","NGA","NOR","MNP","MHL","PAK","PAN","PNG","PRY","PER","PHL","POL","PRT","TLS","QAT","ROU","RUS","RWA","SHN","KNA","LCA","SMR","STP","SAU","SEN","SRB","SYC","SLE","IND","SGP","SVK","VNM","SVN","SOM","ZAF","ZWE","ESP","SUR","SWZ","SWE","CHE","TJK","THA","TGO","TTO","ARE","TUN","TUR","TKM","TCA","UGA","UKR","MKD","EGY","GBR","TZA","USA","URY","VEN","ZMB","GHA","KIR","LBY","NRU","VUT","FSM","SYR","YEM","BDI","MYT","COD","GMB","SDN","ATG","BRB","COG","GAB","ANT","GUY","KGZ","VCT","BEN","DJI","GRL","IRQ","WSM","BFA","GNB","UZB","TCD","SPM","CXR","GRD","TON","PSE","GUM","WLF","COK","NIU","TUV","BTN","COM","FLK","BMU","GNQ","MSR","AIA"
"BGR",0,0.951,0.322,0,0,0,0,6.206,6.062,0,0,0,0,0,0,0.019,0,0.173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.804,0,0,0,0.295,0,0,0.614,1.401,0,0,0,0,0,0,0,0,0,0,0,0,3545.799,0,175.748,0,0,0,0,18.61,0,0,0,0,8.253,0,4.919,0,0,0,3.985,0,0,0,0,0,0,0,0,0,0,0.572,0,0,0,467.763,0,0,1.001,0,0,4.648,0,0.378,0,0,0,0,0,0,6.281,0,0,0,0,0,0,1.599,0,0,0,0,0,0,0,0,1.974,0,0,0,28.8,0.345,0,0,0,0,0,0,0,0,9.169,0,0,0,0,0,0,0,0,0,0,403.044,0,0,0,5.571,0,0,0,0,0,0,20.437,0,0,0,0.089,3.222,0,3.1,0,17.815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMR",0,0,0,0,0,0,0,0,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,0,0,0,0,0,0,0.064,0,0,0,0,0,0,0,0,0,1.099,2.5,0,0,2.3,0,0,0,0,0,0,0,0,0,0,105,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,1.508,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.255,0,0,0,0,37.9,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0,63.577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KHM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CMR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN",0,0,16.095,0,0,0,0.478,45.124,175.464,0.01,18.45,0.499,0,6.647,0,0,0,180.558,0,0,0,0,2.429,0,114.157,0,0.236,0,0,0.194,0,15.271,87.16,3360.677,0,17.932,1.754,0.928,1.817,0,9.915,7.842,0,0.001,0,0.382,8.744,9.18,21.499,2.824,494.419,758.192,1.008,0,8343.024,0,26.254,2.367,0,17.458,0.56,2847.283,11.319,0,170.437,54.475,42.027,662.051,1727.565,0.89,0.518,1204.031,0.552,0,8.336,0,172.191,0,0,0,5.079,0,3.382,4.402,0,0,0,209.452,0.009,0,4.308,0,0,1469.052,0,0,0.248,0.318,0,0,0,0,53.19,0,0,105.813,0.186,0,20.5,82.071,0,0,52.303,0.22,0,0,3.324,6976.786,83.428,0.577,0,0,78.789,1.622,0,0,0,0.373,0,0,0.906,0,7.608,0,0,53.108,92.394,0.474,1.956,4.411,0,95.144,0,50.326,0,0,616.408,742.796,0,66.991,0,1.975,2.225,2.734,169.844,0,0,0,62.826,0,0.222,8715.228,0.278,31250.151,0,9.379,0.288,12.887,0,0.179,0,0.032,0,24.948,0.081,0,0,0,0.456,0.361,0,0.099,0,0,0,0.739,1.402,0.354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CPV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0.038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.12,0,9.346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LKA",0,0,0,0,0,0,0,392.097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.442,6.351,0,0,0,0,0.358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.232,25.102,0,0,0,0,416.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.163,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHL",0,0,0,0,0,0,0.276,0,0.24,0,0,0,0,0,3.568,0,0,6.2,0,0,0,0,0,0,0,0,0,1.713,0,0,0,0,0,0,0,0,6.824,0,0,0,0,0,0,0.498,1.318,0,0,0,0,0,0,1.902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.373,0,0,0,0,0,0,0,0,1.256,0,0,0,0,0,0,0,0,0,0,0,0,0.331,1.711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.996,0,10.925,1.468,0.527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN",90.268,0.006,143.266,0.008,0,0,1083.285,14232.762,18104.982,0,0,383.502,4.154,148346.776,111.42,26.688,27.989,8901.867,8.376,0,0,0,887.487,62.494,252.67,144.337,0.913,8245.779,0,0,0,33.086,233.77,0,0,1298.924,30.372,348.222,17.361,56.225,4259.344,820.751,31.7,126.269,107.79,8.289,82.273,0,243.762,0.743,979.261,5415.029,7.402,25.076,848885.188,0,379.162,69.751,0.36,0,55.787,479854.905,8013.277,58.526,5681.971,694.098,419.863,1479.371,67998.944,0.171,30.234,227464.564,85.298,16.231,1511.792,18.886,168186.466,50.603,62.39,21.279,58.328,0.524,434.146,1224.378,106.094,10.355,109.027,25028.468,2.555,59.52,25.951,260.046,7.591,4428.188,38.214,13.686,4.095,17.637,0,2.656,2.19,148.318,40001.796,0,5.726,743.977,68.083,13.896,82.903,149.269,0,0,867.369,45.834,389.129,8.083,152.364,3312.982,3437.041,19760.606,0,42.827,1866.153,3472.568,5.63,0,0,0.403,0,0,72.104,396.686,127.609,0,0,8896.199,43112.068,1013.254,329.669,356.841,0,8686.289,112.605,232518.454,0,0,1335.315,2433.524,0,11669.217,0,24.335,1210.717,52.674,2147.692,0,0,381.13,307.702,10.228,81.222,14330.827,349.213,189397.864,68.512,119.077,0.148,262.191,0,0,0,4.788,0.112,142.936,0,4.7,0.161,0,275.18,14.068,0,1.592,27.06,0,0,0.104,0,0,96.855,0.05,2.587,4.466,60.929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.598,0,0,0,1.292,0,0,0,0,0,0,0,1.383,2.953,0,0,0,0,0,0,0,0,1,0,0,0.603,0,0,0.8,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.834,0,0,27.141,0,0,0,0,0,10.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.977,0,2.153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CRI",0,0,0,0,0,0,0,1.944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.243,0,0,0,0,0,39.864,0,0,0,0,0,0,0,0,0,0,0,0.411,0,0,0,0,0,0,0,0,32,0,0,0.42,0,0,0,70.18,2,0,0,0,0,0,0,0,0,9.622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379.791,0,0,0,0,0,0,0,0,0,0,0,0.068,0,0,0,0,0,0,0,0,0,0,0.292,0,0,0,0,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0.866,0,0,1.638,0,0,0,0,0.113,0,0,0,0,0,4.544,0,0,0,0,0,0,0,0,0,0,0,0,0,25.88,0.046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HRV",0,0,0,0,0,0.26,0,5.176,89.023,0,0,0,0,0,0,41.455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.762,0,0,0,0,0,0,0.187,377.819,0,0,0,0,0,0,0,0,0.326,56.623,0,0,44.853,0,1.337,0,0,0,0,0,0,0,0,0,0,0.563,11046.072,0,0,0,0,0,187.238,0,0,0,0,0,0,0,0,0,0,0,1.481,157.707,0,193.541,0,0,0,0,0,0,0,23.185,0,0,0,0,1.256,0,0,158.918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.201,42.577,0,0,65.83,0,0,0,106.187,0,0,0,18.063,0,0,0.442,22.196,0,0,0,0,61.419,0,0,0,0,0,0,0.629,0,4.817,0,103.675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CUB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2116.242,0,0,1.442,0,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4544.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.724,0,0.582,0,0,0,0,0,0,0,0,0,0.106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41618.315,0,19.268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0.684,0,0,0,0,0,0,0,3808.806,0,0,0,0,0,0,0,0,0,0,0.379,0,0,0,0,0,0,0,0,2.621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZE",0,0,0,0.142,0,0.383,0.883,208.907,905.207,0,0,0,0.088,11394.032,0,0.997,0,41.093,0,0,0,0,25.207,0,1.3,0,0,66.09,0,0,0,0,0,141.677,0,10.09,0.119,132.997,0.477,0,0,6.926,0,0,0,8.43,0.129,0,55.987,0,65.229,125.166,0,4.82,188552.154,0,33.959,2.567,0,0,0,223.129,267.199,0.565,21.35,0.513,2.283,16.384,941.23,0.685,0,542.395,1.171,0,0,0,187.821,0,0,0,10.043,0,22.056,0.76,0,0,0,1621.947,0,0,7.943,0,0,16.545,0,0.184,19.508,17.114,0,0,0,0,385.084,0,0,0.866,0,0,0,12.189,0,0,9.463,0,0,0,0,13.863,156.862,56.46,0,0,16.752,154.708,0,0,0,0,0,0,0,0,6.277,0,0,3.755,154.252,308.215,0,33.533,0,6.58,0,544.144,0,0,378.971,13.075,0,15.985,0,0,263.907,0,25.304,0,0,25.265,45.337,0.742,134.401,1212.26,0,431.153,0,2.522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNK",0,0,1.957,0.325,0,0,12.58,28.488,1172.895,0,0,0,0,291.109,0,0.495,0,11.482,0,0,0,0,0.189,0,1,0,0,360.678,0,0,0,0.407,49.883,227.938,0,0.449,0.261,41.669,0.037,0.23,318.988,0,0,0,5.077,0,22.994,0,1.488,0,826.346,2028.669,0,0,2814.244,0,112.484,0,32.342,0,19.17,234.153,5.584,24.928,0,0,7.614,168.094,1248.387,0,0,32.24,8.87,3.28,2.889,0,38.906,0,0,9.416,1.492,0,291.396,0.095,0,0,0,149.236,0,0,75.487,0,0,15.363,0,0,0,0,87.798,0,0,0,408.094,0,0,26.807,0,0,12.647,347.58,0,0,1.286,0,0,0,0.43,0,411.257,26.125,0,21.205,11.236,2.691,0,0,0,0,0,0,0,0,2.406,0,0,11.726,132.482,2.053,2.675,4.168,0,62.776,0,3373.553,0,0,5091.152,57.002,0,54.181,0,2.043,9.541,7.481,12.087,0,0,112.548,1.59,0.117,0,222.816,0.334,638.471,6.17,0.532,0,0,0,0,0,0,0,0,0,0,0,0,2.601,0,0,0,0,0,0,0,0,0,0,0,32.494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DMA",0,0,0,0,0,0,0,14.649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM",0,0,0,0,0,0,0,55.617,1.345,0,0,0,0,0,0.23,0,0,0,0,0,0,0,1.223,0,0,0,0,134.685,0,0,0,0,0,8.119,0,0,0,0,0,0,1.536,0,0,0,0,0,0,0,0,0,0,8.789,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,628.956,0,0,0,0.274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.477,0,13.676,0,0,0,0.306,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108,0,0,0,0,0,13.27,0,0,0,0,0,0,0,0,0,0,0.239,0,0,0,0,0,0,181.927,0,4201.773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ECU",0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0.098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.438,0,0,0,0,0,0,0,0,11.974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.824,0,0,18.906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049,0,0,0,0,0,0,0,0,0,0,0,0,8.54,0,0,0,0,0,0,1.284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,1.429,0,0,0,0,0,0,0,0,0,0,0,0,0,6.606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ETH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EST",0,0,0,0,0,0,0.045,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.578,0,0,0,0,0,0,0,0,72.138,0,0,0,0,0,0,0,0.394,0,0,0,0,0,0,0,0,1039.937,0,0,0,64.687,0,0,0,0,0,0,0,131.426,0,0,0,0,0,0,0,0,206.755,0,0,0,0,0,0,0,0,26.917,0,30.619,0,0,0,0,0,0,0,0,0,0,0.217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.692,0,0,0,0,0,0,0,0,0.005,0,0,0,0.57,62.897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.007,0,0,253.587,0.073,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049,0,118.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
