"AFG","ALB","DZA","ASM","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BMU","BTN","BOL","BIH","BWA","BRA","BLZ","SLB","VGB","BRN","BGR","MMR","BDI","BLR","KHM","CMR","CAN","CPV","CYM","CAF","LKA","TCD","CHL","CHN","CXR","CCK","COL","COM","COG","COD","COK","CRI","HRV","CUB","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","GNQ","ETH","EST","FLK","FJI","FIN","FRA","PYF","ATF","DJI","GAB","GEO","GMB","DEU","GHA","GIB","KIR","GRC","GRL","GRD","GTM","GIN","GUY","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LSO","LVA","LBR","LBY","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MNE","MSR","MAR","MOZ","OMN","NAM","NRU","NPL","NLD","CUW","ABW","SXM","NCL","VUT","NZL","NIC","NER","NGA","NFK","NOR","FSM","MHL","PLW","PAK","PAN","PNG","PRY","PER","PHL","POL","PRT","GNB","QAT","ROU","RUS","RWA","BLM","SHN","KNA","AIA","LCA","VCT","SMR","STP","SAU","SEN","SRB","SYC","SLE","IND","SGP","SVK","VNM","SVN","SOM","ZAF","ZWE","ESP","SDN","SUR","SWZ","SWE","CHE","SYR","TJK","THA","TGO","TKL","TON","TTO","ARE","TUN","TUR","TKM","TCA","TUV","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","WSM","YEM","ZMB","GUM","TLS","SSD","ERI","PSE","BES","IOT","SPM","WLF","MNP","NIU"
"AUT",43.562,19.767,78.291,0,0.368,4.567,0,38.614,83.485,922.059,0,0,12.5,56.281,4.703,0,466.411,0,0,3.335,115.725,2.313,309.143,71.874,0,0,0,1905.711,22.298,0,12.338,13.036,8.335,7933.61,0,3.927,0.501,17.997,5.381,647.527,15935.987,0,0,98.097,0,1.363,0,0,43.996,1396.426,4.986,62.749,5859.211,0,1299.642,0,13.982,221.061,4.662,0,9.116,529.268,0,0,871.427,4057.64,6.898,0,0,0,5.463,0,41182.564,2.554,0.752,0,640.947,0,0,130.081,0,0,0,55.502,4604.787,4655.373,55.195,298.277,4.598,30.228,67.498,491.35,7782.21,13.745,0,2717.895,22.411,13.705,4.825,0,2282.316,711.256,0,0.367,36.76,0,77.239,0,549.253,706.415,124.239,9.639,0.54,0,185.423,10.887,0,6.201,0,7.65,601.705,7.046,28.558,757.872,0,65.36,0,10.11,5.607,0,0.444,5526.926,0,0,0.911,8.52,0,555.328,0.185,20.623,68.648,0,4740.576,0,0,0,37.857,16.449,0,13.571,73.727,155.041,2551.489,1544.096,0,83.886,5745.956,983.008,0,0,0,0,0,0,0,5.373,0,271.709,27.809,458.776,2.943,0,773.522,689.892,3403.702,123.475,3601.712,0.523,269.234,0.514,2047.596,0,36.852,0,2584.796,13569.981,0,0,339.335,0.051,0,0,23.728,896.953,61.374,341.983,50.026,0,0,12.682,74.474,96.278,194.782,4208.423,0.736,9642.84,8.932,6.291,5.321,12.789,0.078,0,0,0,0,18.351,1.22,0,0,0,0,0,0,0
"BHS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHR",0,0,16.656,0,0,0,0,0,0,0,7.99,0,0,0,0,0,0.628,0,0,0.06,0,0.311,0,0,0,0,0,0,0,0,0,0,0,27.272,0,0,0,0,0,1.218,24.5,0,0,0,0,0,0,0,0,0.063,0,0,0.472,0,0.049,0,0,0,0,0,0,0.039,0,0,0,0.774,0,0,0,0,0,0,13.994,0,0,0,0,0,0,0,0,0,0,0,0,1.457,0,0,0,46.5,0.111,0,0,0,0,7.025,0,0,0.558,0,0.109,263.179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.891,0,0,0,0,0,0,0,0,0,662.196,0.122,0,0,3.035,0,0,0,0,0,0.355,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0.833,0,0,0,0.021,0,0,0,0,0,0,0,0,0,0,270.002,0,0,0.16,0,0.307,0,0,0,0.277,0,0.662,0,1.596,0,0,0,1.147,3.197,0,0,0.017,0,0,0,0,498.651,0,0,0,0,0,0.015,0,0,5,55.387,0,32.438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGD",0,0,0,0,0,0,0,0,37.775,14.717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.244,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.46,1.053,0,0,0,0,0,0,3.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5317.006,0,0,0,0,17.181,8.234,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.935,17.493,0,0,0,0,0,0,0,0,0,0.995,0,0,0,0,0,0,0.03,0,0,0,0,39.47,0,0,0,55.772,0,0,0,0,0,1.307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.744,0,0,3.244,0,0,0,0,1.412,0,0,0,0,0,0,0,10.707,0,0,0,0,0.104,0,0,0,0,0,0,0,0,0,3.034,0,3.608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARM",0,0,0,0,0,0,0,0,0,5.629,0,0,0,0,0,0,0.882,0,0,0,3.744,0,5.942,0,0,0,0,0.307,0,0,4.551,0,0,3.019,0,0,0,0,0,0.607,38.088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.015,0,0,0,0.132,0.468,0,0,0,0,27.848,0,5.816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.033,304.432,0,3,0,0,0,0,0,0,0,0,1.085,0,0,0,0,0,0,0,0,0,0,0,0,0,219.993,0,0,0,0,0,0,0,0,0,0,13.972,0,0,0,0,0,0.357,0,0,0,0,0,1.259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.621,0,0,0,0,145.517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.847,0.849,0,0,0,0,0,0,0,1151.985,0,2.737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRB",0,0,0,0,0,0,0.196,0,0,0,0,0,0,0,0,0,0,1.633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.238,0,0,3.971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1.246,5.685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,4.412,0,0,0,0,0,0,0,0,0,0,0,0,3.142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEL",2.928,24.245,85.735,0,0.294,21.867,0,18.471,102.654,1038.85,2582.809,0,6.781,3.819,81.606,0,0,8.293,0,51.169,1133.436,42.839,371.918,0.014,0,0,0.341,321.92,0.505,4.119,40.658,6.151,29.737,2186.182,199.496,0,0.54,8.178,13.65,79.302,3308.132,0,0,110.396,9.165,45.949,93.041,11.455,11.138,634.756,1.748,199.993,668.193,27.519,2543.73,0,3.189,25.95,37.228,0,11.235,715.713,0,0.812,997.224,34735.957,38.955,0,3.269,42.385,21.996,3.334,34853.636,91.345,0,0,891.215,0,0,38.179,23.178,0,0,9.06,1761.205,1291.757,30.577,94.361,12.518,57.72,1368.834,905.387,16647.802,226.162,8.128,1584.666,21.114,1.526,127.752,0,270.518,27.248,1.75,0,42.825,0,1500.086,1.591,9.398,980.889,2588.623,0,16.348,0.81,450.622,1.049,10.298,1023.307,11.728,18.722,256.258,26.329,19.034,8.502,0,143.723,28.634,1.898,7.442,0,0.943,33689.298,21.306,42.21,1.827,283.07,0,83.2,0.362,517.894,152.84,0,949.863,0,0,0,9.661,4.334,59.931,18.517,39.713,133.858,4978.595,1816.888,0,417.07,2086.382,1428.949,25.774,0,0,0,0,0.02,0,111.138,0,189.474,45.539,79.315,5.915,0.156,3221.535,599.229,530.709,104.867,164.293,1.947,632.317,6.422,7194.504,0.003,82.061,0,6114.195,1631.341,2.077,23.353,450.627,2.538,0,0,0,186.598,76.361,776.231,0,0,0,3.884,117.144,354.853,79.032,22725.586,7.271,16003.674,17.404,67.986,1.04,0.13,0,4.889,4.89,0,0,0,0,10.387,16.264,0,0,0,0,0
"BMU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BTN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOL",0,0,0,0,0,0,0,0,0,0,1.087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.067,0,0,0,8.903,0,0,0,0,0,0,0,0,0,0,0,0,0,4.62,0,0,0,0,0,0,0,0.071,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
