"AFG","ALB","DZA","ASM","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BMU","BTN","BOL","BIH","BWA","BRA","BLZ","SLB","VGB","BRN","BGR","MMR","BDI","BLR","KHM","CMR","CAN","CPV","CYM","CAF","LKA","TCD","CHL","CHN","CXR","CCK","COL","COM","COG","COD","COK","CRI","HRV","CUB","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","GNQ","ETH","EST","FLK","FJI","FIN","FRA","PYF","ATF","DJI","GAB","GEO","GMB","DEU","GHA","GIB","KIR","GRC","GRL","GRD","GTM","GIN","GUY","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LSO","LVA","LBR","LBY","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MNE","MSR","MAR","MOZ","OMN","NAM","NRU","NPL","NLD","CUW","ABW","SXM","NCL","VUT","NZL","NIC","NER","NGA","NFK","NOR","FSM","MHL","PLW","PAK","PAN","PNG","PRY","PER","PHL","POL","PRT","GNB","QAT","ROU","RUS","RWA","BLM","SHN","KNA","AIA","LCA","VCT","SMR","STP","SAU","SEN","SRB","SYC","SLE","IND","SGP","SVK","VNM","SVN","SOM","ZAF","ZWE","ESP","SDN","SUR","SWZ","SWE","CHE","SYR","TJK","THA","TGO","TKL","TON","TTO","ARE","TUN","TUR","TKM","TCA","TUV","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","WSM","YEM","ZMB","GUM","TLS","SSD","ERI","PSE","BES","IOT","SPM","WLF","MNP","NIU"
"BIH",0,0,0,0,0,0,0,0,0,0,590.571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.059,0,0,0,0,0,0,0,0,0,0,0,16.336,2.318,0,0,0,0,0,0,0,0,88.564,0,0,0.274,0,0,0,0,0,0,0,0,0,0,0,0.044,0.083,0,0,0,0,0,0,333.803,0,0,0,0,0,0,0,0,0,0,0,0,0.148,0,0,0,0,0,1,8.957,0,0,2.816,0,0,0,0,1.027,0,0,0,0,0,0,0,0,0,0.256,0,0,0,0,0,0,0,0,0,0,0,0,66.166,0,0,0,0,0,0,0,481.215,0,0,0,0,0,0,0,0,0,0,8.382,0,0,0,0,0,0,0,1.879,0,1.764,0,0,0,0.791,0.013,25.596,0,0,0,0,0,0,0,0,0,0,130.199,0,0,9.316,0,0.038,0,6.524,0,0,0,0,1.678,0,0,0,23.224,0,0,0.032,0,0,0,0,0,0,0,0,0,0,0,0,10.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BWA",0,0,0,0,0,0.067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027,0,0,0,0,0,49.107,12.705,0,0,0,1.985,0,0,0,0,0,0,0,0,0,0.488,0,0,0,0,0,0,0,0,0,0,0,8.958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRA",0,0,8.135,0,0,45.162,0.978,2.186,3047.389,1092.011,34.799,0.72,4.153,0.318,0,0.208,31.146,0,0,557.075,0.154,0,0,0.091,0,0,0,0,0,0,0,0,1.472,1018.53,0.676,0,0,6.831,0,1340.705,660.981,0,0,1409.686,0,14.74,0,0,231.957,0,98.868,1.442,4.777,0.231,20.703,0,83.367,522.914,4.315,0,0.104,0.426,0,0,2.605,1410.288,2.394,0,0,0,0,0,1284.762,11.333,0,0,5.583,0,0,45.827,0,72.163,0.085,71.706,263.622,23.398,0,71.229,0,0.404,18.937,2342.242,87.268,0.585,4.135,55.261,0.07,1040.335,2.491,0.016,42.188,1.233,0,0,130.526,0,0,1.314,4,1.775,0.015,0,0,0,1.392,0,457.459,0.506,0,0.084,1116.706,0,2.659,0,0,2.145,17.158,5.273,3.603,0,0,55.368,1.023,1.206,0,2.433,0,1.62,31.086,0,1.186,0,8857.145,0,1.173,0,1.955,245.701,0,1319.261,562.383,12.971,284.191,70.465,0,16.417,0.61,24.303,0,0,0,0,0,0,0,0,0,8.334,1.485,5.957,0.138,0.128,617.668,29.341,3.877,150.349,0.228,0,5628.248,0.538,113.523,2.674,9.399,0,37.225,10.737,0,0,38.966,0,0,0.544,6.64,44.969,0,40.182,0,0,0,0,0.156,0,136.767,3510.397,49.305,4515.548,0.448,1903.004,0,98.21,0,0,0.456,0,0,0,0,0,0.225,0,0,0,0,0
"BLZ",0,0,0,0,0,0,0.302,0,0,1.876,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLB",0,0,0,0,0,0,0,0,0,3.398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VGB",0,0,0,0,0,1.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.665,0,0,0,0,0,0,0,0,0,0,0,0,0,12.545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036,0,3.669,2.611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.687,0,0,0,0.091,0,0,0,0,0,0,0,0,0,0,0
"BRN",0,0,0,0,0,0,0,0,0,1.688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.911,0,0,0,0,0,0,13.726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,0,0,0,0,0.347,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055,0,1.426,0,0,0,0,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.229,16.998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.586,0,0,0,0,0.058,0,0,0,0,0,0,0,0,4.465,8.116,0,56.461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGR",0,378.168,0,0,0,0,0,23.473,2.314,79.014,327.943,0,0.718,0,15.406,0,287.321,0,0,1.772,114.174,0,795.665,7.759,0,0,0,0,0.614,0,99.966,0,0,104.758,0,0,0,0,0,41.63,503.349,0,0,18.056,0,0,0,0,0.084,1490.986,0,534.241,667.649,0,134.619,0,0,67.196,0.104,0,31.949,68.979,0,0,22.679,901.505,0,0,0,0,198.563,0,1627.986,0.356,0,0,3883.152,0,0,1.944,0.293,0,0,0,198.314,2204.416,4.91,0,7.526,221.585,1.247,186.689,11925.857,0,11.342,129.292,50.324,45.817,0.951,0,27.752,8.563,0,0,7.885,0,1350.98,0,0,460.113,14.235,0,0.261,0,14.583,0,46.707,126.793,0,5.279,41.335,0.828,28.785,21.858,0,10.219,1.045,1.723,0.224,0,0,393.145,0,0,0,0,0,4.315,0,0,35.86,0,98.849,0,0,0,0,0,5.882,0,36.824,123.685,1094.551,873.741,0,4.082,2992.947,265.306,0,0,0,0,0,0.201,0,0,0,13.699,0,607.629,27.681,0,119.321,3.117,1720.822,4.73,237.813,0,2.371,3.87,3238.878,0,0,0,133.32,208.036,0,0,13.42,0,0,0,0,255.239,3.577,213.783,0,0,0,0,36.763,442.653,2.342,7557.845,1.353,1862.826,0.62,5.057,14.312,0,0,0,0,0,0,0,0,0.275,0,0,0,0,0,0
"MMR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.477,0,0,0,0,0,0,0.628,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045,0,0,0,0,0,0,0,0,0,7.276,0,0,0,0,33.933,0,0,0,0,0,0,0,0,0,0,0,0.069,0,4.261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.657,98.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12474.388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLR",0,0,0,0,0,0,0,2.2,3.97,11.8,0.53,0,0,0,3.6,0,2.2,0,0,0,34.5,0,82.101,0,0,0,0,8.2,2.4,0,0,0,0,0.338,0,0,0,0,0,8.8,35.678,0,0,0,0,0,0,0,0,0.1,0,0.4,339.6,0,1,0,0,0,0,0,0,169.973,0,0,0.468,0.6,0,0,0,0,8.2,0,74.205,0.7,0,0,0,0,0,0,0,0,0,0,3.3,10.08,0,3.805,0,0,0,0.1,36.698,0,0,0,93.7,0,0,0,3.195,37.7,18.7,0,0,0,13.8,0,0,59.828,0,0,0,0,0.1,0,0,0,0,0,0,0,36.408,0,0,3.2,0,2.5,0,0,0,116.813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,25.8,2.468,0,0,3.2,7454.302,0,0,0,0,0,0,0,0,0,213.9,0,0.327,0,0,300.897,9.2,0,16.8,0,0,4.2,0,6.8,1,0,0,0.2,0,0,0,13.883,0,0,0,0,302.399,0,12.7,10.3,0,0,0,73,0,0,76.998,0,62.899,0,0.1,12.417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KHM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057,0,0,0,0,0,0,0,0,0,0,0,0,2.501,0,0,0,0.09,0,0,204.062,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219,0,0,0,0,0,0,0,0,0,0,0.242,0,0,0,0,0,0,2.822,0,0,0,0,0,0,0,0,0,0,0.097,209.262,0.368,0,0,0,0,25.041,0,0,0,0,247.127,0,0,0,0,0.102,0,0,0,0,0,0,0,0,0.099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112,0,0,0,0,0.456,0,0,0,0,0,0.034,0.201,0,0,0,0,0,0,0,0,0,0,0,0,141.399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.546,1.119,0,0,0,0,0,0,38.721,0,0,0,0,0,0,0,1170.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.466,0,4584.818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CMR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159,0,0,0.353,0,0,0,0,0,0,0,0,0,0,0,0,0,37.966,0,0,0,0,0,0,0.083,0,0,0,0,5.492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164,0,0,0,0,0,0,14.518,0,0,0,0,0,0,0,0.133,0,0,0,0,0,0,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,1.032,0,0,0,0,0,0,0,0,0,0,0,0.038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.669,0,0,0,0,0,0.105,4.763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.003,0,32.842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN",0,0,207.458,0,0,14.562,2.916,32.221,1646.426,6004.8,359.024,17.126,58.134,12.02,2.149,36.152,480.935,23.904,0,5.034,24.222,5.652,1420.81,0.292,46.398,0,0,411.325,90.727,0,3.367,12.273,9.094,0,0,4.521,0,14.453,0,578.463,14089.278,0,0,368.622,0,187.063,10.312,0,105.672,50.183,36.315,156.486,253.576,0,81.435,2.522,32.486,136.176,12.912,0,25.054,174.4,0,0.417,656.636,5405.919,1.293,0,0.354,162.974,30.613,0,8423.908,2.169,0,0,211.189,0,1.601,92.724,29.247,48.783,6.234,61.619,3142.003,49.822,17.299,1513.312,0,119.618,197,993.948,2427.988,37.681,137.109,4538.608,350.045,423.961,222.9,0,4289.146,49.367,3.003,0,59.361,0,56.681,0,5.292,82.826,35.933,4.329,37.371,1.352,418.73,10.013,58.467,15.951,10.844,40.18,26112.468,62.074,7.6,0.856,0,40.177,3.994,131.768,1.239,0,6.363,2804.279,2.873,1.766,9.414,0,0,579.13,209.395,0,49.539,0,822.327,0,0,0,198.916,18.048,5.802,39.753,739.885,297.387,741.19,142.959,0,225.851,55.853,2193.814,0.052,0,0,9.181,0,1.998,1.465,0,0,1069.668,0.722,88.253,0,0,9814.068,2280.641,385.086,364.484,41.747,0,433.905,0.295,1000.443,513.243,0,0,3209.784,2276.874,0,7.169,2117.927,0,0,0,60.388,2042.082,1.88,942.551,0.472,7.432,0,6.845,136.901,1.376,75.058,12077.734,0,468108.728,65.218,86.45,34.49,4.521,0,0,3.621,0,0,0,0,11.036,0,2.785,0.168,8.091,0,0
"CPV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212,0,4.563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYM",0,0,0,0,0,0.545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LKA",0,0,0,0,0,0,0,0,0,13.708,4.923,0,0,38.171,0,0,3.03,0,0,0,0,0,120.092,0,0.252,0,0,0,3.494,0,0,8.477,0,4.158,0,0,0,0,0,1.706,116.654,0,0,0,0,0,0,0,0.119,0,0,0,3.015,0,0.319,0,0,0,0,0,4.074,0,0,0,0.142,2.324,0,0,0,0,0,0,246.89,0.033,0,0,0,0,0,0,0,0,0,0,14.364,0.434,0,288.663,0,0,0.714,15,0.008,0,0,0,0,2.613,0,0,0.096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.876,0,0,0,0,18.186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.671,0,0,0,0,11.086,0,0,0,103.818,0,0.199,0,0,0,0.358,0,0,0,0.173,22.095,0,0,0,0,0,0,0,0,0,0,0,1.174,6.621,0,111.905,87.878,0.09,0,0,0,13.782,0,0,7.905,0,0,0,315.624,0,0,92.052,0,0,0,0,49.472,0,0.629,0,0,0,0,0,0,0,22.592,0,62.828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHL",0,0,0,0,9.423,0,0,0,483.42,21.024,0.902,0,0,0,0,0,1.257,0,0,1873.516,0,0.01,118.144,0,0,0,0.221,0,0,0,0,0,0,0.983,0,0,0,0,0,0,75.329,0,0,99.019,0,0,0,0,4.1,0,0,0,0,0,0.812,0,11.072,205.612,0,0,0,0,0,0,8,50.71,0,0,0,0,0,0,20.008,0.29,0,0,0,0,0,0,0,0,0,0,0,9.573,0,0,0,0,0.118,0,4.518,0,0,0,0,0,0,0,0.313,0,0,0,0,0,0,0,0,0,0.286,0,0,0,930.727,0,0.278,0,0,0,144.757,0,0,0,0,1.85,0.179,0,0,0,0,1.322,0,0,0,0,0,2.936,4.833,0,0,0,45.772,0,0,0,82.407,3.243,0,219.286,1816.274,0.116,76.093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.14,1.717,0,3.447,206.501,0,1.218,0,70.136,0,0,0,5.307,0.641,0,0,3.455,0,0,0,0,2.182,0,0,0,0,0,0,0,0,0,94.362,0,401.854,2.21,421.237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN",5246.704,3984.667,37288.25,0,5.726,4238.898,831.63,5058.768,90846.866,175856.711,70673.172,63.032,13505.139,27978.336,4094.726,102.525,98259.58,8.677,60.412,7178.197,3864.326,371.744,301428.409,97.712,231.873,16.347,1023.988,27746.355,57473.253,41.607,7007.509,6991.683,5631.888,359786.959,265.657,114.159,3.58,17790.227,1931.705,52493.873,0,0,0,55980.598,21.084,944.404,4376.547,0.012,8036.581,7537.117,4437.786,2888.607,119067.847,4930.87,37587.273,32.803,20476.522,19756.239,9351.502,543.854,15599.498,4904.183,0,736.965,23273.349,481931.656,1031.681,0,5990.887,600.136,3257.862,947.893,617338.715,16185.875,36.923,3.666,42919.241,0.015,4.239,15818.073,6170.314,2203.786,1347.645,5077.042,2007090.56,45484.257,2888.467,231164.933,32457.614,88516.7,16793.921,53612.068,215767.274,6071.51,2275.526,1422802.433,49974.962,16572.326,13390.746,0.031,391930.706,22228.96,6146.445,4472.085,13830.174,4.459,4162.439,2141.176,13960.171,5614.758,3232.838,3000.441,1339.395,565.309,168487.829,2641.743,1708.2,2080.037,1601.66,2690.23,298294.605,1424.932,3414.091,948.487,13.704,32400.491,3217.056,5818.608,295.996,0.299,6180.326,581061.393,107.882,52.531,8.851,318.25,193.454,20079.186,2245.479,334.339,32198.61,0,69470.413,2.714,1549.958,21.788,41170.511,21143.687,883.197,16903.158,45052.492,107760.627,194989.281,22823.043,1.18,5695.976,35277.387,443302.004,2131.721,0,0,15.011,0,118.692,12.377,244.257,3.777,102299.232,6552.644,8521.634,142.979,2553.063,209823.149,283939.032,15700.254,291052.134,14610.902,984.467,86062.413,953.467,214617.595,10154.52,459.395,131.277,65880.303,48862.939,10506.969,7672.42,558333.194,2843.565,0,51.194,2812.71,117857.831,12689.318,94695.864,916.94,9.053,9.868,4134.815,90765.176,2115.448,41671.152,497479.415,12297.781,4037723.054,294.741,11996.249,10209.084,9648.488,212.969,18067.572,6380.518,0,395.804,677.893,1.881,2158.713,0,0,0.001,0,0,0
"CXR",0,0,0,0,0,0,0,0,0,2.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCK",0,0,0,0,0,0,0,0,0,1.457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COL",0,0,0,0,0,0,0,0.748,27.224,0,7.466,0,0,0,0,0,0.536,0,0,22.408,0,0,34.654,0.157,0,0,0,0,0,0,0,0,0,36.47,0,0,0,0,0,28.314,0,0,0,0,0,0,0,0,55.744,0,0,0,0,0,0.02,0,10.691,235.117,97.266,0,0,0,0,0,0,45.937,0,0,0,0,0,0,8.348,0,0,0,0.467,0,0.005,46.649,0,1.916,0,6.112,204.023,0.629,0,0,0,2.07,0,0,29.992,0,0,0,4.232,0,0,0,0.664,0,0,0,0,0,0,0,0,0,0,0,0,0,96.537,0,0,0,0,0,491.849,0,0,0,0,0,0,0,0,0,0,7.414,1.99,0.017,0,0,0,0.061,2.051,0,0,0,0,0,0,0,0,234.746,0,0.467,203.066,0,3.254,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0.622,0,0,0,0,0,0,0,0,0.05,0,0.408,0,6.671,0,0,0,0.168,0.404,0,0,29.298,0,0,0,2.48,0,0,0,0,0,0,0,0,0,0,6.406,0,627.674,0,4.303,0,13.584,0,0,0,0,0,0,0,0,0,0,0,0,0,0
