"AFG","ALB","DZA","ASM","AND","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","BRB","BEL","BOL","BIH","BWA","BRA","BLZ","SLB","VGB","BRN","BGR","MMR","BLR","KHM","CMR","CAN","CPV","LKA","TCD","CHL","CHN","CXR","CCK","COL","COM","COG","COD","CRI","HRV","CUB","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","GNQ","ETH","EST","FLK","FJI","FIN","FRA","PYF","GEO","DEU","GHA","KIR","GRC","GUM","GTM","GIN","GUY","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","LAO","LBN","LSO","LVA","LBR","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MNE","MSR","MAR","MOZ","OMN","NAM","NRU","NPL","NLD","CUW","ABW","SXM","NCL","VUT","NZL","NIC","NER","NGA","NOR","PAK","PAN","PNG","PRY","PER","PHL","POL","PRT","TLS","QAT","ROU","RUS","RWA","KNA","AIA","LCA","SPM","VCT","SMR","STP","SAU","SEN","SRB","SYC","SLE","IND","SGP","SVK","VNM","SVN","ZAF","ZWE","ESP","SUR","SWZ","SWE","CHE","SYR","TJK","THA","TGO","TON","TTO","ARE","TUN","TUR","TCA","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","VEN","WSM","ZMB","ARM","LBY","NIU","PSE","SSD","SDN","UZB","AGO","BDI","CAF","GMB","KGZ","CYM","BMU","GRD","MYT","ERI","DJI","GAB","GRL","FSM","MHL","PLW","GNB","SOM","TKM","YEM","WLF","GIB","BLM","BTN","BES","COK","TUV","ATF"
"SLB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VGB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGR",0,0,1.119,0,0,0,0,0,0,0.829,0,0,0,0,1456.823,0,1.658,0,2.245,0,0,0,0,0,0,11.5,0,0,1.407,0,0,0,0,43.636,0,0,0,0,0,0,0,3.881,0,0,5.636,0,218.168,0,0.366,0,0,0,0,0,0,0,0,284.696,1.43,0,2191.503,0,0,16556.401,0,0,0,0,0,0,14.326,24.371,0,0,0,0,0,0,486.194,0,0,50.188,9.479,0,0,0,13.531,0,0,1.988,0,0.365,0,275.544,5.662,0,0,0,295.826,0,0,15.878,0,0,8.148,0,0,3.751,0,0,0,0,0,0,0,44.834,0,0,0,0,0,0,0,0.88,2.888,2.447,0,0,0,0,0,0,0.563,208.837,0,0,45753.826,15.922,5.304,0,0,0,0,0,0,0,0,0,9.992,0,0,6.501,7.381,0.531,0,22.92,0.113,0,15.346,0,0,0,4.799,0,0,2.955,0,0,0,0,0,30.46,0,4.276,5.168,236.551,59.414,1.176,0,158.594,0.355,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLR",0,0,0,0,0,0,0,0.048,0,2.788,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,11.7,0,0,0,0,0.514,0,0,0,0,0,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,13.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0,0,0,9.2,0,0,0,0.601,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.268,0,0,0,0,0,0,1172.168,0,0,0,0,0,0,0,0,0,0,0.439,0,0,4.788,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.145,0,0,15.8,0,0,0.7,0,0,0,0,0,0,0,3.1,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KHM",0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.528,0.164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.566,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CMR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.226,0,0,99.758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.19,0,0,0,0,0,0,0,0,0,13.067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045,0,0,0.044,0,0,0,0,0,0.578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.466,0,18.395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN",0,0,0,0,0,0,0,13.982,443.653,968.353,0,3.158,0.933,0.5,61.003,0,0.043,0.817,144.54,2.251,0,0,0,127.414,0,0.6,0,3.614,0,0,0,4.385,6706.68,6409.745,0,0,39.982,0,0,0,234.647,0.877,0.72,43.428,18.222,0,40.454,0,180.121,59.636,0.152,0,3.55,8.546,0,23.391,837.582,787.882,2.1,0.036,7726.01,0.213,0,3.296,0,5.166,0,0.788,0,2.515,4434.243,5.465,0,325.461,21.592,1.762,29.959,1822.809,561.175,0.045,2.306,1749.747,0.449,0.146,2.432,0,1478.357,10.095,0,0,0,14.23,0,1.119,5.885,0,47.002,0,113.856,12.485,0,0.074,55.655,4.599,969.009,24.741,0,0,0,1.916,3.85,1.835,0.503,0,0,4742.17,10.422,0,0,144.631,0,47.298,1.659,0,68.118,8.464,25.036,7.35,21.038,2.788,44.571,4100.268,31.568,143.238,0,0.449,4.035,90.274,0,0,58.413,0.115,0.286,0.125,0,0,34.401,0,0.507,0,0,297.337,1108.179,0.842,0,9.872,375.046,0,18.516,46.494,0,248.435,2092.405,0,0,21.366,0,0,5.227,642.15,2.674,1607.968,0,6.481,6.42,0,0,4872.825,9.692,52327.134,116.341,17.478,0.451,0,0,2.059,0,0,0,0,0,0,11.752,0.632,0,0,0,78.91,1.58,3.108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CPV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LKA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.683,0,0,0,0,1.956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.945,0,0.543,0,0,0,0,0,0,0,0,4.226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0,0,6.64,0,0,0,0,0,0,0,0,0,0.976,0,0,0,0,0.575,0,0,0.208,0,0,0,1.11,0,0,0,0,0,0,0,0.376,8.36,0,0,0,0,0,0,0,8.612,0,0,17.038,0,0,0,0,0.301,0,0,0,0,0,0,0,0,0,0,0,0,1.411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.325,0,0,0,62.826,0,20.517,0,0,0,0,0,0,0,0,0,0,2.455,0,0,0,0,0,0,0,0,0,0,35.624,0,0,0.333,93.486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.111,0,0,0,0.458,0,2.023,0,0,0,0,0,0,0,0,0,0,0.311,0,0,0,0,0,0,0,0,0,4.85,0,0,0.723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN",1839.966,22.83,1886.817,0,22.604,5.234,98.684,7783.698,469439.301,31983.411,51.707,110.842,29222.495,329.678,246583.122,1586.211,1474.543,1062.809,59244.266,120.994,553.665,0,592.861,3237.203,44752.984,4320.197,1567.025,629.166,227756.624,9.543,2246.154,28.585,87909,0,0,0,9759.763,8.579,736.248,1280.774,888.554,161677.269,3922.592,3307.592,19855.25,393.637,47789.523,44.496,2763.354,6628.184,790.221,513.19,1381.443,660.828,0,243.58,5817.434,136370.336,1229.239,308.249,1108448.239,7050.57,2.64,123212.325,0,1471.154,1280.041,27.416,1025.151,1623.572,2503394.375,18587.04,185.54,25979.821,74429.433,276.967,967.357,75278.099,124863.676,426.009,1614.823,3307039.517,3540.924,5700.421,10037.05,3899.887,1137983.766,730.424,328.693,861.217,97.331,328.961,32.058,8308.415,2389.092,657.198,3365.736,153.03,140998.892,485.879,2182.751,3763.574,1266.197,7505.317,180151.178,490.96,616.617,53.248,0,2445.77,1638.1,139.466,2004.159,0,6716.232,1303466.232,593.622,91.294,0,173.429,256.403,8927.856,967.919,228.798,10301.965,4892.829,72988.225,2283.563,515.976,662.651,3864.262,124216.982,10901.298,6425.453,289.42,943.725,25711.147,61533.794,76.5,735.944,0,47.281,0,107.824,0,0,6090.277,4841.351,1219.844,9.146,99.316,651705.573,96247.064,3222.054,38952.205,15966.991,408670.565,1925.614,54670.394,148.09,4.631,25245.975,134143.01,255.228,1464.159,271568.926,2034.87,108.978,49.192,17189.21,2287.113,68933.305,56.606,5622.426,364452.117,1169.472,1046.631,339804.141,5824.807,1737593.579,5285.759,969.824,4535.368,102.036,398.206,56.192,61.977,0,121.712,303.833,1370.797,1688.128,2793.454,112.289,3.507,190.001,3971.505,0,0.566,107.536,28.154,629.079,375.522,46.239,0.914,127.24,3.84,0.489,1.248,228.639,26.705,990.506,0,0,0,0,0,0,0,0
"CXR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COL",0,0,0,0,0,0,0,0.36,0,0,0,0,0,0,0,0.211,0,0,63.286,0,0,0,0,0,0,0,0,0,0.011,0,0,0,0.241,35.106,0,0,0,0,0,0,1.229,0,0,0,0,0,0,0,0.285,231.122,37.458,0,0,0,0,0,0,3.833,0,0,1.888,0,0,0,0,6.474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.584,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,17.709,0,0,7.662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.679,0,13.09,0,0,4.913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.15,0,0.162,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG",0,0,1.912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CRI",0,0,0,0,0,0,0,0,0,0,0,0,0,0.475,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,5.223,0,0,0,0,6.564,0,0,6.198,0,0,0,0,0,14.932,0,0,0,0.001,0,0.459,0,8.255,0,0,0,0,0,0,0.076,0,0,14.203,0,0,0,0,41.965,0,0,0,17.954,4.138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.107,0,0,0,0,0,235.628,0,0,0,0,0,0,0,0,0,0,2.027,0,0,0,0,0,0,14.238,0,0,0,0.567,9.427,0,0,0,0.001,0.071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.584,0.143,0,0.445,0,0.011,0,0,0,0,0,3.036,0,0,3.121,0,0,0,0,0,0,0,0,0,0,0,0,0,142.486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HRV",0,0.303,0,0,0,0,0,0,0,857.658,0,0,0,0,299.682,0,257.855,0,4.586,0,0,0,0,0,0,0,0,0,0.316,0,0,0,0,4.138,0,0,0,0,0,0,0,0,0,2.838,0.139,0,380.786,0,0,0,0,0,0,0,0,0,0,3541.895,0,0,81223.779,0,0,605.667,0,0,0,0,0,0,0,1025.453,0,0,11.193,0,0,0,8183.668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.648,0,0,23.691,0,0,0,0,0,0,0,2913.7,0,0,0,0,0,0,0,0,0.008,0.24,0,0,0,0,0,0,648.645,0.153,0,0,6500.002,0.458,0,0,0,0,0,0,0,0,0,0,63.613,0,0,6.95,0,0,0.94,42.401,0.89,0,0.06,0,0,0.542,68.278,0,0,0.758,0,0,0,0,0,0,0,3.366,0,10.635,0,42457.042,0.085,0.12,0,0,0,0,0,0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CUB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.475,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,3.981,0,0,0,0,0,0,2.701,0,0,0,46.139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.252,0,0,6371.455,0,0,0,0,0,0,4.032,0,0,0,0,0,0,0,42.389,0,0,0,0,0,0,0,0,0,0,0,0,2.906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1250.236,0,0,0,0,0,0,0,0,0,0,0,1.655,0,0,0,14.65,4.252,0,0,0.062,0,133.895,0,0,0,103.126,0,0,0,0,0,0,0.991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZE",6.001,0,32.697,0,0,0,3.05,1.394,176.536,3258.696,0,0,0,0,1938.267,0.296,4.126,0,15.323,0,0,0,0,415.403,0,32.28,0,0,1004.582,0,4.165,0,11.287,60.375,0,0,1.464,0,0,3.014,10.937,79.419,0,927.482,0,0,989.939,0,0,1.93,5.419,0,1.572,264.999,0,0,65.034,15272.937,0,18.298,43371.13,0,0,220.046,0,0,0,0,0,0,309.293,3895.822,1.483,5.194,0.355,0,670.234,30.271,31051.796,0,0,55296.642,5.556,0.145,0,0,31.469,1.838,0,2.886,0,8.963,0,3628.589,605.129,0,0,0,13.267,27.742,0,1142.431,0,0,338.503,0.425,0.897,1.33,0,9.439,0,0.025,0,0,0,1586.304,0,0,0,0,0,0.244,0,0,0,6.476,6.849,0.127,0,0,1.971,0.158,1337.968,24.654,0,12.851,12583.923,382.127,0,0,0,0,0,0,0,0,6.453,319.369,206.431,0,0,69.007,65.307,10454.947,0.692,153.968,64.942,0,486.465,0,0,2404.846,627.603,0,0,131.201,0,0,0,6.117,0.784,134.857,0,0,7181.168,1.051,4.107,19338.86,0,3128.164,0,0,0.275,0,0,1.744,0,0,0,0,0,0.555,0,0,0,0,0.428,0,0,0,0,0,0,0,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
